Detailed Statistics Departures  
Origin Airport: Monroe, LA: Monroe Regional (MLU)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4936","N8933B","ATL","13:45","13:40","89","79","-5","13:51","11","0","0","0","0","0"
"9E","12/01/2021","5097","N833AY","ATL","07:45","07:44","93","83","-1","07:53","9","0","0","0","0","0"
"9E","12/01/2022","5163","N833AY","ATL","07:45","07:40","98","94","-5","07:51","11","0","0","0","0","0"
"9E","12/01/2022","5254","N8986B","ATL","14:25","14:21","97","83","-4","14:36","15","0","0","0","0","0"
"9E","12/01/2023","5074","N367CA","ATL","06:16","06:09","104","93","-7","06:29","20","0","0","0","0","0"
"9E","12/01/2023","5340","N905XJ","ATL","17:31","17:30","99","92","-1","17:44","14","0","0","0","0","0"
"9E","12/02/2021","4936","N8965E","ATL","13:45","13:40","89","88","-5","13:53","13","0","0","0","0","0"
"9E","12/02/2021","5097","N834AY","ATL","07:45","07:40","93","88","-5","07:54","14","0","0","0","0","0"
"9E","12/02/2022","5163","N834AY","ATL","07:45","08:00","98","85","15","08:14","14","0","0","0","0","0"
"9E","12/02/2022","5254","N8942A","ATL","14:25","14:20","97","91","-5","14:39","19","0","0","0","0","0"
"9E","12/02/2023","5074","N367CA","ATL","06:16","06:12","104","125","-4","06:27","15","0","0","17","0","0"
"9E","12/02/2023","5171","N923XJ","ATL","13:00","12:56","98","77","-4","13:07","11","0","0","0","0","0"
"9E","12/03/2021","4936","N8908D","ATL","13:45","13:44","89","88","-1","13:59","15","0","0","0","0","0"
"9E","12/03/2021","5097","N8896A","ATL","07:45","07:41","93","138","-4","08:49","68","0","0","41","0","0"
"9E","12/03/2022","5163","N8942A","ATL","07:45","07:33","98","90","-12","07:48","15","0","0","0","0","0"
"9E","12/03/2022","5254","N8965E","ATL","14:25","14:26","97","89","1","14:38","12","0","0","0","0","0"
"9E","12/03/2023","5074","N390CA","ATL","06:16","06:11","104","103","-5","06:34","23","0","0","0","0","0"
"9E","12/03/2023","5171","N354CA","ATL","13:00","12:50","98","99","-10","13:19","29","0","0","0","0","0"
"9E","12/04/2021","4936","N8837B","ATL","13:45","13:40","89","85","-5","13:51","11","0","0","0","0","0"
"9E","12/04/2021","5097","N8936A","ATL","07:45","07:40","93","89","-5","07:53","13","0","0","0","0","0"
"9E","12/04/2022","5163","N602XJ","ATL","07:45","07:35","98","96","-10","07:59","24","0","0","0","0","0"
"9E","12/04/2022","5254","N836AY","ATL","14:25","14:20","97","84","-5","14:31","11","0","0","0","0","0"
