Detailed Statistics Departures  
Origin Airport: Monroe, LA: Monroe Regional (MLU)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","3130","N603SK","DFW","10:38","10:28","85","85","-10","10:44","16","0","0","0","0","0"
"OO","12/01/2022","3156","N753SK","DFW","18:13","18:17","85","90","4","18:29","12","0","0","0","0","0"
"OO","12/01/2022","4979","N712SK","DFW","06:00","05:55","85","70","-5","06:05","10","0","0","0","0","0"
"OO","12/02/2022","3130","N724EV","DFW","10:38","10:29","85","81","-9","10:41","12","0","0","0","0","0"
"OO","12/02/2022","3156","N753EV","DFW","18:13","19:09","85","75","56","19:20","11","46","0","0","0","0"
"OO","12/02/2022","4979","N713EV","DFW","06:00","05:56","85","80","-4","06:07","11","0","0","0","0","0"
"OO","12/03/2022","3130","N715SK","DFW","10:38","10:29","85","72","-9","10:42","13","0","0","0","0","0"
"OO","12/03/2022","3156","N730SK","DFW","18:13","17:57","85","83","-16","18:11","14","0","0","0","0","0"
"OO","12/03/2022","4979","N705SK","DFW","06:00","05:53","85","75","-7","06:06","13","0","0","0","0","0"
"OO","12/04/2022","3130","N720EV","DFW","10:38","10:29","85","76","-9","10:41","12","0","0","0","0","0"
"OO","12/04/2022","3156","N730EV","DFW","18:13","21:08","85","71","175","21:19","11","161","0","0","0","0"
"OO","12/04/2022","4979","N724SK","DFW","06:00","05:57","85","81","-3","06:09","12","0","0","0","0","0"
"OO","12/05/2022","3130","N630SK","DFW","10:38","10:32","85","90","-6","10:49","17","0","0","0","0","0"
"OO","12/05/2022","3156","N730SK","DFW","18:13","18:04","85","82","-9","18:16","12","0","0","0","0","0"
"OO","12/05/2022","4979","N774SK","DFW","06:00","07:13","85","85","73","07:31","18","73","0","0","0","0"
"OO","12/06/2022","3130","N765SK","DFW","10:38","10:32","85","83","-6","10:49","17","0","0","0","0","0"
"OO","12/06/2022","3156","N604SK","DFW","18:13","18:04","85","95","-9","18:24","20","0","0","0","0","0"
"OO","12/06/2022","4979","N756SK","DFW","06:00","06:08","85","84","8","06:24","16","0","0","0","0","0"
"OO","12/07/2022","3130","N604SK","DFW","10:38","10:44","85","85","6","11:02","18","0","0","0","0","0"
"OO","12/07/2022","3156","N710EV","DFW","18:13","18:12","85","83","-1","18:27","15","0","0","0","0","0"
"OO","12/07/2022","4979","N656CA","DFW","06:00","06:20","85","83","20","06:31","11","18","0","0","0","0"
"OO","12/08/2022","3130","N776SK","DFW","10:38","10:57","85","89","19","11:19","22","0","0","0","0","23"
"OO","12/08/2022","3156","N709SK","DFW","18:13","18:02","85","84","-11","18:17","15","0","0","0","0","0"
"OO","12/08/2022","4979","N724EV","DFW","06:00","06:33","85","72","33","06:46","13","20","0","0","0","0"
"OO","12/09/2022","3130","N710SK","DFW","10:38","10:30","85","75","-8","10:44","14","0","0","0","0","0"
"OO","12/09/2022","3156","N753SK","DFW","18:13","18:10","85","87","-3","18:27","17","0","0","0","0","0"
"OO","12/09/2022","4979","N710SK","DFW","06:00","05:56","85","79","-4","06:12","16","0","0","0","0","0"
"OO","12/10/2022","3130","N730EV","DFW","10:38","10:29","85","78","-9","10:43","14","0","0","0","0","0"
"OO","12/10/2022","3156","N730EV","DFW","18:13","00:00","85","0","0","00:00","0","0","0","0","0","0"
"OO","12/10/2022","4979","N750SK","DFW","06:00","05:55","85","88","-5","06:08","13","0","0","0","0","0"
"OO","12/11/2022","3130","N753EV","DFW","10:38","10:58","85","72","20","11:09","11","0","0","0","0","0"
"OO","12/11/2022","3156","N750EV","DFW","18:13","18:17","85","106","4","18:47","30","25","0","0","0","0"
"OO","12/11/2022","4979","N730EV","DFW","06:00","05:54","85","80","-6","06:13","19","0","0","0","0","0"
"OO","12/12/2022","3130","N732SK","DFW","10:38","10:28","85","102","-10","10:42","14","0","0","0","0","0"
"OO","12/12/2022","3156","N708EV","DFW","18:13","18:20","85","105","7","18:46","26","0","0","0","0","27"
"OO","12/12/2022","4979","N773SK","DFW","06:00","05:58","85","92","-2","06:15","17","0","0","0","0","0"
"OO","12/13/2022","3130","N753SK","DFW","10:38","14:13","85","90","215","14:33","20","0","0","0","0","220"
"OO","12/13/2022","3156","N703SK","DFW","18:13","00:00","85","0","0","00:00","0","0","0","0","0","0"
"OO","12/13/2022","4979","N762SK","DFW","06:00","00:00","85","0","0","00:00","0","0","0","0","0","0"
"OO","12/14/2022","3130","N773SK","DFW","10:38","10:35","85","85","-3","10:48","13","0","0","0","0","0"
"OO","12/14/2022","3156","N758SK","DFW","18:13","20:48","85","85","155","21:02","14","155","0","0","0","0"
"OO","12/14/2022","4979","N768SK","DFW","06:00","11:22","85","77","322","11:36","14","0","314","0","0","0"
"OO","12/15/2022","3130","N773SK","DFW","10:47","10:39","84","79","-8","10:54","15","0","0","0","0","0"
"OO","12/15/2022","3156","N728SK","DFW","18:10","18:08","84","89","-2","18:25","17","0","0","0","0","0"
"OO","12/15/2022","4979","N770SK","DFW","06:00","05:59","84","89","-1","06:15","16","0","0","0","0","0"
"OO","12/16/2022","3130","N658CA","DFW","10:47","10:44","84","82","-3","10:57","13","0","0","0","0","0"
"OO","12/16/2022","3156","N753SK","DFW","18:10","18:03","84","88","-7","18:18","15","0","0","0","0","0"
"OO","12/16/2022","4979","N772SK","DFW","06:00","05:54","84","98","-6","06:17","23","0","0","0","0","0"
"OO","12/17/2022","3130","N724EV","DFW","10:47","11:07","84","86","20","11:24","17","22","0","0","0","0"
"OO","12/17/2022","3156","N776SK","DFW","18:10","18:21","84","99","11","18:43","22","0","0","0","0","26"
"OO","12/17/2022","4979","N720EV","DFW","06:00","05:59","84","93","-1","06:15","16","0","0","0","0","0"
"OO","12/18/2022","3130","N774SK","DFW","10:47","10:38","84","74","-9","10:54","16","0","0","0","0","0"
"OO","12/18/2022","3156","N751SK","DFW","18:10","18:04","84","83","-6","18:18","14","0","0","0","0","0"
"OO","12/18/2022","4979","N748EV","DFW","06:00","05:58","84","101","-2","06:29","31","15","0","0","0","0"
"OO","12/19/2022","3130","N611SK","DFW","10:47","10:48","84","80","1","11:03","15","0","0","0","0","0"
"OO","12/19/2022","3156","N710EV","DFW","18:10","18:00","84","88","-10","18:14","14","0","0","0","0","0"
"OO","12/19/2022","4979","N758SK","DFW","06:00","06:08","84","93","8","06:21","13","17","0","0","0","0"
"OO","12/20/2022","3130","N713EV","DFW","10:47","10:45","84","76","-2","11:00","15","0","0","0","0","0"
"OO","12/20/2022","3156","N614SK","DFW","18:10","18:14","84","88","4","18:28","14","0","0","0","0","0"
"OO","12/20/2022","4979","N710EV","DFW","06:00","05:56","84","96","-4","06:15","19","0","0","0","0","0"
"OO","12/20/2023","4824","N720EV","DFW","18:21","18:15","89","94","-6","18:40","25","0","0","0","0","0"
"OO","12/21/2022","3130","N710EV","DFW","10:47","10:55","84","86","8","11:14","19","0","0","0","0","0"
"OO","12/21/2022","3156","N741EV","DFW","18:10","22:56","84","75","286","23:11","15","277","0","0","0","0"
"OO","12/21/2022","4979","N715SK","DFW","06:00","06:12","84","94","12","06:45","33","0","0","0","22","0"
"OO","12/22/2022","3130","N774SK","DFW","10:47","11:02","84","129","15","11:28","26","0","0","0","60","0"
"OO","12/22/2022","3156","N770SK","DFW","18:10","19:57","84","91","107","20:13","16","0","0","0","0","114"
"OO","12/22/2022","4979","N707EV","DFW","06:00","13:06","84","86","426","13:18","12","428","0","0","0","0"
"OO","12/23/2022","3130","N708EV","DFW","10:47","11:15","84","84","28","11:29","14","28","0","0","0","0"
"OO","12/23/2022","3156","N745SK","DFW","18:10","18:44","84","92","34","18:56","12","42","0","0","0","0"
"OO","12/23/2022","4979","N710EV","DFW","06:00","08:14","84","86","134","08:31","17","136","0","0","0","0"
"OO","12/23/2023","4824","N632SK","DFW","18:21","19:24","89","81","63","19:41","17","55","0","0","0","0"
"OO","12/24/2022","3130","N773SK","DFW","10:47","10:58","84","71","11","11:11","13","0","0","0","0","0"
"OO","12/24/2022","4979","N707SK","DFW","06:00","05:58","84","83","-2","06:21","23","0","0","0","0","0"
"OO","12/25/2022","3130","N715SK","DFW","10:25","10:16","84","83","-9","10:30","14","0","0","0","0","0"
"OO","12/26/2022","3130","N708EV","DFW","10:47","10:48","84","72","1","11:02","14","0","0","0","0","0"
"OO","12/26/2022","3156","N604SK","DFW","18:10","18:06","84","91","-4","18:25","19","0","0","0","0","0"
"OO","12/26/2022","4979","N732SK","DFW","06:00","06:01","84","89","1","06:20","19","0","0","0","0","0"
"OO","12/27/2022","3130","N774SK","DFW","10:47","12:04","84","75","77","12:18","14","0","0","0","0","68"
"OO","12/27/2022","3156","N630SK","DFW","18:10","18:30","84","88","20","18:48","18","0","0","0","0","24"
"OO","12/27/2022","4979","N715SK","DFW","06:00","06:07","84","95","7","06:22","15","0","0","0","18","0"
"OO","12/27/2023","4824","N745SK","DFW","18:21","18:06","89","80","-15","18:16","10","0","0","0","0","0"
"OO","12/28/2022","3130","N707SK","DFW","10:47","10:38","84","78","-9","10:52","14","0","0","0","0","0"
"OO","12/28/2022","3156","N612QX","DFW","18:10","18:01","84","92","-9","18:23","22","0","0","0","0","0"
"OO","12/28/2022","4979","N726SK","DFW","06:00","05:58","84","108","-2","06:36","38","22","0","0","0","0"
"OO","12/29/2022","3130","N710EV","DFW","10:47","10:47","84","79","0","11:01","14","0","0","0","0","0"
"OO","12/29/2022","3156","N707SK","DFW","18:10","18:34","84","117","24","18:47","13","0","57","0","0","0"
"OO","12/29/2022","4979","N716SK","DFW","06:00","05:54","84","100","-6","06:20","26","0","0","0","0","0"
"OO","12/30/2022","3130","N719EV","DFW","10:47","10:41","84","65","-6","10:50","9","0","0","0","0","0"
"OO","12/30/2022","3156","N719EV","DFW","18:10","18:26","84","89","16","18:39","13","0","0","0","21","0"
"OO","12/30/2022","4979","N719SK","DFW","06:00","07:13","84","71","73","07:26","13","0","60","0","0","0"
"OO","12/30/2023","4824","N607SK","DFW","18:21","18:11","89","88","-10","18:23","12","0","0","0","0","0"
"OO","12/31/2022","3130","N603SK","DFW","10:47","10:44","84","74","-3","10:59","15","0","0","0","0","0"
"OO","12/31/2022","4979","N702SK","DFW","06:00","08:29","84","83","149","08:46","17","0","0","0","148","0"

 SOURCE: Bureau of Transportation Statistics
