Detailed Statistics Departures  
Origin Airport: Monterey, CA: Monterey Regional (MRY)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3674","N243NN","DFW","06:30","06:30","203","216","0","06:44","14","0","0","0","0","0"
"MQ","12/01/2021","4004","N216NN","DFW","11:45","11:40","199","222","-5","11:54","14","0","0","18","0","0"
"MQ","12/01/2022","3655","N261NN","DFW","06:48","06:38","203","197","-10","06:53","15","0","0","0","0","0"
"MQ","12/01/2022","4004","N224NN","DFW","14:13","14:25","204","200","12","14:42","17","0","0","0","0","0"
"MQ","12/02/2021","3674","N269NN","DFW","06:30","06:23","203","222","-7","06:35","12","0","0","0","0","0"
"MQ","12/02/2021","4004","N272NN","DFW","11:45","11:35","199","207","-10","11:45","10","0","0","0","0","0"
"MQ","12/02/2022","3655","N221NN","DFW","06:48","06:45","203","183","-3","06:57","12","0","0","0","0","0"
"MQ","12/02/2022","4004","N289MW","DFW","14:13","14:24","204","192","11","14:36","12","0","0","0","0","0"
"MQ","12/03/2021","3674","N213NN","DFW","06:30","06:24","203","212","-6","06:38","14","0","0","0","0","0"
"MQ","12/03/2021","4004","N233NN","DFW","11:45","11:44","199","212","-1","12:09","25","0","0","0","0","0"
"MQ","12/03/2022","3655","N270NN","DFW","06:48","06:48","203","182","0","06:57","9","0","0","0","0","0"
"MQ","12/03/2022","4004","N289MW","DFW","14:13","14:35","204","198","22","14:46","11","5","0","0","0","11"
"MQ","12/04/2021","3674","N210NN","DFW","06:30","06:26","203","195","-4","06:35","9","0","0","0","0","0"
"MQ","12/04/2021","4004","N234JW","DFW","11:45","12:08","199","192","23","12:17","9","16","0","0","0","0"
"MQ","12/04/2022","3655","N236NN","DFW","06:48","06:41","203","208","-7","06:54","13","0","0","0","0","0"
"MQ","12/04/2022","4004","N280NN","DFW","14:13","14:23","204","198","10","14:39","16","0","0","0","0","0"
"MQ","12/05/2021","3674","N210NN","DFW","06:30","06:28","203","197","-2","06:38","10","0","0","0","0","0"
"MQ","12/05/2021","4004","N227NN","DFW","11:45","11:36","199","202","-9","11:48","12","0","0","0","0","0"
"MQ","12/05/2022","3655","N281NN","DFW","06:48","06:45","203","189","-3","07:03","18","0","0","0","0","0"
"MQ","12/05/2022","4004","N226NN","DFW","14:13","14:39","204","189","26","14:48","9","0","0","0","0","0"
"MQ","12/06/2021","3674","N283NN","DFW","06:30","06:29","203","199","-1","06:41","12","0","0","0","0","0"
"MQ","12/06/2021","4004","N265NN","DFW","11:45","11:44","199","208","-1","12:00","16","0","0","0","0","0"
"MQ","12/06/2022","3655","N219NN","DFW","06:48","06:34","203","188","-14","06:58","24","0","0","0","0","0"
"MQ","12/06/2022","4004","N242NN","DFW","14:13","14:49","204","192","36","15:01","12","17","0","0","0","7"
"MQ","12/07/2021","3674","N222NS","DFW","06:30","06:28","203","189","-2","06:40","12","0","0","0","0","0"
"MQ","12/07/2021","4004","N287NN","DFW","11:45","11:34","199","181","-11","11:44","10","0","0","0","0","0"
"MQ","12/07/2022","3655","N281NN","DFW","06:48","06:39","203","196","-9","06:49","10","0","0","0","0","0"
"MQ","12/07/2022","4004","N300LK","DFW","14:13","14:11","204","212","-2","14:31","20","0","0","0","0","0"
"MQ","12/08/2021","3674","N264NN","DFW","06:30","06:25","203","197","-5","06:34","9","0","0","0","0","0"
"MQ","12/08/2021","4004","N212NN","DFW","11:45","11:58","199","186","13","12:08","10","0","0","0","0","0"
"MQ","12/08/2022","3655","N221NN","DFW","06:48","06:40","203","179","-8","06:52","12","0","0","0","0","0"
"MQ","12/08/2022","4004","N219NN","DFW","14:13","14:29","204","185","16","14:42","13","0","0","0","0","0"
"MQ","12/09/2021","3674","N202NN","DFW","06:30","08:05","203","193","95","08:15","10","85","0","0","0","0"
"MQ","12/09/2021","4004","N279MQ","DFW","11:45","11:39","199","185","-6","11:51","12","0","0","0","0","0"
"MQ","12/09/2022","3655","N288NN","DFW","06:48","06:40","203","190","-8","06:53","13","0","0","0","0","0"
"MQ","12/09/2022","4004","N260NN","DFW","14:13","14:18","204","196","5","14:29","11","0","0","0","0","0"
"MQ","12/10/2021","3674","N236NN","DFW","06:30","06:22","203","196","-8","06:37","15","0","0","0","0","0"
"MQ","12/10/2021","4004","N240NN","DFW","11:45","11:39","199","181","-6","11:50","11","0","0","0","0","0"
"MQ","12/10/2022","3655","N208AN","DFW","06:48","06:41","203","206","-7","06:52","11","0","0","0","0","0"
"MQ","12/10/2022","4004","N284JN","DFW","14:13","16:10","204","204","117","16:20","10","0","105","0","0","12"
"MQ","12/11/2021","3674","N228NN","DFW","06:30","06:24","203","199","-6","06:35","11","0","0","0","0","0"
"MQ","12/11/2021","4004","N286NN","DFW","11:45","12:10","199","201","25","12:23","13","7","0","2","0","18"
"MQ","12/11/2022","3655","N289MW","DFW","06:48","06:43","203","196","-5","07:00","17","0","0","0","0","0"
"MQ","12/11/2022","4004","N280NN","DFW","14:13","14:40","204","204","27","14:50","10","4","0","0","0","23"
"MQ","12/12/2021","3674","N302RN","DFW","06:30","06:27","203","196","-3","06:38","11","0","0","0","0","0"
"MQ","12/12/2021","4004","N260NN","DFW","11:45","11:45","199","195","0","11:56","11","0","0","0","0","0"
"MQ","12/12/2022","3655","N201NN","DFW","06:48","06:49","203","211","1","07:04","15","0","0","0","0","0"
"MQ","12/12/2022","4004","N273NN","DFW","14:13","16:16","204","194","123","16:39","23","0","0","0","0","113"
"MQ","12/13/2021","3674","N266NN","DFW","06:30","06:21","203","184","-9","06:32","11","0","0","0","0","0"
"MQ","12/13/2021","4004","N244NN","DFW","11:45","11:54","199","190","9","12:04","10","0","0","0","0","0"
"MQ","12/13/2022","3655","N229NN","DFW","06:48","07:44","203","228","56","08:27","43","0","56","25","0","0"
"MQ","12/13/2022","4004","N224NN","DFW","14:13","15:13","204","190","60","15:30","17","15","0","0","0","31"
"MQ","12/14/2021","3674","N244NN","DFW","06:30","10:48","203","189","258","10:58","10","0","244","0","0","0"
"MQ","12/14/2021","4004","N270NN","DFW","11:45","11:57","199","200","12","12:08","11","0","0","0","0","0"
"MQ","12/14/2022","3655","N284JN","DFW","06:48","06:38","203","209","-10","06:47","9","0","0","0","0","0"
"MQ","12/14/2022","4004","N213NN","DFW","14:13","14:15","204","198","2","14:31","16","0","0","0","0","0"
"MQ","12/15/2021","3674","N244NN","DFW","06:30","06:29","203","196","-1","06:47","18","0","0","0","0","0"
"MQ","12/15/2021","4004","N228NN","DFW","11:45","11:59","199","198","14","12:10","11","0","0","0","0","0"
"MQ","12/15/2022","3362","N270NN","PHX","12:16","12:38","110","110","22","12:49","11","3","0","0","0","19"
"MQ","12/15/2022","3655","N298FR","DFW","06:16","06:15","203","181","-1","06:25","10","0","0","0","0","0"
"MQ","12/15/2022","4004","N229NN","DFW","14:10","14:23","202","184","13","14:35","12","0","0","0","0","0"
"MQ","12/16/2021","3890","N254NN","DFW","05:40","05:37","213","199","-3","05:51","14","0","0","0","0","0"
"MQ","12/16/2021","4004","N236NN","DFW","11:41","12:27","212","206","46","12:40","13","11","0","0","0","29"
"MQ","12/16/2022","3362","N262NN","PHX","12:16","12:18","110","113","2","12:35","17","0","0","0","0","0"
"MQ","12/16/2022","3655","N210NN","DFW","06:16","06:23","203","212","7","07:03","40","7","0","9","0","0"
"MQ","12/16/2022","4004","N222NS","DFW","14:10","14:04","202","192","-6","14:17","13","0","0","0","0","0"
