Detailed Statistics Departures  
Origin Airport: Montrose/Delta, CO: Montrose Regional (MTJ)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0875","N289CT","DEN","14:20","14:10","70","60","-10","14:16","6","0","0","0","0","0"
"WN","12/01/2022","3674","N902WN","DEN","13:25","13:47","70","53","22","13:59","12","0","0","0","0","0"
"WN","12/01/2023","0969","N7885A","DEN","12:35","16:52","65","58","257","17:08","16","249","0","0","0","1"
"WN","12/02/2021","0875","N957WN","DEN","14:20","14:16","70","70","-4","14:30","14","0","0","0","0","0"
"WN","12/02/2022","3674","N7720F","DEN","13:25","13:35","70","43","10","13:43","8","0","0","0","0","0"
"WN","12/02/2023","0401","N909WN","DEN","13:40","13:40","65","48","0","13:47","7","0","0","0","0","0"
"WN","12/03/2021","0875","N489WN","DEN","14:20","14:16","70","49","-4","14:24","8","0","0","0","0","0"
"WN","12/03/2022","2811","N969WN","DEN","15:10","15:09","70","47","-1","15:19","10","0","0","0","0","0"
"WN","12/03/2023","0969","N245WN","DEN","12:35","12:30","65","57","-5","12:44","14","0","0","0","0","0"
"WN","12/04/2021","0345","N748SW","DAL","12:15","12:10","130","105","-5","12:17","7","0","0","0","0","0"
"WN","12/04/2021","1654","N7842A","DEN","14:05","14:00","70","48","-5","14:06","6","0","0","0","0","0"
"WN","12/04/2022","3674","N7817J","DEN","12:05","12:38","65","50","33","12:50","12","1","0","0","0","17"
"WN","12/04/2023","0969","N7825A","DEN","12:35","12:26","65","59","-9","12:42","16","0","0","0","0","0"
"WN","12/05/2021","0345","N7735A","DAL","12:15","12:13","130","110","-2","12:22","9","0","0","0","0","0"
"WN","12/05/2021","0875","N953WN","DEN","14:20","14:17","70","52","-3","14:26","9","0","0","0","0","0"
"WN","12/05/2022","3674","N465WN","DEN","13:25","13:40","70","49","15","13:49","9","0","0","0","0","0"
"WN","12/05/2023","0969","N265WN","DEN","12:35","12:27","65","54","-8","12:38","11","0","0","0","0","0"
"WN","12/06/2021","0875","N466WN","DEN","14:20","14:29","70","45","9","14:36","7","0","0","0","0","0"
"WN","12/06/2022","3674","N7886A","DEN","13:25","13:29","70","87","4","14:18","49","0","0","21","0","0"
"WN","12/06/2023","0969","N7746C","DEN","12:35","12:26","65","59","-9","12:39","13","0","0","0","0","0"
"WN","12/07/2021","0875","N445WN","DEN","14:20","14:26","70","60","6","14:45","19","0","0","0","0","0"
"WN","12/07/2022","3674","N7823A","DEN","13:25","13:18","70","57","-7","13:29","11","0","0","0","0","0"
"WN","12/07/2023","0969","N438WN","DEN","12:35","12:31","65","49","-4","12:43","12","0","0","0","0","0"
"WN","12/08/2021","0875","N481WN","DEN","14:20","14:20","70","51","0","14:26","6","0","0","0","0","0"
"WN","12/08/2022","3674","N453WN","DEN","13:25","15:13","70","54","108","15:29","16","0","0","79","0","13"
"WN","12/08/2023","0969","N7838A","DEN","12:35","12:58","65","62","23","13:20","22","0","0","0","0","20"
"WN","12/09/2021","0875","N442WN","DEN","14:20","14:17","70","42","-3","14:27","10","0","0","0","0","0"
"WN","12/09/2022","3674","N961WN","DEN","13:25","13:52","70","50","27","14:04","12","0","0","0","0","0"
"WN","12/09/2023","0401","N929WN","DEN","13:40","13:31","65","55","-9","13:41","10","0","0","0","0","0"
"WN","12/10/2021","0875","N963WN","DEN","14:20","14:25","70","51","5","14:34","9","0","0","0","0","0"
"WN","12/10/2022","2811","N448WN","DEN","15:10","15:04","70","47","-6","15:12","8","0","0","0","0","0"
"WN","12/10/2023","0969","N7885A","DEN","12:35","12:33","65","65","-2","12:57","24","0","0","0","0","0"
"WN","12/11/2021","0345","N468WN","DAL","12:15","12:11","130","105","-4","12:20","9","0","0","0","0","0"
"WN","12/11/2021","1654","N712SW","DEN","14:05","14:02","70","53","-3","14:12","10","0","0","0","0","0"
"WN","12/11/2022","3674","N7874B","DEN","12:05","12:03","65","46","-2","12:11","8","0","0","0","0","0"
"WN","12/11/2023","0969","N7867A","DEN","12:35","12:33","65","53","-2","12:44","11","0","0","0","0","0"
"WN","12/12/2021","0345","N709SW","DAL","12:15","12:10","130","120","-5","12:28","18","0","0","0","0","0"
"WN","12/12/2021","0875","N225WN","DEN","14:20","14:15","70","40","-5","14:22","7","0","0","0","0","0"
"WN","12/12/2022","3674","N958WN","DEN","13:25","13:24","70","53","-1","13:35","11","0","0","0","0","0"
"WN","12/12/2023","0969","N470WN","DEN","12:35","12:48","65","47","13","12:55","7","0","0","0","0","0"
"WN","12/13/2021","0875","N7751A","DEN","14:20","14:48","70","45","28","14:55","7","0","0","0","0","0"
"WN","12/13/2022","3674","N488WN","DEN","13:25","15:56","70","62","151","16:06","10","0","0","58","0","85"
"WN","12/13/2023","0969","N405WN","DEN","12:35","12:51","65","64","16","13:14","23","2","0","0","0","13"
"WN","12/14/2021","0875","N209WN","DEN","14:20","14:15","70","78","-5","14:27","12","0","0","0","0","0"
"WN","12/14/2022","3674","N415WN","DEN","13:25","13:51","70","53","26","13:59","8","0","0","0","0","0"
"WN","12/14/2023","0381","N950WN","DEN","10:30","10:28","65","48","-2","10:35","7","0","0","0","0","0"
"WN","12/14/2023","0969","N412WN","DEN","12:35","12:38","65","53","3","12:47","9","0","0","0","0","0"
"WN","12/14/2023","1274","N7812G","DEN","17:20","17:20","60","58","0","17:34","14","0","0","0","0","0"
"WN","12/15/2021","0875","N749SW","DEN","14:20","15:34","70","66","74","15:53","19","0","0","0","0","70"
"WN","12/15/2022","1517","N754SW","DEN","10:50","10:45","65","83","-5","11:29","44","0","0","0","0","0"
"WN","12/15/2022","2811","N496WN","DEN","17:50","18:11","65","57","21","18:28","17","0","0","0","0","0"
"WN","12/15/2022","3674","N7829B","DEN","13:25","13:28","70","80","3","14:03","35","0","0","0","0","0"
"WN","12/15/2023","0381","N769SW","DEN","10:30","10:26","65","51","-4","10:34","8","0","0","0","0","0"
"WN","12/15/2023","0969","N7732A","DEN","12:35","12:33","65","54","-2","12:46","13","0","0","0","0","0"
"WN","12/15/2023","1274","N928WN","DEN","17:20","17:18","60","56","-2","17:33","15","0","0","0","0","0"
"WN","12/16/2021","0875","N947WN","DEN","14:20","14:35","70","70","15","14:48","13","5","0","0","0","10"
"WN","12/16/2022","1517","N452WN","DEN","09:50","09:45","65","52","-5","09:55","10","0","0","0","0","0"
"WN","12/16/2022","3598","N230WN","DEN","16:10","16:01","65","69","-9","16:18","17","0","0","0","0","0"
"WN","12/16/2022","3674","N231WN","DEN","12:05","11:59","65","50","-6","12:08","9","0","0","0","0","0"
"WN","12/16/2023","0381","N7865A","DEN","11:35","11:32","65","49","-3","11:43","11","0","0","0","0","0"
"WN","12/16/2023","0401","N285WN","DEN","13:40","13:35","65","54","-5","13:50","15","0","0","0","0","0"
"WN","12/16/2023","1243","N7738A","DAL","14:35","14:31","120","110","-4","14:42","11","0","0","0","0","0"
"WN","12/16/2023","1274","N489WN","DEN","16:10","16:06","60","59","-4","16:23","17","0","0","0","0","0"
"WN","12/17/2021","0875","N958WN","DEN","14:20","14:28","70","69","8","14:44","16","0","0","0","0","0"
"WN","12/17/2022","0114","N255WN","DAL","12:55","12:56","125","110","1","13:05","9","0","0","0","0","0"
"WN","12/17/2022","0977","N926WN","DEN","18:05","17:59","65","53","-6","18:07","8","0","0","0","0","0"
"WN","12/17/2022","2811","N446WN","DEN","15:10","15:09","70","64","-1","15:28","19","0","0","0","0","0"
"WN","12/17/2022","3674","N446WN","DEN","11:30","11:24","80","51","-6","11:30","6","0","0","0","0","0"
"WN","12/17/2023","0381","N400WN","DEN","10:30","10:29","65","55","-1","10:44","15","0","0","0","0","0"
"WN","12/17/2023","0969","N258WN","DEN","12:35","12:33","65","57","-2","12:50","17","0","0","0","0","0"
"WN","12/17/2023","1274","N403WN","DEN","17:20","17:18","60","62","-2","17:38","20","0","0","0","0","0"
"WN","12/18/2021","2909","N957WN","DEN","10:25","10:18","75","53","-7","10:27","9","0","0","0","0","0"
"WN","12/18/2021","2913","N297WN","DEN","13:55","14:14","70","64","19","14:23","9","0","0","0","0","0"
"WN","12/18/2021","2914","N297WN","DEN","17:35","17:37","60","62","2","17:55","18","0","0","0","0","0"
"WN","12/18/2021","3019","N7858A","DAL","12:10","12:40","130","119","30","12:56","16","2","0","0","0","17"
"WN","12/18/2021","3354","N411WN","HOU","15:35","17:20","155","133","105","17:28","8","0","0","0","0","83"
"WN","12/18/2022","1517","N923WN","DEN","09:50","10:10","65","73","20","10:42","32","0","0","8","0","20"
"WN","12/18/2022","3598","N485WN","DEN","16:10","16:55","65","70","45","17:23","28","9","0","5","0","36"
"WN","12/18/2022","3674","N476WN","DEN","12:05","12:09","65","51","4","12:20","11","0","0","0","0","0"
"WN","12/18/2023","0381","N467WN","DEN","10:30","10:25","65","53","-5","10:37","12","0","0","0","0","0"
"WN","12/18/2023","0969","N915WN","DEN","12:35","12:34","65","50","-1","12:42","8","0","0","0","0","0"
"WN","12/18/2023","1274","N273WN","DEN","17:20","17:47","60","50","27","17:56","9","0","0","0","0","17"
"WN","12/19/2021","0345","N748SW","DAL","12:15","12:11","130","118","-4","12:26","15","0","0","0","0","0"
"WN","12/19/2021","0873","N7739A","DEN","10:45","10:40","75","51","-5","10:49","9","0","0","0","0","0"
"WN","12/19/2021","0875","N7739A","DEN","14:20","14:15","70","52","-5","14:22","7","0","0","0","0","0"
"WN","12/19/2021","1980","N414WN","DEN","17:55","18:24","60","56","29","18:31","7","0","0","0","0","25"
"WN","12/19/2022","1517","N7825A","DEN","09:50","09:58","65","53","8","10:12","14","0","0","0","0","0"
"WN","12/19/2022","3598","N205WN","DEN","16:10","16:14","65","44","4","16:21","7","0","0","0","0","0"
"WN","12/19/2022","3674","N210WN","DEN","12:05","12:18","65","47","13","12:26","8","0","0","0","0","0"
"WN","12/19/2023","0381","N282WN","DEN","10:30","10:22","65","58","-8","10:31","9","0","0","0","0","0"
"WN","12/19/2023","0969","N206WN","DEN","12:35","12:30","65","46","-5","12:38","8","0","0","0","0","0"
"WN","12/19/2023","1274","N458WN","DEN","17:20","17:26","60","48","6","17:35","9","0","0","0","0","0"
"WN","12/20/2021","0873","N564WN","DEN","10:45","10:43","75","50","-2","10:51","8","0","0","0","0","0"
"WN","12/20/2021","0875","N564WN","DEN","14:20","14:13","70","50","-7","14:20","7","0","0","0","0","0"
"WN","12/20/2021","1980","N564WN","DEN","17:55","17:50","60","62","-5","18:01","11","0","0","0","0","0"
"WN","12/20/2022","1517","N492WN","DEN","09:50","09:47","65","56","-3","10:01","14","0","0","0","0","0"
"WN","12/20/2022","3598","N7747C","DEN","16:10","17:27","65","49","77","17:34","7","2","0","0","0","59"
"WN","12/20/2022","3674","N249WN","DEN","12:05","12:07","65","49","2","12:15","8","0","0","0","0","0"
"WN","12/20/2023","0381","N7739A","DEN","10:30","10:21","65","63","-9","10:38","17","0","0","0","0","0"
"WN","12/20/2023","0969","N451WN","DEN","12:35","12:57","65","57","22","13:16","19","0","0","0","0","0"
"WN","12/20/2023","1274","N954WN","DEN","17:20","17:27","60","54","7","17:42","15","0","0","0","0","0"
"WN","12/21/2021","0873","N7833A","DEN","10:45","10:42","75","50","-3","10:48","6","0","0","0","0","0"
"WN","12/21/2021","0875","N7833A","DEN","14:20","14:31","70","59","11","14:43","12","0","0","0","0","0"
"WN","12/21/2021","1980","N7833A","DEN","17:55","17:49","60","54","-6","18:01","12","0","0","0","0","0"
"WN","12/21/2022","0533","N7815L","DAL","12:50","12:50","125","112","0","13:08","18","0","0","0","0","0"
"WN","12/21/2022","1517","N261WN","DEN","11:15","11:39","75","55","24","11:57","18","0","0","0","0","0"
"WN","12/21/2022","1862","N737JW","DEN","17:50","18:04","65","82","14","18:11","7","0","0","17","0","14"
"WN","12/21/2022","3674","N252WN","DEN","14:05","14:01","65","53","-4","14:17","16","0","0","0","0","0"
"WN","12/21/2023","0401","N467WN","DEN","14:00","14:38","65","53","38","14:50","12","0","0","0","0","26"
"WN","12/21/2023","0522","N265WN","DEN","17:05","17:12","60","54","7","17:22","10","0","0","0","0","0"
"WN","12/21/2023","1460","N7744A","DEN","10:50","11:20","60","52","30","11:29","9","0","0","0","0","22"
"WN","12/22/2021","0873","N425LV","DEN","10:45","10:41","75","49","-4","10:48","7","0","0","0","0","0"
"WN","12/22/2021","0875","N425LV","DEN","14:20","14:12","70","69","-8","14:25","13","0","0","0","0","0"
"WN","12/22/2021","1980","N425LV","DEN","17:55","17:49","60","61","-6","17:57","8","0","0","0","0","0"
"WN","12/22/2022","0533","N426WN","DAL","12:50","13:57","125","105","67","14:12","15","0","0","0","0","47"
"WN","12/22/2022","1517","N7833A","DEN","11:15","00:00","75","0","0","00:00","0","0","0","0","0","0"
"WN","12/22/2022","1862","N917WN","DEN","17:50","18:42","65","93","52","18:53","11","0","0","28","0","52"
"WN","12/22/2022","3674","N449WN","DEN","14:05","00:00","65","0","0","00:00","0","0","0","0","0","0"
"WN","12/22/2023","0401","N287WN","DEN","14:00","14:47","65","49","47","14:55","8","9","0","0","0","22"
