Detailed Statistics Departures  
Origin Airport: Myrtle Beach, SC: Myrtle Beach International (MYR)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2022","4816","N300PQ","LGA","12:42","12:43","107","114","1","13:02","19","0","0","0","0","0"
"9E","12/01/2022","5056","N147PQ","LGA","07:00","06:49","109","108","-11","07:06","17","0","0","0","0","0"
"9E","12/01/2022","5181","N296PQ","LGA","16:10","16:00","108","106","-10","16:17","17","0","0","0","0","0"
"9E","12/01/2023","4994","N915XJ","LGA","13:52","13:47","115","115","-5","14:06","19","0","0","0","0","0"
"9E","12/01/2023","5143","N299PQ","LGA","07:00","06:55","115","121","-5","07:05","10","0","0","0","0","0"
"9E","12/02/2022","4816","N307PQ","LGA","12:42","12:35","107","111","-7","12:58","23","0","0","0","0","0"
"9E","12/02/2022","5056","N307PQ","LGA","07:00","06:54","109","106","-6","07:03","9","0","0","0","0","0"
"9E","12/02/2022","5181","N181PQ","LGA","16:10","16:02","108","114","-8","16:21","19","0","0","0","0","0"
"9E","12/02/2023","4994","N906XJ","LGA","14:01","13:58","115","106","-3","14:21","23","0","0","0","0","0"
"9E","12/02/2023","5038","N181GJ","ATL","07:39","07:34","86","84","-5","07:47","13","0","0","0","0","0"
"9E","12/03/2022","5056","N301PQ","LGA","10:00","09:55","108","116","-5","10:21","26","0","0","0","0","0"
"9E","12/03/2023","4994","N491PX","LGA","13:52","13:50","115","95","-2","14:05","15","0","0","0","0","0"
"9E","12/03/2023","5147","N292PQ","LGA","08:05","08:00","115","98","-5","08:12","12","0","0","0","0","0"
"9E","12/04/2022","4816","N480PX","LGA","12:42","12:37","107","107","-5","12:48","11","0","0","0","0","0"
"9E","12/04/2023","4994","N904XJ","LGA","13:52","13:47","115","96","-5","13:59","12","0","0","0","0","0"
"9E","12/04/2023","5143","N906XJ","LGA","06:25","06:20","115","95","-5","06:31","11","0","0","0","0","0"
"9E","12/05/2021","5187","N331PQ","ATL","13:25","13:11","86","75","-14","13:19","8","0","0","0","0","0"
"9E","12/05/2021","5384","N200PQ","ATL","10:15","10:09","86","79","-6","10:21","12","0","0","0","0","0"
"9E","12/05/2022","4816","N147PQ","LGA","12:42","12:42","107","116","0","12:57","15","0","0","0","0","0"
"9E","12/05/2022","5056","N147PQ","LGA","07:00","06:54","109","113","-6","07:09","15","0","0","0","0","0"
"9E","12/05/2022","5181","N924XJ","LGA","16:10","16:05","108","102","-5","16:18","13","0","0","0","0","0"
"9E","12/05/2023","4994","N479PX","LGA","13:52","13:47","115","94","-5","13:58","11","0","0","0","0","0"
"9E","12/05/2023","5143","N134EV","LGA","06:25","06:17","112","96","-8","06:27","10","0","0","0","0","0"
"9E","12/06/2021","5187","N300PQ","ATL","13:25","13:20","86","82","-5","13:35","15","0","0","0","0","0"
"9E","12/06/2021","5384","N336PQ","ATL","10:15","10:34","86","73","19","10:44","10","0","0","0","0","0"
"9E","12/06/2022","4816","N335PQ","LGA","12:42","12:36","107","112","-6","12:44","8","0","0","0","0","0"
"9E","12/06/2022","5056","N335PQ","LGA","07:00","06:46","109","108","-14","07:03","17","0","0","0","0","0"
"9E","12/06/2022","5181","N138EV","LGA","16:10","16:05","108","117","-5","16:14","9","0","0","0","0","0"
"9E","12/06/2023","4994","N490PX","LGA","13:52","13:47","115","103","-5","13:56","9","0","0","0","0","0"
"9E","12/06/2023","5143","N924XJ","LGA","06:25","06:20","112","100","-5","06:35","15","0","0","0","0","0"
"9E","12/07/2021","5384","N337PQ","ATL","12:15","12:15","86","75","0","12:28","13","0","0","0","0","0"
"9E","12/07/2022","4816","N607LR","LGA","12:42","12:35","107","112","-7","12:48","13","0","0","0","0","0"
"9E","12/07/2022","5056","N607LR","LGA","07:00","06:56","109","118","-4","07:18","22","0","0","0","0","0"
"9E","12/07/2022","5181","N604LR","LGA","16:10","16:06","108","132","-4","16:21","15","0","0","20","0","0"
"9E","12/07/2023","4994","N919XJ","LGA","13:50","13:45","109","119","-5","14:00","15","0","0","0","0","0"
"9E","12/07/2023","5143","N538CA","LGA","07:08","07:03","111","116","-5","07:24","21","0","0","0","0","0"
"9E","12/08/2021","5384","N294PQ","ATL","12:15","12:10","86","78","-5","12:20","10","0","0","0","0","0"
"9E","12/08/2022","4816","N602LR","LGA","12:42","17:04","107","159","262","17:40","36","0","0","52","0","262"
"9E","12/08/2022","5056","N921XJ","LGA","07:00","06:53","109","102","-7","07:04","11","0","0","0","0","0"
"9E","12/08/2022","5181","N325PQ","LGA","16:10","16:05","108","121","-5","16:20","15","0","0","0","0","0"
"9E","12/08/2023","4994","N915XJ","LGA","13:50","13:40","109","105","-10","13:56","16","0","0","0","0","0"
"9E","12/08/2023","5143","N329PQ","LGA","07:08","07:03","111","96","-5","07:12","9","0","0","0","0","0"
"9E","12/09/2021","5187","N316PQ","ATL","13:25","13:21","86","74","-4","13:33","12","0","0","0","0","0"
"9E","12/09/2021","5384","N310PQ","ATL","10:15","10:12","86","79","-3","10:24","12","0","0","0","0","0"
"9E","12/09/2022","4816","N132EV","LGA","12:42","12:37","107","107","-5","12:54","17","0","0","0","0","0"
"9E","12/09/2022","5056","N132EV","LGA","07:00","06:55","109","109","-5","07:11","16","0","0","0","0","0"
"9E","12/09/2022","5181","N921XJ","LGA","16:10","16:06","108","101","-4","16:16","10","0","0","0","0","0"
"9E","12/09/2023","4994","N137EV","LGA","13:50","13:40","109","105","-10","13:49","9","0","0","0","0","0"
"9E","12/09/2023","5038","N602LR","ATL","07:39","07:34","86","85","-5","07:48","14","0","0","0","0","0"
"9E","12/10/2021","5187","N935XJ","ATL","13:25","13:21","86","82","-4","13:33","12","0","0","0","0","0"
"9E","12/10/2021","5384","N176PQ","ATL","10:15","10:10","86","84","-5","10:23","13","0","0","0","0","0"
"9E","12/10/2022","5056","N928XJ","LGA","10:00","09:55","108","102","-5","10:10","15","0","0","0","0","0"
"9E","12/10/2023","4994","N904XJ","LGA","13:50","13:45","109","109","-5","14:02","17","0","0","0","0","0"
"9E","12/10/2023","5143","N928XJ","LGA","07:08","07:03","111","93","-5","07:13","10","0","0","0","0","0"
"9E","12/11/2021","5384","N910XJ","ATL","10:15","10:10","85","72","-5","10:18","8","0","0","0","0","0"
"9E","12/11/2021","5432","N184GJ","ATL","16:00","16:23","85","79","23","16:33","10","0","0","0","0","17"
"9E","12/11/2022","4816","N349PQ","LGA","12:42","12:39","107","100","-3","12:52","13","0","0","0","0","0"
"9E","12/11/2023","4994","N917XJ","LGA","13:50","14:24","109","138","34","15:03","39","0","0","55","0","8"
"9E","12/11/2023","5143","N337PQ","LGA","07:08","06:56","111","101","-12","07:11","15","0","0","0","0","0"
"9E","12/12/2021","5187","N297PQ","ATL","13:25","13:20","86","84","-5","13:41","21","0","0","0","0","0"
"9E","12/12/2021","5384","N932XJ","ATL","10:15","10:10","86","68","-5","10:18","8","0","0","0","0","0"
"9E","12/12/2022","4816","N901XJ","LGA","12:42","12:37","107","133","-5","13:04","27","0","0","21","0","0"
"9E","12/12/2022","5056","N901XJ","LGA","07:00","06:55","109","103","-5","07:06","11","0","0","0","0","0"
"9E","12/12/2022","5181","N927XJ","LGA","16:10","16:23","108","129","13","16:53","30","0","0","32","0","2"
"9E","12/12/2023","4994","N478PX","LGA","13:50","13:44","109","100","-6","13:58","14","0","0","0","0","0"
"9E","12/12/2023","5143","N330PQ","LGA","07:08","07:16","111","152","8","08:17","61","8","0","41","0","0"
"9E","12/13/2021","5187","N538CA","ATL","13:25","13:20","86","69","-5","13:30","10","0","0","0","0","0"
"9E","12/13/2021","5384","N924XJ","ATL","10:15","10:10","86","75","-5","10:23","13","0","0","0","0","0"
"9E","12/13/2022","4816","N306PQ","LGA","12:42","13:12","107","121","30","13:42","30","0","0","44","0","0"
"9E","12/13/2022","5056","N306PQ","LGA","07:00","06:58","109","103","-2","07:08","10","0","0","0","0","0"
"9E","12/13/2022","5181","N907XJ","LGA","16:10","16:46","108","126","36","17:15","29","0","0","54","0","0"
"9E","12/13/2023","4994","N320PQ","LGA","13:50","13:43","109","124","-7","14:05","22","0","0","0","0","0"
"9E","12/13/2023","5143","N331PQ","LGA","07:08","06:57","111","99","-11","07:09","12","0","0","0","0","0"
"9E","12/14/2021","5384","N232PQ","ATL","12:15","12:10","86","70","-5","12:24","14","0","0","0","0","0"
"9E","12/14/2022","4816","N691CA","LGA","12:42","12:37","107","104","-5","12:57","20","0","0","0","0","0"
"9E","12/14/2022","5056","N691CA","LGA","07:00","06:55","109","104","-5","07:08","13","0","0","0","0","0"
"9E","12/14/2022","5181","N903XJ","LGA","16:10","16:05","108","108","-5","16:25","20","0","0","0","0","0"
"9E","12/14/2023","4994","N914XJ","LGA","13:50","13:46","109","111","-4","14:01","15","0","0","0","0","0"
"9E","12/14/2023","5143","N307PQ","LGA","07:08","06:59","111","101","-9","07:15","16","0","0","0","0","0"
"9E","12/15/2021","5384","N901XJ","ATL","12:15","12:10","86","75","-5","12:21","11","0","0","0","0","0"
"9E","12/15/2022","4816","N676CA","LGA","12:42","12:37","107","92","-5","12:46","9","0","0","0","0","0"
"9E","12/15/2022","5056","N676CA","LGA","07:00","06:50","109","98","-10","07:04","14","0","0","0","0","0"
"9E","12/15/2022","5181","N928XJ","LGA","16:10","16:06","108","120","-4","16:41","35","0","0","0","0","0"
"9E","12/15/2023","4994","N478PX","LGA","13:50","13:45","109","98","-5","13:57","12","0","0","0","0","0"
"9E","12/15/2023","5143","N337PQ","LGA","07:08","06:58","111","103","-10","07:09","11","0","0","0","0","0"
"9E","12/16/2021","5187","N924XJ","ATL","13:25","13:20","86","81","-5","13:31","11","0","0","0","0","0"
"9E","12/16/2021","5384","N326PQ","ATL","10:15","10:11","86","73","-4","10:20","9","0","0","0","0","0"
"9E","12/16/2022","4816","N310PQ","LGA","12:42","14:10","107","114","88","14:38","28","0","0","94","0","1"
"9E","12/16/2022","5056","N310PQ","LGA","07:00","06:50","109","134","-10","07:24","34","0","0","15","0","0"
"9E","12/16/2022","5181","N921XJ","LGA","16:10","18:24","108","126","134","18:57","33","0","0","152","0","0"
"9E","12/16/2023","4840","N907XJ","ATL","09:55","09:49","91","88","-6","10:10","21","0","0","0","0","0"
"9E","12/16/2023","4994","N306PQ","LGA","12:29","12:23","111","101","-6","12:41","18","0","0","0","0","0"
"9E","12/17/2021","5187","N306PQ","ATL","13:25","13:20","86","77","-5","13:32","12","0","0","0","0","0"
"9E","12/17/2021","5384","N296PQ","ATL","10:15","10:11","86","82","-4","10:21","10","0","0","0","0","0"
"9E","12/17/2022","4816","N917XJ","LGA","12:15","12:05","107","108","-10","12:28","23","0","0","0","0","0"
"9E","12/17/2023","4994","N306PQ","LGA","12:29","12:25","111","92","-4","12:39","14","0","0","0","0","0"
"9E","12/17/2023","5151","N315PQ","LGA","08:05","07:59","111","109","-6","08:28","29","0","0","0","0","0"
"9E","12/18/2021","4649","N349PQ","ATL","10:11","10:06","86","86","-5","10:26","20","0","0","0","0","0"
"9E","12/18/2021","5228","N326PQ","ATL","13:06","13:55","86","80","49","14:09","14","0","0","0","0","43"
"9E","12/18/2022","4816","N905XJ","LGA","11:56","11:51","103","98","-5","12:00","9","0","0","0","0","0"
"9E","12/18/2022","5181","N927XJ","LGA","16:30","16:25","109","100","-5","16:37","12","0","0","0","0","0"
"9E","12/18/2023","4994","N133EV","LGA","12:29","12:25","111","96","-4","12:39","14","0","0","0","0","0"
"9E","12/18/2023","5151","N133EV","LGA","07:05","00:00","111","0","0","00:00","0","0","0","0","0","0"
"9E","12/19/2021","4649","N326PQ","ATL","10:11","10:11","86","81","0","10:24","13","0","0","0","0","0"
"9E","12/19/2021","5228","N153PQ","ATL","13:06","13:01","86","76","-5","13:13","12","0","0","0","0","0"
"9E","12/19/2022","4816","N913XJ","LGA","11:56","11:51","103","104","-5","12:03","12","0","0","0","0","0"
"9E","12/19/2022","5181","N197PQ","LGA","16:30","16:25","109","102","-5","16:35","10","0","0","0","0","0"
"9E","12/19/2023","4994","N907XJ","LGA","12:29","12:20","111","107","-9","12:31","11","0","0","0","0","0"
"9E","12/19/2023","5151","N136EV","LGA","07:05","07:09","111","106","4","07:23","14","0","0","0","0","0"
"9E","12/20/2021","4649","N313PQ","ATL","10:11","10:08","86","86","-3","10:26","18","0","0","0","0","0"
"9E","12/20/2021","5228","N324PQ","ATL","13:06","12:59","86","67","-7","13:08","9","0","0","0","0","0"
"9E","12/20/2022","4816","N604LR","LGA","11:56","11:47","103","92","-9","11:58","11","0","0","0","0","0"
"9E","12/20/2022","5181","N921XJ","LGA","16:30","16:26","109","102","-4","16:42","16","0","0","0","0","0"
"9E","12/20/2023","4994","N279PQ","LGA","12:29","12:26","111","97","-3","12:35","9","0","0","0","0","0"
"9E","12/20/2023","5151","N925XJ","LGA","07:05","07:14","111","117","9","07:39","25","9","0","6","0","0"
"9E","12/21/2021","4649","N691CA","ATL","10:11","10:18","86","87","7","10:37","19","0","0","0","0","0"
"9E","12/21/2021","5228","N910XJ","ATL","13:06","13:01","86","85","-5","13:12","11","0","0","0","0","0"
"9E","12/21/2022","4816","N937XJ","LGA","11:56","11:53","103","104","-3","12:09","16","0","0","0","0","0"
"9E","12/21/2022","5181","N181PQ","LGA","16:30","16:25","109","104","-5","16:34","9","0","0","0","0","0"
"9E","12/21/2023","4994","N272PQ","LGA","12:29","12:20","111","97","-9","12:31","11","0","0","0","0","0"
"9E","12/21/2023","5151","N604LR","LGA","07:05","06:55","111","117","-10","07:24","29","0","0","0","0","0"
"9E","12/22/2021","4649","N302PQ","ATL","10:11","10:06","86","82","-5","10:22","16","0","0","0","0","0"
"9E","12/22/2021","5228","N319PQ","ATL","13:06","13:02","86","77","-4","13:17","15","0","0","0","0","0"
"9E","12/22/2022","4816","N134EV","LGA","11:56","12:02","103","97","6","12:16","14","0","0","0","0","0"
"9E","12/22/2022","5181","N197PQ","LGA","16:30","16:29","109","103","-1","16:42","13","0","0","0","0","0"
"9E","12/22/2023","4994","N600LR","LGA","12:29","12:29","111","107","0","12:43","14","0","0","0","0","0"
"9E","12/22/2023","5151","N932XJ","LGA","07:05","07:00","111","103","-5","07:13","13","0","0","0","0","0"
"9E","12/23/2021","4649","N349PQ","ATL","10:11","10:06","86","83","-5","10:21","15","0","0","0","0","0"
"9E","12/23/2021","5228","N310PQ","ATL","13:06","13:00","86","75","-6","13:12","12","0","0","0","0","0"
"9E","12/23/2022","4816","N228PQ","LGA","11:56","15:55","103","101","239","16:08","13","0","0","0","0","237"
"9E","12/23/2022","5181","N324PQ","LGA","16:30","16:25","109","91","-5","16:37","12","0","0","0","0","0"
"9E","12/23/2023","4994","N921XJ","LGA","14:35","15:39","110","92","64","15:50","11","1","0","0","0","45"
"9E","12/23/2023","5151","N153PQ","LGA","07:05","07:00","111","106","-5","07:13","13","0","0","0","0","0"
"9E","12/24/2023","5491","N325PQ","LGA","14:35","14:22","110","93","-13","14:32","10","0","0","0","0","0"
"9E","12/26/2021","4649","N166PQ","ATL","10:11","10:09","86","73","-2","10:17","8","0","0","0","0","0"
"9E","12/26/2021","5228","N324PQ","ATL","13:06","12:57","86","75","-9","13:13","16","0","0","0","0","0"
"9E","12/26/2022","4816","N309PQ","LGA","13:10","13:00","107","99","-10","13:12","12","0","0","0","0","0"
"9E","12/26/2023","5151","N308PQ","LGA","08:00","09:04","111","101","64","09:19","15","54","0","0","0","0"
"9E","12/26/2023","5491","N308PQ","LGA","14:35","14:30","110","98","-5","14:39","9","0","0","0","0","0"
"9E","12/27/2021","4649","N308PQ","ATL","10:11","10:20","86","78","9","10:30","10","0","0","0","0","0"
"9E","12/27/2021","5228","N691CA","ATL","13:06","13:01","86","78","-5","13:13","12","0","0","0","0","0"
"9E","12/27/2022","4816","N925XJ","LGA","13:10","13:00","107","95","-10","13:12","12","0","0","0","0","0"
"9E","12/27/2023","5151","N296PQ","LGA","08:00","07:55","111","95","-5","08:05","10","0","0","0","0","0"
"9E","12/27/2023","5491","N296PQ","LGA","14:35","14:28","110","95","-7","14:44","16","0","0","0","0","0"
"9E","12/28/2021","4649","N341PQ","ATL","10:11","10:10","86","87","-1","10:35","25","0","0","0","0","0"
"9E","12/28/2021","5228","N294PQ","ATL","13:06","14:26","86","82","80","14:39","13","76","0","0","0","0"
"9E","12/28/2022","4816","N917XJ","LGA","13:10","13:05","107","97","-5","13:13","8","0","0","0","0","0"
"9E","12/28/2023","5151","N296PQ","LGA","08:00","07:55","111","93","-5","08:10","15","0","0","0","0","0"
"9E","12/28/2023","5491","N279PQ","LGA","14:35","15:55","110","104","80","16:07","12","0","0","0","0","74"
"9E","12/29/2021","4649","N296PQ","ATL","10:11","10:05","86","72","-6","10:14","9","0","0","0","0","0"
"9E","12/29/2021","5228","N304PQ","ATL","13:06","13:01","86","72","-5","13:12","11","0","0","0","0","0"
"9E","12/29/2022","4816","N480PX","LGA","13:10","13:03","107","98","-7","13:16","13","0","0","0","0","0"
"9E","12/29/2023","5151","N279PQ","LGA","08:00","07:49","111","91","-11","08:04","15","0","0","0","0","0"
"9E","12/29/2023","5491","N905XJ","LGA","14:35","14:30","110","91","-5","14:39","9","0","0","0","0","0"
"9E","12/30/2021","4649","N935XJ","ATL","10:11","10:06","86","86","-5","10:20","14","0","0","0","0","0"
"9E","12/30/2021","5228","N315PQ","ATL","13:06","13:27","86","81","21","13:38","11","0","0","0","0","16"
"9E","12/30/2022","4816","N904XJ","LGA","13:10","12:59","107","99","-11","13:11","12","0","0","0","0","0"
"9E","12/30/2023","4994","N478PX","LGA","14:35","14:28","110","101","-7","14:38","10","0","0","0","0","0"
"9E","12/30/2023","5151","N905XJ","LGA","08:00","07:55","111","94","-5","08:05","10","0","0","0","0","0"
"9E","12/31/2023","4888","N136EV","ATL","08:00","07:55","89","81","-5","08:07","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
