Detailed Statistics Departures  
Origin Airport: Myrtle Beach, SC: Myrtle Beach International (MYR)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0055","N622NK","EWR","09:30","09:26","115","104","-4","09:41","15","0","0","0","0","0"
"NK","12/01/2021","0103","N650NK","FLL","18:29","18:26","111","104","-3","18:34","8","0","0","0","0","0"
"NK","12/01/2021","0922","N650NK","LGA","12:51","12:45","108","96","-6","12:54","9","0","0","0","0","0"
"NK","12/01/2021","2833","N650NK","BWI","08:10","08:03","78","72","-7","08:12","9","0","0","0","0","0"
"NK","12/01/2021","3133","N656NK","MIA","10:13","10:03","115","107","-10","10:12","9","0","0","0","0","0"
"NK","12/01/2022","0055","N690NK","EWR","09:13","09:03","112","107","-10","09:13","10","0","0","0","0","0"
"NK","12/01/2022","0103","N503NK","BOS","14:23","14:21","122","120","-2","14:30","9","0","0","0","0","0"
"NK","12/01/2022","0221","N677NK","MCO","12:48","12:47","92","94","-1","12:57","10","0","0","0","0","0"
"NK","12/01/2022","0355","N510NK","ACY","08:30","08:24","80","83","-6","08:34","10","0","0","0","0","0"
"NK","12/01/2022","0922","N521NK","LGA","08:17","13:29","105","100","312","13:42","13","307","0","0","0","0"
"NK","12/01/2022","2352","N680NK","FLL","11:20","11:18","106","110","-2","11:27","9","0","0","0","0","0"
"NK","12/01/2022","3805","N531NK","DTW","14:14","18:27","121","111","253","18:34","7","0","0","49","0","194"
"NK","12/01/2023","0055","N669NK","EWR","14:16","14:07","109","103","-9","14:19","12","0","0","0","0","0"
"NK","12/01/2023","0102","N919NK","BOS","08:52","08:48","120","120","-4","08:59","11","0","0","0","0","0"
"NK","12/01/2023","0137","N514NK","MCO","12:48","12:44","97","82","-4","12:52","8","0","0","0","0","0"
"NK","12/01/2023","0891","N629NK","LGA","20:43","20:43","111","94","0","20:53","10","0","0","0","0","0"
"NK","12/01/2023","1160","N919NK","BOS","14:54","14:46","120","136","-8","14:59","13","0","0","0","0","0"
"NK","12/01/2023","1672","N619NK","ACY","21:50","21:42","78","75","-8","21:50","8","0","0","0","0","0"
"NK","12/01/2023","2001","N620NK","FLL","08:11","08:09","104","103","-2","08:19","10","0","0","0","0","0"
"NK","12/02/2021","0055","N650NK","EWR","09:30","09:23","115","110","-7","09:39","16","0","0","0","0","0"
"NK","12/02/2021","0103","N636NK","FLL","18:29","18:29","111","106","0","18:39","10","0","0","0","0","0"
"NK","12/02/2021","0229","N622NK","MCO","08:48","08:40","95","79","-8","08:49","9","0","0","0","0","0"
"NK","12/02/2021","0350","N626NK","ACY","10:23","10:18","85","76","-5","10:26","8","0","0","0","0","0"
"NK","12/02/2021","0922","N636NK","LGA","12:51","12:50","108","109","-1","13:02","12","0","0","0","0","0"
"NK","12/02/2021","1225","N650NK","BOS","21:18","21:12","120","118","-6","21:21","9","0","0","0","0","0"
"NK","12/02/2021","3133","N943NK","MIA","10:05","10:00","115","129","-5","10:09","9","0","0","0","0","0"
"NK","12/02/2021","3805","N650NK","DTW","15:23","15:18","115","126","-5","15:31","13","0","0","0","0","0"
"NK","12/02/2022","0055","N962NK","EWR","09:13","10:41","112","101","88","10:53","12","77","0","0","0","0"
"NK","12/02/2022","0103","N503NK","BOS","14:23","14:07","122","122","-16","14:16","9","0","0","0","0","0"
"NK","12/02/2022","0221","N530NK","MCO","21:00","21:27","90","87","27","21:35","8","1","0","23","0","0"
"NK","12/02/2022","0355","N528NK","ACY","08:30","11:50","80","81","200","12:01","11","0","0","1","0","200"
"NK","12/02/2022","0922","N651NK","LGA","08:17","10:41","105","100","144","10:51","10","103","0","36","0","0"
