Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6014","N86316","IAD","13:00","12:59","106","92","-1","13:13","14","0","0","0","0","0"
"YV","12/01/2021","6051","N88328","IAH","11:00","10:58","145","121","-2","11:12","14","0","0","0","0","0"
"YV","12/01/2021","6072","N88301","ORD","10:06","09:53","111","100","-13","10:12","19","0","0","0","0","0"
"YV","12/01/2021","6213","N85377","IAD","09:00","08:58","104","97","-2","09:14","16","0","0","0","0","0"
"YV","12/01/2022","6015","N88332","IAH","14:56","14:50","144","153","-6","15:12","22","0","0","0","0","0"
"YV","12/01/2022","6027","N87306","IAH","13:00","12:55","149","139","-5","13:13","18","0","0","0","0","0"
"YV","12/01/2023","6068","N86322","IAH","06:19","06:50","151","131","31","07:07","17","0","0","0","0","0"
"YV","12/01/2023","6101","N86347","IAH","14:30","14:24","150","168","-6","14:40","16","0","0","0","0","0"
"YV","12/01/2023","6128","N86309","IAH","13:00","12:57","150","146","-3","13:15","18","0","0","0","0","0"
"YV","12/01/2023","6359","N88332","IAD","08:20","08:13","108","87","-7","08:25","12","0","0","0","0","0"
"YV","12/02/2021","6014","N88335","IAD","13:00","13:05","106","99","5","13:17","12","0","0","0","0","0"
"YV","12/02/2021","6051","N85351","IAH","11:00","10:58","145","128","-2","11:19","21","0","0","0","0","0"
"YV","12/02/2021","6072","N88310","ORD","10:06","10:03","111","109","-3","10:24","21","0","0","0","0","0"
"YV","12/02/2021","6213","N87367","IAD","09:00","08:50","104","101","-10","09:02","12","0","0","0","0","0"
"YV","12/02/2022","6015","N87306","IAH","14:56","14:51","144","142","-5","14:59","8","0","0","0","0","0"
"YV","12/02/2022","6027","N88331","IAH","13:00","12:56","149","124","-4","13:06","10","0","0","0","0","0"
"YV","12/02/2023","6068","N85320","IAH","06:19","06:14","151","154","-5","06:37","23","0","0","0","0","0"
"YV","12/02/2023","6101","N88326","IAH","14:30","14:49","150","143","19","15:05","16","0","0","0","0","0"
"YV","12/02/2023","6128","N86347","IAH","13:14","13:44","146","144","30","14:01","17","6","0","0","0","22"
"YV","12/02/2023","6359","N87318","IAD","08:20","08:19","108","99","-1","08:41","22","0","0","0","0","0"
"YV","12/03/2021","6014","N85358","IAD","13:00","00:00","106","0","0","00:00","0","0","0","0","0","0"
"YV","12/03/2021","6051","N89321","IAH","11:00","11:02","145","129","2","11:19","17","0","0","0","0","0"
"YV","12/03/2021","6072","N85323","ORD","10:06","10:04","111","111","-2","10:25","21","0","0","0","0","0"
"YV","12/03/2021","6213","N85377","IAD","09:00","08:56","104","107","-4","09:18","22","0","0","0","0","0"
"YV","12/03/2022","6027","N88335","IAH","13:00","13:05","149","130","5","13:24","19","0","0","0","0","0"
"YV","12/03/2023","6068","N86350","IAH","06:19","06:17","151","159","-2","06:44","27","0","0","0","0","0"
"YV","12/03/2023","6101","N87337","IAH","14:30","14:29","150","137","-1","14:42","13","0","0","0","0","0"
"YV","12/03/2023","6128","N87303","IAH","13:00","12:53","150","145","-7","13:11","18","0","0","0","0","0"
"YV","12/03/2023","6359","N85320","IAD","08:20","08:19","108","85","-1","08:32","13","0","0","0","0","0"
"YV","12/04/2021","6019","N85351","ORD","10:15","10:09","110","96","-6","10:25","16","0","0","0","0","0"
"YV","12/04/2021","6213","N85370","IAD","09:00","08:57","104","94","-3","09:10","13","0","0","0","0","0"
"YV","12/04/2022","6027","N88341","IAH","13:00","13:00","149","137","0","13:18","18","0","0","0","0","0"
"YV","12/04/2023","6068","N85351","IAH","06:19","06:16","151","146","-3","06:35","19","0","0","0","0","0"
"YV","12/04/2023","6101","N82338","IAH","14:30","14:36","150","122","6","14:50","14","0","0","0","0","0"
"YV","12/04/2023","6128","N89342","IAH","13:00","12:53","150","127","-7","13:06","13","0","0","0","0","0"
"YV","12/04/2023","6359","N83329","IAD","08:20","08:14","108","86","-6","08:27","13","0","0","0","0","0"
"YV","12/05/2021","6014","N89315","IAD","13:00","12:55","106","105","-5","13:10","15","0","0","0","0","0"
"YV","12/05/2021","6213","N87380","IAD","09:00","08:51","104","104","-9","09:02","11","0","0","0","0","0"
"YV","12/05/2022","6015","N87367","IAH","14:56","14:55","144","123","-1","15:06","11","0","0","0","0","0"
"YV","12/05/2022","6027","N86336","IAH","13:00","12:56","149","142","-4","13:24","28","0","0","0","0","0"
"YV","12/05/2023","6068","N86334","IAH","06:19","06:18","151","128","-1","06:33","15","0","0","0","0","0"
"YV","12/05/2023","6101","N85354","IAH","14:30","14:28","150","127","-2","14:43","15","0","0","0","0","0"
"YV","12/05/2023","6128","N87339","IAH","13:00","13:06","150","132","6","13:19","13","0","0","0","0","0"
"YV","12/05/2023","6359","N89315","IAD","08:20","08:18","108","91","-2","08:30","12","0","0","0","0","0"
"YV","12/06/2021","6019","N89308","ORD","10:06","10:30","111","89","24","10:43","13","0","0","0","0","0"
"YV","12/06/2021","6051","N84307","IAH","11:00","11:00","145","167","0","11:16","16","0","0","22","0","0"
"YV","12/06/2021","6213","N89362","IAD","09:00","09:51","104","104","51","10:04","13","51","0","0","0","0"
"YV","12/06/2022","6015","N88332","IAH","14:56","14:50","144","124","-6","15:02","12","0","0","0","0","0"
"YV","12/06/2022","6027","N89342","IAH","13:00","12:58","149","122","-2","13:07","9","0","0","0","0","0"
"YV","12/06/2023","6068","N88326","IAH","06:19","06:16","151","137","-3","06:32","16","0","0","0","0","0"
"YV","12/06/2023","6101","N86311","IAH","14:30","15:58","150","137","88","16:20","22","2","0","0","0","73"
"YV","12/06/2023","6128","N87303","IAH","13:00","14:16","150","129","76","14:37","21","55","0","0","0","0"
"YV","12/06/2023","6359","N87337","IAD","08:20","08:46","108","123","26","09:06","20","26","0","15","0","0"
"YV","12/07/2021","6014","N89315","IAD","13:00","14:17","106","93","77","14:31","14","64","0","0","0","0"
"YV","12/07/2021","6019","N82338","ORD","10:06","10:05","111","98","-1","10:26","21","0","0","0","0","0"
"YV","12/07/2021","6213","N84378","IAD","09:00","09:19","104","110","19","09:48","29","25","0","0","0","0"
"YV","12/07/2022","6015","N82366","IAH","14:56","14:49","144","123","-7","15:02","13","0","0","0","0","0"
"YV","12/07/2022","6027","N88301","IAH","13:00","12:56","149","123","-4","13:13","17","0","0","0","0","0"
"YV","12/07/2023","6068","N88326","IAH","06:19","06:17","151","143","-2","06:56","39","0","0","0","0","0"
"YV","12/07/2023","6101","N87303","IAH","14:30","14:30","150","133","0","14:48","18","0","0","0","0","0"
"YV","12/07/2023","6128","N87345","IAH","13:00","12:58","150","130","-2","13:13","15","0","0","0","0","0"
"YV","12/07/2023","6359","N86311","IAD","08:20","08:17","108","112","-3","08:45","28","0","0","0","0","0"
"YV","12/08/2021","6019","N86344","ORD","10:06","10:06","111","106","0","10:19","13","0","0","0","0","0"
"YV","12/08/2021","6051","N89315","IAH","11:00","10:58","145","129","-2","11:10","12","0","0","0","0","0"
"YV","12/08/2021","6213","N85370","IAD","09:00","08:58","104","93","-2","09:10","12","0","0","0","0","0"
"YV","12/08/2022","6015","N84307","IAH","14:56","14:49","144","124","-7","15:03","14","0","0","0","0","0"
"YV","12/08/2022","6027","N86344","IAH","13:00","13:12","149","130","12","13:31","19","0","0","0","0","0"
"YV","12/08/2023","6068","N88326","IAH","06:19","06:19","151","130","0","06:30","11","0","0","0","0","0"
"YV","12/08/2023","6101","N87339","IAH","14:30","14:24","150","129","-6","14:40","16","0","0","0","0","0"
"YV","12/08/2023","6128","N86334","IAH","13:00","14:27","150","120","87","14:44","17","0","0","0","0","57"
"YV","12/08/2023","6359","N87360","IAD","08:20","08:14","108","100","-6","08:30","16","0","0","0","0","0"
"YV","12/09/2021","6014","N82314","IAD","13:00","12:59","106","89","-1","13:10","11","0","0","0","0","0"
"YV","12/09/2021","6019","N86311","ORD","10:06","10:05","111","102","-1","10:19","14","0","0","0","0","0"
"YV","12/09/2021","6213","N78361","IAD","09:00","09:00","104","96","0","09:14","14","0","0","0","0","0"
"YV","12/09/2022","6015","N87319","IAH","14:56","14:56","144","123","0","15:10","14","0","0","0","0","0"
"YV","12/09/2022","6027","N87302","IAH","13:00","12:56","149","127","-4","13:12","16","0","0","0","0","0"
"YV","12/09/2023","6068","N87353","IAH","06:19","06:17","151","130","-2","06:34","17","0","0","0","0","0"
"YV","12/09/2023","6101","N86311","IAH","14:30","14:24","150","124","-6","14:37","13","0","0","0","0","0"
"YV","12/09/2023","6128","N80348","IAH","13:14","13:11","146","141","-3","13:38","27","0","0","0","0","0"
"YV","12/09/2023","6359","N87345","IAD","08:20","08:23","108","90","3","08:36","13","0","0","0","0","0"
"YV","12/10/2021","6019","N88335","ORD","10:06","10:05","111","109","-1","10:23","18","0","0","0","0","0"
"YV","12/10/2021","6051","N89362","IAH","11:00","10:57","145","124","-3","11:08","11","0","0","0","0","0"
"YV","12/10/2021","6213","N85369","IAD","09:00","08:51","104","101","-9","09:13","22","0","0","0","0","0"
"YV","12/10/2022","6027","N86309","IAH","13:00","12:56","149","133","-4","13:11","15","0","0","0","0","0"
"YV","12/10/2023","6068","N88325","IAH","06:19","06:19","151","156","0","06:50","31","0","0","0","0","0"
"YV","12/10/2023","6101","N86309","IAH","14:30","14:20","150","118","-10","14:35","15","0","0","0","0","0"
"YV","12/10/2023","6128","N86344","IAH","13:00","12:59","150","139","-1","13:17","18","0","0","0","0","0"
"YV","12/10/2023","6359","N80348","IAD","08:20","08:18","108","128","-2","08:51","33","0","0","18","0","0"
"YV","12/11/2021","6014","N88310","IAD","13:00","13:15","106","98","15","13:36","21","0","0","0","0","0"
"YV","12/11/2021","6019","N82314","ORD","10:15","10:15","110","105","0","10:35","20","0","0","0","0","0"
"YV","12/11/2021","6151","N86316","IAD","18:47","19:32","106","88","45","19:48","16","27","0","0","0","0"
"YV","12/11/2021","6213","N87365","IAD","09:00","09:00","104","102","0","09:13","13","0","0","0","0","0"
"YV","12/11/2022","6027","N86322","IAH","13:00","13:00","149","121","0","13:15","15","0","0","0","0","0"
"YV","12/11/2023","6068","N89357","IAH","06:19","06:25","151","167","6","07:05","40","6","0","16","0","0"
"YV","12/11/2023","6101","N85351","IAH","14:30","14:21","150","147","-9","14:37","16","0","0","0","0","0"
"YV","12/11/2023","6128","N87303","IAH","13:00","12:51","150","134","-9","13:11","20","0","0","0","0","0"
"YV","12/11/2023","6359","N87337","IAD","08:20","08:20","108","147","0","09:23","63","0","0","39","0","0"
"YV","12/12/2021","6051","N88326","IAH","11:00","10:58","145","131","-2","11:10","12","0","0","0","0","0"
"YV","12/12/2021","6213","N87380","IAD","09:00","08:58","104","111","-2","09:27","29","0","0","0","0","0"
"YV","12/12/2022","6015","N87302","IAH","14:56","14:56","144","141","0","15:13","17","0","0","0","0","0"
"YV","12/12/2022","6027","N87303","IAH","13:00","12:52","149","138","-8","13:10","18","0","0","0","0","0"
"YV","12/12/2023","6068","N87319","IAH","06:19","06:19","151","135","0","06:41","22","0","0","0","0","0"
"YV","12/12/2023","6101","N86336","IAH","14:30","14:24","150","153","-6","14:40","16","0","0","0","0","0"
"YV","12/12/2023","6128","N87353","IAH","13:00","12:55","150","126","-5","13:07","12","0","0","0","0","0"
"YV","12/12/2023","6359","N88346","IAD","08:20","09:49","108","97","89","10:02","13","78","0","0","0","0"
"YV","12/13/2021","6014","N89315","IAD","13:00","12:55","106","90","-5","13:06","11","0","0","0","0","0"
"YV","12/13/2021","6019","N89357","ORD","10:06","10:29","111","89","23","10:40","11","0","0","0","0","0"
"YV","12/13/2021","6213","N85373","IAD","09:00","08:55","104","107","-5","09:19","24","0","0","0","0","0"
"YV","12/13/2022","6015","N93305","IAH","14:56","14:47","144","146","-9","15:12","25","0","0","0","0","0"
"YV","12/13/2022","6027","N85356","IAH","13:00","12:52","149","134","-8","13:04","12","0","0","0","0","0"
"YV","12/13/2023","6068","N88301","IAH","06:19","06:19","151","167","0","07:17","58","0","0","16","0","0"
"YV","12/13/2023","6101","N87353","IAH","14:30","14:26","150","127","-4","14:44","18","0","0","0","0","0"
"YV","12/13/2023","6128","N87303","IAH","13:00","12:56","150","133","-4","13:10","14","0","0","0","0","0"
"YV","12/13/2023","6359","N87353","IAD","08:20","08:16","108","95","-4","08:33","17","0","0","0","0","0"
"YV","12/14/2021","6019","N87318","ORD","10:06","10:06","111","121","0","10:43","37","0","0","0","0","0"
"YV","12/14/2021","6051","N85354","IAH","11:00","10:59","145","123","-1","11:10","11","0","0","0","0","0"
"YV","12/14/2021","6213","N86312","IAD","09:00","08:56","104","104","-4","09:07","11","0","0","0","0","0"
"YV","12/14/2022","6015","N89342","IAH","14:56","14:55","144","148","-1","15:11","16","0","0","0","0","0"
"YV","12/14/2022","6027","N82366","IAH","13:00","13:00","149","148","0","13:22","22","0","0","0","0","0"
"YV","12/14/2023","6068","N85352","IAH","06:19","06:19","151","144","0","06:42","23","0","0","0","0","0"
"YV","12/14/2023","6101","N85320","IAH","14:30","15:07","150","143","37","15:23","16","2","0","0","0","28"
"YV","12/14/2023","6359","N89315","IAD","08:20","08:15","108","108","-5","08:35","20","0","0","0","0","0"
"YV","12/15/2021","6014","N86350","IAD","13:00","13:03","106","108","3","13:15","12","0","0","0","0","0"
"YV","12/15/2021","6019","N86316","ORD","10:06","10:02","111","93","-4","10:15","13","0","0","0","0","0"
"YV","12/15/2021","6213","N78361","IAD","09:00","08:55","104","101","-5","09:06","11","0","0","0","0","0"
"YV","12/15/2022","6111","N85323","IAD","08:43","08:40","105","96","-3","08:56","16","0","0","0","0","0"
"YV","12/15/2023","6101","N80343","IAH","14:30","14:25","150","141","-5","14:43","18","0","0","0","0","0"
"YV","12/15/2023","6128","N86347","IAH","13:02","13:11","150","144","9","13:33","22","0","0","0","0","0"
"YV","12/15/2023","6359","N85354","IAD","08:20","08:17","108","131","-3","08:58","41","0","0","20","0","0"
"YV","12/16/2021","6014","N86336","IAD","13:12","13:08","100","99","-4","13:23","15","0","0","0","0","0"
"YV","12/16/2021","6051","N89308","IAH","10:45","10:44","149","124","-1","11:00","16","0","0","0","0","0"
"YV","12/16/2023","6101","N86309","IAH","14:30","14:23","150","121","-7","14:35","12","0","0","0","0","0"
"YV","12/16/2023","6359","N88341","IAD","08:20","08:19","108","98","-1","08:33","14","0","0","0","0","0"
"YV","12/17/2021","6014","N89308","IAD","13:12","13:17","100","111","5","13:35","18","0","0","0","0","16"
"YV","12/17/2021","6019","N86336","ORD","10:01","10:05","121","156","4","11:10","65","39","0","0","0","0"
"YV","12/17/2021","6051","N89357","IAH","10:45","10:48","149","132","3","11:05","17","0","0","0","0","0"
"YV","12/17/2021","6213","N85370","IAD","07:00","07:49","105","94","49","08:04","15","38","0","0","0","0"
"YV","12/17/2022","6124","N88301","IAH","10:54","10:48","146","135","-6","10:57","9","0","0","0","0","0"
"YV","12/17/2023","6101","N89317","IAH","14:30","14:23","150","130","-7","14:39","16","0","0","0","0","0"
"YV","12/17/2023","6359","N85354","IAD","08:20","08:16","108","110","-4","08:36","20","0","0","0","0","0"
"YV","12/18/2021","6014","N89321","IAD","13:12","15:36","100","96","144","15:49","13","0","0","0","0","140"
"YV","12/18/2021","6019","N87319","ORD","10:01","09:56","121","96","-5","10:08","12","0","0","0","0","0"
"YV","12/18/2021","6213","N86375","IAD","07:00","06:59","105","104","-1","07:17","18","0","0","0","0","0"
"YV","12/18/2023","6101","N88310","IAH","14:30","14:22","150","127","-8","14:40","18","0","0","0","0","0"
"YV","12/18/2023","6128","N86336","IAH","13:02","13:04","150","128","2","13:27","23","0","0","0","0","0"
"YV","12/18/2023","6359","N88325","IAD","08:20","08:13","108","92","-7","08:28","15","0","0","0","0","0"
"YV","12/19/2021","6014","N88346","IAD","13:12","14:30","100","94","78","14:47","17","72","0","0","0","0"
"YV","12/19/2021","6019","N85351","ORD","10:01","09:59","121","96","-2","10:15","16","0","0","0","0","0"
"YV","12/19/2021","6213","N87365","IAD","07:00","06:57","105","101","-3","07:19","22","0","0","0","0","0"
"YV","12/19/2022","6111","N88325","IAD","08:43","08:42","105","113","-1","09:12","30","0","0","0","0","0"
"YV","12/19/2023","6101","N88326","IAH","14:30","17:19","150","123","169","17:33","14","0","0","0","0","142"
"YV","12/19/2023","6128","N87345","IAH","13:02","13:01","150","132","-1","13:19","18","0","0","0","0","0"
"YV","12/19/2023","6359","N80343","IAD","08:20","08:20","108","143","0","09:10","50","0","0","35","0","0"
"YV","12/20/2021","6014","N82314","IAD","13:12","13:12","100","98","0","13:25","13","0","0","0","0","0"
"YV","12/20/2021","6019","N88310","ORD","10:01","09:59","121","100","-2","10:19","20","0","0","0","0","0"
