Detailed Statistics Departures  
Origin Airport: Nashville, TN: Nashville International (BNA)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2958","N755EV","ORD","17:26","17:34","117","135","8","18:00","26","26","0","0","0","0"
"OO","12/01/2021","3211","N763SK","ORD","07:21","07:13","119","103","-8","07:36","23","0","0","0","0","0"
"OO","12/01/2021","3275","N707SK","ORD","10:08","10:40","111","87","32","10:52","12","0","0","0","0","0"
"OO","12/01/2021","3579","N898SK","MSP","08:15","08:10","132","127","-5","08:23","13","0","0","0","0","0"
"OO","12/01/2021","3975","N821SK","MSP","15:05","15:00","131","140","-5","15:14","14","0","0","0","0","0"
"OO","12/01/2021","4662","N142SY","IAH","13:11","13:48","145","119","37","14:03","15","0","0","0","0","0"
"OO","12/01/2021","5218","N211SY","IAH","14:45","14:43","145","125","-2","14:57","14","0","0","0","0","0"
"OO","12/01/2021","5272","N118SY","DEN","10:20","10:16","193","177","-4","10:28","12","0","0","0","0","0"
"OO","12/01/2021","5275","N618UX","IAH","06:24","06:23","151","149","-1","06:51","28","0","0","0","0","0"
"OO","12/01/2021","5324","N148SY","IAH","18:15","18:13","145","120","-2","18:33","20","0","0","0","0","0"
"OO","12/01/2021","5580","N203SY","IAH","08:39","08:30","154","139","-9","08:55","25","0","0","0","0","0"
"OO","12/01/2021","5741","N160SY","ORD","06:00","05:57","114","97","-3","06:10","13","0","0","0","0","0"
"OO","12/01/2021","5816","N785SK","DEN","07:55","07:48","187","197","-7","08:22","34","0","0","0","0","0"
"OO","12/01/2021","5906","N795SK","ORD","08:00","07:54","110","106","-6","08:12","18","0","0","0","0","0"
"OO","12/01/2022","3024","N710SK","ORD","06:58","06:52","112","120","-6","07:30","38","0","0","0","0","0"
"OO","12/01/2022","4951","N658CA","ORD","16:52","16:42","111","124","-10","17:24","42","0","0","0","0","0"
"OO","12/01/2022","5002","N740SK","ORD","10:20","10:12","111","91","-8","10:26","14","0","0","0","0","0"
"OO","12/01/2022","5272","N205SY","DEN","10:33","10:33","192","207","0","10:58","25","15","0","0","0","0"
"OO","12/01/2022","5275","N611UX","IAH","06:15","06:27","153","152","12","06:58","31","0","0","0","0","0"
"OO","12/01/2022","5738","N603UX","DEN","12:34","12:29","197","179","-5","12:44","15","0","0","0","0","0"
"OO","12/01/2022","5741","N140SY","ORD","06:04","05:56","118","123","-8","06:39","43","0","0","0","0","0"
"OO","12/01/2022","5906","N200SY","ORD","07:15","07:15","118","122","0","07:54","39","0","0","0","0","0"
"OO","12/01/2023","3108","N719SK","ORD","06:22","06:19","117","112","-3","06:38","19","0","0","0","0","0"
"OO","12/01/2023","3157","N744EV","ORD","15:53","15:45","117","105","-8","15:56","11","0","0","0","0","0"
"OO","12/01/2023","3723","N296SY","BOS","06:55","06:53","156","157","-2","07:17","24","0","0","0","0","0"
"OO","12/01/2023","3775","N322SY","JFK","11:30","11:30","154","142","0","11:45","15","0","0","0","0","0"
"OO","12/01/2023","3941","N319SY","JFK","17:25","18:59","154","132","94","19:11","12","72","0","0","0","0"
"OO","12/01/2023","4100","N247SY","JFK","07:10","07:08","157","136","-2","07:23","15","0","0","0","0","0"
"OO","12/01/2023","4746","N118SY","IAH","08:20","08:12","150","140","-8","08:34","22","0","0","0","0","0"
"OO","12/01/2023","5741","N211SY","ORD","06:05","06:00","120","122","-5","06:26","26","0","0","0","0","0"
"OO","12/01/2023","5906","N122SY","ORD","08:00","08:00","112","119","0","08:36","36","0","0","0","0","0"
