Detailed Statistics Departures  
Origin Airport: New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional (EWN)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5087","N609NN","CLT","06:55","06:50","85","87","-5","07:11","21","0","0","0","0","0"
"OH","12/01/2021","5206","N723PS","CLT","10:56","10:55","89","73","-1","11:05","10","0","0","0","0","0"
"OH","12/01/2021","5257","N512AE","CLT","14:31","14:35","84","85","4","14:58","23","0","0","0","0","0"
"OH","12/01/2021","5349","N718PS","CLT","18:14","18:06","85","78","-8","18:20","14","0","0","0","0","0"
"OH","12/01/2021","5388","N718PS","CLT","05:00","04:51","80","64","-9","04:59","8","0","0","0","0","0"
"OH","12/02/2021","5087","N723PS","CLT","06:55","06:42","85","79","-13","07:00","18","0","0","0","0","0"
"OH","12/02/2021","5206","N512AE","CLT","10:56","10:48","89","80","-8","11:13","25","0","0","0","0","0"
"OH","12/02/2021","5257","N503AE","CLT","14:31","14:29","84","71","-2","14:41","12","0","0","0","0","0"
"OH","12/02/2021","5349","N519AE","CLT","18:14","18:14","85","90","0","18:35","21","0","0","0","0","0"
"OH","12/02/2021","5388","N516AE","CLT","05:00","04:50","80","72","-10","05:03","13","0","0","0","0","0"
"OH","12/03/2021","5087","N723PS","CLT","06:55","06:45","85","88","-10","07:14","29","0","0","0","0","0"
"OH","12/03/2021","5206","N706PS","CLT","10:56","11:04","89","64","8","11:14","10","0","0","0","0","0"
"OH","12/03/2021","5257","N509AE","CLT","14:31","14:22","84","75","-9","14:36","14","0","0","0","0","0"
"OH","12/03/2021","5349","N719PS","CLT","18:14","18:11","85","73","-3","18:25","14","0","0","0","0","0"
"OH","12/03/2021","5388","N544EA","CLT","05:00","04:49","80","76","-11","05:05","16","0","0","0","0","0"
"OH","12/04/2021","5087","N719PS","CLT","06:55","07:04","85","77","9","07:17","13","0","0","0","0","0"
"OH","12/04/2021","5206","N525AE","CLT","10:56","11:08","89","66","12","11:20","12","0","0","0","0","0"
"OH","12/04/2021","5257","N516AE","CLT","14:31","14:32","84","75","1","14:48","16","0","0","0","0","0"
"OH","12/04/2021","5349","N509AE","CLT","18:14","18:00","85","62","-14","18:10","10","0","0","0","0","0"
"OH","12/04/2021","5388","N573NN","CLT","05:00","09:45","80","62","285","09:56","11","5","0","0","0","262"
"OH","12/05/2021","5087","N509AE","CLT","06:55","06:45","85","78","-10","07:04","19","0","0","0","0","0"
"OH","12/05/2021","5206","N504AE","CLT","10:56","10:46","89","75","-10","11:06","20","0","0","0","0","0"
"OH","12/05/2021","5257","N516AE","CLT","14:31","14:27","84","82","-4","14:48","21","0","0","0","0","0"
"OH","12/05/2021","5349","N513AE","CLT","18:14","18:05","85","90","-9","18:28","23","0","0","0","0","0"
"OH","12/06/2021","5087","N725PS","CLT","06:55","06:53","85","82","-2","07:05","12","0","0","0","0","0"
"OH","12/06/2021","5206","N514AE","CLT","10:56","11:04","89","77","8","11:14","10","0","0","0","0","0"
"OH","12/06/2021","5257","N543EA","CLT","14:31","14:22","84","88","-9","14:47","25","0","0","0","0","0"
"OH","12/06/2021","5349","N534AE","CLT","18:14","18:03","85","86","-11","18:23","20","0","0","0","0","0"
"OH","12/06/2021","5388","N504AE","CLT","05:00","04:53","80","66","-7","05:03","10","0","0","0","0","0"
"OH","12/07/2021","5087","N534AE","CLT","06:55","06:44","85","76","-11","07:03","19","0","0","0","0","0"
"OH","12/07/2021","5206","N524AE","CLT","10:56","10:48","89","74","-8","11:05","17","0","0","0","0","0"
