Detailed Statistics Departures  
Origin Airport: New Orleans, LA: Louis Armstrong New Orleans International (MSY)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0755","N483AS","SEA","18:36","18:32","324","325","-4","19:00","28","0","0","0","0","0"
"AS","12/01/2022","0751","N487AS","SEA","16:40","00:00","320","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0451","N237AK","SEA","07:00","06:54","320","319","-6","07:16","22","0","0","0","0","0"
"AS","12/01/2023","0569","N526AS","SEA","17:36","17:29","324","321","-7","17:46","17","0","0","0","0","0"
"AS","12/02/2021","0755","N477AS","SEA","18:36","18:45","324","305","9","18:55","10","0","0","0","0","0"
"AS","12/02/2022","0751","N929AK","SEA","16:40","17:36","320","348","56","18:01","25","0","0","28","0","56"
"AS","12/02/2023","0451","N526AS","SEA","07:00","06:59","320","335","-1","07:21","22","0","0","0","0","0"
"AS","12/02/2023","0569","N467AS","SEA","17:36","17:53","324","306","17","18:05","12","0","0","0","0","0"
"AS","12/03/2021","0755","N294AK","SEA","18:36","18:28","324","324","-8","18:42","14","0","0","0","0","0"
"AS","12/03/2022","0751","N278AK","SEA","16:40","16:31","320","309","-9","16:41","10","0","0","0","0","0"
"AS","12/03/2023","0451","N942AK","SEA","07:00","06:59","320","334","-1","07:13","14","0","0","0","0","0"
"AS","12/03/2023","0569","N589AS","SEA","17:36","17:26","324","332","-10","17:44","18","0","0","0","0","0"
"AS","12/04/2021","0755","N402AS","SEA","18:36","18:57","324","322","21","19:15","18","19","0","0","0","0"
"AS","12/04/2022","0751","N280AK","SEA","16:40","16:37","320","346","-3","17:12","35","0","0","23","0","0"
"AS","12/04/2023","0451","N565AS","SEA","07:00","07:03","320","331","3","07:16","13","0","0","0","0","0"
"AS","12/04/2023","0569","N512AS","SEA","17:36","17:39","324","331","3","17:57","18","0","0","0","0","0"
"AS","12/05/2021","0755","N268AK","SEA","18:36","18:38","324","334","2","18:55","17","0","0","0","0","0"
"AS","12/05/2022","0751","N273AK","SEA","16:40","16:27","320","307","-13","16:43","16","0","0","0","0","0"
"AS","12/05/2023","0451","N530AS","SEA","07:00","06:52","320","318","-8","07:11","19","0","0","0","0","0"
"AS","12/05/2023","0569","N512AS","SEA","17:36","17:32","324","309","-4","17:48","16","0","0","0","0","0"
"AS","12/06/2021","0755","N263AK","SEA","18:36","18:50","324","326","14","19:02","12","14","0","2","0","0"
"AS","12/06/2022","0751","N975AK","SEA","16:40","16:43","320","323","3","17:04","21","0","0","0","0","0"
"AS","12/06/2023","0451","N984AK","SEA","07:00","06:46","320","309","-14","07:06","20","0","0","0","0","0"
"AS","12/06/2023","0569","N428AS","SEA","17:36","17:36","324","286","0","17:50","14","0","0","0","0","0"
"AS","12/07/2021","0755","N487AS","SEA","18:36","00:00","324","0","0","00:00","0","0","0","0","0","0"
"AS","12/07/2022","0751","N471AS","SEA","16:40","17:04","320","305","24","17:19","15","0","0","0","0","0"
"AS","12/07/2023","0451","N251AK","SEA","07:00","06:52","320","309","-8","07:12","20","0","0","0","0","0"
"AS","12/07/2023","0569","N559AS","SEA","17:36","18:27","324","310","51","18:40","13","0","0","0","0","37"
"AS","12/08/2021","0755","N290AK","SEA","18:36","18:23","324","314","-13","18:34","11","0","0","0","0","0"
"AS","12/08/2022","0751","N972AK","SEA","16:40","16:36","320","323","-4","16:54","18","0","0","0","0","0"
"AS","12/08/2023","0451","N428AS","SEA","07:00","06:56","320","308","-4","07:08","12","0","0","0","0","0"
"AS","12/08/2023","0569","N236AK","SEA","17:36","17:54","324","314","18","18:09","15","0","0","0","0","0"
"AS","12/09/2021","0755","N281AK","SEA","18:36","18:34","324","327","-2","18:53","19","0","0","0","0","0"
"AS","12/09/2022","0751","N282AK","SEA","16:40","17:06","320","322","26","17:24","18","26","0","2","0","0"
"AS","12/09/2023","0451","N918AK","SEA","07:00","06:55","320","335","-5","07:12","17","0","0","0","0","0"
"AS","12/09/2023","0569","N921AK","SEA","17:36","17:25","324","353","-11","17:48","23","0","0","18","0","0"
"AS","12/10/2021","0755","N260AK","SEA","18:36","18:28","324","350","-8","18:47","19","0","0","18","0","0"
"AS","12/10/2022","0751","N933AK","SEA","16:40","16:57","320","310","17","17:10","13","0","0","0","0","0"
