Detailed Statistics Departures  
Origin Airport: New Orleans, LA: Louis Armstrong New Orleans International (MSY)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3518","N287NN","ORD","07:00","06:56","161","151","-4","07:10","14","0","0","0","0","0"
"MQ","12/01/2021","3868","N222NS","ORD","13:50","13:49","159","161","-1","14:00","11","0","0","0","0","0"
"MQ","12/01/2021","4058","N238NN","MIA","15:29","15:39","113","116","10","15:54","15","0","0","0","0","0"
"MQ","12/01/2021","4171","N287NN","AUS","17:28","17:25","102","95","-3","17:47","22","0","0","0","0","0"
"MQ","12/01/2021","4219","N212NN","AUS","06:30","06:20","102","103","-10","06:30","10","0","0","0","0","0"
"MQ","12/01/2022","3355","N287NN","AUS","12:30","12:25","94","92","-5","12:34","9","0","0","0","0","0"
"MQ","12/01/2022","3545","N299JJ","MIA","16:00","16:25","110","103","25","16:37","12","18","0","0","0","0"
"MQ","12/01/2022","4171","N258NN","AUS","16:55","18:24","94","103","89","18:43","19","0","0","9","0","89"
"MQ","12/01/2022","4219","N280NN","AUS","08:20","08:14","94","88","-6","08:22","8","0","0","0","0","0"
"MQ","12/01/2023","3361","N246NN","MIA","17:09","18:22","111","113","73","18:34","12","1","0","2","0","72"
"MQ","12/01/2023","3483","N243NN","AUS","17:34","18:18","98","91","44","18:27","9","8","0","0","0","29"
"MQ","12/01/2023","3680","N245NN","ORD","12:51","12:49","157","137","-2","13:03","14","0","0","0","0","0"
"MQ","12/01/2023","3802","N284JN","AUS","06:34","06:28","97","101","-6","06:49","21","0","0","0","0","0"
"MQ","12/01/2023","4170","N268NN","MIA","11:18","11:23","111","116","5","11:38","15","0","0","0","0","0"
"MQ","12/02/2021","3518","N251NN","ORD","07:04","07:00","162","146","-4","07:12","12","0","0","0","0","0"
"MQ","12/02/2021","3868","N281NN","ORD","13:50","13:45","159","152","-5","13:59","14","0","0","0","0","0"
"MQ","12/02/2021","4058","N286NN","MIA","15:29","15:37","113","108","8","15:47","10","0","0","0","0","0"
"MQ","12/02/2021","4171","N222NS","AUS","17:28","18:03","102","86","35","18:16","13","0","0","0","0","19"
"MQ","12/02/2021","4219","N234JW","AUS","06:30","06:22","102","99","-8","06:38","16","0","0","0","0","0"
"MQ","12/02/2022","3355","N279MQ","AUS","12:30","12:33","94","107","3","12:49","16","0","0","13","0","3"
"MQ","12/02/2022","3545","N278NN","MIA","16:00","17:32","110","101","92","17:42","10","77","0","0","0","6"
"MQ","12/02/2022","4171","N279MQ","AUS","16:55","16:48","94","94","-7","16:59","11","0","0","0","0","0"
"MQ","12/02/2022","4219","N291NN","AUS","08:20","08:12","94","96","-8","08:22","10","0","0","0","0","0"
"MQ","12/02/2023","3361","N234JW","MIA","17:09","17:00","111","116","-9","17:13","13","0","0","0","0","0"
"MQ","12/02/2023","3680","N284JN","ORD","13:26","13:24","157","120","-2","13:34","10","0","0","0","0","0"
"MQ","12/02/2023","3802","N267NN","AUS","06:34","06:33","97","96","-1","06:46","13","0","0","0","0","0"
"MQ","12/02/2023","4170","N205NN","MIA","11:18","12:04","111","105","46","12:16","12","0","22","0","0","18"
"MQ","12/03/2021","3518","N240NN","ORD","07:04","07:02","162","143","-2","07:17","15","0","0","0","0","0"
"MQ","12/03/2021","3868","N242NN","ORD","13:50","13:46","159","147","-4","14:01","15","0","0","0","0","0"
"MQ","12/03/2021","4058","N290NN","MIA","15:29","15:29","113","125","0","15:41","12","0","0","0","0","0"
"MQ","12/03/2021","4171","N251NN","AUS","17:28","17:20","102","86","-8","17:31","11","0","0","0","0","0"
"MQ","12/03/2021","4219","N281NN","AUS","06:30","06:24","102","102","-6","06:39","15","0","0","0","0","0"
"MQ","12/03/2022","3355","N299JJ","AUS","12:30","12:23","94","90","-7","12:35","12","0","0","0","0","0"
"MQ","12/03/2022","4219","N275NN","AUS","08:20","08:11","94","114","-9","08:48","37","0","0","0","0","0"
"MQ","12/03/2023","3361","N236NN","MIA","17:09","18:05","111","118","56","18:19","14","0","0","7","14","42"
"MQ","12/03/2023","3483","N215NN","AUS","17:34","18:05","98","143","31","18:30","25","31","0","45","0","0"
"MQ","12/03/2023","3680","N265NN","ORD","12:51","13:00","157","145","9","13:16","16","0","0","0","0","0"
"MQ","12/03/2023","3802","N230NN","AUS","06:34","06:32","97","102","-2","06:48","16","0","0","0","0","0"
"MQ","12/03/2023","4170","N225NN","MIA","11:18","11:10","111","112","-8","11:19","9","0","0","0","0","0"
"MQ","12/04/2021","3518","N209NN","ORD","07:04","07:22","162","139","18","07:34","12","0","0","0","0","0"
"MQ","12/04/2021","3868","N209NN","ORD","13:50","13:44","159","157","-6","13:57","13","0","0","0","0","0"
"MQ","12/04/2021","4171","N237NN","AUS","17:28","17:24","102","117","-4","17:59","35","0","0","0","0","0"
"MQ","12/04/2021","4219","N292NN","AUS","06:30","06:27","102","92","-3","06:39","12","0","0","0","0","0"
"MQ","12/04/2022","3355","N245NN","AUS","12:30","12:25","94","132","-5","12:35","10","0","0","33","0","0"
"MQ","12/04/2022","3545","N293NN","MIA","16:00","16:08","110","131","8","16:54","46","8","0","21","0","0"
"MQ","12/04/2022","4171","N245NN","AUS","16:55","17:00","94","98","5","17:17","17","0","0","0","0","0"
"MQ","12/04/2022","4219","N245NN","AUS","08:20","08:13","94","84","-7","08:23","10","0","0","0","0","0"
"MQ","12/04/2023","3361","N275NN","MIA","17:09","17:04","111","110","-5","17:19","15","0","0","0","0","0"
"MQ","12/04/2023","3483","N245NN","AUS","17:34","17:50","98","119","16","18:06","16","0","0","21","0","16"
"MQ","12/04/2023","3680","N225NN","ORD","12:51","12:40","157","143","-11","12:52","12","0","0","0","0","0"
"MQ","12/04/2023","3802","N250NN","AUS","06:34","06:27","97","89","-7","06:39","12","0","0","0","0","0"
