Detailed Statistics Departures  
Origin Airport: New Orleans, LA: Louis Armstrong New Orleans International (MSY)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0452","N926NK","ATL","11:01","10:58","86","77","-3","11:08","10","0","0","0","0","0"
"NK","12/01/2021","0483","N616NK","LAS","14:45","14:45","240","223","0","15:05","20","0","0","0","0","0"
"NK","12/01/2021","0618","N647NK","MCO","20:15","20:09","99","91","-6","20:18","9","0","0","0","0","0"
"NK","12/01/2021","0680","N634NK","FLL","05:10","05:04","112","110","-6","05:15","11","0","0","0","0","0"
"NK","12/01/2021","1505","N931NK","TPA","14:20","14:14","90","84","-6","14:22","8","0","0","0","0","0"
"NK","12/01/2022","0452","N536NK","ATL","10:25","13:32","84","71","187","13:43","11","174","0","0","0","0"
"NK","12/01/2022","0483","N623NK","LAS","07:00","06:57","232","224","-3","07:08","11","0","0","0","0","0"
"NK","12/01/2022","0554","N638NK","MCO","11:50","11:43","104","112","-7","11:51","8","0","0","0","0","0"
"NK","12/01/2022","0618","N672NK","MCO","21:00","21:38","106","94","38","21:48","10","26","0","0","0","0"
"NK","12/01/2022","0640","N522NK","ATL","13:45","15:27","85","75","102","15:42","15","7","0","1","0","84"
"NK","12/01/2022","0669","N918NK","DFW","18:05","17:57","108","106","-8","18:08","11","0","0","0","0","0"
"NK","12/01/2022","0680","N915NK","FLL","06:30","06:23","107","111","-7","06:32","9","0","0","0","0","0"
"NK","12/01/2022","0810","N640NK","DTW","12:05","00:00","154","0","0","00:00","0","0","0","0","0","0"
