Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0007","N924VA","SEA","07:30","08:36","392","386","66","09:05","29","60","0","0","0","0"
"AS","12/01/2021","0035","N556AS","PDX","20:05","19:57","379","391","-8","20:25","28","0","0","0","0","0"
"AS","12/01/2021","0221","N926VA","SEA","16:39","16:38","387","397","-1","17:05","27","0","0","0","0","0"
"AS","12/01/2021","0393","N570AS","SAN","16:59","17:22","386","353","23","17:52","30","0","0","0","0","0"
"AS","12/01/2021","0648","N494AS","SFO","11:30","11:27","410","361","-3","11:47","20","0","0","0","0","0"
"AS","12/01/2021","0657","N922VA","SFO","18:47","18:42","416","362","-5","19:06","24","0","0","0","0","0"
"AS","12/01/2021","0769","N287AK","SFO","13:00","13:03","410","367","3","13:28","25","0","0","0","0","0"
"AS","12/01/2021","1063","N407AS","SEA","11:30","11:42","390","382","12","12:05","23","0","0","0","0","0"
"AS","12/01/2022","0007","N260AK","SEA","07:10","07:01","392","420","-9","07:29","28","0","0","19","0","0"
"AS","12/01/2022","0014","N974AK","SFO","13:00","00:00","403","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0027","N929VA","SFO","09:00","09:02","404","405","2","09:35","33","0","0","0","0","0"
"AS","12/01/2022","0112","N472AS","SEA","11:45","14:02","390","417","137","14:48","46","137","0","27","0","0"
"AS","12/01/2022","0136","N477AS","SEA","09:30","09:25","391","406","-5","10:05","40","0","0","0","0","0"
"AS","12/01/2022","0178","N974AK","SAN","09:30","09:22","380","398","-8","10:03","41","0","0","0","0","0"
"AS","12/01/2022","0186","N924VA","SFO","07:30","07:29","406","416","-1","07:47","18","0","0","0","0","0"
"AS","12/01/2022","0221","N937AK","SEA","16:35","00:00","395","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0393","N937AK","SAN","18:35","18:28","385","389","-7","18:59","31","0","0","0","0","0"
"AS","12/01/2022","0479","N921VA","SFO","20:05","20:43","410","405","38","21:07","24","10","0","0","0","23"
"AS","12/01/2022","0657","N925VA","SFO","16:55","16:51","408","409","-4","17:22","31","0","0","0","0","0"
"AS","12/01/2022","0857","N534AS","PDX","11:45","11:34","388","389","-11","11:54","20","0","0","0","0","0"
"AS","12/01/2023","0015","N273AK","SFO","13:00","12:53","412","387","-7","13:12","19","0","0","0","0","0"
"AS","12/01/2023","0017","N966AK","SEA","16:59","17:03","395","397","4","17:38","35","0","0","0","0","0"
"AS","12/01/2023","0021","N291BT","SEA","09:30","09:20","395","360","-10","09:43","23","0","0","0","0","0"
"AS","12/01/2023","0023","N932AK","SEA","11:45","11:35","395","352","-10","11:54","19","0","0","0","0","0"
"AS","12/01/2023","0025","N985AK","SAN","18:49","18:41","400","388","-8","19:05","24","0","0","0","0","0"
"AS","12/01/2023","0027","N270AK","SFO","16:38","16:27","416","380","-11","16:39","12","0","0","0","0","0"
"AS","12/01/2023","0031","N589AS","SEA","07:30","07:22","395","363","-8","07:37","15","0","0","0","0","0"
"AS","12/01/2023","0033","N984AK","SFO","07:00","06:52","409","377","-8","07:13","21","0","0","0","0","0"
"AS","12/01/2023","0035","N440AS","SAN","09:30","09:22","400","366","-8","09:41","19","0","0","0","0","0"
"AS","12/01/2023","0041","N280AK","PDX","20:00","19:56","384","372","-4","20:24","28","0","0","0","0","0"
"AS","12/02/2021","0007","N930VA","SEA","07:30","07:16","392","436","-14","07:54","38","0","0","30","0","0"
"AS","12/02/2021","0035","N579AS","PDX","20:05","20:49","379","402","44","21:16","27","44","0","23","0","0"
"AS","12/02/2021","0160","N297AK","SEA","09:30","09:28","392","435","-2","09:53","25","0","0","41","0","0"
"AS","12/02/2021","0221","N928VA","SEA","16:39","16:36","387","407","-3","16:59","23","0","0","17","0","0"
"AS","12/02/2021","0393","N588AS","SAN","16:59","16:48","386","365","-11","17:13","25","0","0","0","0","0"
"AS","12/02/2021","0479","N514AS","PDX","07:30","07:18","379","419","-12","07:47","29","0","0","28","0","0"
"AS","12/02/2021","0627","N264AK","SFO","09:00","09:11","410","387","11","09:41","30","0","0","0","0","0"
"AS","12/02/2021","0629","N237AK","SFO","11:30","11:25","410","375","-5","11:50","25","0","0","0","0","0"
"AS","12/02/2021","0657","N929VA","SFO","18:47","18:42","416","373","-5","19:07","25","0","0","0","0","0"
"AS","12/02/2021","0769","N570AS","SFO","13:00","12:47","410","386","-13","13:11","24","0","0","0","0","0"
"AS","12/02/2021","0900","N529AS","SAN","09:30","09:24","385","375","-6","10:08","44","0","0","0","0","0"
"AS","12/02/2021","1063","N247AK","SEA","11:30","11:22","390","403","-8","11:42","20","0","0","0","0","0"
"AS","12/02/2022","0007","N248AK","SEA","07:10","06:59","392","387","-11","07:20","21","0","0","0","0","0"
"AS","12/02/2022","0014","N296AK","SFO","13:00","12:50","403","403","-10","13:12","22","0","0","0","0","0"
"AS","12/02/2022","0027","N925VA","SFO","09:00","08:53","404","407","-7","09:23","30","0","0","0","0","0"
"AS","12/02/2022","0112","N477AS","SEA","11:45","11:38","390","370","-7","11:56","18","0","0","0","0","0"
"AS","12/02/2022","0136","N214AK","SEA","09:30","09:20","391","373","-10","09:37","17","0","0","0","0","0"
"AS","12/02/2022","0178","N291BT","SAN","09:30","09:26","380","403","-4","10:03","37","0","0","19","0","0"
"AS","12/02/2022","0186","N929VA","SFO","07:30","07:22","406","403","-8","07:49","27","0","0","0","0","0"
"AS","12/02/2022","0221","N935AK","SEA","16:35","16:28","395","369","-7","16:50","22","0","0","0","0","0"
"AS","12/02/2022","0393","N936AK","SAN","18:35","18:58","385","387","23","19:23","25","0","0","2","0","23"
"AS","12/02/2022","0479","N923VA","SFO","20:05","19:49","410","432","-16","20:31","42","0","0","0","0","0"
"AS","12/02/2022","0657","N921VA","SFO","16:55","16:49","408","436","-6","17:20","31","0","0","22","0","0"
"AS","12/02/2022","0857","N976AK","PDX","11:45","11:39","388","378","-6","12:04","25","0","0","0","0","0"
"AS","12/02/2023","0015","N253AK","SFO","13:00","12:53","412","390","-7","13:18","25","0","0","0","0","0"
"AS","12/02/2023","0017","N298AK","SEA","16:59","16:52","395","371","-7","17:09","17","0","0","0","0","0"
"AS","12/02/2023","0021","N270AK","SEA","09:30","09:22","395","371","-8","09:40","18","0","0","0","0","0"
"AS","12/02/2023","0023","N403AS","SEA","11:45","11:37","395","374","-8","12:02","25","0","0","0","0","0"
"AS","12/02/2023","0025","N971AK","SAN","18:49","18:41","400","361","-8","19:03","22","0","0","0","0","0"
"AS","12/02/2023","0027","N267AK","SFO","16:38","16:28","416","387","-10","16:45","17","0","0","0","0","0"
"AS","12/02/2023","0031","N471AS","SEA","07:30","07:21","395","381","-9","07:46","25","0","0","0","0","0"
"AS","12/02/2023","0033","N494AS","SFO","07:00","07:08","409","406","8","07:40","32","0","0","0","0","0"
"AS","12/02/2023","0035","N983AK","SAN","09:30","09:15","400","375","-15","09:42","27","0","0","0","0","0"
"AS","12/02/2023","0041","N548AS","PDX","20:00","19:55","384","387","-5","20:27","32","0","0","0","0","0"
"AS","12/03/2021","0007","N926VA","SEA","07:30","07:21","392","421","-9","07:54","33","0","0","20","0","0"
"AS","12/03/2021","0035","N518AS","PDX","20:05","20:01","379","387","-4","20:21","20","0","0","0","0","0"
"AS","12/03/2021","0160","N214AK","SEA","09:30","09:17","392","401","-13","09:46","29","0","0","0","0","0"
"AS","12/03/2021","0221","N929VA","SEA","16:39","16:32","387","425","-7","17:12","40","0","0","31","0","0"
"AS","12/03/2021","0393","N560AS","SAN","16:59","16:57","386","368","-2","17:31","34","0","0","0","0","0"
"AS","12/03/2021","0479","N440AS","PDX","07:30","07:21","379","395","-9","07:46","25","0","0","0","0","0"
"AS","12/03/2021","0627","N474AS","SFO","09:00","08:52","410","381","-8","09:24","32","0","0","0","0","0"
"AS","12/03/2021","0629","N298AK","SFO","11:30","11:20","410","356","-10","11:39","19","0","0","0","0","0"
"AS","12/03/2021","0657","N927VA","SFO","18:47","18:46","416","365","-1","19:06","20","0","0","0","0","0"
"AS","12/03/2021","0769","N264AK","SFO","13:00","12:49","410","371","-11","13:10","21","0","0","0","0","0"
"AS","12/03/2021","0900","N524AS","SAN","09:30","09:24","385","375","-6","10:00","36","0","0","0","0","0"
"AS","12/03/2021","1063","N495AS","SEA","11:30","11:16","390","406","-14","11:42","26","0","0","0","0","0"
"AS","12/03/2022","0007","N492AS","SEA","07:10","07:37","392","390","27","07:56","19","0","0","0","0","25"
"AS","12/03/2022","0014","N419AS","SFO","13:00","13:01","403","0","1","13:27","26","0","0","0","0","0"
"AS","12/03/2022","0027","N921VA","SFO","09:00","09:39","404","442","39","10:21","42","0","0","38","0","39"
"AS","12/03/2022","0112","N977AK","SEA","11:45","11:34","390","382","-11","11:53","19","0","0","0","0","0"
"AS","12/03/2022","0136","N281AK","SEA","09:30","10:04","391","394","34","10:31","27","0","0","3","0","34"
"AS","12/03/2022","0178","N974AK","SAN","09:30","09:26","380","406","-4","10:00","34","0","0","22","0","0"
"AS","12/03/2022","0186","N925VA","SFO","07:30","08:26","406","0","56","09:24","58","0","0","0","0","0"
"AS","12/03/2022","0221","N936AK","SEA","16:35","16:30","395","404","-5","16:59","29","0","0","0","0","0"
"AS","12/03/2022","0393","N933AK","SAN","18:35","18:44","385","396","9","19:02","18","3","0","11","0","6"
"AS","12/03/2022","0479","N926VA","SFO","20:05","19:48","410","446","-17","20:09","21","0","0","19","0","0"
"AS","12/03/2022","0657","N923VA","SFO","16:55","16:43","408","425","-12","17:02","19","0","0","0","0","0"
"AS","12/03/2022","0857","N471AS","PDX","11:45","11:37","388","390","-8","11:56","19","0","0","0","0","0"
"AS","12/03/2023","0015","N270AK","SFO","13:00","12:55","412","381","-5","13:22","27","0","0","0","0","0"
"AS","12/03/2023","0017","N707AL","SEA","16:59","16:55","395","387","-4","17:25","30","0","0","0","0","0"
"AS","12/03/2023","0021","N962AK","SEA","09:30","09:22","395","390","-8","10:09","47","0","0","0","0","0"
"AS","12/03/2023","0023","N267AK","SEA","11:45","11:36","395","379","-9","12:00","24","0","0","0","0","0"
