Detailed Statistics Departures  
Origin Airport: New York, NY: LaGuardia (LGA)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6034","N89362","IAD","13:00","12:52","92","73","-8","13:08","16","0","0","0","0","0"
"YV","12/01/2021","6106","N85354","IAD","10:15","10:14","92","71","-1","10:28","14","0","0","0","0","0"
"YV","12/01/2021","6153","N85355","IAD","14:45","14:54","85","79","9","15:21","27","0","0","0","0","0"
"YV","12/01/2021","6154","N86344","IAD","11:15","11:05","92","94","-10","11:15","10","0","0","0","0","0"
"YV","12/01/2021","6177","N87368","IAH","19:20","19:16","263","197","-4","19:26","10","0","0","0","0","0"
"YV","12/01/2021","6241","N86344","IAD","15:35","15:27","85","91","-8","15:58","31","0","0","0","0","0"
"YV","12/01/2021","6242","N82333","IAD","19:25","19:23","92","65","-2","19:32","9","0","0","0","0","0"
"YV","12/01/2021","6248","N86322","IAD","19:45","19:45","92","67","0","19:58","13","0","0","0","0","0"
"YV","12/01/2021","6371","N87360","IAH","09:55","09:50","261","223","-5","10:02","12","0","0","0","0","0"
"YV","12/01/2022","6021","N89342","IAD","14:45","14:43","80","75","-2","15:00","17","0","0","0","0","0"
"YV","12/01/2022","6029","N86324","IAD","10:19","10:14","86","76","-5","10:32","18","0","0","0","0","0"
"YV","12/01/2022","6031","N82338","IAD","11:00","10:54","86","68","-6","11:05","11","0","0","0","0","0"
"YV","12/01/2022","6033","N84307","IAD","19:00","18:53","88","90","-7","19:21","28","0","0","0","0","0"
"YV","12/01/2022","6048","N82338","IAD","15:29","15:23","88","98","-6","15:39","16","0","0","0","0","0"
"YV","12/01/2022","6050","N87339","IAD","17:29","17:17","89","93","-12","17:51","34","0","0","0","0","0"
"YV","12/01/2022","6062","N88359","IAD","07:00","06:57","86","83","-3","07:10","13","0","0","0","0","0"
"YV","12/01/2022","6087","N84307","IAD","06:00","06:00","86","81","0","06:22","22","0","0","0","0","0"
"YV","12/01/2022","6099","N87318","IAH","20:00","19:59","261","235","-1","20:18","19","0","0","0","0","0"
"YV","12/01/2022","6125","N82333","IAD","19:45","20:18","88","66","33","20:31","13","0","0","0","0","0"
"YV","12/01/2022","6153","N89308","IAH","17:15","19:23","265","253","128","19:44","21","116","0","0","0","0"
"YV","12/01/2023","6031","N89321","IAD","10:23","10:26","87","73","3","10:43","17","0","0","0","0","0"
"YV","12/01/2023","6033","N88326","IAD","20:00","19:50","87","80","-10","20:10","20","0","0","0","0","0"
"YV","12/01/2023","6057","N86336","IAD","15:29","15:16","90","81","-13","15:29","13","0","0","0","0","0"
"YV","12/01/2023","6087","N82338","IAD","06:00","05:55","82","65","-5","06:07","12","0","0","0","0","0"
"YV","12/01/2023","6120","N82338","IAD","14:44","14:36","93","74","-8","14:51","15","0","0","0","0","0"
"YV","12/01/2023","6224","N89313","IAD","18:48","18:39","93","81","-9","19:05","26","0","0","0","0","0"
"YV","12/01/2023","6315","N87339","IAH","12:15","12:07","265","296","-8","13:01","54","0","0","23","0","0"
"YV","12/01/2023","6318","N89317","IAH","15:20","15:23","265","271","3","15:42","19","0","0","0","0","0"
"YV","12/01/2023","6320","N87319","IAH","17:11","17:22","266","287","11","17:48","26","11","0","21","0","0"
"YV","12/01/2023","6324","N86316","IAH","19:50","20:50","262","273","60","21:07","17","6","0","11","0","54"
"YV","12/02/2021","6034","N85370","IAD","13:00","12:53","92","65","-7","13:04","11","0","0","0","0","0"
"YV","12/02/2021","6106","N86344","IAD","10:15","10:12","92","68","-3","10:28","16","0","0","0","0","0"
"YV","12/02/2021","6153","N87302","IAD","14:45","14:44","85","87","-1","15:16","32","0","0","0","0","0"
"YV","12/02/2021","6154","N89349","IAD","11:15","11:09","92","80","-6","11:23","14","0","0","0","0","0"
"YV","12/02/2021","6177","N85370","IAH","19:20","19:20","263","217","0","19:39","19","0","0","0","0","0"
"YV","12/02/2021","6241","N86316","IAD","15:35","15:35","85","72","0","15:55","20","0","0","0","0","0"
"YV","12/02/2021","6242","N85351","IAD","19:25","19:24","92","71","-1","19:45","21","0","0","0","0","0"
"YV","12/02/2021","6248","N86316","IAD","19:45","19:52","92","66","7","20:02","10","0","0","0","0","0"
"YV","12/02/2021","6371","N86312","IAH","10:00","09:57","261","211","-3","10:13","16","0","0","0","0","0"
"YV","12/02/2022","6021","N88325","IAD","14:45","14:42","80","78","-3","14:53","11","0","0","0","0","0"
"YV","12/02/2022","6029","N82333","IAD","10:19","10:19","86","75","0","10:41","22","0","0","0","0","0"
"YV","12/02/2022","6031","N88326","IAD","11:00","10:58","86","73","-2","11:14","16","0","0","0","0","0"
"YV","12/02/2022","6033","N87360","IAD","19:00","18:59","88","74","-1","19:21","22","0","0","0","0","0"
