Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0011","N428AS","SEA","19:00","19:12","384","401","12","19:31","19","0","0","17","0","12"
"AS","12/01/2021","0053","N520AS","PDX","18:40","18:31","373","372","-9","18:54","23","0","0","0","0","0"
"AS","12/01/2021","0205","N283AK","LAX","08:10","08:06","389","342","-4","08:29","23","0","0","0","0","0"
"AS","12/01/2021","0331","N549AS","LAX","20:50","21:12","391","348","22","21:34","22","0","0","0","0","0"
"AS","12/01/2021","0332","N274AK","SFO","16:30","16:31","410","366","1","16:53","22","0","0","0","0","0"
"AS","12/01/2021","0343","N282AK","LAX","18:00","01:28","390","353","448","02:03","35","411","0","0","0","0"
"AS","12/01/2021","0345","N537AS","SFO","19:45","19:44","411","357","-1","20:00","16","0","0","0","0","0"
"AS","12/01/2021","0716","N265AK","SEA","17:25","17:17","384","372","-8","17:50","33","0","0","0","0","0"
"AS","12/01/2021","0773","N588AS","SAN","20:20","20:25","394","351","5","20:46","21","0","0","0","0","0"
"AS","12/01/2022","0015","N971AK","SEA","16:45","16:55","380","383","10","17:16","21","0","0","0","0","0"
"AS","12/01/2022","0024","N922VA","LAX","07:45","07:54","380","366","9","08:10","16","0","0","0","0","0"
"AS","12/01/2022","0053","N284AK","PDX","20:25","21:58","384","356","93","22:12","14","0","0","65","0","0"
"AS","12/01/2022","0182","N926VA","LAX","19:05","20:24","386","389","79","20:46","22","0","0","3","0","79"
"AS","12/01/2022","0190","N478AS","SFO","16:05","16:01","395","394","-4","16:18","17","0","0","0","0","0"
"AS","12/01/2022","0343","N520AS","LAX","15:20","15:22","383","374","2","15:39","17","0","0","0","0","0"
"AS","12/01/2022","0375","N941AK","SFO","19:35","20:37","399","372","62","20:51","14","0","0","0","0","35"
"AS","12/01/2022","0715","N942AK","SEA","18:10","19:18","384","378","68","19:43","25","0","0","0","0","62"
