Detailed Statistics Departures  
Origin Airport: Newburgh/Poughkeepsie, NY: New York Stewart International (SWF)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0369","274NV","MYR","13:15","13:06","121","120","-9","13:16","10","0","0","0","0","0"
"G4","12/01/2022","2711","202NV","PIE","11:11","11:22","180","184","11","11:29","7","11","0","4","0","0"
"G4","12/02/2021","1851","307NV","PIE","17:45","17:27","182","173","-18","17:35","8","0","0","0","0","0"
"G4","12/03/2021","1730","233NV","PGD","11:10","13:22","182","174","132","13:32","10","124","0","0","0","0"
"G4","12/03/2023","0381","310NV","MYR","15:00","14:57","129","132","-3","15:14","17","0","0","0","0","0"
"G4","12/03/2023","2719","283NV","PIE","11:40","11:32","193","204","-8","11:44","12","0","0","0","0","0"
"G4","12/04/2022","0369","330NV","MYR","13:15","13:11","121","124","-4","13:25","14","0","0","0","0","0"
"G4","12/04/2022","0985","220NV","PIE","19:37","20:20","180","165","43","20:38","18","13","0","0","0","15"
"G4","12/05/2021","1851","307NV","PIE","17:45","17:57","182","180","12","18:07","10","0","0","0","0","0"
"G4","12/06/2021","1730","233NV","PGD","11:10","12:13","182","189","63","12:25","12","0","0","7","0","63"
"G4","12/07/2023","0364","326NV","MYR","18:09","18:01","126","110","-8","18:11","10","0","0","0","0","0"
