Detailed Statistics Departures  
Origin Airport: Newburgh/Poughkeepsie, NY: New York Stewart International (SWF)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","1299","N352FR","MCO","10:35","10:27","187","0","-8","10:38","11","0","0","0","0","0"
"F9","12/01/2022","1299","N718FR","MCO","11:38","11:44","192","181","6","11:56","12","0","0","0","0","0"
"F9","12/01/2022","2635","N326FR","FLL","20:40","21:35","192","182","55","21:45","10","45","0","0","0","0"
"F9","12/02/2021","2571","N210FR","TPA","12:45","12:40","197","163","-5","12:50","10","0","0","0","0","0"
"F9","12/02/2021","2699","N324FR","MIA","14:24","14:53","202","196","29","15:15","22","0","0","23","0","0"
"F9","12/03/2021","1299","N383FR","MCO","10:35","10:20","187","198","-15","10:31","11","0","0","0","0","0"
"F9","12/04/2021","1299","N337FR","MCO","18:59","18:58","187","197","-1","19:10","12","0","0","0","0","0"
"F9","12/04/2022","1299","N603FR","MCO","11:36","11:54","192","179","18","12:08","14","0","0","0","0","0"
"F9","12/04/2022","2635","N230FR","FLL","20:40","21:41","192","171","61","21:51","10","0","0","0","0","40"
"F9","12/05/2021","2571","N322FR","TPA","12:43","12:40","197","169","-3","12:52","12","0","0","0","0","0"
"F9","12/05/2021","2699","N366FR","MIA","14:24","14:23","202","192","-1","14:44","21","0","0","0","0","0"
"F9","12/06/2021","1299","N386FR","MCO","10:50","10:49","187","182","-1","11:02","13","0","0","0","0","0"
"F9","12/08/2021","1299","N230FR","MCO","10:45","10:26","187","195","-19","10:40","14","0","0","0","0","0"
"F9","12/08/2022","1299","N710FR","MCO","11:38","11:46","192","192","8","12:02","16","0","0","0","0","0"
"F9","12/08/2022","2635","N361FR","FLL","19:32","19:38","192","207","6","19:47","9","2","0","15","0","4"
"F9","12/09/2021","2571","N227FR","TPA","12:43","12:44","197","171","1","12:55","11","0","0","0","0","0"
"F9","12/09/2021","2699","N307FR","MIA","14:24","14:30","202","192","6","14:40","10","0","0","0","0","0"
"F9","12/10/2021","1299","N303FR","MCO","10:37","10:29","187","199","-8","10:39","10","0","0","0","0","0"
"F9","12/11/2021","1299","N343FR","MCO","18:49","19:28","187","173","39","19:40","12","0","0","0","0","25"
"F9","12/11/2022","1299","N712FR","MCO","11:52","11:42","192","204","-10","12:16","34","0","0","0","0","0"
"F9","12/11/2022","2635","N352FR","FLL","19:32","19:32","192","267","0","21:03","91","0","0","75","0","0"
"F9","12/12/2021","2571","N350FR","TPA","12:43","12:42","197","169","-1","12:59","17","0","0","0","0","0"
"F9","12/12/2021","2699","N343FR","MIA","14:24","14:33","202","182","9","14:44","11","0","0","0","0","0"
"F9","12/13/2021","1299","N317FR","MCO","10:50","11:44","187","193","54","12:02","18","1","0","9","0","50"
"F9","12/15/2021","1299","N348FR","MCO","10:45","10:39","187","173","-6","10:52","13","0","0","0","0","0"
"F9","12/15/2022","1299","N708FR","MCO","11:38","12:30","192","262","52","13:42","72","9","0","113","0","0"
"F9","12/15/2022","2635","N328FR","FLL","19:32","20:36","192","193","64","20:51","15","16","0","6","0","43"
