Detailed Statistics Departures  
Origin Airport: Newport News/Williamsburg, VA: Newport News/Williamsburg International (PHF)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5662","N593NN","CLT","13:55","14:37","94","91","42","14:49","12","4","0","0","0","35"
"OH","12/02/2021","5078","N608NN","CLT","05:08","04:58","88","66","-10","05:10","12","0","0","0","0","0"
"OH","12/02/2021","5662","N574NN","CLT","13:55","13:48","94","85","-7","14:05","17","0","0","0","0","0"
"OH","12/03/2021","5078","N562NN","CLT","05:08","05:23","88","81","15","05:35","12","0","0","0","0","0"
"OH","12/03/2021","5662","N580NN","CLT","13:55","13:53","94","76","-2","14:07","14","0","0","0","0","0"
"OH","12/04/2021","5078","N558NN","CLT","05:08","04:59","88","76","-9","05:12","13","0","0","0","0","0"
"OH","12/04/2021","5662","N589NN","CLT","13:55","13:47","94","72","-8","13:57","10","0","0","0","0","0"
"OH","12/05/2021","5662","N592NN","CLT","13:55","13:48","94","87","-7","14:05","17","0","0","0","0","0"
"OH","12/06/2021","5078","N574NN","CLT","05:08","04:59","88","68","-9","05:10","11","0","0","0","0","0"
"OH","12/06/2021","5662","N593NN","CLT","13:55","13:47","94","78","-8","13:59","12","0","0","0","0","0"
"OH","12/07/2021","5247","N561NN","CLT","09:04","08:55","98","87","-9","09:07","12","0","0","0","0","0"
"OH","12/07/2021","5662","N576NN","CLT","13:55","13:47","94","82","-8","13:59","12","0","0","0","0","0"
"OH","12/08/2021","5662","N594NN","CLT","13:55","13:46","94","86","-9","14:00","14","0","0","0","0","0"
"OH","12/09/2021","5078","N570NN","CLT","05:08","05:01","88","93","-7","05:26","25","0","0","0","0","0"
"OH","12/09/2021","5662","N589NN","CLT","13:55","13:46","94","79","-9","13:57","11","0","0","0","0","0"
"OH","12/10/2021","5078","N597NN","CLT","05:08","05:01","88","70","-7","05:10","9","0","0","0","0","0"
"OH","12/10/2021","5662","N563NN","CLT","13:55","13:59","94","81","4","14:18","19","0","0","0","0","0"
"OH","12/11/2021","5078","N607NN","CLT","05:08","13:10","88","77","482","13:22","12","10","461","0","0","0"
"OH","12/11/2021","5662","N555NN","CLT","13:55","13:52","94","74","-3","14:05","13","0","0","0","0","0"
"OH","12/12/2021","5662","N569NN","CLT","13:55","13:51","94","80","-4","14:08","17","0","0","0","0","0"
"OH","12/13/2021","5078","N538EG","CLT","05:08","05:03","88","79","-5","05:15","12","0","0","0","0","0"
"OH","12/13/2021","5662","N550NN","CLT","13:55","13:47","94","75","-8","14:03","16","0","0","0","0","0"
"OH","12/14/2021","5247","N571NN","CLT","09:04","08:56","98","88","-8","09:26","30","0","0","0","0","0"
"OH","12/14/2021","5662","N550NN","CLT","13:55","14:10","94","76","15","14:24","14","0","0","0","0","0"
"OH","12/15/2021","5662","N575NN","CLT","13:55","13:48","94","85","-7","14:08","20","0","0","0","0","0"
"OH","12/16/2021","5078","N569NN","CLT","08:30","08:21","107","99","-9","08:41","20","0","0","0","0","0"
"OH","12/16/2023","5099","N521AE","CLT","11:21","11:41","91","75","20","11:58","17","0","0","0","0","0"
"OH","12/16/2023","5306","N537EA","CLT","15:30","15:31","91","72","1","15:41","10","0","0","0","0","0"
"OH","12/17/2021","5381","N598NN","CLT","10:50","10:41","95","82","-9","11:00","19","0","0","0","0","0"
"OH","12/17/2021","5397","N554NN","CLT","19:55","19:45","94","74","-10","19:57","12","0","0","0","0","0"
"OH","12/17/2022","5188","N571NN","CLT","10:57","10:47","89","87","-10","11:10","23","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
