Detailed Statistics Departures  
Origin Airport: Bakersfield, CA: Meadows Field (BFL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2022","3657","N208AN","PHX","16:44","16:49","91","93","5","17:09","20","0","0","0","0","0"
"MQ","12/02/2022","3657","N281NN","PHX","16:44","16:40","91","91","-4","16:58","18","0","0","0","0","0"
"MQ","12/03/2022","3657","N243NN","PHX","16:44","00:00","91","0","0","00:00","0","0","0","0","0","0"
"MQ","12/04/2022","3657","N204NN","PHX","16:44","17:52","91","80","68","18:02","10","4","0","0","0","53"
"MQ","12/05/2022","3657","N266NN","PHX","16:44","16:34","91","94","-10","16:52","18","0","0","0","0","0"
"MQ","12/06/2022","3657","N236NN","PHX","16:44","16:37","91","103","-7","17:04","27","0","0","0","0","0"
"MQ","12/07/2022","3657","N279MQ","PHX","16:44","16:42","91","88","-2","16:53","11","0","0","0","0","0"
"MQ","12/08/2022","3657","N230NN","PHX","16:44","16:48","91","86","4","16:58","10","0","0","0","0","0"
"MQ","12/09/2022","3657","N299JJ","PHX","16:44","16:33","91","92","-11","16:45","12","0","0","0","0","0"
"MQ","12/10/2022","3657","N299JJ","PHX","16:44","16:38","91","86","-6","16:53","15","0","0","0","0","0"
"MQ","12/11/2022","3657","N221NN","PHX","16:44","16:42","91","89","-2","16:56","14","0","0","0","0","0"
"MQ","12/12/2022","3657","N258NN","PHX","16:44","17:47","91","86","63","18:02","15","10","0","0","0","48"
"MQ","12/13/2022","3657","N240NN","PHX","16:44","16:40","91","99","-4","17:04","24","0","0","0","0","0"
"MQ","12/14/2022","3657","N216NN","PHX","16:44","16:54","91","88","10","17:08","14","0","0","0","0","0"
"MQ","12/15/2022","3657","N262NN","PHX","16:34","16:26","96","90","-8","16:40","14","0","0","0","0","0"
"MQ","12/16/2022","3657","N270NN","PHX","16:34","16:25","96","95","-9","16:40","15","0","0","0","0","0"
"MQ","12/18/2022","3657","N284JN","PHX","16:34","20:05","96","156","211","21:26","81","1","0","60","0","210"
"MQ","12/19/2022","3657","N242NN","PHX","16:34","17:35","96","100","61","17:50","15","0","0","4","0","61"
"MQ","12/20/2022","3657","N239NN","PHX","16:34","16:58","96","86","24","17:09","11","0","0","0","0","0"
"MQ","12/21/2022","3657","N201NN","PHX","16:34","17:03","96","85","29","17:11","8","0","0","3","0","15"
"MQ","12/22/2022","3657","N201NN","PHX","16:34","16:58","96","93","24","17:10","12","0","0","0","0","21"
"MQ","12/23/2022","3657","N201NN","PHX","16:34","17:07","96","86","33","17:18","11","0","0","0","0","23"
"MQ","12/26/2022","3657","N298FR","PHX","16:34","16:39","96","95","5","16:56","17","0","0","0","0","0"
"MQ","12/27/2022","3657","N262NN","PHX","16:34","16:49","96","83","15","17:01","12","0","0","0","0","0"
"MQ","12/28/2022","3657","N227NN","PHX","16:34","17:28","96","91","54","17:44","16","2","0","0","0","47"
"MQ","12/29/2022","3657","N246NN","PHX","16:34","18:06","96","78","92","18:18","12","0","0","4","0","70"
"MQ","12/30/2022","3657","N252NN","PHX","16:34","16:52","96","93","18","17:08","16","2","0","0","0","13"

 SOURCE: Bureau of Transportation Statistics
