Detailed Statistics Departures  
Origin Airport: Nome, AK: Nome Airport (OME)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0152","N607AS","ANC","11:20","11:25","90","92","5","11:33","8","0","0","0","0","0"
"AS","12/01/2021","0153","N613AS","OTZ","17:55","19:03","46","0","68","19:13","10","0","0","0","0","0"
"AS","12/01/2022","0152","N612AS","ANC","12:55","13:06","93","82","11","13:17","11","0","0","0","0","0"
"AS","12/01/2022","0153","N607AS","OTZ","17:59","00:00","49","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0153","N612AS","OTZ","17:59","18:32","49","47","33","18:44","12","0","0","0","0","31"
"AS","12/02/2021","0152","N613AS","ANC","11:20","11:07","90","90","-13","11:18","11","0","0","0","0","0"
"AS","12/02/2021","0153","N609AS","OTZ","17:55","17:47","46","54","-8","18:00","13","0","0","0","0","0"
"AS","12/02/2022","0152","N615AS","ANC","12:55","13:08","93","84","13","13:18","10","0","0","0","0","0"
"AS","12/02/2022","0153","N523AS","OTZ","17:59","00:00","49","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2023","0153","N607AS","OTZ","17:59","17:50","49","41","-9","17:54","4","0","0","0","0","0"
"AS","12/03/2021","0152","N609AS","ANC","11:20","11:23","90","137","3","12:19","56","0","0","50","0","0"
"AS","12/03/2021","0153","N618AS","OTZ","17:55","00:00","46","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2022","0152","N519AS","ANC","12:55","12:58","93","95","3","13:20","22","0","0","0","0","0"
"AS","12/03/2022","0153","N613AS","OTZ","17:59","00:00","49","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2023","0153","N536AS","OTZ","17:59","18:22","49","46","23","18:33","11","0","0","0","0","20"
"AS","12/04/2021","0152","N615AS","ANC","11:20","11:05","90","84","-15","11:15","10","0","0","0","0","0"
"AS","12/04/2021","0153","N622AS","OTZ","17:55","17:51","46","46","-4","18:00","9","0","0","0","0","0"
"AS","12/04/2022","0152","N520AS","ANC","12:55","00:00","93","0","0","00:00","0","0","0","0","0","0"
"AS","12/04/2022","0153","N612AS","OTZ","17:59","00:00","49","0","0","00:00","0","0","0","0","0","0"
"AS","12/04/2023","0153","N586AS","OTZ","17:59","17:47","49","42","-12","17:53","6","0","0","0","0","0"
"AS","12/05/2021","0152","N644AS","ANC","11:20","00:00","90","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2021","0153","N613AS","OTZ","17:55","00:00","46","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2022","0152","N530AS","ANC","12:55","00:00","93","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2022","0153","N614AS","OTZ","17:59","18:07","49","60","8","18:29","22","0","0","11","0","8"
"AS","12/05/2023","0153","N526AS","OTZ","17:59","17:48","49","45","-11","17:56","8","0","0","0","0","0"
"AS","12/06/2021","0152","N615AS","ANC","11:20","11:19","90","98","-1","11:40","21","0","0","0","0","0"
"AS","12/06/2021","0153","N612AS","OTZ","17:55","18:57","46","48","62","19:08","11","11","0","2","0","51"
"AS","12/06/2022","0152","N559AS","ANC","12:55","00:00","93","0","0","00:00","0","0","0","0","0","0"
"AS","12/06/2022","0153","N619AS","OTZ","17:59","18:51","49","47","52","19:00","9","24","0","0","0","26"
"AS","12/06/2023","0153","N622AS","OTZ","17:59","00:00","49","0","0","00:00","0","0","0","0","0","0"
"AS","12/07/2021","0152","N612AS","ANC","11:20","11:40","90","92","20","11:51","11","0","0","2","0","20"
"AS","12/07/2021","0153","N528AS","OTZ","17:55","17:58","46","49","3","18:09","11","0","0","0","0","0"
"AS","12/07/2022","0152","N565AS","ANC","12:55","13:37","93","88","42","13:46","9","0","37","0","0","0"
"AS","12/07/2022","0153","N612AS","OTZ","17:59","17:39","49","49","-20","17:50","11","0","0","0","0","0"
"AS","12/07/2023","0153","N530AS","OTZ","17:59","17:45","49","49","-14","17:54","9","0","0","0","0","0"
"AS","12/08/2021","0152","N618AS","ANC","11:20","11:10","90","87","-10","11:18","8","0","0","0","0","0"
"AS","12/08/2021","0153","N644AS","OTZ","17:55","17:45","46","46","-10","17:53","8","0","0","0","0","0"
"AS","12/08/2022","0152","N559AS","ANC","12:55","12:40","93","95","-15","13:01","21","0","0","0","0","0"
"AS","12/08/2022","0153","N607AS","OTZ","17:59","17:43","49","42","-16","17:47","4","0","0","0","0","0"
"AS","12/08/2023","0153","N612AS","OTZ","17:59","17:51","49","41","-8","17:55","4","0","0","0","0","0"
"AS","12/09/2021","0152","N613AS","ANC","11:20","10:57","90","98","-23","11:06","9","0","0","0","0","0"
"AS","12/09/2021","0153","N611AS","OTZ","17:55","17:41","46","47","-14","17:49","8","0","0","0","0","0"
"AS","12/09/2022","0152","N524AS","ANC","12:55","12:43","93","84","-12","12:49","6","0","0","0","0","0"
"AS","12/09/2022","0153","N622AS","OTZ","17:59","17:48","49","57","-11","18:08","20","0","0","0","0","0"
"AS","12/09/2023","0153","N615AS","OTZ","17:59","18:13","49","44","14","18:21","8","0","0","0","0","0"
"AS","12/10/2021","0152","N611AS","ANC","11:20","11:14","90","84","-6","11:18","4","0","0","0","0","0"
"AS","12/10/2021","0153","N618AS","OTZ","17:55","17:52","46","44","-3","18:00","8","0","0","0","0","0"
"AS","12/10/2022","0152","N592AS","ANC","12:55","00:00","93","0","0","00:00","0","0","0","0","0","0"
"AS","12/10/2022","0153","N612AS","OTZ","17:59","00:00","49","0","0","00:00","0","0","0","0","0","0"
"AS","12/10/2023","0153","N588AS","OTZ","17:59","18:01","49","53","2","18:15","14","0","0","0","0","0"
"AS","12/11/2021","0152","N612AS","ANC","11:20","11:02","90","91","-18","11:14","12","0","0","0","0","0"
"AS","12/11/2021","0153","N607AS","OTZ","17:55","17:57","46","48","2","18:05","8","0","0","0","0","0"
"AS","12/11/2022","0152","N612AS","ANC","12:55","12:52","93","82","-3","12:55","3","0","0","0","0","0"
"AS","12/11/2022","0153","N622AS","OTZ","17:59","18:57","49","0","58","19:10","13","0","0","0","0","0"
"AS","12/11/2023","0153","N644AS","OTZ","17:59","17:41","49","60","-18","18:00","19","0","0","0","0","0"
"AS","12/12/2021","0152","N622AS","ANC","11:20","13:09","90","0","109","13:14","5","0","0","0","0","0"
"AS","12/12/2021","0153","N619AS","OTZ","17:55","19:31","46","47","96","19:39","8","3","0","1","0","93"
"AS","12/12/2022","0152","N613AS","ANC","12:55","14:26","93","92","91","14:43","17","0","0","0","0","90"
"AS","12/12/2022","0153","N585AS","OTZ","17:59","18:11","49","40","12","18:15","4","0","0","0","0","0"
"AS","12/12/2023","0153","N597AS","OTZ","17:59","18:18","49","53","19","18:26","8","0","0","4","0","19"
"AS","12/13/2021","0152","N607AS","ANC","11:20","12:12","90","78","52","12:19","7","0","0","0","0","40"
"AS","12/13/2021","0153","N612AS","OTZ","17:55","18:11","46","46","16","18:18","7","0","0","0","0","16"
"AS","12/13/2022","0152","N585AS","ANC","12:55","13:42","93","89","47","13:55","13","0","0","0","0","43"
"AS","12/13/2022","0153","N585AS","OTZ","17:59","18:50","49","46","51","18:58","8","0","0","0","0","48"
"AS","12/13/2023","0153","N611AS","OTZ","17:59","17:44","49","48","-15","17:53","9","0","0","0","0","0"
"AS","12/14/2021","0152","N622AS","ANC","11:20","11:17","90","78","-3","11:26","9","0","0","0","0","0"
"AS","12/14/2021","0153","N615AS","OTZ","17:55","17:41","46","45","-14","17:50","9","0","0","0","0","0"
"AS","12/14/2022","0152","N597AS","ANC","12:55","12:56","93","88","1","13:06","10","0","0","0","0","0"
"AS","12/14/2022","0153","N611AS","OTZ","17:59","18:46","49","39","47","18:50","4","0","0","0","0","37"
"AS","12/14/2023","0153","N592AS","OTZ","17:59","18:06","52","50","7","18:17","11","0","0","0","0","0"
"AS","12/15/2021","0152","N619AS","ANC","11:20","11:59","90","124","39","12:40","41","0","18","34","0","21"
"AS","12/15/2021","0153","N619AS","OTZ","17:55","00:00","46","0","0","00:00","0","0","0","0","0","0"
"AS","12/15/2022","0152","N613AS","ANC","12:55","13:43","90","83","48","13:52","9","0","0","0","0","41"
"AS","12/15/2022","0153","N613AS","OTZ","17:59","18:34","48","58","35","18:47","13","0","0","10","0","35"
"AS","12/15/2023","0153","N563AS","OTZ","17:59","19:07","52","57","68","19:28","21","24","0","5","0","44"
"AS","12/16/2021","0152","N518AS","ANC","11:27","11:57","86","89","30","12:07","10","0","0","3","0","30"
"AS","12/16/2021","0153","N614AS","OTZ","17:52","20:23","48","0","151","20:31","8","0","0","0","0","0"
"AS","12/16/2022","0152","N618AS","ANC","12:55","13:07","90","95","12","13:20","13","0","0","5","0","12"
"AS","12/16/2022","0153","N618AS","OTZ","17:59","18:11","48","57","12","18:26","15","0","0","9","0","12"
"AS","12/16/2023","0153","N590AS","OTZ","17:59","18:21","52","47","22","18:33","12","17","0","0","0","0"
"AS","12/17/2021","0152","N607AS","ANC","11:27","11:51","86","83","24","11:56","5","0","21","0","0","0"
"AS","12/17/2021","0153","N518AS","OTZ","17:52","18:37","48","58","45","19:00","23","0","0","10","0","45"
"AS","12/17/2022","0152","N535AS","ANC","12:55","12:58","90","91","3","13:10","12","0","0","0","0","0"
"AS","12/17/2022","0153","N622AS","OTZ","17:59","17:53","48","47","-6","18:02","9","0","0","0","0","0"
"AS","12/17/2023","0153","N518AS","OTZ","17:59","19:09","52","56","70","19:29","20","0","2","4","0","68"
"AS","12/18/2021","0152","N614AS","ANC","11:27","11:46","86","87","19","12:04","18","0","0","1","0","19"
"AS","12/18/2021","0153","N607AS","OTZ","17:52","19:19","48","80","87","20:04","45","0","11","32","0","76"
"AS","12/18/2022","0152","N614AS","ANC","12:55","12:35","90","84","-20","12:45","10","0","0","0","0","0"
"AS","12/18/2022","0153","N622AS","OTZ","17:59","18:02","48","41","3","18:06","4","0","0","0","0","0"
"AS","12/18/2023","0153","N612AS","OTZ","17:59","17:51","52","61","-8","18:12","21","0","0","0","0","0"
"AS","12/19/2021","0152","N618AS","ANC","11:27","00:00","86","0","0","00:00","0","0","0","0","0","0"
"AS","12/19/2021","0153","N526AS","OTZ","17:52","00:00","48","0","0","00:00","0","0","0","0","0","0"
"AS","12/19/2022","0152","N528AS","ANC","12:55","12:42","90","81","-13","12:51","9","0","0","0","0","0"
"AS","12/19/2022","0153","N612AS","OTZ","17:59","17:48","48","50","-11","17:59","11","0","0","0","0","0"
"AS","12/19/2023","0153","N513AS","OTZ","17:59","18:08","52","49","9","18:19","11","0","0","0","0","0"
"AS","12/20/2021","0152","N526AS","ANC","11:27","12:17","86","91","50","12:36","19","0","0","5","8","42"
"AS","12/20/2021","0153","N622AS","OTZ","17:52","19:31","48","43","99","19:39","8","10","0","0","0","84"
"AS","12/20/2022","0152","N531AS","ANC","12:55","12:39","90","93","-16","12:50","11","0","0","0","0","0"
"AS","12/20/2022","0153","N644AS","OTZ","17:59","17:49","48","49","-10","17:59","10","0","0","0","0","0"
"AS","12/20/2023","0153","N523AS","OTZ","17:59","17:48","52","47","-11","17:57","9","0","0","0","0","0"
"AS","12/21/2021","0152","N622AS","ANC","11:27","11:47","86","79","20","11:56","9","0","0","0","0","0"
"AS","12/21/2021","0153","N612AS","OTZ","17:52","18:03","48","78","11","18:45","42","0","0","30","0","11"
"AS","12/21/2022","0152","N613AS","ANC","12:55","00:00","90","0","0","00:00","0","0","0","0","0","0"
"AS","12/21/2022","0153","N644AS","OTZ","17:59","00:00","48","0","0","00:00","0","0","0","0","0","0"
"AS","12/21/2023","0153","N612AS","OTZ","17:59","17:36","52","47","-23","17:45","9","0","0","0","0","0"
"AS","12/22/2021","0152","N609AS","ANC","11:27","11:35","86","86","8","11:46","11","0","0","0","0","0"
"AS","12/22/2021","0153","N609AS","OTZ","17:52","18:23","48","73","31","18:51","28","0","0","25","0","31"
"AS","12/22/2022","0152","N563AS","ANC","12:55","13:00","90","90","5","13:09","9","0","0","0","0","0"
"AS","12/22/2022","0153","N563AS","OTZ","17:59","17:59","48","52","0","18:11","12","0","0","0","0","0"
"AS","12/22/2023","0153","N597AS","OTZ","17:59","18:23","52","44","24","18:31","8","0","0","0","0","16"
"AS","12/23/2021","0152","N618AS","ANC","11:27","11:40","86","78","13","11:44","4","0","0","0","0","0"
"AS","12/23/2021","0153","N618AS","OTZ","17:52","17:49","48","50","-3","18:02","13","0","0","0","0","0"
"AS","12/23/2022","0152","N557AS","ANC","12:55","00:00","90","0","0","00:00","0","0","0","0","0","0"
"AS","12/23/2022","0153","N613AS","OTZ","17:59","18:34","48","52","35","18:45","11","0","0","4","0","35"
"AS","12/23/2023","0153","N556AS","OTZ","17:59","18:35","52","45","36","18:44","9","0","0","0","0","29"
"AS","12/24/2021","0152","N618AS","ANC","11:27","11:24","86","80","-3","11:36","12","0","0","0","0","0"
"AS","12/24/2021","0153","N613AS","OTZ","17:52","00:00","48","0","0","00:00","0","0","0","0","0","0"
"AS","12/24/2022","0152","N596AS","ANC","12:55","12:55","90","86","0","13:00","5","0","0","0","0","0"
"AS","12/24/2022","0153","N612AS","OTZ","17:59","17:38","48","52","-21","17:47","9","0","0","0","0","0"
"AS","12/24/2023","0153","N587AS","OTZ","17:59","17:37","52","40","-22","17:41","4","0","0","0","0","0"
"AS","12/26/2021","0153","N613AS","OTZ","17:52","19:10","48","40","78","19:13","3","0","0","0","0","70"
"AS","12/26/2022","0152","N612AS","ANC","12:55","00:00","90","0","0","00:00","0","0","0","0","0","0"
"AS","12/26/2022","0153","N618AS","OTZ","17:59","17:49","48","55","-10","18:05","16","0","0","0","0","0"
"AS","12/26/2023","0153","N619AS","OTZ","17:59","17:41","52","50","-18","17:50","9","0","0","0","0","0"
"AS","12/27/2021","0152","N615AS","ANC","11:27","00:00","86","0","0","00:00","0","0","0","0","0","0"
"AS","12/27/2021","0153","N611AS","OTZ","17:52","18:16","48","110","24","19:27","71","1","0","62","0","23"
"AS","12/27/2022","0152","N513AS","ANC","12:55","12:34","90","92","-21","12:43","9","0","0","0","0","0"
