Detailed Statistics Departures  
Origin Airport: Norfolk, VA: Norfolk International (ORF)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0509","281NV","FLL","15:28","18:00","138","129","152","18:14","14","0","0","9","0","134"
"G4","12/01/2023","2910","257NV","SFB","18:10","18:15","122","114","5","18:26","11","0","0","0","0","0"
"G4","12/02/2021","0422","240NV","FLL","17:43","17:45","134","135","2","17:54","9","0","0","0","0","0"
"G4","12/02/2021","1874","286NV","PIE","21:33","21:21","128","111","-12","21:31","10","0","0","0","0","0"
"G4","12/02/2022","2884","317NV","SFB","14:21","14:26","112","102","5","14:36","10","0","0","0","0","0"
"G4","12/03/2021","2374","221NV","SFB","16:56","16:53","115","104","-3","17:02","9","0","0","0","0","0"
"G4","12/03/2023","0504","223NV","FLL","08:56","08:56","143","137","0","09:17","21","0","0","0","0","0"
"G4","12/04/2022","0509","222NV","FLL","15:28","16:40","138","124","72","16:50","10","0","0","7","0","51"
"G4","12/04/2023","1301","337NV","SFB","18:10","17:53","122","125","-17","18:05","12","0","0","0","0","0"
"G4","12/05/2021","0422","221NV","FLL","17:43","17:43","134","133","0","17:57","14","0","0","0","0","0"
"G4","12/05/2021","1874","321NV","PIE","21:33","21:07","128","127","-26","21:16","9","0","0","0","0","0"
"G4","12/05/2022","1309","224NV","SFB","16:59","17:05","112","113","6","17:17","12","0","0","0","0","0"
"G4","12/06/2021","2374","244NV","SFB","16:56","16:45","115","121","-11","16:54","9","0","0","0","0","0"
"G4","12/07/2023","0504","220NV","FLL","21:21","21:09","140","135","-12","21:23","14","0","0","0","0","0"
"G4","12/08/2022","0535","222NV","FLL","15:31","18:44","135","133","193","18:59","15","10","0","0","0","181"
"G4","12/08/2023","1278","296NV","SFB","17:37","17:35","118","114","-2","17:48","13","0","0","0","0","0"
"G4","12/09/2021","0422","338NV","FLL","17:43","19:34","134","120","111","19:45","11","0","0","0","0","97"
"G4","12/09/2021","1874","261NV","PIE","21:33","21:14","128","116","-19","21:23","9","0","0","0","0","0"
"G4","12/09/2022","2893","337NV","SFB","14:17","14:21","115","111","4","14:34","13","0","0","0","0","0"
"G4","12/10/2021","2374","244NV","SFB","16:56","16:52","115","116","-4","17:11","19","0","0","0","0","0"
"G4","12/10/2023","0533","220NV","FLL","21:21","23:39","140","148","138","23:52","13","0","0","8","0","138"
"G4","12/11/2022","0509","223NV","FLL","15:31","16:23","135","129","52","16:34","11","17","0","0","0","29"
"G4","12/11/2023","1269","218NV","SFB","17:37","17:38","118","117","1","17:49","11","0","0","0","0","0"
"G4","12/12/2021","0422","","FLL","17:43","00:00","134","0","0","00:00","0","0","0","0","0","0"
"G4","12/12/2021","1874","314NV","PIE","21:33","21:19","128","114","-14","21:28","9","0","0","0","0","0"
"G4","12/12/2022","1330","244NV","SFB","16:10","16:14","115","110","4","16:25","11","0","0","0","0","0"
"G4","12/13/2021","2374","218NV","SFB","16:56","16:54","115","108","-2","17:07","13","0","0","0","0","0"
"G4","12/13/2021","5422","221NV","FLL","17:40","17:56","134","141","16","18:17","21","0","0","17","0","6"
"G4","12/14/2023","0504","219NV","FLL","21:21","20:59","140","136","-22","21:09","10","0","0","0","0","0"
"G4","12/15/2023","1278","328NV","SFB","17:37","17:30","118","119","-7","17:50","20","0","0","0","0","0"
"G4","12/16/2021","0487","224NV","FLL","18:39","18:38","133","119","-1","18:48","10","0","0","0","0","0"
"G4","12/16/2021","1912","296NV","PIE","08:47","08:47","128","127","0","09:02","15","0","0","0","0","0"
"G4","12/16/2022","0518","232NV","FLL","08:54","09:07","135","178","13","09:24","17","0","0","56","0","0"
"G4","12/17/2021","2448","294NV","SFB","20:49","20:49","114","107","0","21:00","11","0","0","0","0","0"
"G4","12/17/2022","1288","244NV","SFB","15:17","15:47","115","117","30","15:56","9","4","0","2","0","26"
"G4","12/17/2022","1310","244NV","JAX","10:35","10:34","104","138","-1","10:45","11","0","0","33","0","0"
"G4","12/17/2023","0533","218NV","FLL","21:21","01:15","140","130","234","01:28","13","0","0","0","0","224"
"G4","12/18/2023","1269","331NV","SFB","17:37","17:46","118","112","9","17:57","11","0","0","0","0","0"
"G4","12/19/2021","0497","320NV","FLL","18:34","19:46","133","130","72","19:55","9","0","4","0","0","65"
"G4","12/19/2021","1911","284NV","PIE","08:57","08:51","128","129","-6","08:59","8","0","0","0","0","0"
"G4","12/19/2022","2112","234NV","FLL","08:54","09:18","135","143","24","09:44","26","0","0","24","0","8"
"G4","12/20/2021","2341","294NV","SFB","16:58","17:22","114","118","24","17:34","12","15","0","4","0","9"
"G4","12/20/2022","1309","244NV","SFB","14:12","14:32","115","112","20","14:43","11","6","0","0","0","11"
"G4","12/20/2022","1326","244NV","JAX","09:30","09:21","104","127","-9","09:31","10","0","0","0","0","0"
"G4","12/21/2021","0482","234NV","FLL","13:34","13:34","133","146","0","13:48","14","0","0","0","0","0"
"G4","12/21/2021","1931","223NV","PIE","11:07","11:06","128","140","-1","11:19","13","0","0","0","0","0"
"G4","12/21/2023","2122","221NV","FLL","21:24","22:48","140","121","84","22:58","10","0","0","0","0","65"
"G4","12/22/2021","2355","310NV","SFB","16:16","16:24","114","112","8","16:34","10","0","0","0","0","0"
"G4","12/22/2022","0519","235NV","FLL","19:26","22:25","135","227","179","23:09","44","0","20","92","0","159"
"G4","12/22/2022","1242","244NV","SFB","15:17","15:15","115","116","-2","15:27","12","0","0","0","0","0"
"G4","12/22/2022","1310","244NV","JAX","10:35","10:30","104","102","-5","10:43","13","0","0","0","0","0"
"G4","12/22/2023","1322","331NV","SFB","15:41","15:42","118","111","1","15:57","15","0","0","0","0","0"
