Detailed Statistics Departures  
Origin Airport: Norfolk, VA: Norfolk International (ORF)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0756","N864NN","MIA","06:00","05:58","155","150","-2","06:28","30","0","0","0","0","0"
"AA","12/01/2021","1075","N717UW","CLT","09:06","09:00","93","80","-6","09:19","19","0","0","0","0","0"
"AA","12/01/2021","1323","N732US","CLT","20:19","20:11","96","86","-8","20:28","17","0","0","0","0","0"
"AA","12/01/2021","1829","N119US","CLT","15:22","15:19","98","84","-3","15:36","17","0","0","0","0","0"
"AA","12/01/2021","2274","N948NN","DFW","07:05","07:02","224","208","-3","07:17","15","0","0","0","0","0"
"AA","12/01/2021","2480","N916NN","DFW","17:15","17:15","226","196","0","17:27","12","0","0","0","0","0"
"AA","12/01/2022","0310","N997NN","MIA","06:30","06:27","152","133","-3","06:38","11","0","0","0","0","0"
"AA","12/01/2022","1316","N805NN","CLT","10:30","10:27","85","86","-3","10:43","16","0","0","0","0","0"
"AA","12/01/2022","1323","N601AW","CLT","19:58","19:50","89","87","-8","20:11","21","0","0","0","0","0"
"AA","12/01/2022","1829","N854NN","CLT","16:18","16:09","85","80","-9","16:20","11","0","0","0","0","0"
"AA","12/01/2022","2274","N908NN","DFW","06:50","06:42","221","217","-8","06:54","12","0","0","0","0","0"
"AA","12/01/2022","2291","N700UW","CLT","17:55","18:05","87","102","10","18:18","13","0","0","15","0","10"
"AA","12/01/2022","2638","N996NN","DFW","17:15","17:03","220","246","-12","17:17","14","0","0","0","0","0"
"AA","12/01/2023","0756","N324SH","MIA","06:05","06:00","144","153","-5","06:28","28","0","0","0","0","0"
"AA","12/01/2023","1323","N125UW","CLT","09:17","09:11","83","96","-6","09:30","19","0","0","0","0","0"
"AA","12/01/2023","1848","N760US","CLT","18:06","18:04","90","105","-2","18:38","34","0","0","0","0","0"
"AA","12/01/2023","2155","N943NN","CLT","05:10","05:05","84","80","-5","05:16","11","0","0","0","0","0"
"AA","12/01/2023","2274","N920NN","DFW","06:45","06:45","220","234","0","07:13","28","0","0","0","0","0"
"AA","12/01/2023","2282","N961AN","DFW","15:30","15:25","220","235","-5","15:36","11","0","0","0","0","0"
"AA","12/01/2023","2288","N824NN","DFW","19:10","19:05","220","221","-5","19:19","14","0","0","0","0","0"
"AA","12/01/2023","2296","N880NN","CLT","11:05","10:59","84","97","-6","11:32","33","0","0","0","0","0"
"AA","12/02/2021","0756","N954NN","MIA","06:00","05:54","155","127","-6","06:10","16","0","0","0","0","0"
"AA","12/02/2021","1075","N524UW","CLT","09:16","09:09","93","74","-7","09:24","15","0","0","0","0","0"
"AA","12/02/2021","1323","N818AW","CLT","20:19","20:10","96","78","-9","20:22","12","0","0","0","0","0"
"AA","12/02/2021","1829","N103US","CLT","15:22","15:19","98","70","-3","15:29","10","0","0","0","0","0"
"AA","12/02/2021","2069","N732US","CLT","05:04","04:54","90","66","-10","05:04","10","0","0","0","0","0"
"AA","12/02/2021","2274","N894NN","DFW","07:05","07:59","224","209","54","08:17","18","39","0","0","0","0"
"AA","12/02/2021","2480","N839NN","DFW","17:15","17:16","226","204","1","17:31","15","0","0","0","0","0"
"AA","12/02/2022","0310","N814NN","MIA","06:30","06:28","152","127","-2","06:40","12","0","0","0","0","0"
"AA","12/02/2022","1316","N881NN","CLT","10:30","10:25","85","92","-5","10:37","12","0","0","0","0","0"
"AA","12/02/2022","1323","N667AW","CLT","19:58","19:57","89","74","-1","20:11","14","0","0","0","0","0"
"AA","12/02/2022","1829","N878NN","CLT","16:18","16:13","85","74","-5","16:25","12","0","0","0","0","0"
"AA","12/02/2022","2274","N306NY","DFW","06:50","06:45","221","236","-5","07:18","33","0","0","0","0","0"
"AA","12/02/2022","2291","N766US","CLT","17:55","18:06","87","77","11","18:22","16","0","0","0","0","0"
"AA","12/02/2022","2638","N884NN","DFW","17:15","17:08","220","224","-7","17:22","14","0","0","0","0","0"
"AA","12/02/2023","0756","N342SX","MIA","06:05","06:06","144","150","1","06:26","20","0","0","0","0","0"
"AA","12/02/2023","1323","N741UW","CLT","09:07","09:01","83","78","-6","09:10","9","0","0","0","0","0"
"AA","12/02/2023","1848","N121UW","CLT","18:06","18:06","90","86","0","18:22","16","0","0","0","0","0"
"AA","12/02/2023","2155","N878NN","CLT","05:10","05:09","84","70","-1","05:18","9","0","0","0","0","0"
"AA","12/02/2023","2274","N944NN","DFW","06:49","06:45","220","213","-4","06:57","12","0","0","0","0","0"
"AA","12/02/2023","2282","N854NN","DFW","15:30","15:29","220","236","-1","15:45","16","0","0","15","0","0"
"AA","12/03/2021","0756","N811NN","MIA","06:00","05:53","155","130","-7","06:04","11","0","0","0","0","0"
"AA","12/03/2021","1075","N553UW","CLT","09:16","09:14","93","78","-2","09:35","21","0","0","0","0","0"
"AA","12/03/2021","1323","N717UW","CLT","20:19","21:07","96","63","48","21:15","8","15","0","0","0","0"
"AA","12/03/2021","1829","N119US","CLT","15:22","15:18","98","80","-4","15:37","19","0","0","0","0","0"
"AA","12/03/2021","2069","N737US","CLT","05:04","04:56","90","66","-8","05:08","12","0","0","0","0","0"
"AA","12/03/2021","2274","N853NN","DFW","07:05","07:03","224","211","-2","07:14","11","0","0","0","0","0"
"AA","12/03/2021","2480","N841NN","DFW","17:15","17:16","226","223","1","17:30","14","0","0","0","0","0"
"AA","12/03/2022","0310","N895NN","MIA","06:30","06:25","152","128","-5","06:45","20","0","0","0","0","0"
"AA","12/03/2022","1316","N939NN","CLT","10:30","10:20","85","83","-10","10:33","13","0","0","0","0","0"
"AA","12/03/2022","1323","N668AW","CLT","20:24","20:17","89","83","-7","20:40","23","0","0","0","0","0"
"AA","12/03/2022","1829","N866NN","CLT","16:18","16:46","85","72","28","16:59","13","0","0","0","0","15"
"AA","12/03/2022","2274","N998NN","DFW","06:50","06:48","221","215","-2","07:01","13","0","0","0","0","0"
"AA","12/03/2022","2638","N841NN","DFW","17:15","17:16","220","215","1","17:27","11","0","0","0","0","0"
"AA","12/03/2023","0756","N306RC","MIA","06:05","05:59","144","141","-6","06:14","15","0","0","0","0","0"
"AA","12/03/2023","1105","N725UW","CLT","20:20","20:10","90","75","-10","20:18","8","0","0","0","0","0"
"AA","12/03/2023","1323","N124US","CLT","09:17","09:22","83","85","5","09:39","17","0","0","0","0","0"
"AA","12/03/2023","1848","N772XF","CLT","18:06","18:03","90","86","-3","18:14","11","0","0","0","0","0"
"AA","12/03/2023","2155","N814AW","CLT","05:15","05:11","89","78","-4","05:24","13","0","0","0","0","0"
