Detailed Statistics Departures  
Origin Airport: Norfolk, VA: Norfolk International (ORF)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6017","N89342","IAD","06:15","08:00","68","55","105","08:09","9","92","0","0","0","0"
"YV","12/01/2021","6058","N88346","IAH","14:35","14:50","225","202","15","15:02","12","0","0","0","0","0"
"YV","12/01/2021","6155","N85373","ORD","06:30","06:33","152","143","3","06:50","17","0","0","0","0","0"
"YV","12/01/2021","6313","N89321","IAD","15:00","14:57","77","60","-3","15:10","13","0","0","0","0","0"
"YV","12/01/2022","6086","N86324","IAD","06:25","06:34","68","54","9","06:43","9","0","0","0","0","0"
"YV","12/01/2022","6313","N89304","IAD","14:56","14:50","68","88","-6","15:38","48","0","0","0","0","0"
"YV","12/01/2023","6029","N89321","IAD","06:23","06:23","67","55","0","06:34","11","0","0","0","0","0"
"YV","12/01/2023","6313","N89321","IAD","14:50","14:42","73","57","-8","14:52","10","0","0","0","0","0"
"YV","12/02/2021","6058","N87318","IAH","14:35","14:35","225","190","0","14:53","18","0","0","0","0","0"
"YV","12/02/2021","6155","N86336","ORD","06:30","06:44","152","143","14","06:59","15","0","0","0","0","0"
"YV","12/02/2021","6313","N87306","IAD","15:00","14:50","77","118","-10","15:54","64","0","0","31","0","0"
"YV","12/02/2022","6086","N87345","IAD","06:25","06:17","68","83","-8","07:01","44","0","0","0","0","0"
"YV","12/02/2022","6313","N89317","IAD","14:56","14:46","68","55","-10","14:56","10","0","0","0","0","0"
"YV","12/02/2023","6029","N88332","IAD","06:23","06:58","67","67","35","07:22","24","0","35","0","0","0"
"YV","12/03/2021","6017","N89321","IAD","06:15","06:08","68","56","-7","06:20","12","0","0","0","0","0"
"YV","12/03/2021","6058","N87318","IAH","14:35","16:24","225","196","109","16:39","15","0","0","0","0","80"
"YV","12/03/2021","6155","N86375","ORD","06:30","06:30","152","149","0","06:42","12","0","0","0","0","0"
"YV","12/03/2021","6313","N85356","IAD","15:00","14:56","77","59","-4","15:12","16","0","0","0","0","0"
"YV","12/03/2022","6086","N88330","IAD","06:25","06:18","68","59","-7","06:28","10","0","0","0","0","0"
"YV","12/03/2023","6029","","IAD","06:23","00:00","67","0","0","00:00","0","0","0","0","0","0"
"YV","12/03/2023","6077","N85320","IAD","19:54","19:46","73","63","-8","19:57","11","0","0","0","0","0"
"YV","12/03/2023","6137","N93305","IAD","10:35","10:44","67","59","9","10:56","12","0","0","0","0","0"
"YV","12/04/2021","6062","N85351","IAD","06:15","06:12","68","61","-3","06:26","14","0","0","0","0","0"
"YV","12/04/2021","6121","N85376","IAH","14:35","14:50","225","186","15","15:03","13","0","0","0","0","0"
"YV","12/04/2021","6127","N89342","ORD","06:30","06:21","152","137","-9","06:34","13","0","0","0","0","0"
"YV","12/04/2022","6086","N89304","IAD","06:25","06:20","68","49","-5","06:29","9","0","0","0","0","0"
"YV","12/04/2023","6029","N89313","IAD","06:23","06:20","67","49","-3","06:31","11","0","0","0","0","0"
"YV","12/05/2021","6121","N85379","IAH","14:35","14:35","225","190","0","14:45","10","0","0","0","0","0"
"YV","12/05/2021","6127","N82366","ORD","06:30","06:22","152","139","-8","06:35","13","0","0","0","0","0"
"YV","12/05/2022","6086","N87318","IAD","06:25","06:21","68","87","-4","07:08","47","0","0","15","0","0"
"YV","12/05/2022","6313","N88326","IAD","14:56","14:51","68","68","-5","15:04","13","0","0","0","0","0"
"YV","12/05/2023","6029","N89313","IAD","06:23","06:18","67","61","-5","06:35","17","0","0","0","0","0"
"YV","12/05/2023","6137","N85354","IAD","10:35","10:31","67","47","-4","10:41","10","0","0","0","0","0"
"YV","12/05/2023","6313","N88301","IAD","14:50","14:50","73","100","0","15:51","61","0","0","27","0","0"
"YV","12/06/2021","6062","N84307","IAD","06:15","06:18","68","65","3","06:31","13","0","0","0","0","0"
"YV","12/06/2021","6127","N85363","ORD","06:30","06:27","152","161","-3","06:47","20","0","0","0","0","0"
"YV","12/06/2022","6086","N89317","IAD","06:25","06:23","68","61","-2","06:35","12","0","0","0","0","0"
"YV","12/06/2022","6313","N78361","IAD","14:56","14:52","68","63","-4","15:05","13","0","0","0","0","0"
"YV","12/06/2023","6029","N85323","IAD","06:23","06:18","67","61","-5","06:31","13","0","0","0","0","0"
"YV","12/06/2023","6137","N88328","IAD","10:35","10:30","67","76","-5","10:51","21","0","0","0","0","0"
"YV","12/06/2023","6313","N88327","IAD","14:50","14:45","73","124","-5","16:06","81","0","0","46","0","0"
"YV","12/07/2021","6127","N86371","ORD","06:30","06:30","152","149","0","06:48","18","0","0","0","0","0"
"YV","12/07/2022","6086","N87319","IAD","06:25","06:22","68","60","-3","06:35","13","0","0","0","0","0"
