Detailed Statistics Departures  
Origin Airport: Norfolk, VA: Norfolk International (ORF)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3596","N644RW","EWR","17:55","17:46","94","118","-9","18:02","16","0","0","15","0","0"
"YX","12/01/2021","3597","N654RW","EWR","06:00","05:53","94","94","-7","06:10","17","0","0","0","0","0"
"YX","12/01/2021","3602","N656RW","EWR","14:40","14:38","97","121","-2","15:27","49","0","0","22","0","0"
"YX","12/01/2021","3604","N656RW","EWR","19:10","19:06","94","116","-4","19:34","28","0","0","18","0","0"
"YX","12/01/2021","3658","N657RW","ORD","17:20","17:13","151","137","-7","17:24","11","0","0","0","0","0"
"YX","12/01/2021","4527","N425YX","JFK","10:47","10:40","83","76","-7","10:53","13","0","0","0","0","0"
"YX","12/01/2021","4560","N124HQ","LGA","14:01","13:54","88","83","-7","14:11","17","0","0","0","0","0"
"YX","12/01/2021","4561","N123HQ","CLT","18:41","18:35","104","74","-6","18:46","11","0","0","0","0","0"
"YX","12/01/2021","4586","N401YX","LGA","06:00","05:54","83","83","-6","06:03","9","0","0","0","0","0"
"YX","12/01/2021","4626","N432YX","LGA","11:17","11:06","88","76","-11","11:15","9","0","0","0","0","0"
"YX","12/01/2021","4627","N414YX","LGA","17:40","17:30","90","84","-10","17:46","16","0","0","0","0","0"
"YX","12/01/2021","4649","N110HQ","JFK","08:03","07:57","86","84","-6","08:18","21","0","0","0","0","0"
"YX","12/01/2021","4653","N117HQ","JFK","15:07","15:00","82","78","-7","15:14","14","0","0","0","0","0"
"YX","12/01/2021","4761","N425YX","JFK","19:30","19:24","85","77","-6","19:39","15","0","0","0","0","0"
"YX","12/01/2021","4862","N105HQ","DCA","16:11","15:59","62","60","-12","16:14","15","0","0","0","0","0"
"YX","12/01/2021","4964","N420YX","PHL","17:48","17:42","71","74","-6","17:59","17","0","0","0","0","0"
"YX","12/01/2021","4996","N129HQ","JFK","13:59","13:53","81","83","-6","14:08","15","0","0","0","0","0"
"YX","12/01/2022","3478","N732YX","EWR","06:01","06:00","99","107","-1","06:24","24","0","0","0","0","0"
"YX","12/01/2022","3480","N729YX","ORD","16:55","16:46","156","140","-9","17:04","18","0","0","0","0","0"
"YX","12/01/2022","3578","N727YX","EWR","14:26","15:04","104","128","38","15:51","47","0","0","62","0","0"
"YX","12/01/2022","4446","N118HQ","JFK","14:40","14:34","85","77","-6","14:51","17","0","0","0","0","0"
"YX","12/01/2022","4528","N423YX","JFK","20:10","20:04","80","126","-6","20:56","52","0","0","40","0","0"
"YX","12/01/2022","4619","N116HQ","LGA","05:47","05:36","92","77","-11","05:48","12","0","0","0","0","0"
"YX","12/01/2022","4649","N121HQ","JFK","06:00","05:50","86","75","-10","06:03","13","0","0","0","0","0"
"YX","12/01/2022","4677","N867RW","LGA","14:49","14:36","86","102","-13","15:06","30","0","0","0","0","0"
"YX","12/01/2022","5706","N221JQ","LGA","17:59","17:55","90","104","-4","18:12","17","0","0","0","0","0"
"YX","12/01/2022","5786","N230JQ","LGA","06:01","05:54","89","78","-7","06:06","12","0","0","0","0","0"
"YX","12/01/2023","3454","N754YX","EWR","18:45","18:24","106","95","-21","18:41","17","0","0","0","0","0"
"YX","12/01/2023","3575","N721YX","EWR","17:20","17:17","105","92","-3","17:28","11","0","0","0","0","0"
"YX","12/01/2023","3633","N733YX","IAD","19:54","19:45","73","61","-9","19:55","10","0","0","0","0","0"
"YX","12/01/2023","4336","N136HQ","JFK","09:38","09:35","84","83","-3","09:51","16","0","0","0","0","0"
"YX","12/01/2023","4454","N430YX","LGA","12:38","12:38","86","87","0","13:03","25","0","0","0","0","0"
"YX","12/01/2023","4586","N129HQ","LGA","06:04","06:02","85","120","-2","07:01","59","0","0","33","0","0"
"YX","12/01/2023","5642","N227JQ","BOS","12:41","12:36","109","93","-5","12:47","11","0","0","0","0","0"
"YX","12/02/2021","3596","N651RW","EWR","18:00","17:55","94","103","-5","18:16","21","0","0","0","0","0"
"YX","12/02/2021","3597","N740YX","EWR","06:00","06:01","94","83","1","06:16","15","0","0","0","0","0"
"YX","12/02/2021","3602","N657RW","EWR","14:40","14:38","97","101","-2","14:56","18","0","0","0","0","0"
"YX","12/02/2021","3604","N657RW","EWR","19:10","19:30","94","142","20","20:12","42","0","0","68","0","0"
"YX","12/02/2021","3658","N643RW","ORD","17:25","17:34","150","150","9","17:50","16","0","0","0","0","0"
"YX","12/02/2021","4527","N445YX","JFK","10:47","10:37","83","87","-10","10:52","15","0","0","0","0","0"
"YX","12/02/2021","4560","N871RW","LGA","14:01","16:37","88","87","156","16:56","19","0","155","0","0","0"
"YX","12/02/2021","4561","N106HQ","CLT","18:41","18:39","104","70","-2","18:49","10","0","0","0","0","0"
"YX","12/02/2021","4586","N124HQ","LGA","06:00","12:28","83","115","388","13:10","42","388","0","32","0","0"
"YX","12/02/2021","4626","N826MD","LGA","11:17","11:15","88","80","-2","11:27","12","0","0","0","0","0"
"YX","12/02/2021","4627","N134HQ","LGA","17:40","17:45","90","92","5","18:08","23","0","0","0","0","0"
"YX","12/02/2021","4649","N425YX","JFK","08:03","07:58","86","75","-5","08:10","12","0","0","0","0","0"
"YX","12/02/2021","4653","N118HQ","JFK","15:07","15:09","82","82","2","15:21","12","0","0","0","0","0"
"YX","12/02/2021","4761","N129HQ","JFK","19:30","19:22","85","80","-8","19:35","13","0","0","0","0","0"
"YX","12/02/2021","4862","N426YX","DCA","16:11","16:03","62","57","-8","16:15","12","0","0","0","0","0"
"YX","12/02/2021","4964","N133HQ","PHL","17:48","17:39","71","86","-9","18:01","22","0","0","0","0","0"
"YX","12/02/2021","4996","N443YX","JFK","13:59","13:50","81","85","-9","14:09","19","0","0","0","0","0"
"YX","12/02/2022","3478","N645RW","EWR","06:01","05:50","99","106","-11","06:27","37","0","0","0","0","0"
"YX","12/02/2022","3480","N741YX","ORD","16:55","16:45","156","128","-10","16:56","11","0","0","0","0","0"
"YX","12/02/2022","3578","N745YX","EWR","14:26","14:30","104","106","4","15:07","37","0","0","0","0","0"
"YX","12/02/2022","4446","N403YX","JFK","14:40","14:34","85","68","-6","14:42","8","0","0","0","0","0"
"YX","12/02/2022","4528","N119HQ","JFK","20:05","19:56","85","110","-9","20:26","30","0","0","16","0","0"
"YX","12/02/2022","4619","N806MD","LGA","05:47","05:37","92","92","-10","06:07","30","0","0","0","0","0"
"YX","12/02/2022","4649","N423YX","JFK","06:00","05:56","86","100","-4","06:33","37","0","0","0","0","0"
"YX","12/02/2022","4677","N869RW","LGA","14:49","14:40","86","75","-9","14:53","13","0","0","0","0","0"
