Detailed Statistics Departures  
Origin Airport: North Platte, NE: North Platte Regional Airport Lee Bird Field (LBF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5094","N246PS","DEN","08:00","07:50","81","86","-10","08:31","41","0","0","0","0","0"
"OO","12/01/2021","5133","N920SW","DEN","11:15","11:04","75","78","-11","11:15","11","0","0","0","0","0"
"OO","12/01/2022","5040","N976SW","SUX","21:39","21:35","80","58","-4","21:50","15","0","0","0","0","0"
"OO","12/01/2022","5048","N856AS","DEN","19:18","19:07","80","67","-11","19:19","12","0","0","0","0","0"
"OO","12/01/2022","5088","N913EV","DEN","10:20","10:11","80","87","-9","10:49","38","0","0","0","0","0"
"OO","12/01/2023","5025","N958SW","DEN","19:20","19:13","72","57","-7","19:19","6","0","0","0","0","0"
"OO","12/01/2023","5056","N875AS","DEN","06:10","06:00","72","76","-10","06:26","26","0","0","0","0","0"
"OO","12/02/2021","5094","N903SW","DEN","08:00","07:55","81","60","-5","08:04","9","0","0","0","0","0"
"OO","12/02/2021","5133","N906EV","DEN","11:15","11:07","75","78","-8","11:17","10","0","0","0","0","0"
"OO","12/02/2022","5040","N876AS","SUX","21:39","21:32","80","83","-7","22:03","31","0","0","0","0","0"
"OO","12/02/2022","5048","N954SW","DEN","19:18","19:10","80","97","-8","19:54","44","0","0","0","0","0"
"OO","12/02/2022","5088","N976SW","DEN","10:20","10:29","80","88","9","11:02","33","17","0","0","0","0"
"OO","12/02/2023","5025","N463SW","DEN","19:20","19:23","72","73","3","19:44","21","0","0","0","0","0"
"OO","12/02/2023","5056","N930EV","DEN","06:10","06:01","72","88","-9","06:28","27","0","0","0","0","0"
"OO","12/03/2021","5094","N986SW","DEN","08:00","07:49","81","61","-11","07:59","10","0","0","0","0","0"
"OO","12/03/2021","5133","N978SW","DEN","11:15","11:05","75","82","-10","11:15","10","0","0","0","0","0"
"OO","12/03/2022","5040","N945SW","SUX","21:39","21:29","80","53","-10","21:38","9","0","0","0","0","0"
"OO","12/03/2022","5048","N937EV","DEN","19:18","19:14","80","67","-4","19:23","9","0","0","0","0","0"
"OO","12/03/2022","5088","N876AS","DEN","10:20","10:19","80","89","-1","10:52","33","0","0","0","0","0"
