Detailed Statistics Departures  
Origin Airport: Oakland, CA: Metro Oakland International (OAK)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3454","N196SY","PDX","11:43","11:42","97","92","-1","11:53","11","0","0","0","0","0"
"OO","12/01/2021","3747","N288SY","LAX","07:17","07:14","82","104","-3","07:34","20","19","0","0","0","0"
"OO","12/01/2021","3769","N280SY","LAX","16:05","16:01","79","106","-4","16:15","14","23","0","0","0","0"
"OO","12/01/2021","3787","N302SY","SLC","17:05","16:57","111","102","-8","17:07","10","0","0","0","0","0"
"OO","12/01/2021","3996","N251SY","SLC","19:10","18:57","112","106","-13","19:10","13","0","0","0","0","0"
"OO","12/01/2021","4063","N261SY","SLC","10:00","09:57","105","105","-3","10:08","11","0","0","0","0","0"
"OO","12/01/2021","4081","N263SY","LAX","11:20","12:28","82","93","68","12:43","15","79","0","0","0","0"
"OO","12/01/2022","3328","N199SY","PDX","17:00","16:54","98","96","-6","17:03","9","0","0","0","0","0"
"OO","12/01/2022","3747","N246SY","LAX","07:30","07:25","90","106","-5","08:08","43","0","0","0","0","0"
"OO","12/01/2022","3779","N246SY","SLC","16:28","16:21","109","90","-7","16:33","12","0","0","0","0","0"
"OO","12/01/2022","3923","N242SY","LAX","17:04","16:56","86","85","-8","17:13","17","0","0","0","0","0"
"OO","12/01/2022","4081","N246SY","LAX","12:08","11:59","88","88","-9","12:16","17","0","0","0","0","0"
"OO","12/01/2023","3351","N194SY","PDX","17:25","17:21","103","109","-4","17:34","13","0","0","0","0","0"
"OO","12/01/2023","3468","N197SY","PDX","07:15","07:09","103","107","-6","07:19","10","0","0","0","0","0"
"OO","12/01/2023","3903","N264SY","SLC","17:30","17:25","112","120","-5","17:36","11","0","0","0","0","0"
"OO","12/01/2023","3989","N285SY","LAX","07:15","07:13","88","75","-2","07:29","16","0","0","0","0","0"
"OO","12/01/2023","4041","N269SY","LAX","12:00","11:58","87","74","-2","12:08","10","0","0","0","0","0"
"OO","12/02/2021","3366","N188SY","PDX","20:55","20:52","98","93","-3","21:01","9","0","0","0","0","0"
"OO","12/02/2021","3454","N194SY","PDX","11:43","11:37","97","94","-6","11:49","12","0","0","0","0","0"
"OO","12/02/2021","3747","N304SY","LAX","07:17","07:12","82","82","-5","07:20","8","0","0","0","0","0"
"OO","12/02/2021","3769","N275SY","LAX","16:05","16:00","79","80","-5","16:10","10","0","0","0","0","0"
"OO","12/02/2021","3787","N295SY","SLC","17:05","16:56","111","104","-9","17:10","14","0","0","0","0","0"
"OO","12/02/2021","3996","N610CZ","SLC","19:10","19:05","112","109","-5","19:17","12","0","0","0","0","0"
"OO","12/02/2021","4063","N240SY","SLC","10:00","09:52","105","111","-8","10:10","18","0","0","0","0","0"
"OO","12/02/2021","4081","N304SY","LAX","11:20","11:14","82","80","-6","11:25","11","0","0","0","0","0"
"OO","12/02/2022","3328","N411SY","PDX","17:00","16:54","98","95","-6","17:04","10","0","0","0","0","0"
"OO","12/02/2022","3747","N293SY","LAX","07:30","07:25","90","91","-5","07:55","30","0","0","0","0","0"
"OO","12/02/2022","3779","N293SY","SLC","16:28","16:24","109","87","-4","16:35","11","0","0","0","0","0"
"OO","12/02/2022","3923","N256SY","LAX","17:04","16:54","86","82","-10","17:07","13","0","0","0","0","0"
"OO","12/02/2022","4081","N293SY","LAX","12:08","12:02","88","79","-6","12:18","16","0","0","0","0","0"
"OO","12/02/2023","3351","N410SY","PDX","17:25","17:17","103","102","-8","17:27","10","0","0","0","0","0"
"OO","12/02/2023","3468","N408SY","PDX","07:15","07:05","103","111","-10","07:16","11","0","0","0","0","0"
"OO","12/02/2023","3903","N298SY","SLC","17:30","17:26","112","110","-4","17:36","10","0","0","0","0","0"
"OO","12/02/2023","3989","N268SY","LAX","07:15","07:07","88","69","-8","07:18","11","0","0","0","0","0"
"OO","12/02/2023","4041","N282SY","LAX","12:00","11:51","87","76","-9","12:06","15","0","0","0","0","0"
"OO","12/03/2021","3366","N194SY","PDX","20:55","20:44","98","96","-11","20:53","9","0","0","0","0","0"
"OO","12/03/2021","3454","N182SY","PDX","11:43","11:43","97","93","0","11:52","9","0","0","0","0","0"
"OO","12/03/2021","3747","N304SY","LAX","07:17","07:09","82","85","-8","07:20","11","0","0","0","0","0"
"OO","12/03/2021","3769","N275SY","LAX","16:05","15:56","79","90","-9","16:12","16","0","0","0","0","0"
"OO","12/03/2021","3787","N288SY","SLC","17:05","17:00","111","106","-5","17:14","14","0","0","0","0","0"
"OO","12/03/2021","3996","N603CZ","SLC","19:10","18:59","112","110","-11","19:12","13","0","0","0","0","0"
"OO","12/03/2021","4063","N294SY","SLC","10:00","09:57","105","105","-3","10:08","11","0","0","0","0","0"
"OO","12/03/2021","4081","N283SY","LAX","11:20","11:15","82","78","-5","11:25","10","0","0","0","0","0"
"OO","12/03/2022","3747","N310SY","LAX","07:30","07:26","90","77","-4","07:37","11","0","0","0","0","0"
"OO","12/03/2022","3779","N310SY","SLC","16:28","16:26","109","93","-2","16:36","10","0","0","0","0","0"
"OO","12/03/2022","4081","N310SY","LAX","12:08","12:00","88","81","-8","12:16","16","0","0","0","0","0"
"OO","12/03/2023","3351","N194SY","PDX","17:25","17:20","103","100","-5","17:33","13","0","0","0","0","0"
"OO","12/03/2023","3903","N288SY","SLC","17:15","17:12","112","118","-3","17:37","25","0","0","0","0","0"
"OO","12/03/2023","3989","N282SY","LAX","07:15","07:10","88","73","-5","07:22","12","0","0","0","0","0"
"OO","12/03/2023","4041","N302SY","LAX","12:00","11:51","87","80","-9","12:08","17","0","0","0","0","0"
"OO","12/04/2021","3454","N402SY","PDX","11:43","11:34","97","99","-9","11:42","8","0","0","0","0","0"
"OO","12/04/2021","3747","N283SY","LAX","07:17","07:11","82","88","-6","07:24","13","0","0","0","0","0"
"OO","12/04/2021","3769","N291SY","LAX","16:05","15:59","79","74","-6","16:08","9","0","0","0","0","0"
"OO","12/04/2021","3787","N278SY","SLC","17:05","16:59","111","95","-6","17:10","11","0","0","0","0","0"
"OO","12/04/2021","4063","N251SY","SLC","10:00","10:06","105","105","6","10:21","15","0","0","0","0","0"
"OO","12/04/2021","4081","N291SY","LAX","11:20","11:38","82","83","18","11:48","10","19","0","0","0","0"
"OO","12/04/2022","3328","N413SY","PDX","17:00","17:10","98","102","10","17:24","14","0","0","0","0","0"
"OO","12/04/2022","3474","N411SY","PDX","10:00","00:00","98","0","0","00:00","0","0","0","0","0","0"
"OO","12/04/2022","3747","N250SY","LAX","07:30","07:27","90","78","-3","07:43","16","0","0","0","0","0"
"OO","12/04/2022","3779","N250SY","SLC","16:28","16:22","109","102","-6","16:45","23","0","0","0","0","0"
"OO","12/04/2022","3923","N293SY","LAX","17:04","17:21","86","78","17","17:35","14","0","0","0","0","0"
"OO","12/04/2022","4081","N250SY","LAX","12:08","12:03","88","82","-5","12:18","15","0","0","0","0","0"
"OO","12/04/2023","3351","N403SY","PDX","17:25","17:25","103","106","0","17:40","15","0","0","0","0","0"
"OO","12/04/2023","3468","N188SY","PDX","07:15","07:06","103","107","-9","07:27","21","0","0","0","0","0"
"OO","12/04/2023","3903","N286SY","SLC","17:30","17:28","112","106","-2","17:39","11","0","0","0","0","0"
"OO","12/04/2023","3952","N291SY","LAX","12:00","14:41","87","77","161","14:56","15","0","151","0","0","0"
"OO","12/04/2023","3989","N304SY","LAX","07:15","07:06","88","79","-9","07:23","17","0","0","0","0","0"
"OO","12/05/2021","3366","N187SY","PDX","20:55","23:00","98","100","125","23:13","13","0","0","0","0","127"
"OO","12/05/2021","3454","N174SY","PDX","11:43","12:22","97","106","39","12:31","9","0","0","0","0","48"
"OO","12/05/2021","3747","N269SY","LAX","07:17","07:11","83","89","-6","07:34","23","0","0","0","0","0"
"OO","12/05/2021","3769","N275SY","LAX","16:03","16:00","80","88","-3","16:25","25","0","0","0","0","0"
"OO","12/05/2021","3787","N272SY","SLC","17:15","17:01","112","103","-14","17:18","17","0","0","0","0","0"
"OO","12/05/2021","3996","N247SY","SLC","19:06","18:59","111","94","-7","19:07","8","0","0","0","0","0"
"OO","12/05/2021","4063","N259SY","SLC","10:18","10:13","112","95","-5","10:21","8","0","0","0","0","0"
"OO","12/05/2021","4081","N244SY","LAX","11:20","12:53","84","91","93","13:18","25","100","0","0","0","0"
"OO","12/05/2022","3328","N412SY","PDX","17:00","16:53","98","97","-7","17:04","11","0","0","0","0","0"
"OO","12/05/2022","3747","N311SY","LAX","07:30","07:22","90","81","-8","07:42","20","0","0","0","0","0"
"OO","12/05/2022","3779","N311SY","SLC","16:28","16:21","109","94","-7","16:35","14","0","0","0","0","0"
"OO","12/05/2022","3923","N308SY","LAX","17:04","17:02","86","75","-2","17:14","12","0","0","0","0","0"
"OO","12/05/2022","4081","N311SY","LAX","12:08","11:58","88","79","-10","12:10","12","0","0","0","0","0"
"OO","12/05/2023","3351","N178SY","PDX","17:25","17:20","103","94","-5","17:31","11","0","0","0","0","0"
"OO","12/05/2023","3468","N188SY","PDX","07:15","07:27","103","118","12","08:04","37","12","0","15","0","0"
"OO","12/05/2023","3903","N274SY","SLC","17:30","17:26","112","99","-4","17:40","14","0","0","0","0","0"
"OO","12/05/2023","3952","N279SY","LAX","12:00","13:58","87","80","118","14:10","12","0","111","0","0","0"
"OO","12/05/2023","3989","N289SY","LAX","07:15","07:14","88","86","-1","07:35","21","0","0","0","0","0"
"OO","12/06/2021","3366","N184SY","PDX","20:55","20:46","98","100","-9","20:55","9","0","0","0","0","0"
"OO","12/06/2021","3454","N179SY","PDX","11:43","11:42","97","99","-1","11:52","10","0","0","0","0","0"
"OO","12/06/2021","3747","N287SY","LAX","07:17","08:41","83","84","84","08:49","8","85","0","0","0","0"
"OO","12/06/2021","3769","N303SY","LAX","16:03","15:58","80","78","-5","16:12","14","0","0","0","0","0"
"OO","12/06/2021","3787","N292SY","SLC","17:15","17:09","112","96","-6","17:17","8","0","0","0","0","0"
"OO","12/06/2021","3996","N258SY","SLC","19:06","19:00","111","91","-6","19:10","10","0","0","0","0","0"
"OO","12/06/2021","4063","N603CZ","SLC","10:18","10:12","112","95","-6","10:21","9","0","0","0","0","0"
"OO","12/06/2021","4081","N268SY","LAX","11:20","11:14","84","77","-6","11:23","9","0","0","0","0","0"
"OO","12/06/2022","3747","N312SY","LAX","07:30","07:27","90","73","-3","07:38","11","0","0","0","0","0"
"OO","12/06/2022","3779","N308SY","SLC","16:28","16:24","109","115","-4","16:36","12","0","0","0","0","0"
"OO","12/06/2022","3923","N257SY","LAX","17:04","17:09","86","80","5","17:25","16","0","0","0","0","0"
"OO","12/06/2022","4081","N312SY","LAX","12:08","12:03","88","76","-5","12:12","9","0","0","0","0","0"
"OO","12/06/2023","3351","N187SY","PDX","17:25","18:36","103","104","71","18:57","21","71","0","1","0","0"
"OO","12/06/2023","3903","N286SY","SLC","17:30","17:25","112","102","-5","17:36","11","0","0","0","0","0"
"OO","12/06/2023","3952","N284SY","LAX","12:00","12:03","87","82","3","12:22","19","0","0","0","0","0"
"OO","12/06/2023","3989","N279SY","LAX","07:15","07:07","88","77","-8","07:20","13","0","0","0","0","0"
"OO","12/07/2021","3454","N402SY","PDX","11:43","11:35","97","97","-8","11:46","11","0","0","0","0","0"
"OO","12/07/2021","3747","N268SY","LAX","07:17","07:15","83","80","-2","07:24","9","0","0","0","0","0"
"OO","12/07/2021","3769","N289SY","LAX","16:03","15:57","80","72","-6","16:06","9","0","0","0","0","0"
"OO","12/07/2021","3787","N250SY","SLC","17:15","17:10","112","106","-5","17:18","8","0","0","0","0","0"
"OO","12/07/2021","3996","N241SY","SLC","19:06","19:05","111","107","-1","19:15","10","0","0","0","0","0"
"OO","12/07/2021","4063","N244SY","SLC","10:18","10:20","112","112","2","10:38","18","0","0","0","0","0"
"OO","12/07/2021","4081","N277SY","LAX","11:20","11:12","84","78","-8","11:27","15","0","0","0","0","0"
"OO","12/07/2022","3747","N256SY","LAX","07:30","07:25","90","75","-5","07:35","10","0","0","0","0","0"
"OO","12/07/2022","3779","N242SY","SLC","16:28","16:22","109","105","-6","16:33","11","0","0","0","0","0"
"OO","12/07/2022","3923","N317SY","LAX","17:04","16:59","86","79","-5","17:14","15","0","0","0","0","0"
"OO","12/07/2022","4081","N256SY","LAX","12:08","12:02","88","72","-6","12:13","11","0","0","0","0","0"
"OO","12/07/2023","3351","N413SY","PDX","17:25","17:19","103","113","-6","17:38","19","0","0","0","0","0"
"OO","12/07/2023","3903","N300SY","SLC","17:10","17:06","118","95","-4","17:18","12","0","0","0","0","0"
"OO","12/07/2023","3952","N301SY","LAX","11:00","10:52","89","81","-8","11:11","19","0","0","0","0","0"
"OO","12/07/2023","3989","N273SY","LAX","07:20","07:13","89","78","-7","07:23","10","0","0","0","0","0"
"OO","12/07/2023","3991","N289SY","LAX","16:50","16:43","88","89","-7","16:55","12","0","0","0","0","0"
"OO","12/08/2021","3454","N176SY","PDX","11:43","11:34","97","104","-9","11:44","10","0","0","0","0","0"
"OO","12/08/2021","3747","N282SY","LAX","07:17","07:13","83","74","-4","07:21","8","0","0","0","0","0"
"OO","12/08/2021","3769","N292SY","LAX","16:03","16:01","80","86","-2","16:17","16","0","0","0","0","0"
"OO","12/08/2021","3787","N302SY","SLC","17:15","17:11","112","105","-4","17:24","13","0","0","0","0","0"
"OO","12/08/2021","3996","N297SY","SLC","19:06","18:59","111","91","-7","19:08","9","0","0","0","0","0"
"OO","12/08/2021","4063","N258SY","SLC","10:18","10:12","112","96","-6","10:20","8","0","0","0","0","0"
"OO","12/08/2021","4081","N292SY","LAX","11:20","11:14","84","86","-6","11:29","15","0","0","0","0","0"
"OO","12/08/2022","3328","N181SY","PDX","17:00","16:58","98","110","-2","17:21","23","0","0","0","0","0"
"OO","12/08/2022","3747","N257SY","LAX","07:30","07:20","90","84","-10","07:37","17","0","0","0","0","0"
"OO","12/08/2022","3779","N257SY","SLC","16:28","16:25","109","94","-3","16:37","12","0","0","0","0","0"
"OO","12/08/2022","3923","N310SY","LAX","17:04","17:01","86","89","-3","17:27","26","0","0","0","0","0"
"OO","12/08/2022","4081","N257SY","LAX","12:08","11:58","88","85","-10","12:16","18","0","0","0","0","0"
"OO","12/08/2023","3351","N403SY","PDX","17:25","17:17","103","108","-8","17:32","15","0","0","0","0","0"
"OO","12/08/2023","3468","N186SY","PDX","07:15","07:10","103","112","-5","07:24","14","0","0","0","0","0"
"OO","12/08/2023","3903","N267SY","SLC","17:10","17:09","118","116","-1","17:22","13","0","0","0","0","0"
"OO","12/08/2023","3952","N276SY","LAX","11:00","10:55","89","70","-5","11:03","8","0","0","0","0","0"
"OO","12/08/2023","3989","N272SY","LAX","07:20","07:15","89","85","-5","07:27","12","0","0","0","0","0"
"OO","12/08/2023","3991","N272SY","LAX","16:50","16:44","88","108","-6","17:31","47","0","0","0","0","0"
"OO","12/09/2021","3366","N185SY","PDX","20:55","21:00","98","102","5","21:09","9","0","0","0","0","0"
"OO","12/09/2021","3454","N181SY","PDX","11:43","11:34","97","104","-9","11:47","13","0","0","0","0","0"
"OO","12/09/2021","3747","N267SY","LAX","07:17","07:13","83","76","-4","07:24","11","0","0","0","0","0"
"OO","12/09/2021","3769","N292SY","LAX","16:03","15:57","80","83","-6","16:07","10","0","0","0","0","0"
"OO","12/09/2021","3787","N287SY","SLC","17:15","17:33","112","103","18","17:44","11","0","0","0","0","0"
"OO","12/09/2021","3996","N261SY","SLC","19:06","19:01","111","106","-5","19:12","11","0","0","0","0","0"
"OO","12/09/2021","4063","N242SY","SLC","10:18","10:17","112","92","-1","10:25","8","0","0","0","0","0"
"OO","12/09/2021","4081","N282SY","LAX","11:20","11:13","84","95","-7","11:25","12","0","0","0","0","0"
"OO","12/09/2022","3328","N198SY","PDX","17:00","17:09","98","98","9","17:23","14","0","0","0","0","0"
"OO","12/09/2022","3747","N317SY","LAX","07:30","07:26","90","114","-4","08:14","48","20","0","0","0","0"
"OO","12/09/2022","3779","N317SY","SLC","16:28","16:23","109","107","-5","16:44","21","0","0","0","0","0"
"OO","12/09/2022","3923","N319SY","LAX","17:04","17:03","86","80","-1","17:21","18","0","0","0","0","0"
"OO","12/09/2022","4081","N317SY","LAX","12:08","12:02","88","83","-6","12:19","17","0","0","0","0","0"
"OO","12/09/2023","3351","N176SY","PDX","17:25","17:25","103","101","0","17:38","13","0","0","0","0","0"
"OO","12/09/2023","3468","N182SY","PDX","07:15","07:08","103","117","-7","07:20","12","0","0","0","0","0"
"OO","12/09/2023","3903","N302SY","SLC","17:10","17:33","118","110","23","17:48","15","15","0","0","0","0"
"OO","12/09/2023","3952","N301SY","LAX","11:00","10:57","89","70","-3","11:04","7","0","0","0","0","0"
"OO","12/09/2023","3989","N280SY","LAX","07:20","07:14","89","85","-6","07:29","15","0","0","0","0","0"
"OO","12/10/2021","3366","N184SY","PDX","20:55","20:49","98","106","-6","21:01","12","0","0","0","0","0"
"OO","12/10/2021","3454","N182SY","PDX","11:43","11:52","97","111","9","12:09","17","0","0","0","0","23"
"OO","12/10/2021","3747","N282SY","LAX","07:17","07:15","83","74","-2","07:26","11","0","0","0","0","0"
"OO","12/10/2021","3769","N298SY","LAX","16:03","16:02","80","77","-1","16:16","14","0","0","0","0","0"
"OO","12/10/2021","3787","N275SY","SLC","17:15","17:10","112","104","-5","17:25","15","0","0","0","0","0"
"OO","12/10/2021","3996","N614CZ","SLC","19:06","19:00","111","97","-6","19:08","8","0","0","0","0","0"
"OO","12/10/2021","4063","N613CZ","SLC","10:18","10:16","112","106","-2","10:25","9","0","0","0","0","0"
"OO","12/10/2021","4081","N289SY","LAX","11:20","11:16","84","103","-4","11:30","14","15","0","0","0","0"
"OO","12/10/2022","3747","N255SY","LAX","07:30","07:25","90","86","-5","07:47","22","0","0","0","0","0"
"OO","12/10/2022","3779","N242SY","SLC","16:28","16:40","109","94","12","16:51","11","0","0","0","0","0"
"OO","12/10/2022","4081","N255SY","LAX","12:08","12:07","88","90","-1","12:25","18","0","0","0","0","0"
"OO","12/10/2023","3351","N179SY","PDX","17:25","17:19","103","119","-6","17:40","21","0","0","0","0","0"
"OO","12/10/2023","3903","N289SY","SLC","17:10","17:00","118","107","-10","17:15","15","0","0","0","0","0"
"OO","12/10/2023","3952","N267SY","LAX","11:00","10:57","89","73","-3","11:07","10","0","0","0","0","0"
"OO","12/10/2023","3989","N280SY","LAX","07:20","07:11","89","98","-9","07:24","13","0","0","0","0","0"
