Detailed Statistics Departures  
Origin Airport: Oklahoma City, OK: Will Rogers World (OKC)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3597","N302RN","MIA","06:13","06:06","183","164","-7","06:20","14","0","0","0","0","0"
"MQ","12/01/2021","3605","N246NN","CLT","13:41","13:53","153","144","12","14:05","12","0","0","0","0","0"
"MQ","12/01/2021","3741","N205NN","DFW","18:33","18:27","70","69","-6","18:43","16","0","0","0","0","0"
"MQ","12/01/2021","4244","N244NN","AUS","18:30","18:27","83","74","-3","18:44","17","0","0","0","0","0"
"MQ","12/01/2022","4244","N298FR","AUS","17:58","17:54","77","79","-4","18:11","17","0","0","0","0","0"
"MQ","12/01/2023","3367","N285NN","ORD","05:37","06:24","127","132","47","06:34","10","47","0","5","0","0"
"MQ","12/01/2023","3557","N292NN","DFW","08:44","08:35","65","63","-9","08:50","15","0","0","0","0","0"
"MQ","12/01/2023","3792","N874RW","ORD","12:01","12:34","128","117","33","12:47","13","0","0","0","0","22"
"MQ","12/01/2023","3838","N248NN","DFW","16:41","16:32","66","72","-9","16:53","21","0","0","0","0","0"
"MQ","12/01/2023","3839","N761RW","ORD","17:20","17:29","128","128","9","17:41","12","0","0","0","0","0"
"MQ","12/01/2023","3895","N251NN","DFW","20:30","20:25","66","70","-5","20:42","17","0","0","0","0","0"
"MQ","12/02/2021","3597","N214NN","MIA","05:43","08:24","182","171","161","08:34","10","0","0","0","0","150"
"MQ","12/02/2021","3605","N258NN","CLT","13:43","13:41","153","159","-2","13:51","10","0","0","0","0","0"
"MQ","12/02/2021","3741","N265NN","DFW","18:33","18:31","70","61","-2","18:41","10","0","0","0","0","0"
"MQ","12/02/2021","4244","N292NN","AUS","18:33","18:25","83","78","-8","18:34","9","0","0","0","0","0"
"MQ","12/02/2022","4244","N218NN","AUS","17:58","17:49","77","72","-9","18:00","11","0","0","0","0","0"
"MQ","12/02/2023","3557","N216NN","DFW","08:44","11:33","65","53","169","11:41","8","0","0","0","0","157"
"MQ","12/02/2023","3792","N806MD","ORD","10:31","10:28","128","111","-3","10:45","17","0","0","0","0","0"
"MQ","12/02/2023","3838","N201NN","DFW","16:41","16:41","66","62","0","16:53","12","0","0","0","0","0"
"MQ","12/03/2021","3597","N275NN","MIA","05:43","05:40","182","177","-3","05:52","12","0","0","0","0","0"
"MQ","12/03/2021","3605","N293NN","CLT","13:43","13:38","153","148","-5","13:49","11","0","0","0","0","0"
"MQ","12/03/2021","3741","N269NN","DFW","18:33","18:28","70","78","-5","18:52","24","0","0","0","0","0"
"MQ","12/03/2021","4244","N249NN","AUS","18:33","18:30","83","77","-3","18:45","15","0","0","0","0","0"
"MQ","12/03/2023","3367","N809MD","ORD","05:30","05:21","127","143","-9","05:55","34","0","0","0","0","0"
"MQ","12/03/2023","3557","N203NN","DFW","08:44","08:42","65","58","-2","08:56","14","0","0","0","0","0"
"MQ","12/03/2023","3792","N636RW","ORD","12:52","12:58","128","111","6","13:07","9","0","0","0","0","0"
"MQ","12/03/2023","3838","N286NN","DFW","16:41","17:14","66","62","33","17:34","20","29","0","0","0","0"
"MQ","12/03/2023","3839","N772MR","ORD","17:20","17:34","128","122","14","17:50","16","0","0","0","0","0"
"MQ","12/03/2023","3895","N206NN","DFW","20:30","20:53","66","51","23","21:04","11","0","0","0","0","0"
"MQ","12/04/2021","3597","N284JN","MIA","05:38","05:35","182","170","-3","05:46","11","0","0","0","0","0"
"MQ","12/04/2021","3605","N238NN","CLT","13:43","13:47","153","151","4","14:00","13","0","0","0","0","0"
"MQ","12/04/2021","3741","N250NN","DFW","18:33","18:24","70","62","-9","18:41","17","0","0","0","0","0"
"MQ","12/04/2022","4244","N226NN","AUS","17:58","17:52","77","75","-6","18:03","11","0","0","0","0","0"
"MQ","12/04/2023","3367","N450YX","ORD","05:37","05:33","127","134","-4","05:44","11","0","0","0","0","0"
"MQ","12/04/2023","3557","N243NN","DFW","08:44","08:36","65","56","-8","08:49","13","0","0","0","0","0"
"MQ","12/04/2023","3792","N637RW","ORD","12:01","11:54","128","117","-7","12:07","13","0","0","0","0","0"
"MQ","12/04/2023","3838","N289MW","DFW","16:41","16:41","66","54","0","16:50","9","0","0","0","0","0"
"MQ","12/04/2023","3839","N763CC","ORD","17:20","17:13","128","121","-7","17:24","11","0","0","0","0","0"
"MQ","12/04/2023","3895","N209NN","DFW","20:30","20:31","66","69","1","20:47","16","0","0","0","0","0"
"MQ","12/05/2021","3597","N262NN","MIA","05:43","05:39","182","164","-4","05:49","10","0","0","0","0","0"
"MQ","12/05/2021","3605","N229NN","CLT","13:43","13:39","153","154","-4","13:48","9","0","0","0","0","0"
