Detailed Statistics Departures  
Origin Airport: Omaha, NE: Eppley Airfield (OMA)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0677","N236AK","SEA","17:07","17:01","225","236","-6","17:18","17","0","0","0","0","0"
"AS","12/01/2022","0676","N979AK","SEA","17:50","00:00","225","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0361","N953AK","SEA","13:55","13:47","230","208","-8","14:05","18","0","0","0","0","0"
"AS","12/02/2021","0677","N306AS","SEA","17:07","17:09","225","241","2","17:24","15","0","0","18","0","0"
"AS","12/02/2022","0676","N596AS","SEA","17:50","00:00","225","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2021","0677","N457AS","SEA","17:07","17:06","225","229","-1","17:19","13","0","0","0","0","0"
"AS","12/03/2022","0676","N553AS","SEA","17:50","17:43","225","242","-7","17:58","15","0","0","0","0","0"
"AS","12/03/2023","0361","N434AS","SEA","13:55","14:15","230","228","20","14:24","9","0","0","0","18","0"
"AS","12/04/2021","0677","N303AS","SEA","17:07","16:52","225","267","-15","17:03","11","0","0","27","0","0"
"AS","12/04/2022","0676","N273AK","SEA","17:50","17:49","225","222","-1","18:08","19","0","0","0","0","0"
"AS","12/04/2023","0361","N248AK","SEA","13:55","14:05","230","218","10","14:14","9","0","0","0","0","0"
"AS","12/05/2021","0677","N280AK","SEA","17:07","17:03","225","245","-4","17:20","17","0","0","16","0","0"
"AS","12/05/2022","0676","N435AS","SEA","17:50","17:41","225","253","-9","18:10","29","0","0","19","0","0"
"AS","12/06/2021","0677","N318AS","SEA","17:07","16:54","225","238","-13","17:14","20","0","0","0","0","0"
"AS","12/06/2022","0676","N934AK","SEA","17:50","17:44","225","222","-6","17:59","15","0","0","0","0","0"
"AS","12/06/2023","0361","N267AK","SEA","13:55","13:44","230","211","-11","13:59","15","0","0","0","0","0"
"AS","12/07/2021","0677","N278AK","SEA","17:07","17:06","225","217","-1","17:14","8","0","0","0","0","0"
"AS","12/07/2022","0676","N528AS","SEA","17:50","17:37","225","224","-13","18:08","31","0","0","0","0","0"
"AS","12/07/2023","0361","N479AS","SEA","13:55","14:19","230","198","24","14:30","11","0","0","0","0","0"
"AS","12/08/2021","0677","N281AK","SEA","17:07","16:51","225","213","-16","17:00","9","0","0","0","0","0"
"AS","12/08/2022","0676","N566AS","SEA","17:50","18:27","225","239","37","19:03","36","0","0","14","0","37"
"AS","12/08/2023","0361","N309AS","SEA","13:55","13:46","230","206","-9","13:59","13","0","0","0","0","0"
"AS","12/09/2021","0677","N402AS","SEA","17:07","16:59","225","230","-8","17:16","17","0","0","0","0","0"
"AS","12/09/2022","0676","N534AS","SEA","17:50","18:31","225","234","41","18:44","13","0","0","9","0","41"
"AS","12/10/2021","0677","N306AS","SEA","17:07","17:16","225","221","9","17:33","17","0","0","0","0","0"
"AS","12/10/2022","0676","N556AS","SEA","17:50","20:01","225","259","131","21:05","64","0","0","34","0","131"
"AS","12/10/2023","0361","N214AK","SEA","13:55","13:50","230","218","-5","14:05","15","0","0","0","0","0"
"AS","12/11/2021","0677","N546AS","SEA","17:07","16:49","225","242","-18","17:04","15","0","0","0","0","0"
"AS","12/11/2022","0676","N224AK","SEA","17:50","18:39","225","203","49","18:51","12","0","0","0","0","27"
"AS","12/11/2023","0361","N297AK","SEA","13:55","13:53","230","210","-2","14:01","8","0","0","0","0","0"
"AS","12/12/2021","0677","N248AK","SEA","17:07","16:54","225","250","-13","17:12","18","0","0","0","0","0"
"AS","12/12/2022","0676","N292AK","SEA","17:50","18:42","225","200","52","18:56","14","0","0","0","0","27"
"AS","12/13/2021","0677","N433AS","SEA","17:07","17:02","225","239","-5","17:19","17","0","0","0","0","0"
"AS","12/13/2022","0676","N581AS","SEA","17:50","17:43","225","193","-7","18:00","17","0","0","0","0","0"
