Detailed Statistics Departures  
Origin Airport: Omaha, NE: Eppley Airfield (OMA)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2023","1127","N388FR","DEN","20:34","21:17","114","94","43","21:27","10","0","0","0","0","23"
"F9","12/01/2023","4528","N326FR","MCO","10:35","10:27","194","171","-8","10:41","14","0","0","0","0","0"
"F9","12/02/2021","0938","N309FR","RSW","10:14","10:10","197","176","-4","10:23","13","0","0","0","0","0"
"F9","12/02/2021","1146","N310FR","MCO","20:01","19:41","188","174","-20","19:53","12","0","0","0","0","0"
"F9","12/02/2021","2059","N318FR","LAS","12:30","12:29","192","163","-1","12:42","13","0","0","0","0","0"
"F9","12/02/2022","0599","N367FR","DEN","14:51","14:43","110","102","-8","14:55","12","0","0","0","0","0"
"F9","12/02/2022","1146","N353FR","MCO","11:28","11:28","187","172","0","11:45","17","0","0","0","0","0"
"F9","12/02/2022","2059","N370FR","LAS","19:05","18:56","189","202","-9","19:07","11","0","0","0","0","0"
"F9","12/03/2021","0599","N365FR","DEN","14:10","14:20","110","94","10","14:35","15","0","0","0","0","0"
"F9","12/03/2022","0599","N334FR","DEN","14:51","15:11","110","108","20","15:23","12","13","0","0","0","5"
"F9","12/03/2023","3251","N338FR","LAS","22:22","22:14","202","168","-8","22:23","9","0","0","0","0","0"
"F9","12/04/2021","1148","N347FR","MCO","11:27","11:19","187","165","-8","11:29","10","0","0","0","0","0"
"F9","12/04/2023","1127","N378FR","DEN","20:44","20:40","114","97","-4","20:55","15","0","0","0","0","0"
"F9","12/04/2023","3809","N235FR","LAS","17:53","17:40","201","166","-13","17:49","9","0","0","0","0","0"
"F9","12/04/2023","4528","N336FR","MCO","19:25","21:59","197","201","154","22:44","45","0","0","4","0","154"
"F9","12/05/2021","0938","N307FR","RSW","10:19","10:09","197","187","-10","10:30","21","0","0","0","0","0"
"F9","12/05/2021","1146","N386FR","MCO","20:23","20:06","188","180","-17","20:17","11","0","0","0","0","0"
"F9","12/05/2021","2059","N335FR","LAS","22:39","22:33","195","187","-6","22:42","9","0","0","0","0","0"
"F9","12/05/2022","0599","N363FR","DEN","14:51","14:49","110","110","-2","14:59","10","0","0","0","0","0"
"F9","12/05/2022","1146","N343FR","MCO","12:13","12:17","192","182","4","12:31","14","0","0","0","0","0"
"F9","12/05/2022","2059","N238FR","LAS","21:05","21:40","192","211","35","21:48","8","0","0","22","0","32"
"F9","12/06/2021","0599","N313FR","DEN","20:25","20:16","110","99","-9","20:27","11","0","0","0","0","0"
"F9","12/06/2023","1127","N238FR","DEN","20:44","20:30","114","96","-14","20:41","11","0","0","0","0","0"
"F9","12/06/2023","4528","N370FR","MCO","14:55","14:47","195","175","-8","15:01","14","0","0","0","0","0"
"F9","12/07/2022","0599","N382FR","DEN","14:51","14:45","110","110","-6","14:58","13","0","0","0","0","0"
"F9","12/07/2022","1146","N310FR","MCO","11:28","11:38","187","165","10","11:52","14","0","0","0","0","0"
"F9","12/07/2023","3251","N387FR","LAS","21:06","20:50","199","192","-16","21:06","16","0","0","0","0","0"
"F9","12/08/2023","1127","N393FR","DEN","20:34","20:23","114","95","-11","20:33","10","0","0","0","0","0"
"F9","12/08/2023","4528","N391FR","MCO","11:31","14:52","193","176","201","15:11","19","0","0","0","0","184"
"F9","12/09/2021","0938","N326FR","RSW","10:19","10:05","197","179","-14","10:20","15","0","0","0","0","0"
"F9","12/09/2021","1146","N303FR","MCO","20:00","19:52","188","199","-8","20:07","15","0","0","0","0","0"
"F9","12/09/2021","2059","N359FR","LAS","12:30","13:16","192","184","46","13:31","15","0","0","38","0","0"
"F9","12/09/2022","0599","N715FR","DEN","14:51","15:06","110","111","15","15:20","14","0","0","1","0","15"
"F9","12/09/2022","1146","N329FR","MCO","12:13","13:10","192","177","57","13:24","14","0","0","0","0","42"
"F9","12/09/2022","2059","N379FR","LAS","21:14","21:43","192","205","29","22:23","40","0","0","13","0","29"
"F9","12/10/2021","0599","N205FR","DEN","20:25","20:19","110","120","-6","20:57","38","0","0","0","0","0"
"F9","12/10/2022","0599","N360FR","DEN","14:51","14:50","110","101","-1","15:02","12","0","0","0","0","0"
"F9","12/10/2023","3251","N343FR","LAS","22:22","22:34","202","177","12","22:46","12","0","0","0","0","0"
"F9","12/11/2021","1148","N337FR","MCO","11:45","11:46","187","177","1","12:00","14","0","0","0","0","0"
"F9","12/11/2023","1127","N391FR","DEN","20:44","22:27","114","100","103","22:40","13","89","0","0","0","0"
"F9","12/11/2023","4528","N706FR","MCO","19:25","19:12","197","184","-13","19:24","12","0","0","0","0","0"
"F9","12/12/2021","0938","N322FR","RSW","10:19","10:09","197","168","-10","10:21","12","0","0","0","0","0"
"F9","12/12/2021","1146","N323FR","MCO","20:02","19:59","188","188","-3","20:16","17","0","0","0","0","0"
"F9","12/12/2021","2059","N379FR","LAS","22:39","22:26","195","204","-13","22:41","15","0","0","0","0","0"
"F9","12/12/2022","0599","N374FR","DEN","14:51","14:52","110","107","1","15:11","19","0","0","0","0","0"
"F9","12/12/2022","1146","N228FR","MCO","12:13","12:22","192","182","9","12:34","12","0","0","0","0","0"
"F9","12/12/2022","2059","N361FR","LAS","21:05","22:27","192","186","82","22:49","22","0","0","0","0","76"
"F9","12/13/2021","0599","N207FR","DEN","20:25","20:16","110","92","-9","20:25","9","0","0","0","0","0"
"F9","12/13/2023","1127","N350FR","DEN","21:08","21:02","110","126","-6","21:27","25","0","0","0","0","0"
"F9","12/13/2023","4528","N611FR","MCO","14:48","14:55","195","185","7","15:15","20","0","0","0","0","0"
"F9","12/14/2022","0599","N384FR","DEN","14:51","15:42","110","119","51","16:14","32","2","0","17","0","41"
"F9","12/14/2022","1146","N391FR","MCO","11:28","11:26","187","185","-2","11:40","14","0","0","0","0","0"
"F9","12/14/2023","3251","N324FR","LAS","21:06","20:59","199","168","-7","21:11","12","0","0","0","0","0"
"F9","12/15/2023","1127","N309FR","DEN","20:36","20:35","114","83","-1","20:44","9","0","0","0","0","0"
"F9","12/15/2023","4528","N631FR","MCO","19:26","19:39","197","194","13","19:53","14","0","0","0","0","0"
"F9","12/16/2021","0938","N317FR","RSW","10:14","10:17","197","188","3","10:27","10","0","0","0","0","0"
"F9","12/16/2021","1146","","MCO","20:24","00:00","188","0","0","00:00","0","0","0","0","0","0"
"F9","12/16/2021","2059","N205FR","LAS","12:35","12:39","192","195","4","12:53","14","0","0","0","0","0"
"F9","12/16/2022","0599","N373FR","DEN","14:51","15:11","110","131","20","15:54","43","0","0","39","0","2"
"F9","12/16/2022","1146","N363FR","MCO","12:13","12:09","192","217","-4","13:08","59","0","0","21","0","0"
"F9","12/16/2022","2059","N378FR","LAS","21:14","23:09","192","165","115","23:21","12","0","0","0","0","88"
"F9","12/17/2021","0599","N213FR","DEN","14:53","14:45","110","109","-8","15:00","15","0","0","0","0","0"
"F9","12/17/2022","0599","N381FR","DEN","14:51","14:50","110","97","-1","15:01","11","0","0","0","0","0"
"F9","12/17/2023","3251","N313FR","LAS","21:01","20:51","199","177","-10","21:04","13","0","0","0","0","0"
"F9","12/18/2021","1148","N713FR","MCO","11:23","11:29","187","215","6","11:40","11","6","0","28","0","0"
"F9","12/18/2023","1127","N351FR","DEN","22:02","21:54","111","96","-8","22:06","12","0","0","0","0","0"
"F9","12/18/2023","3809","N324FR","LAS","11:36","11:31","197","180","-5","11:44","13","0","0","0","0","0"
"F9","12/18/2023","4528","N717FR","MCO","19:42","19:46","197","168","4","19:59","13","0","0","0","0","0"
"F9","12/19/2021","0938","N384FR","RSW","09:47","09:43","199","181","-4","09:55","12","0","0","0","0","0"
"F9","12/19/2021","1146","N361FR","MCO","20:24","20:56","188","193","32","21:30","34","0","0","5","0","32"
"F9","12/19/2021","2059","N350FR","LAS","22:22","22:24","195","212","2","22:35","11","2","0","17","0","0"
"F9","12/19/2022","0599","N339FR","DEN","14:51","14:49","110","117","-2","15:18","29","0","0","0","0","0"
"F9","12/19/2022","1146","N337FR","MCO","10:58","10:55","188","202","-3","11:43","48","0","0","0","0","0"
"F9","12/19/2022","2059","N232FR","LAS","21:05","21:14","192","212","9","21:59","45","0","5","20","0","4"
"F9","12/20/2021","0599","N360FR","DEN","14:50","14:43","110","100","-7","14:54","11","0","0","0","0","0"
"F9","12/20/2023","1127","N367FR","DEN","21:06","20:54","110","110","-12","21:07","13","0","0","0","0","0"
"F9","12/20/2023","4528","N605FR","MCO","19:42","19:35","197","193","-7","20:03","28","0","0","0","0","0"
"F9","12/21/2021","0938","N229FR","RSW","10:54","10:47","197","195","-7","11:05","18","0","0","0","0","0"
"F9","12/21/2021","1146","N331FR","MCO","20:24","20:15","188","172","-9","20:28","13","0","0","0","0","0"
"F9","12/21/2022","0599","N356FR","DEN","14:50","14:57","110","123","7","15:28","31","0","7","13","0","0"
"F9","12/21/2022","1146","N352FR","MCO","11:38","12:43","187","203","65","13:24","41","0","65","16","0","0"
"F9","12/21/2022","2059","N329FR","LAS","19:46","22:12","189","215","146","22:59","47","0","48","26","0","98"
"F9","12/21/2023","3251","N332FR","LAS","11:36","11:40","197","169","4","11:52","12","0","0","0","0","0"
"F9","12/22/2021","0599","N375FR","DEN","14:50","14:51","110","115","1","15:05","14","0","0","0","0","0"
"F9","12/22/2023","1127","N303FR","DEN","20:38","20:59","114","89","21","21:10","11","0","0","0","0","0"
"F9","12/22/2023","4528","N621FR","MCO","19:28","19:25","196","174","-3","19:40","15","0","0","0","0","0"
"F9","12/23/2021","0938","N312FR","RSW","10:14","10:24","197","162","10","10:36","12","0","0","0","0","0"
"F9","12/23/2021","1146","N372FR","MCO","20:24","21:31","188","163","67","21:47","16","0","0","0","0","42"
"F9","12/23/2021","2059","N361FR","LAS","12:35","12:35","192","197","0","12:46","11","0","0","0","0","0"
"F9","12/23/2022","0599","N348FR","DEN","14:51","16:31","110","107","100","16:46","15","5","0","49","0","43"
"F9","12/23/2022","1146","N303FR","MCO","11:33","11:54","187","175","21","12:09","15","0","0","0","0","0"
"F9","12/23/2022","2059","N349FR","LAS","21:14","21:37","192","172","23","21:48","11","0","0","0","0","0"
"F9","12/24/2021","0599","N722FR","DEN","14:39","17:38","110","106","179","17:51","13","0","0","0","0","175"
"F9","12/24/2022","0599","","DEN","14:51","00:00","110","0","0","00:00","0","0","0","0","0","0"
"F9","12/25/2023","1127","N723FR","DEN","22:02","22:20","111","107","18","22:33","13","0","0","0","0","0"
"F9","12/25/2023","3809","N313FR","LAS","11:36","11:28","197","195","-8","12:17","49","0","0","0","0","0"
"F9","12/25/2023","4528","N702FR","MCO","19:53","19:43","197","180","-10","19:55","12","0","0","0","0","0"
"F9","12/26/2021","0938","N316FR","RSW","09:47","13:12","199","218","205","13:56","44","0","0","224","0","0"
"F9","12/26/2021","1146","","MCO","20:24","00:00","188","0","0","00:00","0","0","0","0","0","0"
"F9","12/26/2021","2059","N207FR","LAS","22:22","22:22","195","212","0","22:34","12","0","0","17","0","0"
"F9","12/26/2022","0599","N230FR","DEN","14:51","14:48","110","92","-3","15:03","15","0","0","0","0","0"
"F9","12/26/2022","1146","","MCO","11:32","00:00","187","0","0","00:00","0","0","0","0","0","0"
"F9","12/26/2022","2059","N313FR","LAS","21:05","21:04","192","177","-1","21:17","13","0","0","0","0","0"
"F9","12/27/2021","0599","N236FR","DEN","14:50","14:39","110","113","-11","14:53","14","0","0","0","0","0"
"F9","12/27/2023","1127","N604FR","DEN","21:06","20:55","110","96","-11","21:07","12","0","0","0","0","0"
"F9","12/27/2023","4528","N702FR","MCO","19:42","22:02","197","172","140","22:11","9","0","0","0","0","115"
"F9","12/28/2021","0938","N370FR","RSW","10:54","10:51","197","187","-3","11:05","14","0","0","0","0","0"
"F9","12/28/2021","1146","N369FR","MCO","20:24","21:03","188","202","39","21:14","11","0","0","14","0","39"
"F9","12/28/2022","0599","N311FR","DEN","14:51","14:40","110","98","-11","14:51","11","0","0","0","0","0"
"F9","12/28/2022","1146","N354FR","MCO","11:32","11:41","187","194","9","11:55","14","0","0","15","0","1"
"F9","12/28/2022","2059","N316FR","LAS","19:46","19:48","189","177","2","19:59","11","0","0","0","0","0"
"F9","12/28/2023","3251","N352FR","LAS","11:36","11:32","197","165","-4","11:50","18","0","0","0","0","0"
"F9","12/29/2021","0599","N347FR","DEN","14:50","15:05","110","98","15","15:16","11","0","0","0","0","0"
"F9","12/29/2023","1127","N351FR","DEN","21:16","21:06","110","91","-10","21:19","13","0","0","0","0","0"
"F9","12/29/2023","4528","N625FR","MCO","19:28","19:31","196","178","3","19:42","11","0","0","0","0","0"
"F9","12/30/2021","0938","N342FR","RSW","10:14","11:05","197","190","51","11:18","13","0","0","7","0","37"
"F9","12/30/2021","1146","N228FR","MCO","20:24","21:02","188","218","38","21:25","23","2","0","30","0","36"
"F9","12/30/2021","2059","N372FR","LAS","12:34","12:28","192","185","-6","12:39","11","0","0","0","0","0"
"F9","12/30/2022","0599","N351FR","DEN","14:51","14:45","110","94","-6","14:57","12","0","0","0","0","0"
"F9","12/30/2022","1146","N387FR","MCO","11:33","11:32","187","184","-1","11:45","13","0","0","0","0","0"
"F9","12/30/2022","2059","N394FR","LAS","21:14","22:45","192","173","91","22:55","10","0","0","0","0","72"
"F9","12/31/2021","0599","N361FR","DEN","14:39","15:41","110","174","62","16:46","65","40","0","64","0","22"
"F9","12/31/2022","0599","N318FR","DEN","14:51","14:50","110","99","-1","15:00","10","0","0","0","0","0"
"F9","12/31/2023","3251","N362FR","LAS","21:01","21:49","199","226","48","22:56","67","48","0","27","0","0"

 SOURCE: Bureau of Transportation Statistics
