Detailed Statistics Departures  
Origin Airport: Omaha, NE: Eppley Airfield (OMA)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5319","N569NN","CLT","06:03","05:58","170","159","-5","06:11","13","0","0","0","0","0"
"OH","12/01/2021","5342","N568NN","CLT","17:08","17:01","162","142","-7","17:21","20","0","0","0","0","0"
"OH","12/02/2021","5319","N578NN","CLT","06:03","05:54","170","135","-9","06:06","12","0","0","0","0","0"
"OH","12/02/2021","5342","N581NN","CLT","17:08","17:44","162","162","36","18:07","23","4","0","0","0","32"
"OH","12/03/2021","5319","N613NN","CLT","06:03","05:59","170","132","-4","06:11","12","0","0","0","0","0"
"OH","12/03/2021","5342","N549NN","CLT","17:08","17:00","162","144","-8","17:10","10","0","0","0","0","0"
"OH","12/04/2021","5319","N583NN","CLT","06:03","05:57","170","152","-6","06:14","17","0","0","0","0","0"
"OH","12/05/2021","5319","N564NN","CLT","06:03","05:57","170","173","-6","06:17","20","0","0","0","0","0"
"OH","12/05/2021","5342","N599NN","CLT","17:08","17:04","162","151","-4","17:14","10","0","0","0","0","0"
"OH","12/06/2021","5319","N590NN","CLT","06:03","05:57","170","177","-6","06:10","13","0","0","0","0","0"
"OH","12/07/2021","5319","N589NN","CLT","06:03","05:54","170","151","-9","06:11","17","0","0","0","0","0"
"OH","12/08/2021","5319","N579NN","CLT","06:03","06:01","170","160","-2","06:34","33","0","0","0","0","0"
"OH","12/08/2021","5342","N551NN","CLT","17:08","17:05","162","140","-3","17:19","14","0","0","0","0","0"
"OH","12/09/2021","5319","N565NN","CLT","06:03","06:48","170","149","45","07:05","17","24","0","0","0","0"
"OH","12/09/2021","5342","N555NN","CLT","17:08","17:14","162","149","6","17:28","14","0","0","0","0","0"
"OH","12/10/2021","5319","N609NN","CLT","06:03","06:00","170","163","-3","06:16","16","0","0","0","0","0"
"OH","12/10/2021","5342","N554NN","CLT","17:08","17:03","162","168","-5","17:23","20","0","0","0","0","0"
"OH","12/11/2021","5319","N552NN","CLT","06:03","06:00","170","165","-3","06:18","18","0","0","0","0","0"
"OH","12/12/2021","5319","N577NN","CLT","06:03","05:55","170","146","-8","06:10","15","0","0","0","0","0"
"OH","12/12/2021","5342","N573NN","CLT","17:08","17:02","162","154","-6","17:22","20","0","0","0","0","0"
"OH","12/13/2021","5319","N575NN","CLT","06:03","05:56","170","176","-7","06:14","18","0","0","0","0","0"
"OH","12/14/2021","5319","N573NN","CLT","06:03","05:57","170","153","-6","06:14","17","0","0","0","0","0"
"OH","12/15/2021","5319","N572NN","CLT","06:03","05:57","170","174","-6","06:31","34","0","0","0","0","0"
"OH","12/15/2021","5342","N552NN","CLT","17:08","00:00","162","0","0","00:00","0","0","0","0","0","0"
"OH","12/16/2021","5319","N555NN","CLT","06:18","09:57","176","163","219","10:10","13","206","0","0","0","0"
"OH","12/16/2021","5342","N576NN","CLT","17:01","17:01","159","136","0","17:11","10","0","0","0","0","0"
"OH","12/16/2021","5522","N599NN","CLT","12:03","11:59","154","144","-4","12:14","15","0","0","0","0","0"
"OH","12/17/2021","5319","N600NN","CLT","06:18","06:11","176","169","-7","06:37","26","0","0","0","0","0"
"OH","12/17/2021","5342","N549NN","CLT","17:01","17:10","159","168","9","17:34","24","4","0","9","0","5"
"OH","12/17/2021","5522","N553NN","CLT","12:03","12:05","154","146","2","12:24","19","0","0","0","0","0"
"OH","12/18/2021","5319","N569NN","CLT","06:18","06:19","176","162","1","06:31","12","0","0","0","0","0"
"OH","12/18/2021","5342","N613NN","CLT","17:01","18:25","159","139","84","18:36","11","1","0","0","0","63"
"OH","12/18/2021","5522","N564NN","CLT","12:03","12:10","154","145","7","12:21","11","0","0","0","0","0"
"OH","12/19/2021","5319","N591NN","CLT","06:18","06:08","176","184","-10","06:40","32","0","0","0","0","0"
"OH","12/19/2021","5342","N611NN","CLT","17:01","16:53","159","159","-8","17:04","11","0","0","0","0","0"
"OH","12/19/2021","5522","N573NN","CLT","12:03","12:18","154","153","15","12:30","12","0","0","0","0","0"
"OH","12/20/2021","5319","N550NN","CLT","06:18","06:18","176","174","0","06:42","24","0","0","0","0","0"
"OH","12/20/2021","5342","N607NN","CLT","17:01","17:09","159","152","8","17:27","18","0","0","0","0","0"
"OH","12/20/2021","5522","N585NN","CLT","12:03","12:08","154","150","5","12:18","10","0","0","0","0","0"
"OH","12/21/2021","5319","N573NN","CLT","06:18","06:20","176","178","2","06:47","27","0","0","0","0","0"
"OH","12/21/2021","5342","N606NN","CLT","17:01","16:52","159","145","-9","17:02","10","0","0","0","0","0"
"OH","12/21/2021","5522","N605NN","CLT","12:03","12:01","154","156","-2","12:15","14","0","0","0","0","0"
"OH","12/22/2021","5319","N573NN","CLT","06:18","06:14","176","173","-4","06:50","36","0","0","0","0","0"
"OH","12/22/2021","5342","N550NN","CLT","17:01","16:49","159","136","-12","17:04","15","0","0","0","0","0"
"OH","12/22/2021","5522","N587NN","CLT","12:03","12:00","154","155","-3","12:20","20","0","0","0","0","0"
"OH","12/23/2021","5319","N602NN","CLT","06:18","06:08","176","159","-10","06:36","28","0","0","0","0","0"
"OH","12/23/2021","5342","N568NN","CLT","17:01","16:58","159","125","-3","17:09","11","0","0","0","0","0"
"OH","12/23/2021","5522","N576NN","CLT","12:03","12:01","154","144","-2","12:24","23","0","0","0","0","0"
"OH","12/24/2021","5319","N608NN","CLT","06:18","06:10","176","163","-8","06:34","24","0","0","0","0","0"
"OH","12/24/2021","5522","N583NN","CLT","12:03","13:01","154","123","58","13:12","11","27","0","0","0","0"
"OH","12/25/2021","5319","N605NN","CLT","06:18","06:09","176","180","-9","06:37","28","0","0","0","0","0"
"OH","12/25/2021","5522","N562NN","CLT","12:03","12:00","154","150","-3","12:11","11","0","0","0","0","0"
"OH","12/26/2021","5319","N594NN","CLT","06:18","06:10","176","150","-8","06:33","23","0","0","0","0","0"
"OH","12/26/2021","5342","N548NN","CLT","17:01","16:56","159","140","-5","17:09","13","0","0","0","0","0"
"OH","12/26/2021","5522","N525AE","CLT","12:03","20:17","154","118","494","20:28","11","18","0","0","0","440"
"OH","12/27/2021","5319","N586NN","CLT","06:18","06:08","176","156","-10","06:38","30","0","0","0","0","0"
"OH","12/27/2021","5342","N564NN","CLT","17:01","17:19","159","140","18","17:33","14","0","0","0","0","0"
"OH","12/27/2021","5522","N602NN","CLT","12:03","12:02","154","130","-1","12:14","12","0","0","0","0","0"
"OH","12/28/2021","5319","N586NN","CLT","06:18","06:09","176","167","-9","06:32","23","0","0","0","0","0"
"OH","12/28/2021","5342","N559NN","CLT","17:01","16:55","159","156","-6","17:09","14","0","0","0","0","0"
"OH","12/28/2021","5522","N564NN","CLT","12:03","11:58","154","160","-5","12:15","17","0","0","0","0","0"
"OH","12/29/2021","5319","N560NN","CLT","06:18","06:15","176","151","-3","06:27","12","0","0","0","0","0"
"OH","12/29/2021","5342","N595NN","CLT","17:01","16:55","159","138","-6","17:10","15","0","0","0","0","0"
"OH","12/29/2021","5522","N609NN","CLT","12:03","12:02","154","147","-1","12:21","19","0","0","0","0","0"
"OH","12/30/2021","5319","N599NN","CLT","06:18","06:11","176","224","-7","07:35","84","0","0","41","0","0"
"OH","12/30/2021","5342","N566NN","CLT","17:01","17:06","159","165","5","17:22","16","0","0","0","0","0"
"OH","12/30/2021","5522","N594NN","CLT","12:03","12:02","154","146","-1","12:20","18","0","0","0","0","0"
"OH","12/31/2021","5319","N573NN","CLT","06:18","06:13","176","169","-5","06:39","26","0","0","0","0","0"
"OH","12/31/2021","5522","N555NN","CLT","12:03","12:08","154","145","5","12:34","26","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
