Detailed Statistics Departures  
Origin Airport: Omaha, NE: Eppley Airfield (OMA)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","4511","N806MD","LGA","07:11","07:00","184","161","-11","07:12","12","0","0","0","0","0"
"YX","12/01/2021","5593","N213JQ","LGA","12:20","12:14","158","170","-6","12:27","13","0","0","0","0","0"
"YX","12/01/2021","5681","N810MD","LGA","06:30","06:20","172","169","-10","06:32","12","0","0","0","0","0"
"YX","12/01/2021","5819","N815MD","DCA","11:29","11:22","141","142","-7","11:32","10","0","0","0","0","0"
"YX","12/01/2022","4511","N126HQ","LGA","07:08","07:05","172","180","-3","07:45","40","0","0","0","0","0"
"YX","12/01/2022","5853","N878RW","DCA","11:36","11:29","149","133","-7","11:39","10","0","0","0","0","0"
"YX","12/01/2023","3618","N732YX","ORD","15:19","15:11","106","93","-8","15:22","11","0","0","0","0","0"
"YX","12/01/2023","4390","N124HQ","LGA","11:27","11:16","182","161","-11","11:32","16","0","0","0","0","0"
"YX","12/01/2023","4511","N414YX","LGA","06:28","06:23","182","173","-5","06:43","20","0","0","0","0","0"
"YX","12/01/2023","5746","N882RW","DCA","11:32","11:28","148","142","-4","11:40","12","0","0","0","0","0"
"YX","12/01/2023","5751","N229JQ","LGA","06:27","07:33","183","158","66","07:42","9","41","0","0","0","0"
"YX","12/02/2021","4511","N871RW","LGA","07:11","07:17","184","149","6","07:25","8","0","0","0","0","0"
"YX","12/02/2021","5593","N241JQ","LGA","12:20","12:33","158","168","13","12:46","13","13","0","10","0","0"
"YX","12/02/2021","5681","N810MD","LGA","06:30","06:25","172","154","-5","06:35","10","0","0","0","0","0"
"YX","12/02/2021","5819","N860RW","DCA","11:29","11:23","141","149","-6","11:34","11","0","0","0","0","0"
"YX","12/02/2022","4511","N439YX","LGA","07:08","07:06","172","166","-2","07:20","14","0","0","0","0","0"
"YX","12/02/2022","5853","N860RW","DCA","11:36","11:26","149","152","-10","11:37","11","0","0","0","0","0"
"YX","12/02/2023","3618","N861RW","ORD","15:19","23:27","106","79","488","23:39","12","11","0","0","0","450"
"YX","12/02/2023","4390","N104HQ","LGA","11:58","11:49","182","152","-9","12:00","11","0","0","0","0","0"
"YX","12/03/2021","4511","N869RW","LGA","07:11","07:10","184","155","-1","07:23","13","0","0","0","0","0"
"YX","12/03/2021","5593","N214JQ","LGA","12:20","12:17","158","146","-3","12:26","9","0","0","0","0","0"
"YX","12/03/2021","5681","N233JQ","LGA","06:30","06:26","172","150","-4","06:37","11","0","0","0","0","0"
"YX","12/03/2021","5819","N815MD","DCA","11:29","11:19","141","144","-10","11:33","14","0","0","0","0","0"
"YX","12/03/2022","3458","N855RW","ORD","15:23","16:20","99","89","57","16:37","17","47","0","0","0","0"
"YX","12/03/2022","4511","N104HQ","LGA","14:40","15:38","172","143","58","15:48","10","0","0","0","0","29"
"YX","12/03/2022","4588","N414YX","MIA","06:45","06:43","213","187","-2","06:53","10","0","0","0","0","0"
"YX","12/03/2023","3618","N748YX","ORD","15:19","15:12","106","101","-7","15:27","15","0","0","0","0","0"
"YX","12/03/2023","4511","N129HQ","LGA","06:28","06:20","182","176","-8","06:58","38","0","0","0","0","0"
"YX","12/03/2023","5746","N882RW","DCA","11:32","11:24","148","134","-8","11:34","10","0","0","0","0","0"
"YX","12/03/2023","5751","N234JQ","LGA","08:20","08:10","183","161","-10","08:31","21","0","0","0","0","0"
"YX","12/04/2021","4511","N821MD","LGA","07:11","06:52","184","154","-19","07:05","13","0","0","0","0","0"
"YX","12/04/2021","5732","N239JQ","LGA","11:59","11:52","156","155","-7","12:04","12","0","0","0","0","0"
"YX","12/04/2022","4511","N113HQ","LGA","07:03","07:02","172","191","-1","07:38","36","0","0","18","0","0"
"YX","12/04/2022","5853","N878RW","DCA","11:36","11:33","149","131","-3","11:46","13","0","0","0","0","0"
"YX","12/04/2023","3618","N723YX","ORD","15:19","15:18","106","112","-1","15:54","36","0","0","0","0","0"
"YX","12/04/2023","4390","N420YX","LGA","11:27","11:18","182","164","-9","11:33","15","0","0","0","0","0"
"YX","12/04/2023","4511","N132HQ","LGA","06:28","06:22","182","163","-6","06:33","11","0","0","0","0","0"
"YX","12/04/2023","5746","N882RW","DCA","11:32","11:28","148","136","-4","11:38","10","0","0","0","0","0"
"YX","12/04/2023","5751","N244JQ","LGA","06:27","09:46","183","161","199","10:01","15","177","0","0","0","0"
"YX","12/05/2021","4511","N415YX","LGA","07:56","07:46","184","158","-10","07:56","10","0","0","0","0","0"
"YX","12/05/2021","5593","N228JQ","LGA","13:09","13:04","170","156","-5","13:15","11","0","0","0","0","0"
"YX","12/05/2021","5681","N223JQ","LGA","06:00","05:54","175","160","-6","06:09","15","0","0","0","0","0"
"YX","12/05/2021","5819","N810MD","DCA","11:34","11:31","146","134","-3","11:40","9","0","0","0","0","0"
"YX","12/05/2022","4511","N423YX","LGA","07:08","07:03","172","167","-5","07:22","19","0","0","0","0","0"
"YX","12/05/2022","5853","N824MD","DCA","11:36","11:53","149","145","17","12:20","27","0","0","0","0","0"
"YX","12/05/2023","3618","N731YX","ORD","15:19","15:15","106","101","-4","15:26","11","0","0","0","0","0"
"YX","12/05/2023","4390","N444YX","LGA","12:04","12:03","188","155","-1","12:12","9","0","0","0","0","0"
"YX","12/05/2023","4511","N105HQ","LGA","06:17","06:05","193","167","-12","06:18","13","0","0","0","0","0"
"YX","12/05/2023","5746","N882RW","DCA","11:32","11:32","148","152","0","11:41","9","0","0","0","0","0"
