Detailed Statistics Departures  
Origin Airport: Ontario, CA: Ontario International (ONT)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0073","N217HA","HNL","08:45","08:40","365","335","-5","08:49","9","0","0","0","0","0"
"HA","12/01/2022","0079","N208HA","HNL","07:20","07:53","360","360","33","08:04","11","33","0","0","0","0"
"HA","12/01/2023","0079","N208HA","HNL","08:20","08:33","365","376","13","08:45","12","24","0","0","0","0"
"HA","12/02/2021","0073","N226HA","HNL","08:45","08:34","365","337","-11","08:43","9","0","0","0","0","0"
"HA","12/02/2022","0079","N226HA","HNL","07:25","07:48","360","356","23","07:58","10","19","0","0","0","0"
"HA","12/02/2023","0079","N230HA","HNL","08:20","08:15","365","396","-5","08:27","12","26","0","0","0","0"
"HA","12/03/2021","0073","N218HA","HNL","08:45","08:41","365","368","-4","09:01","20","0","0","0","0","0"
"HA","12/03/2022","0079","N208HA","HNL","07:25","07:48","360","363","23","08:00","12","26","0","0","0","0"
"HA","12/03/2023","0079","N204HA","HNL","08:25","08:18","365","363","-7","08:29","11","0","0","0","0","0"
"HA","12/04/2021","0073","N227HA","HNL","08:45","09:38","365","355","53","09:53","15","43","0","0","0","0"
"HA","12/04/2022","0079","N209HA","HNL","07:25","07:15","360","370","-10","07:25","10","0","0","0","0","0"
"HA","12/04/2023","0079","N230HA","HNL","08:25","08:25","365","350","0","08:35","10","0","0","0","0","0"
"HA","12/05/2021","0073","N217HA","HNL","08:45","08:36","365","351","-9","08:50","14","0","0","0","0","0"
"HA","12/05/2022","0079","N215HA","HNL","07:25","07:26","360","375","1","07:34","8","16","0","0","0","0"
"HA","12/05/2023","0079","N227HA","HNL","08:25","08:25","365","374","0","08:36","11","0","0","0","0","0"
"HA","12/06/2021","0073","N212HA","HNL","08:45","08:46","365","368","1","08:58","12","0","0","0","0","0"
"HA","12/06/2022","0079","N215HA","HNL","07:25","07:19","360","369","-6","07:29","10","0","0","0","0","0"
"HA","12/06/2023","0079","N209HA","HNL","08:25","08:21","365","378","-4","08:31","10","0","0","0","0","0"
"HA","12/07/2021","0073","N214HA","HNL","08:45","08:42","365","375","-3","08:51","9","0","0","0","0","0"
"HA","12/07/2022","0079","N208HA","HNL","07:25","07:53","360","401","28","08:29","36","69","0","0","0","0"
"HA","12/07/2023","0079","N214HA","HNL","08:25","08:16","365","362","-9","08:27","11","0","0","0","0","0"
"HA","12/08/2021","0073","N202HA","HNL","08:45","08:42","365","368","-3","09:01","19","0","0","0","0","0"
"HA","12/08/2022","0079","N228HA","HNL","07:25","08:10","360","357","45","08:19","9","42","0","0","0","0"
"HA","12/08/2023","0079","N209HA","HNL","08:25","08:22","365","361","-3","08:32","10","0","0","0","0","0"
"HA","12/09/2021","0073","N218HA","HNL","08:45","08:47","365","367","2","08:58","11","0","0","0","0","0"
"HA","12/09/2022","0079","N208HA","HNL","07:25","07:46","360","358","21","08:00","14","19","0","0","0","0"
"HA","12/09/2023","0079","N208HA","HNL","08:25","08:10","365","373","-15","08:23","13","0","0","0","0","0"
"HA","12/10/2021","0073","N220HA","HNL","08:45","08:37","365","359","-8","08:50","13","0","0","0","0","0"
"HA","12/10/2022","0079","N208HA","HNL","07:25","08:16","360","355","51","08:27","11","46","0","0","0","0"
"HA","12/10/2023","0079","N209HA","HNL","08:25","08:18","365","359","-7","08:35","17","0","0","0","0","0"
"HA","12/11/2021","0073","N223HA","HNL","08:45","08:28","365","342","-17","08:38","10","0","0","0","0","0"
"HA","12/11/2022","0079","N218HA","HNL","07:25","07:33","360","353","8","07:44","11","0","0","0","0","0"
"HA","12/11/2023","0079","N214HA","HNL","08:25","08:20","365","343","-5","08:30","10","0","0","0","0","0"
"HA","12/12/2021","0073","N202HA","HNL","08:45","08:38","365","389","-7","08:49","11","17","0","0","0","0"
"HA","12/12/2022","0079","N218HA","HNL","07:25","07:17","360","381","-8","07:28","11","0","0","0","0","0"
"HA","12/12/2023","0079","N204HA","HNL","08:25","08:16","365","353","-9","08:25","9","0","0","0","0","0"
