Detailed Statistics Departures  
Origin Airport: Ontario, CA: Ontario International (ONT)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5748","N248LR","PHX","09:14","09:57","74","71","43","10:10","13","0","0","0","0","40"
"YV","12/01/2021","5914","N326MS","PHX","13:20","14:18","75","73","58","14:28","10","44","0","0","0","12"
"YV","12/01/2021","6210","N89357","IAH","23:50","23:50","191","207","0","00:07","17","0","0","16","0","0"
"YV","12/01/2022","5807","N918FJ","PHX","11:31","11:27","75","65","-4","11:36","9","0","0","0","0","0"
"YV","12/02/2021","5748","N924FJ","PHX","09:14","09:04","74","81","-10","09:28","24","0","0","0","0","0"
"YV","12/02/2021","5914","N909FJ","PHX","13:20","13:11","75","84","-9","13:21","10","0","0","0","0","0"
"YV","12/02/2021","6210","N88330","IAH","23:50","00:01","191","188","11","00:17","16","0","0","0","0","0"
"YV","12/02/2022","5807","N950LR","PHX","11:31","11:32","75","68","1","11:42","10","0","0","0","0","0"
"YV","12/03/2021","5748","N242LR","PHX","09:14","09:01","74","65","-13","09:12","11","0","0","0","0","0"
"YV","12/03/2021","5914","N910FJ","PHX","13:20","13:32","75","85","12","13:52","20","0","0","10","0","12"
"YV","12/03/2021","6210","N85374","IAH","23:50","23:48","191","189","-2","00:08","20","0","0","0","0","0"
"YV","12/04/2021","5748","N909FJ","PHX","09:14","00:00","74","0","0","00:00","0","0","0","0","0","0"
