Detailed Statistics Departures  
Origin Airport: Orlando, FL: Orlando International (MCO)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0009","N284AK","SEA","07:10","07:07","390","393","-3","07:32","25","0","0","0","0","0"
"AS","12/01/2021","0019","N251AK","SEA","17:55","18:27","384","372","32","18:44","17","20","0","0","0","0"
"AS","12/01/2021","0493","N481AS","SAN","09:10","09:08","328","304","-2","09:32","24","0","0","0","0","0"
"AS","12/01/2022","0009","N435AS","SEA","07:00","06:51","388","400","-9","07:24","33","0","0","0","0","0"
"AS","12/01/2022","0017","N264AK","SEA","16:50","00:00","385","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0041","N264AK","SFO","18:00","17:51","372","390","-9","18:18","27","0","0","0","0","0"
"AS","12/01/2022","0160","N297AK","SEA","09:00","10:01","383","391","61","10:27","26","0","0","69","0","0"
"AS","12/01/2022","0463","N976AK","SAN","18:55","18:45","326","334","-10","19:17","32","0","0","0","0","0"
"AS","12/01/2022","0727","N530AS","PDX","19:40","19:35","376","391","-5","19:55","20","0","0","0","0","0"
"AS","12/01/2023","0301","N263AK","PDX","19:16","18:55","378","367","-21","19:14","19","0","0","0","0","0"
"AS","12/01/2023","0347","N253AK","SEA","10:00","09:53","399","372","-7","10:16","23","0","0","0","0","0"
"AS","12/01/2023","0367","N238AK","SEA","20:29","20:26","390","381","-3","20:41","15","0","0","0","0","0"
"AS","12/01/2023","0375","N590AS","PDX","07:00","06:46","380","381","-14","07:19","33","0","0","0","0","0"
"AS","12/01/2023","0395","N968AK","SEA","07:00","06:51","399","380","-9","07:15","24","0","0","0","0","0"
"AS","12/01/2023","0397","N921AK","SAN","17:46","17:38","331","331","-8","18:01","23","0","0","0","0","0"
"AS","12/01/2023","0399","N975AK","SFO","18:49","19:46","380","361","57","20:13","27","38","0","0","0","0"
"AS","12/01/2023","0419","N530AS","SEA","16:25","16:26","391","371","1","16:44","18","0","0","0","0","0"
"AS","12/01/2023","0571","N238AK","SAN","08:20","08:14","332","329","-6","08:35","21","0","0","0","0","0"
"AS","12/02/2021","0009","N590AS","SEA","07:10","07:22","390","388","12","07:46","24","0","0","0","0","0"
"AS","12/02/2021","0019","N413AS","SEA","17:55","17:46","384","362","-9","18:15","29","0","0","0","0","0"
"AS","12/02/2021","0029","N298AK","SEA","10:30","10:26","393","360","-4","10:50","24","0","0","0","0","0"
"AS","12/02/2021","0463","N273AK","SAN","09:10","09:12","328","294","2","09:28","16","0","0","0","0","0"
"AS","12/02/2021","0727","N215AK","PDX","09:00","08:55","375","355","-5","09:15","20","0","0","0","0","0"
"AS","12/02/2022","0009","N469AS","SEA","07:00","06:55","388","413","-5","07:22","27","0","0","20","0","0"
"AS","12/02/2022","0017","N938AK","SEA","16:50","18:24","385","406","94","18:49","25","94","0","21","0","0"
"AS","12/02/2022","0041","N266AK","SFO","18:00","18:53","372","370","53","19:17","24","51","0","0","0","0"
"AS","12/02/2022","0160","N525AS","SEA","09:00","08:53","383","390","-7","09:10","17","0","0","0","0","0"
"AS","12/02/2022","0463","N588AS","SAN","18:55","19:17","326","322","22","19:37","20","6","0","0","0","12"
"AS","12/02/2022","0727","N920AK","PDX","19:40","19:57","376","402","17","20:21","24","17","0","26","0","0"
"AS","12/02/2023","0301","N291BT","PDX","19:16","19:10","378","395","-6","19:26","16","0","0","0","0","0"
"AS","12/02/2023","0347","N553AS","SEA","10:00","09:57","399","381","-3","10:22","25","0","0","0","0","0"
"AS","12/02/2023","0367","N237AK","SEA","20:29","20:22","390","414","-7","20:44","22","0","0","17","0","0"
"AS","12/02/2023","0375","N594AS","PDX","07:00","06:51","380","418","-9","07:48","57","0","0","29","0","0"
"AS","12/02/2023","0395","N265AK","SEA","07:00","06:50","399","375","-10","07:09","19","0","0","0","0","0"
"AS","12/02/2023","0397","N263AK","SAN","17:46","17:44","331","332","-2","18:02","18","0","0","0","0","0"
"AS","12/02/2023","0399","N926AK","SFO","18:49","18:45","380","376","-4","19:12","27","0","0","0","0","0"
"AS","12/02/2023","0419","N517AS","SEA","16:25","16:38","391","390","13","17:00","22","0","0","0","0","0"
"AS","12/02/2023","0571","N237AK","SAN","08:20","08:10","332","335","-10","08:34","24","0","0","0","0","0"
"AS","12/03/2021","0009","N559AS","SEA","07:10","06:59","390","356","-11","07:17","18","0","0","0","0","0"
"AS","12/03/2021","0019","N236AK","SEA","17:55","17:56","384","386","1","18:25","29","0","0","0","0","0"
"AS","12/03/2021","0029","N563AS","SEA","10:30","10:20","393","369","-10","10:48","28","0","0","0","0","0"
"AS","12/03/2021","0463","N529AS","SAN","09:10","09:12","328","300","2","09:31","19","0","0","0","0","0"
"AS","12/03/2021","0727","N423AS","PDX","09:00","08:56","375","349","-4","09:14","18","0","0","0","0","0"
"AS","12/03/2021","1305","N922VA","SFO","18:55","18:58","385","326","3","19:15","17","0","0","0","0","0"
"AS","12/03/2022","0009","N553AS","SEA","07:00","06:52","388","419","-8","07:16","24","0","0","23","0","0"
"AS","12/03/2022","0017","N937AK","SEA","16:50","16:50","385","397","0","17:07","17","0","0","0","0","0"
"AS","12/03/2022","0041","N291BT","SFO","18:00","17:54","372","359","-6","18:10","16","0","0","0","0","0"
"AS","12/03/2022","0160","N528AS","SEA","09:00","09:09","383","411","9","09:34","25","0","0","28","0","9"
"AS","12/03/2022","0463","N296AK","SAN","18:55","18:47","326","317","-8","19:10","23","0","0","0","0","0"
"AS","12/03/2022","0727","N976AK","PDX","19:40","19:31","376","382","-9","19:50","19","0","0","0","0","0"
"AS","12/03/2023","0301","N462AS","PDX","19:16","19:08","378","396","-8","19:29","21","0","0","0","0","0"
"AS","12/03/2023","0347","N934AK","SEA","10:00","09:49","399","396","-11","10:15","26","0","0","0","0","0"
"AS","12/03/2023","0367","N483AS","SEA","20:29","20:48","390","388","19","21:08","20","17","0","0","0","0"
"AS","12/03/2023","0375","N440AS","PDX","07:00","06:52","380","385","-8","07:11","19","0","0","0","0","0"
"AS","12/03/2023","0395","N408AS","SEA","07:00","06:48","399","396","-12","07:14","26","0","0","0","0","0"
"AS","12/03/2023","0397","N409AS","SAN","17:46","17:37","331","312","-9","17:54","17","0","0","0","0","0"
"AS","12/03/2023","0399","N948AK","SFO","18:49","18:46","380","363","-3","19:01","15","0","0","0","0","0"
"AS","12/03/2023","0419","N534AS","SEA","16:25","16:22","391","424","-3","17:10","48","0","0","30","0","0"
"AS","12/03/2023","0571","N483AS","SAN","08:20","08:14","332","343","-6","08:54","40","0","0","0","0","0"
"AS","12/04/2021","0009","N492AS","SEA","07:10","07:06","390","383","-4","07:32","26","0","0","0","0","0"
"AS","12/04/2021","0019","N236AK","SEA","17:55","17:49","384","376","-6","18:06","17","0","0","0","0","0"
"AS","12/04/2021","0029","N423AS","SEA","10:30","10:50","393","366","20","11:05","15","0","0","0","0","0"
"AS","12/04/2021","0463","N524AS","SAN","09:10","09:08","328","310","-2","09:23","15","0","0","0","0","0"
"AS","12/04/2021","0727","N214AK","PDX","09:00","08:59","375","361","-1","09:16","17","0","0","0","0","0"
"AS","12/04/2021","1305","N922VA","SFO","18:55","19:01","385","331","6","19:23","22","0","0","0","0","0"
"AS","12/04/2022","0009","N290AK","SEA","07:00","06:52","388","409","-8","07:21","29","0","0","0","0","0"
"AS","12/04/2022","0017","N472AS","SEA","16:50","16:49","385","395","-1","17:08","19","0","0","0","0","0"
"AS","12/04/2022","0041","N215AK","SFO","18:00","17:59","372","369","-1","18:17","18","0","0","0","0","0"
"AS","12/04/2022","0160","N551AS","SEA","09:00","08:46","383","386","-14","09:01","15","0","0","0","0","0"
"AS","12/04/2022","0463","N236AK","SAN","18:55","18:50","326","314","-5","19:15","25","0","0","0","0","0"
"AS","12/04/2022","0727","N493AS","PDX","19:40","19:33","376","395","-7","20:03","30","0","0","0","0","0"
"AS","12/04/2023","0301","N977AK","PDX","19:16","19:11","378","371","-5","19:28","17","0","0","0","0","0"
"AS","12/04/2023","0347","N708AL","SEA","10:00","09:56","399","399","-4","10:19","23","0","0","0","0","0"
"AS","12/04/2023","0367","N942AK","SEA","20:29","20:24","390","411","-5","20:53","29","0","0","16","0","0"
"AS","12/04/2023","0375","N519AS","PDX","07:00","06:47","380","384","-13","07:05","18","0","0","0","0","0"
"AS","12/04/2023","0395","N474AS","SEA","07:00","06:56","399","415","-4","07:19","23","0","0","0","0","0"
"AS","12/04/2023","0397","N952AK","SAN","17:46","17:39","331","326","-7","18:07","28","0","0","0","0","0"
"AS","12/04/2023","0399","N912AK","SFO","18:49","18:37","380","348","-12","19:01","24","0","0","0","0","0"
"AS","12/04/2023","0419","N559AS","SEA","16:25","16:29","391","406","4","16:55","26","0","0","19","0","0"
"AS","12/04/2023","0571","N942AK","SAN","08:20","08:25","332","318","5","08:43","18","0","0","0","0","0"
"AS","12/05/2021","0009","N431AS","SEA","07:10","07:12","390","389","2","07:39","27","0","0","0","0","0"
"AS","12/05/2021","0019","N290AK","SEA","17:55","22:23","384","403","268","22:33","10","0","0","19","0","268"
"AS","12/05/2021","0029","N272AK","SEA","10:30","11:26","393","395","56","11:51","25","56","0","2","0","0"
"AS","12/05/2021","0463","N453AS","SAN","09:10","09:09","328","303","-1","09:29","20","0","0","0","0","0"
"AS","12/05/2021","0727","N448AS","PDX","09:00","09:00","375","383","0","09:18","18","0","0","0","0","0"
"AS","12/05/2021","1305","N922VA","SFO","18:55","19:09","385","348","14","19:27","18","0","0","0","0","0"
"AS","12/05/2022","0009","N272AK","SEA","07:00","07:04","388","390","4","07:26","22","0","0","0","0","0"
"AS","12/05/2022","0017","N934AK","SEA","16:50","17:07","385","403","17","17:36","29","17","0","18","0","0"
"AS","12/05/2022","0041","N403AS","SFO","18:00","18:07","372","370","7","18:34","27","0","0","0","0","0"
"AS","12/05/2022","0160","N526AS","SEA","09:00","08:41","383","388","-19","08:58","17","0","0","0","0","0"
"AS","12/05/2022","0463","N546AS","SAN","18:55","19:01","326","338","6","19:34","33","6","0","12","0","0"
"AS","12/05/2022","0727","N492AS","PDX","19:40","19:44","376","389","4","20:14","30","0","0","17","0","0"
"AS","12/05/2023","0313","N921AK","PDX","18:49","18:26","378","380","-23","18:47","21","0","0","0","0","0"
"AS","12/05/2023","0347","N943AK","SEA","10:00","09:44","399","379","-16","09:59","15","0","0","0","0","0"
"AS","12/05/2023","0367","N459AS","SEA","20:29","20:40","390","389","11","20:58","18","0","0","0","0","0"
"AS","12/05/2023","0375","N533AS","PDX","07:00","06:57","380","402","-3","07:24","27","0","0","19","0","0"
"AS","12/05/2023","0395","N409AS","SEA","07:00","06:55","399","402","-5","07:17","22","0","0","0","0","0"
"AS","12/05/2023","0399","N917AK","SFO","17:46","17:36","380","343","-10","17:54","18","0","0","0","0","0"
"AS","12/05/2023","0419","N537AS","SEA","16:25","16:19","391","387","-6","16:35","16","0","0","0","0","0"
"AS","12/05/2023","0571","N459AS","SAN","08:20","08:23","332","312","3","08:37","14","0","0","0","0","0"
"AS","12/06/2021","0009","N524AS","SEA","07:10","09:32","390","410","142","09:52","20","142","0","20","0","0"
"AS","12/06/2021","0019","N495AS","SEA","17:55","17:45","384","393","-10","18:07","22","0","0","0","0","0"
"AS","12/06/2021","0029","N594AS","SEA","10:30","11:22","393","432","52","11:36","14","52","0","39","0","0"
"AS","12/06/2021","0463","N593AS","SAN","09:10","10:15","328","313","65","10:33","18","50","0","0","0","0"
"AS","12/06/2021","0727","N583AS","PDX","09:00","09:14","375","404","14","09:32","18","14","0","29","0","0"
"AS","12/06/2021","1305","N922VA","SFO","18:55","19:07","385","373","12","19:39","32","0","0","0","0","0"
"AS","12/06/2022","0009","N537AS","SEA","07:00","06:49","388","395","-11","07:09","20","0","0","0","0","0"
"AS","12/06/2022","0017","N457AS","SEA","16:50","16:42","385","394","-8","16:57","15","0","0","0","0","0"
"AS","12/06/2022","0041","N287AK","SFO","18:00","17:52","372","378","-8","18:27","35","0","0","0","0","0"
"AS","12/06/2022","0160","N570AS","SEA","09:00","08:51","383","403","-9","09:21","30","0","0","0","0","0"
"AS","12/06/2022","0463","N949AK","SAN","18:55","18:54","326","331","-1","19:15","21","0","0","0","0","0"
"AS","12/06/2022","0727","N590AS","PDX","19:40","19:33","376","376","-7","19:48","15","0","0","0","0","0"
"AS","12/06/2023","0313","N933AK","PDX","18:49","18:43","378","346","-6","19:03","20","0","0","0","0","0"
"AS","12/06/2023","0347","N506AS","SEA","10:00","09:48","399","379","-12","10:16","28","0","0","0","0","0"
"AS","12/06/2023","0367","N948AK","SEA","20:29","20:21","390","371","-8","20:47","26","0","0","0","0","0"
"AS","12/06/2023","0395","N530AS","SEA","07:00","06:45","399","407","-15","07:07","22","0","0","0","0","0"
"AS","12/06/2023","0399","N961AK","SFO","17:46","17:33","380","361","-13","17:51","18","0","0","0","0","0"
"AS","12/06/2023","0419","N579AS","SEA","16:25","16:21","391","370","-4","16:47","26","0","0","0","0","0"
"AS","12/06/2023","0571","N948AK","SAN","08:20","08:16","332","314","-4","08:31","15","0","0","0","0","0"
"AS","12/07/2021","0009","N546AS","SEA","07:10","07:02","390","411","-8","07:25","23","0","0","0","0","0"
"AS","12/07/2021","0019","N283AK","SEA","17:55","17:47","384","379","-8","17:59","12","0","0","0","0","0"
"AS","12/07/2021","0029","N247AK","SEA","10:30","10:30","393","375","0","10:47","17","0","0","0","0","0"
"AS","12/07/2021","0463","N248AK","SAN","09:10","09:15","328","331","5","09:42","27","0","0","0","0","0"
"AS","12/07/2021","0727","N448AS","PDX","09:00","08:53","375","375","-7","09:14","21","0","0","0","0","0"
"AS","12/07/2022","0009","N551AS","SEA","07:00","06:51","388","388","-9","07:11","20","0","0","0","0","0"
"AS","12/07/2022","0017","N281AK","SEA","16:50","16:48","385","368","-2","17:08","20","0","0","0","0","0"
"AS","12/07/2022","0041","N564AS","SFO","18:00","18:04","372","364","4","18:25","21","0","0","0","0","0"
"AS","12/07/2022","0160","N549AS","SEA","09:00","08:49","383","387","-11","09:08","19","0","0","0","0","0"
"AS","12/07/2022","0463","N568AS","SAN","18:55","18:48","326","335","-7","19:22","34","0","0","0","0","0"
"AS","12/07/2022","0727","N938AK","PDX","19:40","19:35","376","363","-5","19:57","22","0","0","0","0","0"
"AS","12/07/2023","0301","N487AS","PDX","19:16","19:10","378","363","-6","19:29","19","0","0","0","0","0"
"AS","12/07/2023","0347","N472AS","SEA","10:00","09:54","399","370","-6","10:18","24","0","0","0","0","0"
"AS","12/07/2023","0367","N969AK","SEA","20:29","20:20","390","364","-9","20:41","21","0","0","0","0","0"
"AS","12/07/2023","0395","N963AK","SEA","07:00","06:51","399","383","-9","07:14","23","0","0","0","0","0"
"AS","12/07/2023","0397","N958AK","SAN","17:46","17:43","331","314","-3","18:02","19","0","0","0","0","0"
"AS","12/07/2023","0399","N285AK","SFO","18:49","18:40","380","367","-9","18:59","19","0","0","0","0","0"
"AS","12/07/2023","0419","N409AS","SEA","16:25","16:30","391","358","5","16:46","16","0","0","0","0","0"
"AS","12/07/2023","0571","N969AK","SAN","08:20","08:09","332","318","-11","08:30","21","0","0","0","0","0"
"AS","12/08/2021","0009","N583AS","SEA","07:10","07:06","390","411","-4","07:51","45","0","0","17","0","0"
"AS","12/08/2021","0019","N287AK","SEA","17:55","17:45","384","392","-10","18:18","33","0","0","0","0","0"
"AS","12/08/2021","0029","N530AS","SEA","10:30","10:30","393","379","0","10:42","12","0","0","0","0","0"
"AS","12/08/2021","0463","N293AK","SAN","09:10","09:09","328","333","-1","09:31","22","0","0","0","0","0"
"AS","12/08/2022","0009","N952AK","SEA","07:00","06:59","388","397","-1","07:31","32","0","0","0","0","0"
"AS","12/08/2022","0017","N247AK","SEA","16:50","16:36","385","382","-14","17:00","24","0","0","0","0","0"
"AS","12/08/2022","0041","N283AK","SFO","18:00","18:54","372","371","54","19:16","22","0","0","53","0","0"
"AS","12/08/2022","0160","N926AK","SEA","09:00","08:54","383","387","-6","09:18","24","0","0","0","0","0"
"AS","12/08/2022","0463","N423AS","SAN","18:55","18:53","326","314","-2","19:09","16","0","0","0","0","0"
"AS","12/08/2022","0727","N280AK","PDX","19:40","20:02","376","390","22","20:30","28","0","0","14","0","22"
"AS","12/08/2023","0301","N403AS","PDX","19:16","19:07","378","353","-9","19:23","16","0","0","0","0","0"
"AS","12/08/2023","0347","N253AK","SEA","10:00","09:52","399","356","-8","10:11","19","0","0","0","0","0"
"AS","12/08/2023","0367","N290AK","SEA","20:29","20:40","390","367","11","20:59","19","0","0","0","0","0"
"AS","12/08/2023","0375","N581AS","PDX","07:00","06:50","380","360","-10","07:10","20","0","0","0","0","0"
"AS","12/08/2023","0395","N494AS","SEA","07:00","06:57","399","375","-3","07:20","23","0","0","0","0","0"
"AS","12/08/2023","0397","N929AK","SAN","17:46","17:39","331","333","-7","18:00","21","0","0","0","0","0"
"AS","12/08/2023","0399","N462AS","SFO","18:49","18:41","380","356","-8","19:03","22","0","0","0","0","0"
"AS","12/08/2023","0419","N954AK","SEA","16:25","16:20","391","354","-5","16:37","17","0","0","0","0","0"
"AS","12/08/2023","0571","N290AK","SAN","08:20","08:11","332","325","-9","08:29","18","0","0","0","0","0"
"AS","12/09/2021","0009","N570AS","SEA","07:10","07:10","390","402","0","07:36","26","0","0","0","0","0"
"AS","12/09/2021","0019","N253AK","SEA","17:55","17:49","384","389","-6","18:19","30","0","0","0","0","0"
"AS","12/09/2021","0029","N560AS","SEA","10:30","10:25","393","394","-5","10:43","18","0","0","0","0","0"
"AS","12/09/2021","0463","N293AK","SAN","09:10","09:17","328","316","7","09:40","23","0","0","0","0","0"
"AS","12/09/2021","0727","N517AS","PDX","09:00","08:53","375","396","-7","09:12","19","0","0","0","0","0"
"AS","12/09/2021","1305","N922VA","SFO","18:55","18:49","385","352","-6","19:05","16","0","0","0","0","0"
