Detailed Statistics Departures  
Origin Airport: Pago Pago, TT: Pago Pago International (PPG)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2022","0466","N389HA","HNL","23:20","23:20","325","339","0","23:40","20","0","0","0","0","0"
"HA","12/04/2023","0466","N360HA","HNL","23:20","23:21","330","345","1","23:36","15","15","0","0","0","1"
"HA","12/05/2022","0466","N382HA","HNL","23:20","23:21","325","326","1","23:40","19","0","0","0","0","0"
"HA","12/06/2021","0466","N374HA","HNL","21:30","22:51","330","323","81","23:05","14","74","0","0","0","0"
"HA","12/07/2023","0466","N381HA","HNL","23:20","06:59","330","308","459","07:12","13","0","0","0","0","437"
"HA","12/08/2022","0466","N373HA","HNL","23:20","01:20","325","339","120","01:37","17","32","0","0","0","102"
"HA","12/11/2023","0466","N370HA","HNL","23:20","23:16","330","344","-4","23:30","14","0","0","0","0","0"
"HA","12/12/2022","0466","N375HA","HNL","23:20","23:45","325","322","25","00:03","18","0","0","0","0","22"
"HA","12/13/2023","0466","N389HA","HNL","23:20","23:24","330","332","4","23:36","12","0","0","0","0","0"
"HA","12/14/2022","0466","N392HA","HNL","23:20","00:02","325","314","42","00:18","16","0","0","0","0","31"
"HA","12/14/2023","0466","N390HA","HNL","23:20","23:52","330","328","32","00:05","13","18","0","0","0","12"
"HA","12/15/2022","0466","N379HA","HNL","23:20","23:07","325","329","-13","23:24","17","0","0","0","0","0"
"HA","12/18/2023","0466","N388HA","HNL","23:20","23:19","330","319","-1","23:31","12","0","0","0","0","0"
"HA","12/19/2022","0466","N381HA","HNL","23:20","00:31","325","329","71","00:51","20","4","0","0","0","71"
"HA","12/21/2022","0466","N391HA","HNL","23:20","23:29","325","315","9","23:46","17","0","0","0","0","0"
"HA","12/21/2023","0466","N361HA","HNL","23:20","23:21","330","331","1","23:32","11","0","0","0","0","0"
"HA","12/22/2022","0466","N382HA","HNL","23:20","23:01","325","312","-19","23:18","17","0","0","0","0","0"
"HA","12/25/2023","0466","N384HA","HNL","23:20","23:07","330","350","-13","23:19","12","0","0","0","0","0"
"HA","12/26/2022","0466","N381HA","HNL","23:20","22:59","325","335","-21","23:16","17","0","0","0","0","0"
"HA","12/28/2022","0466","N385HA","HNL","23:20","22:57","325","342","-23","23:14","17","0","0","0","0","0"
"HA","12/28/2023","0466","N382HA","HNL","23:20","23:24","330","333","4","23:48","24","0","0","0","0","0"
"HA","12/29/2022","0466","N370HA","HNL","23:20","23:15","325","324","-5","23:20","5","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
