Detailed Statistics Departures  
Origin Airport: Palm Springs, CA: Palm Springs International (PSP)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","0619","322NV","BNA","11:15","11:03","240","229","-12","11:14","11","0","0","0","0","0"
"G4","12/01/2022","0297","315NV","BLI","10:27","10:42","174","166","15","10:58","16","0","0","0","0","0"
"G4","12/01/2023","1897","333NV","BLI","18:14","18:14","186","186","0","18:25","11","0","0","0","0","0"
"G4","12/02/2021","0524","308NV","BLI","11:58","12:16","172","161","18","12:31","15","0","0","0","0","0"
"G4","12/02/2021","0847","257NV","DSM","09:11","09:00","186","183","-11","09:14","14","0","0","0","0","0"
"G4","12/03/2021","0040","333NV","EUG","15:19","15:06","141","125","-13","15:17","11","0","0","0","0","0"
"G4","12/04/2021","0619","322NV","BNA","11:15","10:57","240","214","-18","11:11","14","0","0","0","0","0"
"G4","12/04/2022","0297","338NV","BLI","10:27","10:31","174","156","4","10:43","12","0","0","0","0","0"
"G4","12/04/2023","0292","322NV","BLI","18:14","18:03","186","172","-11","18:15","12","0","0","0","0","0"
"G4","12/05/2021","0524","332NV","BLI","11:28","11:22","172","178","-6","11:35","13","0","0","0","0","0"
"G4","12/05/2021","0847","257NV","DSM","09:11","08:58","186","178","-13","09:08","10","0","0","0","0","0"
"G4","12/06/2021","0040","316NV","EUG","15:19","15:11","141","142","-8","15:24","13","0","0","0","0","0"
"G4","12/08/2021","0619","322NV","BNA","11:15","10:59","240","215","-16","11:24","25","0","0","0","0","0"
"G4","12/08/2022","0297","338NV","BLI","10:31","10:25","170","164","-6","10:36","11","0","0","0","0","0"
"G4","12/08/2023","0292","333NV","BLI","18:21","18:16","177","196","-5","18:31","15","0","0","0","0","0"
"G4","12/09/2021","0524","308NV","BLI","11:58","11:49","172","170","-9","12:00","11","0","0","0","0","0"
"G4","12/09/2021","0847","262NV","DSM","09:11","09:00","186","163","-11","09:09","9","0","0","0","0","0"
