Detailed Statistics Departures  
Origin Airport: Palm Springs, CA: Palm Springs International (PSP)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2483","N638QX","SFO","06:00","05:58","93","79","-2","06:12","14","0","0","0","0","0"
"QX","12/01/2021","2486","N638QX","SFO","10:25","10:22","93","86","-3","10:34","12","0","0","0","0","0"
"QX","12/01/2022","2134","N651QX","PAE","10:20","10:25","177","172","5","10:41","16","0","0","0","0","0"
"QX","12/01/2022","2353","N638QX","SFO","19:50","19:43","97","90","-7","19:54","11","0","0","0","0","0"
"QX","12/01/2023","2143","N627QX","PAE","18:50","18:46","174","186","-4","18:57","11","0","0","0","0","0"
"QX","12/01/2023","2464","N646QX","PDX","17:13","17:08","153","175","-5","17:19","11","0","0","17","0","0"
"QX","12/02/2021","2367","N624QX","PAE","14:15","14:12","180","170","-3","14:29","17","0","0","0","0","0"
"QX","12/02/2021","2591","N627QX","SEA","18:25","18:24","175","162","-1","18:35","11","0","0","0","0","0"
"QX","12/02/2022","2134","N650QX","PAE","10:20","11:42","177","163","82","11:51","9","0","0","0","0","68"
"QX","12/02/2022","2353","N644QX","SFO","19:50","19:41","97","83","-9","19:50","9","0","0","0","0","0"
"QX","12/02/2023","2143","N644QX","PAE","18:50","18:36","174","188","-14","18:46","10","0","0","0","0","0"
"QX","12/02/2023","2464","N635QX","PDX","17:13","17:07","153","166","-6","17:17","10","0","0","0","0","0"
"QX","12/03/2021","2367","N649QX","PAE","14:15","14:13","180","170","-2","14:26","13","0","0","0","0","0"
"QX","12/03/2021","2591","N639QX","SEA","18:25","18:23","175","168","-2","18:36","13","0","0","0","0","0"
"QX","12/03/2022","2134","N650QX","PAE","10:20","10:30","177","156","10","10:41","11","0","0","0","0","0"
"QX","12/03/2022","2353","N635QX","SFO","19:50","19:41","97","89","-9","19:56","15","0","0","0","0","0"
"QX","12/03/2023","2143","N645QX","PAE","18:50","18:41","174","180","-9","18:58","17","0","0","0","0","0"
"QX","12/04/2022","2134","N633QX","PAE","10:20","10:27","177","160","7","10:39","12","0","0","0","0","0"
"QX","12/04/2022","2353","N633QX","SFO","19:50","19:41","97","98","-9","19:57","16","0","0","0","0","0"
"QX","12/04/2023","2143","N654QX","PAE","18:50","18:46","174","161","-4","18:54","8","0","0","0","0","0"
