Detailed Statistics Departures  
Origin Airport: Baltimore, MD: Baltimore/Washington International Thurgood Marshall (BWI)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0727","N711FR","DEN","14:05","14:04","255","241","-1","14:19","15","0","0","0","0","0"
"F9","12/01/2021","1243","N706FR","MCO","12:30","12:24","151","151","-6","12:46","22","0","0","0","0","0"
"F9","12/01/2021","1245","N713FR","MCO","06:00","05:49","149","152","-11","06:09","20","0","0","0","0","0"
"F9","12/01/2021","2985","N383FR","MIA","20:04","20:44","170","171","40","21:00","16","0","0","1","0","40"
"F9","12/01/2022","1243","N371FR","MCO","06:00","06:00","159","152","0","06:16","16","0","0","0","0","0"
"F9","12/01/2022","1245","N715FR","MCO","15:42","15:40","158","142","-2","15:52","12","0","0","0","0","0"
"F9","12/01/2022","1571","N368FR","ATL","21:50","21:37","123","114","-13","21:56","19","0","0","0","0","0"
"F9","12/01/2022","1947","N350FR","LAS","20:44","21:52","336","379","68","22:06","14","68","0","43","0","0"
"F9","12/01/2022","2987","N367FR","PHX","08:05","08:24","333","321","19","08:33","9","0","0","0","0","0"
"F9","12/01/2023","1079","N367FR","ATL","17:28","17:22","122","150","-6","17:59","37","0","0","22","0","0"
"F9","12/01/2023","1665","N626FR","MIA","09:53","09:45","172","182","-8","10:06","21","0","0","0","0","0"
"F9","12/01/2023","2633","N339FR","ATL","10:06","10:18","121","120","12","10:36","18","0","0","0","0","0"
"F9","12/01/2023","2705","N309FR","DEN","12:13","12:13","262","249","0","12:22","9","0","0","0","0","0"
"F9","12/01/2023","3273","N376FR","MCO","19:51","19:45","164","151","-6","20:01","16","0","0","0","0","0"
"F9","12/01/2023","4091","N376FR","TPA","13:12","13:03","152","146","-9","13:16","13","0","0","0","0","0"
"F9","12/01/2023","4143","N710FR","MCO","08:51","08:48","159","143","-3","09:04","16","0","0","0","0","0"
"F9","12/02/2021","1243","N720FR","MCO","18:30","18:57","153","141","27","19:13","16","4","0","0","0","11"
"F9","12/02/2021","1245","N382FR","MCO","06:00","05:56","149","137","-4","06:09","13","0","0","0","0","0"
"F9","12/02/2021","1571","N368FR","ATL","16:50","16:58","127","111","8","17:16","18","0","0","0","0","0"
"F9","12/02/2022","0727","N388FR","DEN","12:08","12:04","259","262","-4","12:18","14","0","0","0","0","0"
"F9","12/02/2022","1243","N371FR","MCO","06:00","05:53","159","134","-7","06:07","14","0","0","0","0","0"
"F9","12/02/2022","1245","N705FR","MCO","15:38","15:31","158","163","-7","15:54","23","0","0","0","0","0"
"F9","12/02/2022","1573","N310FR","ATL","21:50","21:41","123","115","-9","22:00","19","0","0","0","0","0"
"F9","12/02/2022","1947","N326FR","LAS","20:44","20:37","336","371","-7","20:54","17","0","0","28","0","0"
"F9","12/02/2022","2983","N341FR","MIA","13:14","13:13","173","156","-1","13:30","17","0","0","0","0","0"
"F9","12/02/2022","2987","N391FR","PHX","08:05","07:59","333","331","-6","08:11","12","0","0","0","0","0"
"F9","12/02/2023","1079","N346FR","ATL","17:30","17:25","122","131","-5","17:43","18","0","0","0","0","0"
"F9","12/02/2023","1241","N336FR","MCO","16:12","16:07","158","148","-5","16:23","16","0","0","0","0","0"
"F9","12/02/2023","1665","N607FR","MIA","09:53","09:45","172","169","-8","10:01","16","0","0","0","0","0"
"F9","12/02/2023","2633","N303FR","ATL","09:51","09:49","122","129","-2","10:05","16","0","0","0","0","0"
"F9","12/02/2023","3783","N228FR","DFW","21:02","21:00","220","237","-2","21:16","16","0","0","15","0","0"
"F9","12/02/2023","4071","N615FR","MCO","20:11","20:06","164","172","-5","20:29","23","0","0","0","0","0"
"F9","12/02/2023","4091","N615FR","TPA","13:22","13:13","152","146","-9","13:28","15","0","0","0","0","0"
"F9","12/02/2023","4143","N343FR","MCO","08:41","10:55","159","145","134","11:11","16","0","0","0","0","120"
"F9","12/03/2021","0727","N714FR","DEN","14:05","14:34","255","247","29","14:42","8","21","0","0","0","0"
"F9","12/03/2021","1243","N720FR","MCO","18:30","18:30","153","156","0","18:51","21","0","0","0","0","0"
"F9","12/03/2021","1245","N386FR","MCO","06:00","05:51","149","168","-9","06:10","19","0","0","0","0","0"
"F9","12/03/2021","2983","N207FR","MIA","17:05","16:58","170","175","-7","17:19","21","0","0","0","0","0"
"F9","12/03/2022","1243","N210FR","MCO","06:00","06:00","159","149","0","06:23","23","0","0","0","0","0"
"F9","12/03/2022","1245","N717FR","MCO","15:38","16:52","158","136","74","17:06","14","0","0","0","0","52"
"F9","12/03/2022","1571","N322FR","ATL","21:41","21:33","123","114","-8","21:45","12","0","0","0","0","0"
"F9","12/03/2022","1947","N362FR","LAS","20:44","20:36","336","330","-8","20:48","12","0","0","0","0","0"
"F9","12/03/2022","2983","N213FR","MIA","18:36","18:23","178","143","-13","18:33","10","0","0","0","0","0"
"F9","12/03/2022","2987","N346FR","PHX","08:05","08:32","333","338","27","08:50","18","27","0","5","0","0"
"F9","12/03/2023","1079","N303FR","ATL","17:30","17:25","122","134","-5","17:45","20","0","0","0","0","0"
"F9","12/03/2023","1665","N629FR","MIA","09:53","14:15","172","167","262","14:34","19","0","0","0","0","257"
"F9","12/03/2023","2633","N316FR","ATL","10:07","09:57","121","137","-10","10:17","20","0","0","0","0","0"
"F9","12/03/2023","3273","N706FR","MCO","16:21","16:16","158","168","-5","16:35","19","0","0","0","0","0"
"F9","12/03/2023","3783","N392FR","DFW","20:30","20:23","220","228","-7","20:38","15","0","0","0","0","0"
"F9","12/03/2023","4071","N342FR","MCO","19:24","19:48","164","156","24","20:03","15","0","0","0","0","16"
"F9","12/03/2023","4091","N342FR","TPA","12:55","12:51","152","170","-4","13:11","20","0","0","0","0","0"
"F9","12/03/2023","4143","N343FR","MCO","08:41","08:29","159","152","-12","08:49","20","0","0","0","0","0"
"F9","12/04/2021","0727","N714FR","DEN","14:05","14:31","255","228","26","14:40","9","0","0","0","0","0"
"F9","12/04/2021","1243","N704FR","MCO","18:30","18:37","153","141","7","18:53","16","0","0","0","0","0"
"F9","12/04/2021","1245","N723FR","MCO","06:00","06:04","149","141","4","06:21","17","0","0","0","0","0"
"F9","12/04/2021","1571","N381FR","ATL","11:18","11:17","127","113","-1","11:34","17","0","0","0","0","0"
"F9","12/04/2021","2985","N324FR","MIA","20:04","19:52","170","168","-12","20:06","14","0","0","0","0","0"
"F9","12/04/2022","1243","N358FR","MCO","06:00","05:59","159","146","-1","06:12","13","0","0","0","0","0"
"F9","12/04/2022","1245","N712FR","MCO","15:42","20:49","158","141","307","21:05","16","148","0","0","0","142"
"F9","12/04/2022","1571","N347FR","ATL","21:50","21:41","123","115","-9","21:56","15","0","0","0","0","0"
"F9","12/04/2022","1947","N342FR","LAS","20:44","20:37","336","360","-7","20:57","20","0","0","17","0","0"
"F9","12/04/2022","2987","N338FR","PHX","08:05","08:05","333","0","0","00:00","0","0","0","0","0","0"
"F9","12/04/2023","1079","N350FR","ATL","18:15","18:05","126","135","-10","18:22","17","0","0","0","0","0"
"F9","12/04/2023","1665","N603FR","MIA","10:23","01:16","173","165","893","01:36","20","0","0","0","0","885"
"F9","12/04/2023","2633","N304FR","ATL","09:32","11:29","122","139","117","11:48","19","10","0","17","0","107"
"F9","12/04/2023","2705","N310FR","DEN","12:23","12:20","262","239","-3","12:32","12","0","0","0","0","0"
"F9","12/04/2023","3273","N379FR","MCO","19:41","22:54","164","162","193","23:06","12","0","0","0","0","191"
"F9","12/04/2023","4091","N379FR","TPA","13:12","16:29","152","153","197","16:42","13","7","0","1","0","190"
"F9","12/04/2023","4143","N606FR","MCO","08:51","08:41","159","168","-10","08:54","13","0","0","0","0","0"
"F9","12/05/2021","1243","N715FR","MCO","17:59","18:32","152","135","33","18:44","12","0","0","0","0","16"
"F9","12/05/2021","1245","N704FR","MCO","06:00","06:19","149","140","19","06:32","13","0","0","0","0","0"
"F9","12/05/2021","1571","N346FR","ATL","19:18","19:49","127","109","31","20:09","20","0","0","0","0","0"
"F9","12/05/2022","0727","N213FR","DEN","12:08","11:58","260","267","-10","12:15","17","0","0","0","0","0"
"F9","12/05/2022","1243","N318FR","MCO","06:00","05:57","159","133","-3","06:13","16","0","0","0","0","0"
"F9","12/05/2022","1245","N603FR","MCO","15:38","15:46","158","144","8","16:03","17","0","0","0","0","0"
"F9","12/05/2022","1573","N383FR","ATL","21:25","21:16","123","122","-9","21:31","15","0","0","0","0","0"
"F9","12/05/2022","1947","N230FR","LAS","20:39","20:37","336","351","-2","20:51","14","0","0","0","0","0"
"F9","12/05/2022","2983","N374FR","MIA","10:20","10:20","172","151","0","10:34","14","0","0","0","0","0"
"F9","12/05/2022","2987","N360FR","PHX","08:05","08:07","333","327","2","08:22","15","0","0","0","0","0"
"F9","12/05/2023","1079","N312FR","ATL","18:14","18:12","126","129","-2","18:29","17","0","0","0","0","0"
"F9","12/05/2023","1665","N363FR","MIA","10:52","10:39","173","171","-13","10:51","12","0","0","0","0","0"
"F9","12/05/2023","2633","N716FR","ATL","15:02","14:54","121","135","-8","15:12","18","0","0","0","0","0"
"F9","12/05/2023","3273","N604FR","MCO","20:11","20:00","162","157","-11","20:13","13","0","0","0","0","0"
"F9","12/05/2023","3783","N353FR","DFW","21:21","21:14","218","195","-7","21:26","12","0","0","0","0","0"
"F9","12/05/2023","4091","N604FR","TPA","13:22","13:12","152","157","-10","13:24","12","0","0","0","0","0"
"F9","12/05/2023","4143","N370FR","MCO","08:41","08:35","159","168","-6","09:05","30","0","0","0","0","0"
"F9","12/06/2021","0727","N713FR","DEN","14:05","13:55","255","251","-10","14:05","10","0","0","0","0","0"
"F9","12/06/2021","1243","N719FR","MCO","17:33","19:21","152","162","108","19:42","21","8","0","32","0","78"
"F9","12/06/2021","1245","N332FR","MCO","06:00","05:52","149","139","-8","06:07","15","0","0","0","0","0"
"F9","12/06/2021","2985","N366FR","MIA","18:38","19:10","170","186","32","19:34","24","1","0","46","0","1"
"F9","12/06/2022","1243","N375FR","MCO","06:00","05:56","159","140","-4","06:14","18","0","0","0","0","0"
"F9","12/06/2022","1245","N708FR","MCO","15:42","15:41","158","156","-1","16:04","23","0","0","0","0","0"
"F9","12/06/2022","1571","N307FR","ATL","22:00","21:56","123","128","-4","22:16","20","0","0","0","0","0"
"F9","12/06/2022","1947","N384FR","LAS","20:44","20:35","336","384","-9","20:58","23","0","0","39","0","0"
"F9","12/06/2022","2987","N388FR","PHX","08:05","07:58","333","375","-7","08:37","39","0","0","35","0","0"
"F9","12/06/2023","1079","N368FR","ATL","18:14","18:07","126","122","-7","18:35","28","0","0","0","0","0"
"F9","12/06/2023","1665","N603FR","MIA","09:53","09:49","172","159","-4","10:02","13","0","0","0","0","0"
"F9","12/06/2023","2633","N372FR","ATL","10:06","09:55","121","113","-11","10:12","17","0","0","0","0","0"
"F9","12/06/2023","3273","N364FR","MCO","19:42","19:37","164","139","-5","19:53","16","0","0","0","0","0"
"F9","12/06/2023","4091","N364FR","TPA","13:12","13:02","152","137","-10","13:19","17","0","0","0","0","0"
"F9","12/06/2023","4143","N329FR","MCO","08:51","09:32","159","152","41","09:50","18","0","0","0","0","34"
"F9","12/07/2021","1243","N722FR","MCO","17:55","17:41","152","163","-14","17:51","10","0","0","0","0","0"
"F9","12/07/2021","1245","N330FR","MCO","06:00","05:50","149","150","-10","06:03","13","0","0","0","0","0"
"F9","12/07/2021","1571","N309FR","ATL","19:20","19:23","127","119","3","19:38","15","0","0","0","0","0"
"F9","12/07/2022","1243","N370FR","MCO","06:00","06:04","159","137","4","06:23","19","0","0","0","0","0"
"F9","12/07/2022","1245","N713FR","MCO","15:38","15:43","158","142","5","16:02","19","0","0","0","0","0"
