Detailed Statistics Departures  
Origin Airport: Panama City, FL: Northwest Florida Beaches International (ECP)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1714","N127DN","ATL","13:24","13:22","71","61","-2","13:31","9","0","0","0","0","0"
"DL","12/01/2021","2096","N391DN","ATL","06:00","05:57","66","68","-3","06:15","18","0","0","0","0","0"
"DL","12/01/2021","2112","N342NW","ATL","17:45","17:39","75","62","-6","17:50","11","0","0","0","0","0"
"DL","12/01/2021","2315","N317US","ATL","09:13","09:09","66","59","-4","09:21","12","0","0","0","0","0"
"DL","12/01/2021","2609","N364NW","ATL","12:05","12:03","70","61","-2","12:14","11","0","0","0","0","0"
"DL","12/01/2022","1193","N951DX","ATL","10:25","10:11","72","62","-14","10:27","16","0","0","0","0","0"
"DL","12/01/2022","1232","N951DX","ATL","18:07","17:53","81","61","-14","18:03","10","0","0","0","0","0"
"DL","12/01/2022","1240","N842DN","ATL","14:13","14:10","75","57","-3","14:24","14","0","0","0","0","0"
"DL","12/01/2022","2096","N815DN","ATL","06:00","05:53","72","59","-7","06:03","10","0","0","0","0","0"
"DL","12/01/2022","2616","N835DN","ATL","07:53","07:48","76","63","-5","07:58","10","0","0","0","0","0"
"DL","12/01/2023","1631","N961DZ","ATL","09:56","09:54","67","57","-2","10:05","11","0","0","0","0","0"
"DL","12/01/2023","2026","N962DZ","ATL","17:37","17:26","79","98","-11","18:10","44","0","0","0","0","0"
"DL","12/01/2023","2233","N941DZ","ATL","13:08","12:55","71","61","-13","13:06","11","0","0","0","0","0"
"DL","12/01/2023","2847","N960DZ","ATL","06:00","05:53","69","63","-7","06:08","15","0","0","0","0","0"
"DL","12/01/2023","2904","N947DZ","ATL","07:45","07:38","69","62","-7","07:48","10","0","0","0","0","0"
"DL","12/02/2021","1714","N354DN","ATL","13:24","13:20","71","59","-4","13:31","11","0","0","0","0","0"
"DL","12/02/2021","2096","N351DN","ATL","06:00","05:58","66","59","-2","06:09","11","0","0","0","0","0"
"DL","12/02/2021","2112","N354DN","ATL","17:54","17:46","75","76","-8","18:06","20","0","0","0","0","0"
"DL","12/02/2021","2315","N354NW","ATL","10:58","11:31","62","57","33","11:40","9","0","0","0","0","28"
"DL","12/02/2021","2878","N110DX","ATL","07:00","06:59","68","65","-1","07:10","11","0","0","0","0","0"
"DL","12/02/2022","1193","N951DX","ATL","10:25","10:20","72","60","-5","10:34","14","0","0","0","0","0"
"DL","12/02/2022","1232","N951DX","ATL","18:07","18:01","81","70","-6","18:15","14","0","0","0","0","0"
"DL","12/02/2022","1240","N874DN","ATL","14:13","14:08","75","61","-5","14:21","13","0","0","0","0","0"
"DL","12/02/2022","2096","N898DN","ATL","06:00","05:56","72","57","-4","06:06","10","0","0","0","0","0"
"DL","12/02/2022","2616","N869DN","ATL","07:53","07:48","76","64","-5","07:57","9","0","0","0","0","0"
"DL","12/02/2023","1631","N958DZ","ATL","09:56","09:46","67","67","-10","10:01","15","0","0","0","0","0"
"DL","12/02/2023","2026","N957DZ","ATL","17:37","17:21","79","59","-16","17:34","13","0","0","0","0","0"
"DL","12/02/2023","2233","N959DZ","ATL","13:08","12:53","71","57","-15","13:04","11","0","0","0","0","0"
"DL","12/02/2023","2847","N939DZ","ATL","06:00","05:48","69","66","-12","06:04","16","0","0","0","0","0"
"DL","12/02/2023","2904","N956DZ","ATL","07:45","08:14","69","67","29","08:27","13","27","0","0","0","0"
"DL","12/03/2021","1714","N380DN","ATL","13:24","13:20","71","64","-4","13:33","13","0","0","0","0","0"
"DL","12/03/2021","2096","N341DN","ATL","06:00","05:55","66","63","-5","06:08","13","0","0","0","0","0"
"DL","12/03/2021","2112","N380DN","ATL","17:55","17:54","75","75","-1","18:15","21","0","0","0","0","0"
"DL","12/03/2021","2315","N309US","ATL","10:58","10:58","62","53","0","11:07","9","0","0","0","0","0"
"DL","12/03/2021","2878","N359DN","ATL","07:00","06:55","68","62","-5","07:08","13","0","0","0","0","0"
"DL","12/03/2022","1193","N951DX","ATL","10:25","10:22","72","64","-3","10:33","11","0","0","0","0","0"
"DL","12/03/2022","1232","N951DX","ATL","18:07","18:01","81","71","-6","18:15","14","0","0","0","0","0"
"DL","12/03/2022","1240","N850DN","ATL","14:13","14:09","75","61","-4","14:18","9","0","0","0","0","0"
"DL","12/03/2022","2096","N884DN","ATL","06:00","05:55","72","76","-5","06:12","17","0","0","0","0","0"
"DL","12/03/2022","2616","N826DN","ATL","07:53","07:46","76","62","-7","07:58","12","0","0","0","0","0"
"DL","12/03/2023","1631","N942DZ","ATL","09:56","09:57","67","62","1","10:07","10","0","0","0","0","0"
"DL","12/03/2023","2026","N945DZ","ATL","17:37","21:02","79","60","205","21:10","8","186","0","0","0","0"
"DL","12/03/2023","2233","N939DZ","ATL","13:08","13:04","71","59","-4","13:16","12","0","0","0","0","0"
"DL","12/03/2023","2847","N957DZ","ATL","06:00","06:00","69","81","0","06:12","12","0","0","0","0","0"
"DL","12/03/2023","2904","N955DZ","ATL","07:45","12:00","69","55","255","12:10","10","241","0","0","0","0"
