Detailed Statistics Departures  
Origin Airport: Pasco/Kennewick/Richland, WA: Tri Cities (PSC)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2023","1023","N320AS","SEA","08:00","07:56","75","105","-4","08:48","52","0","0","26","0","0"
"AS","12/02/2023","1023","N309AS","SEA","08:00","08:00","75","61","0","08:12","12","0","0","0","0","0"
"AS","12/03/2023","1023","N464AS","SEA","08:00","07:58","75","71","-2","08:11","13","0","0","0","0","0"
"AS","12/04/2023","1023","N435AS","SEA","08:00","07:53","75","63","-7","08:06","13","0","0","0","0","0"
"AS","12/05/2023","1023","N251AK","SEA","08:00","07:54","75","63","-6","08:07","13","0","0","0","0","0"
"AS","12/06/2023","1023","N469AS","SEA","08:00","08:05","75","57","5","08:17","12","0","0","0","0","0"
"AS","12/07/2023","1023","N943AK","SEA","08:00","08:09","75","81","9","08:33","24","9","0","6","0","0"
"AS","12/08/2023","1023","N407AS","SEA","08:00","08:00","75","78","0","08:20","20","0","0","0","0","0"
"AS","12/09/2023","1023","N479AS","SEA","08:00","07:59","75","75","-1","08:23","24","0","0","0","0","0"
"AS","12/10/2023","1023","N982AK","SEA","08:00","08:01","75","57","1","08:10","9","0","0","0","0","0"
"AS","12/11/2023","1023","N428AS","SEA","08:00","08:02","75","63","2","08:15","13","0","0","0","0","0"
"AS","12/12/2023","1023","N933AK","SEA","08:00","07:54","75","64","-6","08:09","15","0","0","0","0","0"
"AS","12/13/2023","1023","N423AS","SEA","08:00","07:56","75","69","-4","08:12","16","0","0","0","0","0"
"AS","12/14/2023","1021","N912AK","SEA","13:25","13:23","70","63","-2","13:35","12","0","0","0","0","0"
"AS","12/14/2023","1023","N928AK","SEA","07:00","06:54","73","88","-6","07:25","31","0","0","0","0","0"
"AS","12/15/2023","1021","N253AK","SEA","13:25","14:08","70","54","43","14:20","12","0","0","0","0","27"
"AS","12/15/2023","1023","N247AK","SEA","07:00","06:57","73","81","-3","07:27","30","0","0","0","0","0"
"AS","12/16/2023","1021","N929AK","SEA","13:25","14:02","70","55","37","14:14","12","22","0","0","0","0"
"AS","12/16/2023","1023","N524AS","SEA","07:00","13:14","73","62","374","13:31","17","48","0","0","0","315"
"AS","12/17/2023","1021","N704AL","SEA","13:25","14:19","70","49","54","14:31","12","0","0","0","0","33"
"AS","12/17/2023","1023","N577AS","SEA","07:00","06:46","73","75","-14","07:03","17","0","0","0","0","0"
"AS","12/18/2023","1021","N215AK","SEA","13:25","14:47","70","60","82","15:02","15","16","0","0","0","56"
"AS","12/18/2023","1023","N921AK","SEA","07:00","08:08","73","63","68","08:22","14","58","0","0","0","0"
"AS","12/19/2023","1021","N559AS","SEA","13:25","13:16","70","77","-9","13:44","28","0","0","0","0","0"
"AS","12/19/2023","1023","N306AS","SEA","07:00","06:50","73","114","-10","07:48","58","0","0","31","0","0"
"AS","12/20/2023","1021","N472AS","SEA","13:25","13:32","70","68","7","13:48","16","0","0","0","0","0"
"AS","12/20/2023","1023","N236AK","SEA","07:00","06:52","73","79","-8","07:11","19","0","0","0","0","0"
"AS","12/21/2023","1021","N267AK","SEA","13:25","13:32","70","57","7","13:42","10","0","0","0","0","0"
"AS","12/21/2023","1023","N318AS","SEA","07:00","06:56","73","72","-4","07:13","17","0","0","0","0","0"
"AS","12/22/2023","1021","N929AK","SEA","13:25","13:25","70","62","0","13:37","12","0","0","0","0","0"
"AS","12/22/2023","1023","N548AS","SEA","07:00","06:55","73","83","-5","07:32","37","0","0","0","0","0"
"AS","12/23/2023","1021","N486AS","SEA","13:25","13:53","70","80","28","14:27","34","28","0","10","0","0"
"AS","12/23/2023","1023","N958AK","SEA","07:00","06:47","73","90","-13","07:22","35","0","0","0","0","0"
"AS","12/24/2023","1021","N596AS","SEA","13:25","13:36","70","51","11","13:45","9","0","0","0","0","0"
"AS","12/24/2023","1023","N281AK","SEA","07:00","06:44","73","149","-16","08:29","105","0","0","60","0","0"
"AS","12/25/2023","1021","N532AS","SEA","13:25","13:14","70","91","-11","13:38","24","0","0","0","0","0"
"AS","12/25/2023","1023","N428AS","SEA","07:00","06:47","73","109","-13","07:43","56","0","0","23","0","0"
"AS","12/26/2023","1021","N283AK","SEA","13:25","13:47","70","70","22","14:08","21","22","0","0","0","0"
"AS","12/26/2023","1023","N433AS","SEA","07:00","06:57","73","101","-3","07:44","47","0","0","25","0","0"
"AS","12/27/2023","1021","N708AL","SEA","13:25","15:03","70","61","98","15:20","17","16","0","0","0","73"
"AS","12/27/2023","1023","N457AS","SEA","07:00","06:50","73","57","-10","07:04","14","0","0","0","0","0"
"AS","12/28/2023","1021","N251AK","SEA","13:25","14:53","70","60","88","15:07","14","0","0","0","0","78"
"AS","12/28/2023","1023","N954AK","SEA","07:00","11:02","73","81","242","11:38","36","0","242","8","0","0"
"AS","12/29/2023","1021","N265AK","SEA","13:25","14:27","70","76","62","14:50","23","2","0","6","0","60"
"AS","12/29/2023","1023","N277AK","SEA","07:00","06:57","73","122","-3","07:49","52","0","0","46","0","0"
"AS","12/30/2023","1021","N462AS","SEA","13:25","18:12","70","69","287","18:33","21","0","0","0","0","286"
"AS","12/30/2023","1023","N708AL","SEA","07:00","00:00","73","0","0","00:00","0","0","0","0","0","0"
"AS","12/31/2023","1021","N318AS","SEA","13:25","14:08","70","55","43","14:20","12","3","0","0","0","25"
"AS","12/31/2023","1023","N548AS","SEA","07:00","06:59","73","60","-1","07:10","11","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
