Detailed Statistics Departures  
Origin Airport: Pasco/Kennewick/Richland, WA: Tri Cities (PSC)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2101","N435QX","SEA","19:22","19:25","67","60","3","19:31","6","0","0","0","0","0"
"QX","12/01/2021","2233","N443QX","SEA","17:18","17:52","67","61","34","18:03","11","0","0","0","0","28"
"QX","12/01/2021","2329","N631QX","SEA","11:53","11:56","67","59","3","12:07","11","0","0","0","0","0"
"QX","12/01/2021","2344","N444QX","SEA","06:00","05:52","69","60","-8","06:02","10","0","0","0","0","0"
"QX","12/01/2022","2029","N632QX","SEA","15:55","15:57","58","73","2","16:27","30","0","0","17","0","0"
"QX","12/01/2022","2101","N623QX","SEA","05:30","05:28","58","68","-2","05:53","25","0","0","0","0","0"
"QX","12/01/2022","2140","N630QX","SEA","10:00","09:58","60","72","-2","10:21","23","0","0","0","0","0"
"QX","12/01/2022","2210","N630QX","SEA","08:15","00:00","60","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2022","2409","N639QX","SEA","07:00","06:58","60","70","-2","07:25","27","0","0","0","0","0"
"QX","12/01/2023","2022","N642QX","SEA","18:17","18:40","79","58","23","18:50","10","0","0","0","0","0"
"QX","12/01/2023","2208","N624QX","SEA","13:58","13:56","83","59","-2","14:08","12","0","0","0","0","0"
"QX","12/01/2023","2406","N630QX","SEA","05:00","05:01","83","82","1","05:36","35","0","0","0","0","0"
"QX","12/02/2021","2101","N434MK","SEA","19:22","19:20","67","64","-2","19:35","15","0","0","0","0","0"
"QX","12/02/2021","2233","N451QX","SEA","17:18","17:10","67","59","-8","17:19","9","0","0","0","0","0"
"QX","12/02/2021","2329","N634QX","SEA","11:53","11:47","67","57","-6","11:58","11","0","0","0","0","0"
"QX","12/02/2021","2344","N401QX","SEA","06:00","05:53","69","59","-7","06:03","10","0","0","0","0","0"
"QX","12/02/2022","2029","N645QX","SEA","15:55","15:55","58","76","0","16:22","27","0","0","18","0","0"
"QX","12/02/2022","2101","N632QX","SEA","05:30","05:31","58","81","1","06:06","35","0","0","24","0","0"
"QX","12/02/2022","2140","N647QX","SEA","10:00","10:00","60","70","0","10:11","11","0","0","0","0","0"
"QX","12/02/2022","2210","N629QX","SEA","08:05","08:19","60","69","14","08:45","26","14","0","9","0","0"
"QX","12/02/2022","2409","N637QX","SEA","07:00","07:17","60","82","17","07:47","30","17","0","22","0","0"
"QX","12/02/2023","2208","N657QX","SEA","13:58","13:57","83","58","-1","14:08","11","0","0","0","0","0"
"QX","12/02/2023","2406","N658QX","SEA","05:00","04:59","83","66","-1","05:15","16","0","0","0","0","0"
"QX","12/03/2021","2101","N430QX","SEA","19:22","19:26","67","53","4","19:33","7","0","0","0","0","0"
"QX","12/03/2021","2233","N444QX","SEA","17:18","17:18","67","75","0","17:29","11","0","0","0","0","0"
"QX","12/03/2021","2329","N632QX","SEA","11:53","11:49","67","58","-4","12:01","12","0","0","0","0","0"
"QX","12/03/2021","2344","N442QX","SEA","06:00","09:37","69","62","217","09:44","7","210","0","0","0","0"
