Detailed Statistics Departures  
Origin Airport: Pensacola, FL: Pensacola International (PNS)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/02/2023","5372","N138SY","ORD","10:46","10:36","149","150","-10","10:51","15","0","0","0","0","0"
"OO","12/03/2023","5372","N607UX","ORD","10:39","10:42","149","151","3","11:05","23","0","0","0","0","0"
"OO","12/05/2022","2900","N620UX","IAH","16:53","16:36","113","148","-17","17:33","57","0","0","18","0","0"
"OO","12/09/2023","5372","N161SY","ORD","10:46","10:36","149","146","-10","10:44","8","0","0","0","0","0"
"OO","12/10/2023","5372","N166SY","ORD","10:39","10:34","149","142","-5","10:46","12","0","0","0","0","0"
"OO","12/16/2023","5372","N140SY","ORD","10:46","10:38","149","140","-8","10:52","14","0","0","0","0","0"
"OO","12/17/2023","5372","N209SY","ORD","10:46","10:39","149","158","-7","10:53","14","0","0","0","0","0"
"OO","12/21/2023","5742","N793SK","ORD","12:15","12:09","152","159","-6","12:31","22","0","0","0","0","0"
"OO","12/22/2023","5742","N795SK","ORD","10:43","10:38","152","144","-5","10:47","9","0","0","0","0","0"
"OO","12/23/2023","5742","N783SK","ORD","10:43","10:42","152","147","-1","11:03","21","0","0","0","0","0"
"OO","12/24/2023","5742","N788SK","ORD","10:43","10:33","152","143","-10","10:46","13","0","0","0","0","0"
"OO","12/25/2023","5742","N782SK","ORD","10:43","10:35","152","145","-8","10:48","13","0","0","0","0","0"
"OO","12/26/2023","5742","N797SK","ORD","10:43","10:43","152","148","0","10:58","15","0","0","0","0","0"
"OO","12/27/2023","5742","N785SK","ORD","10:43","10:36","152","139","-7","10:48","12","0","0","0","0","0"
"OO","12/28/2023","5742","N943SW","ORD","10:43","12:53","152","149","130","13:10","17","127","0","0","0","0"
"OO","12/29/2023","5742","N784SK","ORD","10:43","10:35","152","160","-8","10:52","17","0","0","0","0","0"
"OO","12/30/2023","5742","N779SK","ORD","10:43","10:38","152","157","-5","10:51","13","0","0","0","0","0"
"OO","12/31/2023","5742","N783SK","ORD","10:43","12:10","152","160","87","12:22","12","0","0","8","0","87"

 SOURCE: Bureau of Transportation Statistics
