Detailed Statistics Departures  
Origin Airport: Pensacola, FL: Pensacola International (PNS)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0268","N566WN","BNA","14:40","15:25","85","78","45","15:33","8","0","0","0","0","38"
"WN","12/01/2021","0725","N940WN","BNA","08:05","07:59","85","78","-6","08:08","9","0","0","0","0","0"
"WN","12/01/2021","3518","N203WN","ATL","15:50","15:55","70","62","5","16:07","12","0","0","0","0","0"
"WN","12/01/2021","5138","N8685B","DAL","12:15","12:07","115","117","-8","12:17","10","0","0","0","0","0"
"WN","12/01/2021","5853","N415WN","HOU","10:15","10:09","105","102","-6","10:22","13","0","0","0","0","0"
"WN","12/01/2022","0160","N8583Z","DAL","13:45","13:53","115","108","8","14:01","8","0","0","0","0","0"
"WN","12/01/2022","0972","N8663A","HOU","10:30","10:21","100","97","-9","10:33","12","0","0","0","0","0"
"WN","12/01/2022","1128","N8757L","BNA","07:45","07:46","90","84","1","07:57","11","0","0","0","0","0"
"WN","12/01/2022","1855","N960WN","BNA","18:40","18:38","85","71","-2","18:46","8","0","0","0","0","0"
"WN","12/01/2023","0042","N8602F","HOU","13:55","15:21","105","107","86","15:29","8","2","0","2","0","84"
"WN","12/01/2023","1049","N7704B","DAL","10:30","10:22","115","116","-8","10:28","6","0","0","0","0","0"
"WN","12/01/2023","1968","N7744A","BNA","17:20","17:12","85","71","-8","17:19","7","0","0","0","0","0"
"WN","12/01/2023","3664","N7888A","BNA","08:00","07:58","85","76","-2","08:06","8","0","0","0","0","0"
"WN","12/02/2021","0268","N935WN","BNA","14:40","15:07","85","80","27","15:20","13","0","0","0","0","22"
"WN","12/02/2021","0725","N436WN","BNA","08:05","07:59","85","83","-6","08:07","8","0","0","0","0","0"
"WN","12/02/2021","3518","N204WN","ATL","15:50","15:50","70","65","0","16:01","11","0","0","0","0","0"
"WN","12/02/2021","5138","N8698B","DAL","12:15","12:12","115","116","-3","12:34","22","0","0","0","0","0"
"WN","12/02/2021","5853","N222WN","HOU","10:15","10:07","105","94","-8","10:20","13","0","0","0","0","0"
"WN","12/02/2022","0160","N8816Q","DAL","13:45","13:46","115","110","1","13:56","10","0","0","0","0","0"
"WN","12/02/2022","0972","N8580Z","HOU","10:30","10:26","100","96","-4","10:33","7","0","0","0","0","0"
"WN","12/02/2022","1128","N8736J","BNA","07:45","07:41","90","83","-4","07:52","11","0","0","0","0","0"
"WN","12/02/2022","1855","N783SW","BNA","18:40","18:38","85","81","-2","18:47","9","0","0","0","0","0"
"WN","12/02/2023","0663","N281WN","BNA","07:35","07:33","85","78","-2","07:46","13","0","0","0","0","0"
"WN","12/02/2023","0695","N8855Q","HOU","10:05","09:59","100","108","-6","10:09","10","0","0","0","0","0"
"WN","12/02/2023","1968","N8901Q","BNA","17:25","17:25","85","79","0","17:35","10","0","0","0","0","0"
"WN","12/02/2023","2785","N8825Q","DAL","15:30","15:34","115","110","4","15:43","9","0","0","0","0","0"
"WN","12/03/2021","0268","N247WN","BNA","14:40","14:56","85","79","16","15:06","10","0","0","0","0","0"
"WN","12/03/2021","0725","N785SW","BNA","08:05","07:59","85","72","-6","08:06","7","0","0","0","0","0"
"WN","12/03/2021","3518","N904WN","ATL","15:50","15:49","70","64","-1","16:02","13","0","0","0","0","0"
"WN","12/03/2021","5138","N8667D","DAL","12:15","12:09","115","109","-6","12:23","14","0","0","0","0","0"
"WN","12/03/2021","5853","N421LV","HOU","10:15","10:58","105","95","43","11:09","11","33","0","0","0","0"
"WN","12/03/2022","0160","N8623F","DAL","16:05","15:51","120","106","-14","16:07","16","0","0","0","0","0"
"WN","12/03/2022","0972","N8524Z","HOU","09:55","09:52","105","87","-3","09:59","7","0","0","0","0","0"
"WN","12/03/2022","1128","N8541W","BNA","07:25","07:23","90","77","-2","07:31","8","0","0","0","0","0"
"WN","12/03/2022","1855","N8735L","BNA","18:35","18:27","85","78","-8","18:37","10","0","0","0","0","0"
"WN","12/03/2022","3269","N8761L","STL","13:55","13:45","110","103","-10","13:56","11","0","0","0","0","0"
"WN","12/03/2023","0042","N8662F","HOU","13:55","14:02","105","104","7","14:13","11","0","0","0","0","0"
"WN","12/03/2023","1049","N938WN","DAL","10:30","10:23","115","115","-7","10:31","8","0","0","0","0","0"
"WN","12/03/2023","1968","N559WN","BNA","17:20","17:19","85","70","-1","17:28","9","0","0","0","0","0"
"WN","12/03/2023","3664","N959WN","BNA","08:00","07:52","85","76","-8","08:00","8","0","0","0","0","0"
"WN","12/04/2021","0830","N8578Q","BNA","17:50","17:41","85","87","-9","17:49","8","0","0","0","0","0"
"WN","12/04/2021","2046","N492WN","BNA","07:40","07:35","85","76","-5","07:44","9","0","0","0","0","0"
"WN","12/04/2021","4678","N498WN","DAL","10:05","10:40","115","103","35","10:47","7","23","0","0","0","0"
"WN","12/04/2021","5505","N466WN","HOU","11:35","12:15","105","96","40","12:23","8","1","0","0","0","30"
"WN","12/04/2021","5673","N458WN","ATL","16:45","16:36","70","60","-9","16:45","9","0","0","0","0","0"
"WN","12/04/2022","0972","N8541W","DAL","10:00","10:55","115","108","55","11:06","11","0","0","0","0","48"
"WN","12/04/2022","1640","N7814B","HOU","14:20","14:27","100","88","7","14:34","7","0","0","0","0","0"
"WN","12/04/2022","3011","N923WN","BNA","17:15","17:27","90","83","12","17:40","13","0","0","0","0","0"
"WN","12/04/2022","3047","N8679A","BNA","07:30","07:26","90","68","-4","07:33","7","0","0","0","0","0"
"WN","12/04/2023","0042","N8724J","HOU","13:55","13:50","105","100","-5","14:01","11","0","0","0","0","0"
