Detailed Statistics Departures  
Origin Airport: Pensacola, FL: Pensacola International (PNS)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","2108","N418UA","IAH","07:00","07:02","106","98","2","07:11","9","0","0","0","0","0"
"UA","12/01/2022","2228","N78448","IAH","06:45","06:43","102","99","-2","06:54","11","0","0","0","0","0"
"UA","12/01/2023","2108","N78501","ORD","14:20","14:24","142","137","4","14:36","12","0","0","0","0","0"
"UA","12/01/2023","2130","N14219","IAH","07:00","06:50","104","94","-10","07:00","10","0","0","0","0","0"
"UA","12/02/2021","2108","N424UA","IAH","07:00","06:54","106","89","-6","07:05","11","0","0","0","0","0"
"UA","12/02/2022","2228","N62895","IAH","06:45","06:37","102","99","-8","06:49","12","0","0","0","0","0"
"UA","12/02/2023","2108","N26210","ORD","14:20","14:09","142","146","-11","14:20","11","0","0","0","0","0"
"UA","12/02/2023","2130","N79541","IAH","07:00","06:52","104","111","-8","07:05","13","0","0","0","0","0"
"UA","12/03/2021","2108","N403UA","IAH","07:00","06:49","106","91","-11","06:59","10","0","0","0","0","0"
"UA","12/03/2022","2228","N27246","IAH","06:45","06:36","102","92","-9","06:46","10","0","0","0","0","0"
"UA","12/03/2023","2108","N35236","ORD","14:20","14:18","142","128","-2","14:30","12","0","0","0","0","0"
"UA","12/03/2023","2130","N17244","IAH","07:00","06:50","104","103","-10","07:02","12","0","0","0","0","0"
"UA","12/04/2021","2114","N464UA","IAH","07:00","06:51","106","94","-9","07:02","11","0","0","0","0","0"
"UA","12/04/2022","2228","N68453","IAH","06:40","06:34","102","88","-6","06:44","10","0","0","0","0","0"
"UA","12/04/2023","2108","N38257","ORD","14:20","15:38","142","139","78","15:48","10","0","0","0","0","75"
"UA","12/04/2023","2130","N13227","IAH","07:00","06:47","104","112","-13","07:03","16","0","0","0","0","0"
"UA","12/05/2021","2114","N483UA","IAH","07:00","09:40","106","88","160","09:53","13","142","0","0","0","0"
"UA","12/05/2022","2228","N38459","IAH","06:45","09:06","102","107","141","09:33","27","0","141","5","0","0"
"UA","12/05/2023","2108","N843UA","ORD","14:20","14:05","142","142","-15","14:17","12","0","0","0","0","0"
"UA","12/05/2023","2130","N76504","IAH","07:00","06:45","104","98","-15","06:59","14","0","0","0","0","0"
"UA","12/06/2021","2114","N461UA","IAH","07:00","07:15","106","106","15","07:29","14","15","0","0","0","0"
"UA","12/06/2022","2228","N79521","IAH","06:45","08:33","102","93","108","08:43","10","0","0","0","0","99"
"UA","12/06/2023","2108","N37525","ORD","14:20","14:06","142","142","-14","14:18","12","0","0","0","0","0"
"UA","12/06/2023","2130","N79521","IAH","07:00","06:53","104","105","-7","07:05","12","0","0","0","0","0"
"UA","12/07/2021","2114","N440UA","IAH","07:00","06:51","106","105","-9","07:03","12","0","0","0","0","0"
"UA","12/07/2022","2228","N39416","IAH","06:45","06:38","102","96","-7","06:48","10","0","0","0","0","0"
"UA","12/07/2023","2108","N24212","ORD","14:20","14:17","142","136","-3","14:32","15","0","0","0","0","0"
"UA","12/07/2023","2130","N76516","IAH","07:00","06:53","104","91","-7","07:04","11","0","0","0","0","0"
"UA","12/08/2021","2114","N417UA","IAH","07:00","06:50","106","97","-10","07:00","10","0","0","0","0","0"
"UA","12/08/2022","2228","N38459","IAH","06:45","06:45","102","93","0","06:57","12","0","0","0","0","0"
"UA","12/08/2023","2108","N13227","ORD","14:20","14:05","142","135","-15","14:17","12","0","0","0","0","0"
"UA","12/08/2023","2130","N73270","IAH","07:00","06:50","104","96","-10","07:03","13","0","0","0","0","0"
"UA","12/09/2021","2114","N423UA","IAH","07:00","06:53","106","96","-7","07:04","11","0","0","0","0","0"
"UA","12/09/2022","2228","N64809","IAH","06:45","10:57","102","94","252","11:12","15","0","0","0","0","244"
"UA","12/09/2023","2108","N16217","ORD","14:20","14:11","142","140","-9","14:31","20","0","0","0","0","0"
"UA","12/09/2023","2130","N37522","IAH","07:00","06:50","104","100","-10","07:00","10","0","0","0","0","0"
"UA","12/10/2021","2114","N461UA","IAH","07:00","07:03","106","90","3","07:13","10","0","0","0","0","0"
"UA","12/10/2022","2228","N14240","IAH","06:45","11:43","102","91","298","11:52","9","20","0","0","0","267"
"UA","12/10/2023","2108","N38257","ORD","14:20","14:26","142","114","6","14:37","11","0","0","0","0","0"
"UA","12/10/2023","2130","N27292","IAH","07:00","06:54","104","105","-6","07:08","14","0","0","0","0","0"
"UA","12/11/2021","2114","N1902U","IAH","07:00","07:32","106","90","32","07:41","9","16","0","0","0","0"
"UA","12/11/2022","2228","N68823","IAH","06:40","06:39","102","105","-1","06:48","9","0","0","0","0","0"
