Detailed Statistics Departures  
Origin Airport: Peoria, IL: General Downing - Peoria International (PIA)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3581","N935AE","ORD","06:00","05:55","78","68","-5","06:09","14","0","0","0","0","0"
"MQ","12/01/2021","3826","N905JH","ORD","13:05","13:06","65","69","1","13:19","13","0","0","0","0","0"
"MQ","12/01/2022","3581","N679AE","ORD","06:09","06:01","74","73","-8","06:32","31","0","0","0","0","0"
"MQ","12/01/2022","3826","N932AE","ORD","14:45","14:49","63","63","4","15:08","19","0","0","0","0","0"
"MQ","12/01/2023","3528","N237NN","DFW","06:31","06:26","147","139","-5","06:41","15","0","0","0","0","0"
"MQ","12/01/2023","3645","N210NN","DFW","15:32","17:10","147","149","98","17:21","11","0","98","2","0","0"
"MQ","12/02/2021","3581","N661JA","ORD","06:00","06:02","78","54","2","06:16","14","0","0","0","0","0"
"MQ","12/02/2021","3826","N941LT","ORD","13:20","13:17","65","67","-3","13:34","17","0","0","0","0","0"
"MQ","12/02/2022","3581","N900AE","ORD","06:09","06:04","74","55","-5","06:14","10","0","0","0","0","0"
"MQ","12/02/2022","3826","N908AE","ORD","14:45","14:37","63","62","-8","14:55","18","0","0","0","0","0"
"MQ","12/02/2023","3528","N310JZ","DFW","06:31","06:27","147","151","-4","06:41","14","0","0","0","0","0"
"MQ","12/02/2023","3645","N275NN","DFW","15:32","15:34","147","157","2","15:57","23","0","0","0","0","0"
"MQ","12/03/2021","3581","N678AE","ORD","06:00","06:00","78","59","0","06:19","19","0","0","0","0","0"
"MQ","12/03/2021","3826","N918AE","ORD","13:20","13:18","65","53","-2","13:30","12","0","0","0","0","0"
"MQ","12/03/2022","3581","N928AE","ORD","06:09","06:25","74","60","16","06:38","13","0","0","0","0","0"
"MQ","12/03/2022","3826","N935AE","ORD","14:45","14:41","63","64","-4","14:55","14","0","0","0","0","0"
"MQ","12/03/2023","3528","N270NN","DFW","06:31","07:42","147","132","71","07:56","14","56","0","0","0","0"
"MQ","12/03/2023","3645","N233NN","DFW","15:32","15:45","147","144","13","16:03","18","0","0","0","0","0"
"MQ","12/04/2021","3581","N685AE","ORD","06:00","06:02","78","69","2","06:28","26","0","0","0","0","0"
"MQ","12/04/2021","3826","N663AR","ORD","13:20","13:18","65","57","-2","13:29","11","0","0","0","0","0"
"MQ","12/04/2022","3581","N670AE","ORD","06:09","05:59","74","74","-10","06:29","30","0","0","0","0","0"
"MQ","12/04/2022","3826","N902BC","ORD","14:45","14:40","63","62","-5","14:55","15","0","0","0","0","0"
"MQ","12/04/2023","3528","N302RN","DFW","06:31","06:29","147","129","-2","06:40","11","0","0","0","0","0"
"MQ","12/04/2023","3645","N234JW","DFW","15:32","15:27","147","166","-5","15:38","11","0","0","0","0","0"
"MQ","12/05/2021","3581","N685AE","ORD","06:00","05:52","78","55","-8","06:04","12","0","0","0","0","0"
"MQ","12/05/2021","3826","N675AE","ORD","13:20","13:39","65","72","19","13:59","20","19","0","7","0","0"
"MQ","12/05/2022","3581","N925AE","ORD","06:09","06:02","74","68","-7","06:28","26","0","0","0","0","0"
"MQ","12/05/2022","3826","N925AE","ORD","14:45","14:33","63","66","-12","14:51","18","0","0","0","0","0"
"MQ","12/05/2023","3528","N274NN","DFW","06:40","06:40","152","149","0","06:56","16","0","0","0","0","0"
"MQ","12/05/2023","3645","N276NN","DFW","15:38","15:57","152","122","19","16:11","14","0","0","0","0","0"
"MQ","12/06/2021","3581","N663AR","ORD","06:00","05:59","78","61","-1","06:13","14","0","0","0","0","0"
"MQ","12/06/2021","3826","N670AE","ORD","13:20","13:11","65","49","-9","13:19","8","0","0","0","0","0"
"MQ","12/06/2022","3581","N908AE","ORD","06:09","06:01","74","47","-8","06:12","11","0","0","0","0","0"
"MQ","12/06/2022","3826","N909AE","ORD","14:45","14:36","63","56","-9","14:49","13","0","0","0","0","0"
"MQ","12/06/2023","3528","N257NN","DFW","06:40","06:40","152","145","0","07:12","32","0","0","0","0","0"
