Detailed Statistics Departures  
Origin Airport: Philadelphia, PA: Philadelphia International (PHL)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0260","N203JB","BOS","13:20","13:41","80","69","21","13:57","16","0","0","0","0","0"
"B6","12/01/2021","0375","N184JB","FLL","06:00","05:56","169","151","-4","06:09","13","0","0","0","0","0"
"B6","12/01/2021","0860","N373JB","BOS","07:00","06:50","77","73","-10","07:04","14","0","0","0","0","0"
"B6","12/01/2021","2460","N374JB","BOS","17:55","17:41","83","80","-14","17:56","15","0","0","0","0","0"
"B6","12/01/2022","0360","N3023J","BOS","09:52","10:25","73","83","33","10:49","24","33","0","10","0","0"
"B6","12/01/2022","0970","N228JB","BOS","07:42","07:34","76","72","-8","07:45","11","0","0","0","0","0"
"B6","12/01/2022","2160","N318JB","BOS","15:30","15:18","87","89","-12","15:32","14","0","0","0","0","0"
"B6","12/01/2023","0360","N355JB","BOS","09:34","09:19","81","70","-15","09:34","15","0","0","0","0","0"
"B6","12/01/2023","0860","N236JB","BOS","06:00","05:55","78","84","-5","06:10","15","0","0","0","0","0"
"B6","12/01/2023","2160","N323JB","BOS","14:00","13:57","78","71","-3","14:10","13","0","0","0","0","0"
"B6","12/02/2021","0260","N279JB","BOS","13:20","13:09","80","70","-11","13:21","12","0","0","0","0","0"
"B6","12/02/2021","0375","N267JB","FLL","06:00","05:51","169","155","-9","06:12","21","0","0","0","0","0"
"B6","12/02/2021","0860","N283JB","BOS","07:00","06:52","77","80","-8","07:05","13","0","0","0","0","0"
"B6","12/02/2021","2460","N198JB","BOS","17:55","17:48","83","80","-7","18:07","19","0","0","0","0","0"
"B6","12/02/2022","0360","N3044J","BOS","09:52","09:39","73","72","-13","09:51","12","0","0","0","0","0"
"B6","12/02/2022","0970","N229JB","BOS","07:42","07:31","76","68","-11","07:42","11","0","0","0","0","0"
"B6","12/02/2022","2160","N231JB","BOS","15:30","15:18","87","74","-12","15:32","14","0","0","0","0","0"
"B6","12/02/2023","0860","N216JB","BOS","06:00","05:55","78","77","-5","06:12","17","0","0","0","0","0"
"B6","12/02/2023","2160","N354JB","BOS","14:00","14:27","78","77","27","14:42","15","0","0","0","0","26"
"B6","12/03/2021","0260","N228JB","BOS","13:20","13:20","80","71","0","13:33","13","0","0","0","0","0"
"B6","12/03/2021","0360","N318JB","BOS","09:20","09:10","78","67","-10","09:25","15","0","0","0","0","0"
"B6","12/03/2021","0375","N198JB","FLL","06:00","05:56","169","149","-4","06:13","17","0","0","0","0","0"
"B6","12/03/2021","0860","N236JB","BOS","07:00","06:49","77","76","-11","07:03","14","0","0","0","0","0"
"B6","12/03/2021","2460","N309JB","BOS","17:55","17:39","83","85","-16","17:58","19","0","0","0","0","0"
"B6","12/03/2022","0970","N229JB","BOS","07:42","07:37","76","73","-5","07:50","13","0","0","0","0","0"
"B6","12/03/2022","2160","N216JB","BOS","15:30","15:27","87","69","-3","15:41","14","0","0","0","0","0"
"B6","12/03/2023","0360","N337JB","BOS","09:34","09:24","81","66","-10","09:40","16","0","0","0","0","0"
"B6","12/03/2023","2160","N348JB","BOS","14:00","14:00","78","85","0","14:30","30","0","0","0","0","0"
"B6","12/04/2021","0375","N346JB","FLL","06:00","07:08","169","165","68","07:24","16","64","0","0","0","0"
"B6","12/04/2021","0860","N267JB","BOS","07:00","06:53","77","72","-7","07:10","17","0","0","0","0","0"
"B6","12/04/2022","0360","N3104J","BOS","09:52","10:17","73","73","25","10:32","15","3","0","0","0","22"
"B6","12/04/2022","2160","N329JB","BOS","15:30","15:26","87","64","-4","15:36","10","0","0","0","0","0"
"B6","12/04/2023","0360","N216JB","BOS","09:34","09:26","81","59","-8","09:39","13","0","0","0","0","0"
"B6","12/04/2023","0860","N358JB","BOS","06:00","05:57","78","65","-3","06:14","17","0","0","0","0","0"
"B6","12/04/2023","2160","N239JB","BOS","14:00","13:57","78","67","-3","14:14","17","0","0","0","0","0"
"B6","12/05/2021","0260","N238JB","BOS","13:20","13:08","80","75","-12","13:26","18","0","0","0","0","0"
"B6","12/05/2021","0375","N249JB","FLL","06:00","05:58","169","165","-2","06:20","22","0","0","0","0","0"
"B6","12/05/2021","0860","N197JB","BOS","07:00","06:50","77","66","-10","07:05","15","0","0","0","0","0"
"B6","12/05/2021","2460","N238JB","BOS","17:55","17:43","83","66","-12","18:02","19","0","0","0","0","0"
"B6","12/05/2022","0360","N3077J","BOS","09:52","09:49","73","87","-3","10:05","16","0","0","0","0","0"
"B6","12/05/2022","0970","N324JB","BOS","07:42","09:41","76","80","119","09:56","15","119","0","4","0","0"
"B6","12/05/2022","2160","N329JB","BOS","15:30","15:48","87","73","18","16:02","14","0","0","0","0","0"
"B6","12/05/2023","0860","N329JB","BOS","06:00","07:37","78","71","97","07:50","13","90","0","0","0","0"
"B6","12/05/2023","2160","N337JB","BOS","14:00","13:52","78","65","-8","14:06","14","0","0","0","0","0"
"B6","12/06/2021","0260","N266JB","BOS","13:20","13:12","80","81","-8","13:27","15","0","0","0","0","0"
"B6","12/06/2021","0360","N316JB","BOS","09:20","09:53","78","91","33","10:22","29","33","0","13","0","0"
"B6","12/06/2021","0375","N249JB","FLL","06:00","05:54","169","162","-6","06:09","15","0","0","0","0","0"
"B6","12/06/2021","0860","N238JB","BOS","07:00","06:49","77","80","-11","07:05","16","0","0","0","0","0"
"B6","12/06/2022","0360","N3044J","BOS","09:52","09:44","73","65","-8","09:57","13","0","0","0","0","0"
"B6","12/06/2022","0970","N265JB","BOS","07:42","07:56","76","66","14","08:12","16","0","0","0","0","0"
"B6","12/06/2022","2160","N348JB","BOS","15:30","15:22","87","74","-8","15:34","12","0","0","0","0","0"
"B6","12/06/2023","0860","N236JB","BOS","06:00","07:59","77","68","119","08:11","12","110","0","0","0","0"
"B6","12/06/2023","2160","N358JB","BOS","14:07","14:02","78","78","-5","14:16","14","0","0","0","0","0"
"B6","12/07/2021","0260","N358JB","BOS","13:20","13:09","80","70","-11","13:23","14","0","0","0","0","0"
"B6","12/07/2021","0360","N559JB","BOS","09:30","09:21","78","63","-9","09:33","12","0","0","0","0","0"
"B6","12/07/2021","0375","N353JB","FLL","06:00","05:55","169","160","-5","06:14","19","0","0","0","0","0"
"B6","12/07/2021","0860","N206JB","BOS","07:00","07:14","77","64","14","07:29","15","0","0","0","0","0"
"B6","12/07/2022","0360","N3102J","BOS","09:52","09:51","73","86","-1","10:03","12","0","0","0","0","0"
"B6","12/07/2022","0970","N184JB","BOS","06:00","05:55","75","74","-5","06:12","17","0","0","0","0","0"
"B6","12/07/2022","2160","N265JB","BOS","15:30","15:18","87","87","-12","15:43","25","0","0","0","0","0"
"B6","12/07/2023","0360","N354JB","BOS","09:29","09:20","81","140","-9","10:40","80","0","0","50","0","0"
"B6","12/07/2023","0860","N216JB","BOS","06:00","05:55","77","77","-5","06:10","15","0","0","0","0","0"
"B6","12/07/2023","2160","N274JB","BOS","14:07","14:09","78","78","2","14:27","18","0","0","0","0","0"
"B6","12/08/2021","0260","N267JB","BOS","13:20","13:11","80","63","-9","13:25","14","0","0","0","0","0"
"B6","12/08/2021","0860","N190JB","BOS","07:00","06:44","77","65","-16","07:00","16","0","0","0","0","0"
"B6","12/08/2022","0360","N3023J","BOS","09:52","09:40","73","75","-12","09:51","11","0","0","0","0","0"
"B6","12/08/2022","0970","N279JB","BOS","07:42","07:35","76","73","-7","07:48","13","0","0","0","0","0"
"B6","12/08/2022","2160","N324JB","BOS","15:30","15:26","87","67","-4","15:37","11","0","0","0","0","0"
"B6","12/08/2023","0360","N203JB","BOS","09:29","09:17","81","81","-12","09:38","21","0","0","0","0","0"
"B6","12/08/2023","0860","N231JB","BOS","06:00","05:52","77","119","-8","06:54","62","0","0","34","0","0"
"B6","12/08/2023","2160","N203JB","BOS","14:07","13:58","78","71","-9","14:14","16","0","0","0","0","0"
"B6","12/09/2021","0260","N265JB","BOS","13:20","13:15","80","63","-5","13:28","13","0","0","0","0","0"
"B6","12/09/2021","0860","N267JB","BOS","07:00","06:50","77","80","-10","07:02","12","0","0","0","0","0"
"B6","12/09/2022","0360","N3044J","BOS","09:52","09:41","73","84","-11","10:00","19","0","0","0","0","0"
"B6","12/09/2022","0970","N274JB","BOS","07:42","07:34","76","69","-8","07:46","12","0","0","0","0","0"
"B6","12/09/2022","2160","N193JB","BOS","15:30","15:18","87","63","-12","15:28","10","0","0","0","0","0"
"B6","12/09/2023","0860","N323JB","BOS","06:00","05:54","77","77","-6","06:13","19","0","0","0","0","0"
"B6","12/09/2023","2160","N274JB","BOS","14:07","14:22","78","95","15","14:52","30","0","0","32","0","0"
"B6","12/10/2021","0260","N190JB","BOS","13:20","13:11","80","70","-9","13:25","14","0","0","0","0","0"
"B6","12/10/2021","0360","N249JB","BOS","09:20","09:15","78","68","-5","09:28","13","0","0","0","0","0"
"B6","12/10/2021","0375","N279JB","FLL","06:00","05:54","169","149","-6","06:10","16","0","0","0","0","0"
"B6","12/10/2021","0860","N323JB","BOS","07:00","06:51","77","78","-9","07:07","16","0","0","0","0","0"
"B6","12/10/2022","0970","N353JB","BOS","07:42","07:37","76","69","-5","07:52","15","0","0","0","0","0"
"B6","12/10/2022","2160","N274JB","BOS","15:30","15:25","87","69","-5","15:38","13","0","0","0","0","0"
"B6","12/10/2023","0360","N231JB","BOS","09:29","09:20","81","72","-9","09:31","11","0","0","0","0","0"
"B6","12/10/2023","2160","N231JB","BOS","14:07","13:59","78","81","-8","14:13","14","0","0","0","0","0"
"B6","12/11/2021","0375","N192JB","FLL","06:00","05:54","169","162","-6","06:17","23","0","0","0","0","0"
"B6","12/11/2021","0860","N179JB","BOS","07:00","06:55","77","70","-5","07:10","15","0","0","0","0","0"
"B6","12/11/2022","0360","N3113J","BOS","09:52","09:51","73","71","-1","10:03","12","0","0","0","0","0"
"B6","12/11/2022","2160","N179JB","BOS","15:30","15:53","87","95","23","16:26","33","23","0","8","0","0"
"B6","12/11/2023","0360","N228JB","BOS","09:29","09:19","81","70","-10","09:32","13","0","0","0","0","0"
"B6","12/11/2023","0860","N317JB","BOS","06:00","05:52","77","83","-8","06:16","24","0","0","0","0","0"
"B6","12/11/2023","2160","N228JB","BOS","14:07","14:11","78","68","4","14:26","15","0","0","0","0","0"
"B6","12/12/2021","0260","N337JB","BOS","13:20","14:32","80","74","72","14:44","12","8","0","0","0","58"
"B6","12/12/2021","0375","N197JB","FLL","06:00","05:57","169","167","-3","06:16","19","0","0","0","0","0"
"B6","12/12/2022","0360","N3102J","BOS","09:52","10:44","73","74","52","10:58","14","33","0","1","0","19"
"B6","12/12/2022","0970","N274JB","BOS","07:42","07:32","76","72","-10","07:44","12","0","0","0","0","0"
"B6","12/12/2022","2160","N317JB","BOS","15:30","15:59","87","80","29","16:13","14","7","0","0","0","15"
"B6","12/12/2023","0860","N329JB","BOS","06:00","05:48","77","99","-12","06:22","34","0","0","0","0","0"
"B6","12/12/2023","2160","N358JB","BOS","14:07","14:06","78","70","-1","14:19","13","0","0","0","0","0"
"B6","12/13/2021","0260","N355JB","BOS","13:20","13:12","80","66","-8","13:24","12","0","0","0","0","0"
"B6","12/13/2021","0360","N179JB","BOS","09:20","09:10","78","70","-10","09:23","13","0","0","0","0","0"
"B6","12/13/2021","0375","N368JB","FLL","06:00","05:54","169","150","-6","06:12","18","0","0","0","0","0"
"B6","12/13/2021","0860","N273JB","BOS","07:00","06:50","77","75","-10","07:04","14","0","0","0","0","0"
"B6","12/13/2022","0360","N3077J","BOS","09:52","09:41","73","88","-11","09:56","15","0","0","0","0","0"
"B6","12/13/2022","0970","N354JB","BOS","07:42","07:33","76","75","-9","07:45","12","0","0","0","0","0"
"B6","12/13/2022","2160","N193JB","BOS","15:30","15:21","87","81","-9","15:36","15","0","0","0","0","0"
"B6","12/13/2023","0860","N229JB","BOS","06:00","05:55","77","118","-5","06:55","60","0","0","36","0","0"
"B6","12/13/2023","2160","N281JB","BOS","14:07","14:11","78","77","4","14:26","15","0","0","0","0","0"
"B6","12/14/2021","0260","N206JB","BOS","13:20","13:12","80","62","-8","13:26","14","0","0","0","0","0"
"B6","12/14/2021","0360","N519JB","BOS","09:30","09:17","78","64","-13","09:30","13","0","0","0","0","0"
"B6","12/14/2021","0375","N353JB","FLL","06:00","05:54","169","174","-6","06:17","23","0","0","0","0","0"
"B6","12/14/2021","0860","N228JB","BOS","07:00","06:48","77","64","-12","07:01","13","0","0","0","0","0"
"B6","12/14/2022","0360","N3113J","BOS","09:52","09:43","73","74","-9","09:55","12","0","0","0","0","0"
"B6","12/14/2022","0970","N318JB","BOS","06:00","05:51","75","93","-9","06:23","32","0","0","0","0","0"
"B6","12/14/2022","2160","N339JB","BOS","15:30","15:16","87","70","-14","15:27","11","0","0","0","0","0"
"B6","12/14/2023","0360","N279JB","BOS","09:29","09:15","81","83","-14","09:37","22","0","0","0","0","0"
"B6","12/14/2023","0860","N304JB","BOS","06:00","05:47","77","68","-13","06:01","14","0","0","0","0","0"
"B6","12/14/2023","2160","N279JB","BOS","14:07","13:57","78","71","-10","14:09","12","0","0","0","0","0"
"B6","12/15/2021","0260","N296JB","BOS","13:20","14:01","80","77","41","14:17","16","5","0","0","0","33"
"B6","12/15/2021","0860","N307JB","BOS","07:00","07:01","77","64","1","07:15","14","0","0","0","0","0"
"B6","12/15/2022","0360","N249JB","BOS","09:57","09:51","73","64","-6","10:04","13","0","0","0","0","0"
"B6","12/15/2022","0970","N337JB","BOS","06:00","05:54","75","69","-6","06:10","16","0","0","0","0","0"
"B6","12/15/2022","2160","N249JB","BOS","15:13","15:44","87","94","31","16:18","34","31","0","7","0","0"
"B6","12/15/2023","0360","N307JB","BOS","09:25","09:22","77","82","-3","09:40","18","0","0","0","0","0"
"B6","12/15/2023","0860","N267JB","BOS","06:00","05:57","80","109","-3","06:43","46","0","0","26","0","0"
"B6","12/15/2023","2160","N266JB","BOS","13:12","13:15","74","74","3","13:31","16","0","0","0","0","0"
"B6","12/16/2021","0260","N238JB","BOS","13:20","13:06","80","72","-14","13:19","13","0","0","0","0","0"
"B6","12/16/2021","0860","N316JB","BOS","07:00","06:52","77","79","-8","07:10","18","0","0","0","0","0"
"B6","12/16/2022","0360","N238JB","BOS","09:57","09:44","73","69","-13","10:01","17","0","0","0","0","0"
"B6","12/16/2022","0375","N793JB","FLL","06:00","06:00","170","168","0","06:15","15","0","0","0","0","0"
"B6","12/16/2022","0970","N197JB","BOS","07:10","07:05","76","69","-5","07:22","17","0","0","0","0","0"
"B6","12/16/2022","2160","N238JB","BOS","15:13","15:03","87","75","-10","15:15","12","0","0","0","0","0"
"B6","12/16/2023","0860","N203JB","BOS","06:00","05:58","80","73","-2","06:14","16","0","0","0","0","0"
"B6","12/16/2023","2160","N283JB","BOS","13:12","13:13","74","64","1","13:23","10","0","0","0","0","0"
"B6","12/17/2021","0260","N318JB","BOS","13:20","18:02","80","82","282","18:23","21","282","0","2","0","0"
