Detailed Statistics Departures  
Origin Airport: Philadelphia, PA: Philadelphia International (PHL)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0129","N8695D","BNA","18:15","18:55","140","107","40","19:03","8","0","0","0","0","0"
"WN","12/01/2021","0240","N956WN","DEN","18:10","18:10","255","242","0","18:20","10","0","0","0","0","0"
"WN","12/01/2021","1365","N500WR","DEN","06:25","06:28","260","261","3","07:07","39","0","0","0","0","0"
"WN","12/01/2021","1447","N7875A","MDW","11:20","11:20","140","117","0","11:29","9","0","0","0","0","0"
"WN","12/01/2021","4050","N7850B","TPA","16:20","16:19","160","160","-1","16:31","12","0","0","0","0","0"
"WN","12/01/2021","4106","N8669B","MCO","07:10","07:09","155","142","-1","07:17","8","0","0","0","0","0"
"WN","12/01/2021","4399","N7818L","STL","14:15","14:15","150","128","0","14:25","10","0","0","0","0","0"
"WN","12/01/2021","5283","N8714Q","ATL","11:55","12:47","135","116","52","12:58","11","3","0","0","0","30"
"WN","12/01/2021","5457","N407WN","MDW","18:25","18:26","145","123","1","18:41","15","0","0","0","0","0"
"WN","12/01/2021","5480","N8655D","MCO","17:25","17:27","150","144","2","17:36","9","0","0","0","0","0"
"WN","12/01/2022","0366","N260WN","MDW","14:10","14:29","130","124","19","14:38","9","0","0","0","0","0"
"WN","12/01/2022","1408","N497WN","MDW","11:40","11:47","135","126","7","11:58","11","0","0","0","0","0"
"WN","12/01/2022","1435","N872CB","STL","07:40","07:36","155","145","-4","07:47","11","0","0","0","0","0"
"WN","12/01/2022","2141","N7818L","MDW","05:20","05:18","135","124","-2","05:27","9","0","0","0","0","0"
"WN","12/01/2022","2223","N8544Z","STL","19:00","19:02","155","154","2","19:31","29","0","0","0","0","0"
"WN","12/01/2022","2459","N8312C","MDW","18:30","18:40","140","121","10","18:51","11","0","0","0","0","0"
"WN","12/01/2022","2671","N8617E","ATL","05:25","05:28","140","122","3","05:43","15","0","0","0","0","0"
"WN","12/01/2022","2705","N8552Z","DEN","12:00","12:56","260","241","56","13:04","8","37","0","0","0","0"
"WN","12/01/2022","2773","N8536Z","BNA","05:40","06:03","145","126","23","06:12","9","0","0","0","0","0"
"WN","12/01/2022","3011","N8575Z","BNA","16:30","16:50","135","120","20","16:59","9","0","0","0","0","0"
"WN","12/01/2022","3054","N734SA","ATL","16:15","16:22","130","119","7","16:33","11","0","0","0","0","0"
"WN","12/01/2023","0344","N8503A","MDW","21:10","21:01","130","128","-9","21:13","12","0","0","0","0","0"
"WN","12/01/2023","0591","N8792Q","BNA","06:00","05:57","135","131","-3","06:12","15","0","0","0","0","0"
"WN","12/01/2023","1481","N406WN","MDW","11:55","12:10","130","127","15","12:19","9","0","0","0","0","0"
"WN","12/01/2023","1598","N8815L","BNA","19:45","19:42","135","138","-3","19:58","16","0","0","0","0","0"
"WN","12/01/2023","1654","N7819A","STL","08:15","08:11","150","154","-4","08:22","11","0","0","0","0","0"
"WN","12/01/2023","2096","N8809L","MDW","07:50","07:46","130","125","-4","08:00","14","0","0","0","0","0"
"WN","12/01/2023","2203","N8893L","DEN","13:50","14:07","255","267","17","14:25","18","10","0","12","0","7"
"WN","12/01/2023","2242","N765SW","ATL","16:50","16:54","130","145","4","17:15","21","0","0","19","0","0"
"WN","12/01/2023","2466","N417WN","ATL","06:40","06:38","130","139","-2","06:49","11","0","0","0","0","0"
"WN","12/01/2023","2900","N7742B","MDW","14:20","14:21","135","136","1","14:31","10","0","0","0","0","0"
"WN","12/01/2023","3117","N8699A","DEN","05:30","05:26","255","249","-4","05:35","9","0","0","0","0","0"
"WN","12/01/2023","3234","N8690A","MCO","12:05","12:05","155","142","0","12:15","10","0","0","0","0","0"
"WN","12/01/2023","3395","N8792Q","STL","19:20","19:16","150","156","-4","19:31","15","0","0","0","0","0"
"WN","12/02/2021","0129","N8808Q","BNA","18:15","18:16","140","123","1","18:30","14","0","0","0","0","0"
"WN","12/02/2021","0240","N271LV","DEN","18:10","18:10","255","250","0","18:21","11","0","0","0","0","0"
"WN","12/02/2021","1365","N8540V","DEN","06:25","06:29","260","240","4","06:40","11","0","0","0","0","0"
"WN","12/02/2021","1447","N7751A","MDW","11:20","11:18","140","132","-2","11:29","11","0","0","0","0","0"
"WN","12/02/2021","4050","N438WN","TPA","16:20","16:18","160","142","-2","16:26","8","0","0","0","0","0"
"WN","12/02/2021","4106","N8526W","MCO","07:10","07:13","155","131","3","07:22","9","0","0","0","0","0"
"WN","12/02/2021","4399","N445WN","STL","14:15","14:08","150","142","-7","14:22","14","0","0","0","0","0"
"WN","12/02/2021","5283","N8661A","ATL","11:55","12:30","135","116","35","12:41","11","4","0","0","0","12"
"WN","12/02/2021","5457","N491WN","MDW","18:25","18:35","145","129","10","18:45","10","0","0","0","0","0"
"WN","12/02/2021","5480","N8615E","MCO","17:25","17:19","150","136","-6","17:31","12","0","0","0","0","0"
"WN","12/02/2022","0366","N7745A","MDW","14:10","14:09","130","125","-1","14:23","14","0","0","0","0","0"
"WN","12/02/2022","1408","N945WN","MDW","11:40","11:38","135","119","-2","11:46","8","0","0","0","0","0"
"WN","12/02/2022","1435","N8609A","STL","07:40","07:41","155","157","1","08:11","30","0","0","0","0","0"
"WN","12/02/2022","2141","N781WN","MDW","05:20","05:18","135","149","-2","06:00","42","0","0","0","0","0"
"WN","12/02/2022","2223","N8539V","STL","19:00","19:06","155","160","6","19:33","27","0","0","0","0","0"
"WN","12/02/2022","2459","N8317M","MDW","18:30","18:51","140","125","21","19:02","11","0","0","0","0","0"
"WN","12/02/2022","2671","N8683D","ATL","05:25","05:26","140","125","1","05:44","18","0","0","0","0","0"
"WN","12/02/2022","2705","N8546V","DEN","12:00","12:06","260","264","6","12:17","11","0","0","0","0","0"
"WN","12/02/2022","2773","N8803L","BNA","05:40","05:38","145","117","-2","05:53","15","0","0","0","0","0"
"WN","12/02/2022","3011","N8544Z","BNA","16:30","16:46","135","112","16","16:55","9","0","0","0","0","0"
"WN","12/02/2022","3054","N444WN","ATL","16:15","16:14","130","113","-1","16:23","9","0","0","0","0","0"
"WN","12/02/2023","0169","N8552Z","BNA","15:20","15:19","135","136","-1","15:29","10","0","0","0","0","0"
"WN","12/02/2023","0372","N220WN","STL","16:35","16:29","145","167","-6","16:41","12","0","0","16","0","0"
"WN","12/02/2023","0428","N8884Q","MCO","06:10","07:10","155","152","60","07:28","18","57","0","0","0","0"
"WN","12/02/2023","0537","N946WN","MDW","06:40","06:37","135","129","-3","06:45","8","0","0","0","0","0"
"WN","12/02/2023","0726","N8882Q","TPA","14:00","14:01","160","153","1","14:12","11","0","0","0","0","0"
"WN","12/02/2023","0998","N963WN","MCO","11:15","11:14","150","140","-1","11:21","7","0","0","0","0","0"
"WN","12/02/2023","1518","N8527Q","ATL","07:25","07:24","135","142","-1","07:36","12","0","0","0","0","0"
"WN","12/02/2023","1598","N234WN","BNA","09:15","09:13","130","141","-2","09:31","18","0","0","0","0","0"
"WN","12/02/2023","1654","N7835A","STL","08:20","08:20","155","156","0","08:31","11","0","0","0","0","0"
"WN","12/02/2023","1796","N8858K","DAL","11:40","11:35","220","234","-5","11:46","11","0","0","0","0","0"
"WN","12/02/2023","2202","N8663A","MDW","17:10","17:03","130","140","-7","17:22","19","0","0","0","0","0"
"WN","12/02/2023","2242","N211WN","ATL","14:45","14:47","130","133","2","14:55","8","0","0","0","0","0"
"WN","12/02/2023","3117","N8581Z","DEN","07:50","07:51","260","265","1","08:01","10","0","0","0","0","0"
"WN","12/02/2023","3234","N8668A","MCO","15:55","15:56","155","141","1","16:07","11","0","0","0","0","0"
"WN","12/02/2023","3668","N949WN","MDW","13:15","13:25","130","129","10","13:34","9","0","0","0","0","0"
