Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","1419","203NV","TYS","13:15","13:15","226","191","0","13:29","14","0","0","0","0","0"
"G4","12/01/2022","3238","209NV","PVU","08:10","08:04","88","89","-6","08:20","16","0","0","0","0","0"
"G4","12/01/2023","0108","301NV","SCK","14:13","14:32","113","113","19","14:43","11","0","0","0","0","19"
"G4","12/01/2023","0219","190NV","AVL","08:57","09:28","237","215","31","09:36","8","0","0","0","0","0"
"G4","12/02/2022","0143","307NV","SCK","19:52","20:33","107","110","41","20:45","12","7","0","3","0","34"
"G4","12/02/2022","3220","247NV","PVU","09:05","09:48","88","91","43","10:07","19","0","0","3","0","43"
"G4","12/03/2021","3051","","SCK","12:18","00:00","110","0","0","00:00","0","0","0","0","0","0"
"G4","12/03/2023","3049","233NV","TYS","16:54","16:48","203","195","-6","17:02","14","0","0","0","0","0"
"G4","12/03/2023","3214","252NV","PVU","19:24","19:13","92","92","-11","19:25","12","0","0","0","0","0"
"G4","12/04/2022","1416","203NV","TYS","16:42","16:45","226","188","3","16:56","11","0","0","0","0","0"
"G4","12/04/2022","3238","209NV","PVU","08:10","08:10","88","86","0","08:25","15","0","0","0","0","0"
"G4","12/04/2023","0219","191NV","AVL","08:57","09:01","237","187","4","09:11","10","0","0","0","0","0"
"G4","12/04/2023","1725","305NV","SCK","12:03","12:18","113","106","15","12:29","11","0","0","0","0","0"
"G4","12/05/2022","0106","231NV","SCK","19:03","20:31","107","108","88","20:42","11","0","0","1","0","88"
"G4","12/05/2022","3220","258NV","PVU","09:05","11:19","88","88","134","11:38","19","0","0","0","0","134"
"G4","12/06/2021","3051","","SCK","12:02","00:00","110","0","0","00:00","0","0","0","0","0","0"
"G4","12/07/2023","1422","207NV","TYS","16:23","16:09","197","193","-14","16:19","10","0","0","0","0","0"
"G4","12/07/2023","1599","253NV","PVU","11:44","11:22","94","106","-22","11:50","28","0","0","0","0","0"
"G4","12/08/2022","1403","204NV","TYS","14:50","14:44","226","189","-6","14:54","10","0","0","0","0","0"
"G4","12/08/2022","3238","209NV","PVU","08:20","08:57","88","90","37","09:12","15","0","0","2","0","37"
"G4","12/08/2023","0219","205NV","AVL","08:57","08:55","237","203","-2","09:10","15","0","0","0","0","0"
"G4","12/08/2023","1725","327NV","SCK","13:27","13:24","115","130","-3","13:49","25","0","0","0","0","0"
"G4","12/09/2022","0143","293NV","SCK","19:55","20:18","112","97","23","20:30","12","0","0","0","0","0"
"G4","12/09/2022","3249","209NV","PVU","08:45","09:07","88","90","22","09:21","14","0","0","2","0","22"
"G4","12/10/2021","3051","337NV","SCK","21:01","21:05","110","110","4","21:18","13","0","0","0","0","0"
"G4","12/10/2023","1432","207NV","TYS","16:23","16:11","197","194","-12","16:21","10","0","0","0","0","0"
"G4","12/10/2023","1599","298NV","PVU","11:44","11:43","94","95","-1","12:09","26","0","0","0","0","0"
"G4","12/11/2022","1403","285NV","TYS","14:45","14:45","226","194","0","14:55","10","0","0","0","0","0"
"G4","12/11/2022","1590","250NV","PVU","08:20","08:52","88","83","32","09:08","16","0","0","0","0","27"
"G4","12/11/2023","0219","190NV","AVL","08:57","09:03","237","195","6","09:14","11","0","0","0","0","0"
"G4","12/11/2023","1725","312NV","SCK","12:57","12:46","115","114","-11","12:59","13","0","0","0","0","0"
"G4","12/12/2022","0143","305NV","SCK","19:12","19:06","112","118","-6","19:24","18","0","0","0","0","0"
"G4","12/12/2022","3249","247NV","PVU","08:45","09:09","88","91","24","09:25","16","0","0","3","0","24"
"G4","12/13/2021","3051","316NV","SCK","12:02","12:02","110","122","0","12:17","15","0","0","0","0","0"
"G4","12/14/2023","1422","207NV","TYS","16:23","16:12","197","198","-11","16:21","9","0","0","0","0","0"
"G4","12/14/2023","1599","237NV","PVU","11:44","11:29","94","96","-15","11:47","18","0","0","0","0","0"
"G4","12/15/2022","1590","209NV","PVU","08:45","09:31","88","100","46","09:50","19","0","0","12","0","46"
"G4","12/15/2023","0219","190NV","AVL","08:57","08:57","237","209","0","09:09","12","0","0","0","0","0"
"G4","12/15/2023","1725","329NV","SCK","13:27","13:41","115","115","14","14:00","19","0","0","0","0","0"
"G4","12/16/2022","1431","204NV","TYS","10:45","10:53","226","173","8","11:02","9","0","0","0","0","0"
"G4","12/16/2022","3238","258NV","PVU","20:02","20:53","88","93","51","21:05","12","0","0","5","0","51"
"G4","12/17/2021","3051","","SCK","11:41","00:00","110","0","0","00:00","0","0","0","0","0","0"
"G4","12/17/2021","3372","290NV","PVU","19:42","20:12","90","84","30","20:21","9","4","0","0","0","20"
"G4","12/17/2022","1738","218NV","SCK","20:33","20:48","112","98","15","20:59","11","0","0","0","0","0"
"G4","12/17/2023","1432","256NV","TYS","16:23","16:13","197","195","-10","16:24","11","0","0","0","0","0"
"G4","12/17/2023","1599","298NV","PVU","11:44","11:43","94","84","-1","11:56","13","0","0","0","0","0"
"G4","12/18/2021","6051","289NV","SCK","12:45","13:20","100","99","35","13:30","10","34","0","0","0","0"
