Detailed Statistics Departures  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0136","N997JL","JFK","23:18","23:09","266","271","-9","23:18","9","0","0","0","0","0"
"B6","12/01/2021","1158","N653JB","FLL","23:55","23:50","241","237","-5","24:00","10","0","0","0","0","0"
"B6","12/01/2021","1302","N907JB","BOS","13:05","12:59","280","277","-6","13:08","9","0","0","0","0","0"
"B6","12/01/2022","0036","N784JB","JFK","12:25","12:25","279","266","0","12:40","15","0","0","0","0","0"
"B6","12/01/2022","0136","N834JB","JFK","22:22","22:32","278","258","10","22:45","13","0","0","0","0","0"
"B6","12/01/2022","1302","N3112J","BOS","23:55","00:02","279","269","7","00:12","10","0","0","0","0","0"
"B6","12/01/2023","0036","N615JB","JFK","14:22","14:27","287","258","5","14:41","14","0","0","0","0","0"
"B6","12/01/2023","1302","N3123J","BOS","22:49","22:53","281","258","4","23:09","16","0","0","0","0","0"
"B6","12/02/2021","0136","N913JB","JFK","23:18","23:13","266","280","-5","23:24","11","0","0","0","0","0"
"B6","12/02/2021","1302","N974JT","BOS","13:05","13:04","280","281","-1","13:13","9","0","0","0","0","0"
"B6","12/02/2021","2236","N534JB","JFK","14:42","14:54","267","282","12","15:06","12","12","0","15","0","0"
"B6","12/02/2022","0036","N834JB","JFK","12:25","12:43","279","265","18","12:54","11","0","0","0","0","0"
"B6","12/02/2022","0136","N562JB","JFK","22:22","22:23","278","247","1","22:33","10","0","0","0","0","0"
"B6","12/02/2022","1302","N3102J","BOS","23:55","00:54","279","254","59","01:05","11","5","0","0","0","29"
"B6","12/02/2023","0036","N648JB","JFK","14:22","14:54","287","283","32","15:16","22","2","0","0","0","26"
"B6","12/02/2023","1302","N975JT","BOS","22:29","22:19","281","251","-10","22:28","9","0","0","0","0","0"
"B6","12/03/2021","0136","N954JB","JFK","23:18","23:06","266","314","-12","23:18","12","0","0","36","0","0"
"B6","12/03/2021","1158","N653JB","FLL","23:55","23:41","241","237","-14","23:56","15","0","0","0","0","0"
"B6","12/03/2021","1302","N952JB","BOS","13:05","12:55","280","275","-10","13:05","10","0","0","0","0","0"
"B6","12/03/2021","2236","N651JB","JFK","14:42","14:30","267","273","-12","14:44","14","0","0","0","0","0"
"B6","12/03/2022","0036","N663JB","JFK","12:25","13:08","279","264","43","13:33","25","14","0","0","0","14"
"B6","12/03/2022","0136","N563JB","JFK","22:22","22:53","278","231","31","23:03","10","0","0","0","0","0"
"B6","12/03/2022","1302","N3044J","BOS","23:55","00:40","279","245","45","00:49","9","0","0","0","0","0"
"B6","12/03/2023","0036","N621JB","JFK","14:22","15:05","287","266","43","15:18","13","6","0","0","0","16"
"B6","12/03/2023","1302","N3142J","BOS","22:49","22:59","281","287","10","23:16","17","0","0","6","0","10"
"B6","12/04/2021","0136","N510JB","JFK","23:18","22:59","266","301","-19","23:15","16","0","0","16","0","0"
"B6","12/04/2021","1158","N662JB","FLL","23:55","23:54","241","235","-1","00:04","10","0","0","0","0","0"
"B6","12/04/2021","1302","N905JB","BOS","13:05","13:15","280","272","10","13:26","11","0","0","0","0","0"
"B6","12/04/2022","0036","N558JB","JFK","12:25","13:42","279","247","77","13:54","12","24","0","0","0","21"
"B6","12/04/2022","0136","N599JB","JFK","22:22","22:18","278","246","-4","22:30","12","0","0","0","0","0"
"B6","12/04/2022","1302","N3062J","BOS","23:55","01:29","279","259","94","01:41","12","11","0","0","0","63"
"B6","12/04/2023","0036","N592JB","JFK","14:22","14:43","287","270","21","14:58","15","0","0","0","0","0"
"B6","12/04/2023","1302","N913JB","BOS","22:29","22:20","281","281","-9","22:34","14","0","0","0","0","0"
"B6","12/05/2021","0136","N950JT","JFK","23:18","23:33","266","295","15","23:45","12","15","0","29","0","0"
"B6","12/05/2021","1302","N974JT","BOS","13:05","13:09","280","275","4","13:19","10","0","0","0","0","0"
"B6","12/05/2021","2236","N526JL","JFK","14:42","14:50","267","271","8","14:59","9","0","0","0","0","0"
"B6","12/05/2022","0036","N523JB","JFK","12:25","13:00","279","273","35","13:15","15","7","0","0","0","22"
"B6","12/05/2022","0136","N633JB","JFK","22:22","22:28","278","238","6","22:37","9","0","0","0","0","0"
"B6","12/05/2022","1302","N3104J","BOS","23:55","00:46","279","247","51","00:59","13","17","0","0","0","2"
"B6","12/05/2023","0036","N562JB","JFK","14:22","14:16","287","282","-6","14:26","10","0","0","0","0","0"
"B6","12/05/2023","1302","N975JT","BOS","22:29","22:28","281","297","-1","22:36","8","0","0","15","0","0"
"B6","12/06/2021","0136","N995JL","JFK","23:18","00:03","266","262","45","00:13","10","0","0","0","0","41"
"B6","12/06/2021","1158","N712JB","FLL","23:55","23:53","241","226","-2","00:04","11","0","0","0","0","0"
"B6","12/06/2021","1302","N996JL","BOS","13:05","13:03","280","261","-2","13:12","9","0","0","0","0","0"
"B6","12/06/2021","2236","N590JB","JFK","14:33","14:54","267","284","21","15:04","10","19","0","17","0","2"
"B6","12/06/2022","0036","N552JB","JFK","12:25","12:43","279","264","18","12:54","11","0","0","0","0","0"
"B6","12/06/2022","0136","N569JB","JFK","22:22","23:00","278","254","38","23:12","12","0","0","0","0","0"
"B6","12/06/2022","1302","N3023J","BOS","23:55","00:48","279","253","53","00:59","11","0","0","0","0","27"
"B6","12/06/2023","0036","N639JB","JFK","14:22","14:18","284","276","-4","14:31","13","0","0","0","0","0"
"B6","12/06/2023","1302","N971JT","BOS","22:29","22:15","281","288","-14","22:29","14","0","0","0","0","0"
"B6","12/07/2021","0136","N956JT","JFK","23:18","23:10","266","254","-8","23:19","9","0","0","0","0","0"
"B6","12/07/2022","0036","N636JB","JFK","12:25","15:24","279","251","179","15:34","10","0","0","119","0","32"
"B6","12/07/2022","0136","N796JB","JFK","22:22","23:08","278","242","46","23:20","12","0","0","0","0","0"
"B6","12/07/2022","1302","N3077J","BOS","23:55","01:25","279","243","90","01:35","10","4","0","0","0","50"
"B6","12/07/2023","0036","N583JB","JFK","14:22","14:24","284","277","2","14:39","15","0","0","0","0","0"
"B6","12/07/2023","1302","N997JL","BOS","22:29","22:21","281","263","-8","22:31","10","0","0","0","0","0"
"B6","12/08/2021","0136","N957JB","JFK","23:18","23:19","266","293","1","23:29","10","1","0","27","0","0"
"B6","12/08/2021","1302","N974JT","BOS","13:05","12:59","280","272","-6","13:11","12","0","0","0","0","0"
"B6","12/08/2022","0036","N834JB","JFK","12:25","13:43","279","244","78","13:57","14","8","0","0","0","35"
"B6","12/08/2022","0136","N537JT","JFK","22:22","23:04","278","248","42","23:13","9","0","0","0","0","0"
