Detailed Statistics Departures  
Origin Airport: Pittsburgh, PA: Pittsburgh International (PIT)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","1286","N309JB","BOS","07:00","06:50","94","90","-10","07:01","11","0","0","0","0","0"
"B6","12/01/2021","1486","N309JB","BOS","11:40","11:38","93","83","-2","11:47","9","0","0","0","0","0"
"B6","12/01/2022","1286","N309JB","BOS","08:55","08:50","94","83","-5","08:59","9","0","0","0","0","0"
"B6","12/01/2022","1486","N3112J","BOS","06:00","05:44","100","89","-16","05:58","14","0","0","0","0","0"
"B6","12/01/2022","2186","N504JB","BOS","19:59","21:37","94","92","98","21:49","12","0","0","0","0","96"
"B6","12/01/2022","2286","N3065J","BOS","11:50","11:36","90","89","-14","11:46","10","0","0","0","0","0"
"B6","12/01/2023","1486","N274JB","BOS","06:00","05:47","97","89","-13","05:58","11","0","0","0","0","0"
"B6","12/01/2023","2286","N324JB","BOS","13:20","13:15","95","95","-5","13:24","9","0","0","0","0","0"
"B6","12/02/2021","1286","N304JB","BOS","07:00","06:50","94","87","-10","06:58","8","0","0","0","0","0"
"B6","12/02/2021","1486","N273JB","BOS","11:40","12:18","93","76","38","12:25","7","10","0","0","0","11"
"B6","12/02/2021","1686","N273JB","BOS","19:15","19:24","95","83","9","19:33","9","0","0","0","0","0"
"B6","12/02/2022","1286","N228JB","BOS","08:55","09:03","94","90","8","09:13","10","0","0","0","0","0"
"B6","12/02/2022","1486","N3023J","BOS","06:00","05:53","100","101","-7","06:10","17","0","0","0","0","0"
"B6","12/02/2022","2186","N3058J","BOS","19:59","19:42","94","96","-17","19:52","10","0","0","0","0","0"
"B6","12/02/2022","2286","N3008J","BOS","11:50","11:47","90","81","-3","11:57","10","0","0","0","0","0"
"B6","12/02/2023","1486","N258JB","BOS","06:00","05:55","97","79","-5","06:08","13","0","0","0","0","0"
"B6","12/03/2021","1286","N206JB","BOS","07:00","06:47","94","86","-13","06:58","11","0","0","0","0","0"
"B6","12/03/2021","1486","N206JB","BOS","11:40","11:32","93","81","-8","11:42","10","0","0","0","0","0"
"B6","12/03/2021","1686","N190JB","BOS","19:15","19:11","95","86","-4","19:20","9","0","0","0","0","0"
"B6","12/03/2022","1486","N3044J","BOS","06:00","05:50","100","86","-10","06:01","11","0","0","0","0","0"
"B6","12/03/2022","2186","N3113J","BOS","19:59","21:00","94","84","61","21:10","10","0","0","0","0","51"
"B6","12/03/2022","2286","N3008J","BOS","11:50","11:41","90","80","-9","11:50","9","0","0","0","0","0"
"B6","12/03/2023","1486","N304JB","BOS","06:00","05:43","97","85","-17","05:56","13","0","0","0","0","0"
"B6","12/03/2023","2286","N368JB","BOS","13:20","13:13","95","112","-7","13:55","42","0","0","0","0","0"
"B6","12/04/2021","1286","N339JB","BOS","07:00","06:48","94","78","-12","06:58","10","0","0","0","0","0"
"B6","12/04/2021","1486","N292JB","BOS","11:40","11:37","93","76","-3","11:46","9","0","0","0","0","0"
"B6","12/04/2022","1286","N198JB","BOS","08:55","08:46","94","82","-9","08:55","9","0","0","0","0","0"
"B6","12/04/2022","1486","N3102J","BOS","06:00","05:45","100","106","-15","06:20","35","0","0","0","0","0"
"B6","12/04/2022","2186","N3058J","BOS","19:59","19:48","94","90","-11","19:59","11","0","0","0","0","0"
"B6","12/04/2022","2286","N3023J","BOS","11:50","12:06","90","86","16","12:16","10","0","0","0","0","0"
"B6","12/04/2023","1486","N337JB","BOS","06:00","05:51","97","87","-9","06:02","11","0","0","0","0","0"
"B6","12/04/2023","2286","N267JB","BOS","13:20","13:13","95","90","-7","13:24","11","0","0","0","0","0"
"B6","12/05/2021","1286","N229JB","BOS","07:00","06:52","94","97","-8","07:12","20","0","0","0","0","0"
"B6","12/05/2021","1486","N323JB","BOS","11:40","11:26","93","89","-14","11:37","11","0","0","0","0","0"
"B6","12/05/2021","1686","N178JB","BOS","19:15","19:33","95","87","18","19:43","10","0","0","0","0","0"
"B6","12/05/2022","1286","N238JB","BOS","08:55","08:39","94","85","-16","08:47","8","0","0","0","0","0"
"B6","12/05/2022","1486","N3104J","BOS","06:00","05:48","100","85","-12","05:59","11","0","0","0","0","0"
"B6","12/05/2022","2186","N3085J","BOS","19:59","19:53","94","86","-6","20:03","10","0","0","0","0","0"
"B6","12/05/2022","2286","N3102J","BOS","11:50","11:42","90","94","-8","11:52","10","0","0","0","0","0"
"B6","12/05/2023","1486","N284JB","BOS","06:00","05:38","97","83","-22","05:50","12","0","0","0","0","0"
"B6","12/05/2023","2286","N229JB","BOS","13:20","14:41","95","89","81","14:52","11","75","0","0","0","0"
"B6","12/06/2021","1286","N323JB","BOS","07:00","06:54","94","97","-6","07:05","11","0","0","0","0","0"
"B6","12/06/2021","1686","N197JB","BOS","19:15","20:01","95","103","46","20:35","34","0","0","8","0","46"
"B6","12/06/2022","1286","N503JB","BOS","08:55","08:46","94","81","-9","08:55","9","0","0","0","0","0"
"B6","12/06/2022","1486","N3077J","BOS","06:00","05:55","100","90","-5","06:12","17","0","0","0","0","0"
"B6","12/06/2022","2186","N3065J","BOS","19:59","20:06","94","88","7","20:21","15","0","0","0","0","0"
"B6","12/06/2022","2286","N3113J","BOS","11:40","12:18","90","91","38","12:37","19","38","0","1","0","0"
"B6","12/06/2023","1486","N375JB","BOS","06:00","05:52","107","92","-8","06:04","12","0","0","0","0","0"
"B6","12/06/2023","2286","N354JB","BOS","14:00","13:49","95","103","-11","13:58","9","0","0","0","0","0"
"B6","12/07/2021","1286","N348JB","BOS","08:55","08:41","94","81","-14","08:51","10","0","0","0","0","0"
"B6","12/07/2022","1286","N265JB","BOS","08:55","09:20","94","92","25","09:34","14","3","0","0","0","20"
"B6","12/07/2022","1486","N3008J","BOS","06:00","05:50","100","85","-10","06:02","12","0","0","0","0","0"
"B6","12/07/2022","2186","N354JB","BOS","19:59","19:49","94","80","-10","19:59","10","0","0","0","0","0"
"B6","12/07/2022","2286","N3085J","BOS","11:40","11:34","90","90","-6","11:46","12","0","0","0","0","0"
"B6","12/07/2023","1486","N323JB","BOS","06:00","05:55","107","94","-5","06:04","9","0","0","0","0","0"
"B6","12/07/2023","2286","N375JB","BOS","14:00","14:00","95","92","0","14:12","12","0","0","0","0","0"
"B6","12/08/2021","1286","N294JB","BOS","08:55","08:38","94","80","-17","08:46","8","0","0","0","0","0"
"B6","12/08/2022","1286","N503JB","BOS","08:55","00:00","94","0","0","00:00","0","0","0","0","0","0"
"B6","12/08/2022","1486","N3102J","BOS","06:00","05:46","100","85","-14","05:58","12","0","0","0","0","0"
"B6","12/08/2022","2186","N3065J","BOS","19:59","19:58","94","88","-1","20:06","8","0","0","0","0","0"
"B6","12/08/2022","2286","N503JB","BOS","11:40","11:41","90","81","1","11:52","11","0","0","0","0","0"
"B6","12/08/2023","1486","N318JB","BOS","06:00","05:53","107","93","-7","06:03","10","0","0","0","0","0"
"B6","12/08/2023","2286","N329JB","BOS","14:00","13:49","95","101","-11","14:01","12","0","0","0","0","0"
"B6","12/09/2021","1286","N358JB","BOS","07:00","06:52","94","84","-8","07:01","9","0","0","0","0","0"
"B6","12/09/2021","1686","N537JT","BOS","19:15","20:36","95","87","81","20:45","9","0","0","0","0","73"
"B6","12/09/2022","1286","N353JB","BOS","08:55","08:50","94","93","-5","09:03","13","0","0","0","0","0"
"B6","12/09/2022","1486","N3023J","BOS","06:00","05:52","100","120","-8","06:25","33","0","0","0","0","0"
"B6","12/09/2022","2186","N3077J","BOS","19:59","19:46","94","93","-13","19:54","8","0","0","0","0","0"
"B6","12/09/2022","2286","N3102J","BOS","11:40","11:34","90","84","-6","11:43","9","0","0","0","0","0"
"B6","12/09/2023","1486","N306JB","BOS","06:00","05:52","107","86","-8","06:04","12","0","0","0","0","0"
"B6","12/10/2021","1286","N267JB","BOS","07:00","06:52","94","86","-8","07:03","11","0","0","0","0","0"
"B6","12/10/2021","1686","N283JB","BOS","19:15","19:05","95","85","-10","19:18","13","0","0","0","0","0"
"B6","12/10/2022","1486","N3044J","BOS","06:00","05:59","100","89","-1","06:10","11","0","0","0","0","0"
"B6","12/10/2022","2186","N266JB","BOS","19:59","19:39","94","85","-20","19:48","9","0","0","0","0","0"
"B6","12/10/2022","2286","N3065J","BOS","11:40","12:12","90","95","32","12:22","10","32","0","5","0","0"
"B6","12/10/2023","1486","N274JB","BOS","06:00","06:15","107","89","15","06:26","11","0","0","0","0","0"
"B6","12/10/2023","2286","N358JB","BOS","14:00","13:50","95","87","-10","14:00","10","0","0","0","0","0"
