Detailed Statistics Departures  
Origin Airport: Plattsburgh, NY: Plattsburgh International (PBG)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0977","202NV","PIE","20:13","20:12","201","181","-1","20:22","10","0","0","0","0","0"
"G4","12/01/2022","2117","222NV","FLL","11:32","11:26","203","228","-6","11:32","6","0","0","19","0","0"
"G4","12/01/2022","2884","224NV","SFB","20:28","22:29","187","169","121","22:36","7","103","0","0","0","0"
"G4","12/01/2023","1073","230NV","PIE","10:46","10:33","211","213","-13","10:53","20","0","0","0","0","0"
"G4","12/02/2021","0983","216NV","FLL","11:33","12:03","208","181","30","12:11","8","0","0","0","0","0"
"G4","12/02/2021","1969","245NV","PIE","18:22","18:37","203","186","15","18:47","10","0","0","0","0","0"
"G4","12/03/2021","2477","221NV","SFB","10:30","10:51","188","173","21","11:02","11","0","0","0","0","0"
"G4","12/03/2023","0514","224NV","FLL","18:32","18:41","212","281","9","19:27","46","5","0","69","0","4"
"G4","12/03/2023","1275","331NV","SFB","11:07","11:30","198","256","23","12:12","42","0","0","81","0","0"
"G4","12/04/2022","0482","281NV","FLL","11:32","13:01","203","179","89","13:09","8","13","0","0","0","52"
"G4","12/04/2022","2672","205NV","PIE","18:37","18:36","201","181","-1","18:45","9","0","0","0","0","0"
"G4","12/04/2022","2884","309NV","SFB","20:28","21:26","187","165","58","21:37","11","36","0","0","0","0"
"G4","12/04/2023","2714","219NV","PIE","10:46","10:24","211","224","-22","10:33","9","0","0","0","0","0"
"G4","12/05/2021","0983","224NV","FLL","11:33","11:23","208","197","-10","11:33","10","0","0","0","0","0"
"G4","12/05/2021","1969","261NV","PIE","18:22","18:18","203","194","-4","18:30","12","0","0","0","0","0"
"G4","12/06/2021","2477","244NV","SFB","10:30","10:37","188","181","7","10:47","10","0","0","0","0","0"
"G4","12/07/2023","0514","241NV","FLL","10:20","10:28","219","192","8","10:42","14","0","0","0","0","0"
"G4","12/07/2023","1294","319NV","SFB","20:01","19:55","198","175","-6","20:10","15","0","0","0","0","0"
"G4","12/08/2022","0482","223NV","FLL","11:40","14:08","208","208","148","14:18","10","0","0","58","0","90"
"G4","12/08/2022","0977","202NV","PIE","20:16","20:15","203","186","-1","20:23","8","0","0","0","0","0"
"G4","12/08/2022","2898","224NV","SFB","20:31","20:43","186","178","12","20:54","11","0","0","0","0","0"
"G4","12/08/2023","0998","250NV","PIE","19:40","19:20","215","194","-20","19:36","16","0","0","0","0","0"
"G4","12/09/2021","0983","216NV","FLL","11:33","11:37","208","182","4","11:44","7","0","0","0","0","0"
"G4","12/09/2021","1969","207NV","PIE","18:22","18:14","203","191","-8","18:24","10","0","0","0","0","0"
"G4","12/10/2021","2477","218NV","SFB","10:30","10:34","188","186","4","10:44","10","0","0","0","0","0"
"G4","12/10/2023","0516","241NV","FLL","10:20","11:34","219","237","74","12:12","38","0","0","92","0","0"
"G4","12/10/2023","1316","261NV","SFB","19:58","22:09","198","249","131","22:30","21","0","0","51","0","131"
"G4","12/11/2022","0533","222NV","FLL","11:40","11:32","208","189","-8","11:42","10","0","0","0","0","0"
