Detailed Statistics Departures  
Origin Airport: Pocatello, ID: Pocatello Regional (PIH)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4333","N496CA","SLC","13:15","13:12","54","45","-3","13:21","9","0","0","0","0","0"
"OO","12/01/2022","4248","N447SW","SLC","06:30","06:16","59","47","-14","06:28","12","0","0","0","0","0"
"OO","12/01/2023","3669","N607CZ","SLC","13:25","13:23","55","74","-2","13:55","32","0","0","17","0","0"
"OO","12/01/2023","3671","N298SY","SLC","07:50","07:53","58","70","3","08:31","38","3","0","12","0","0"
"OO","12/02/2021","4333","N429SW","SLC","13:15","15:02","54","52","107","15:11","9","0","105","0","0","0"
"OO","12/02/2022","4248","N439SW","SLC","06:30","06:20","59","78","-10","06:55","35","0","0","0","0","0"
"OO","12/02/2023","3669","N315SY","SLC","13:25","14:01","55","78","36","14:42","41","36","0","23","0","0"
"OO","12/02/2023","3671","N264SY","SLC","07:50","07:46","58","69","-4","08:19","33","0","0","0","0","0"
"OO","12/03/2021","4333","N441SW","SLC","13:15","13:08","54","46","-7","13:16","8","0","0","0","0","0"
"OO","12/03/2022","4248","N447SW","SLC","06:30","06:23","59","62","-7","06:43","20","0","0","0","0","0"
"OO","12/03/2023","3669","N304SY","SLC","13:25","13:21","55","58","-4","13:41","20","0","0","0","0","0"
"OO","12/03/2023","3671","N298SY","SLC","07:50","07:46","58","43","-4","07:53","7","0","0","0","0","0"
"OO","12/04/2021","4333","N445SW","SLC","13:15","13:05","54","57","-10","13:17","12","0","0","0","0","0"
"OO","12/04/2022","4248","N439SW","SLC","06:30","06:28","59","67","-2","06:53","25","0","0","0","0","0"
"OO","12/04/2023","3669","N290SY","SLC","13:25","13:22","55","46","-3","13:33","11","0","0","0","0","0"
"OO","12/04/2023","3671","N315SY","SLC","07:50","07:44","58","48","-6","07:57","13","0","0","0","0","0"
"OO","12/05/2021","4333","N506CA","SLC","13:15","13:05","58","51","-10","13:18","13","0","0","0","0","0"
"OO","12/05/2022","4248","N917EV","SLC","06:30","06:21","59","63","-9","06:46","25","0","0","0","0","0"
"OO","12/05/2023","3669","N288SY","SLC","13:25","13:10","55","52","-15","13:21","11","0","0","0","0","0"
"OO","12/05/2023","3671","N286SY","SLC","07:50","07:48","58","50","-2","08:06","18","0","0","0","0","0"
"OO","12/06/2021","4333","N442SW","SLC","13:15","13:05","58","54","-10","13:16","11","0","0","0","0","0"
"OO","12/06/2022","4248","N926EV","SLC","06:30","06:25","59","51","-5","06:34","9","0","0","0","0","0"
"OO","12/06/2023","3669","N288SY","SLC","13:25","13:17","55","52","-8","13:23","6","0","0","0","0","0"
"OO","12/06/2023","3671","N274SY","SLC","07:50","07:46","58","52","-4","08:05","19","0","0","0","0","0"
"OO","12/07/2021","4333","N460SW","SLC","13:15","13:09","58","46","-6","13:15","6","0","0","0","0","0"
"OO","12/07/2022","4248","N496CA","SLC","06:30","06:16","59","64","-14","06:36","20","0","0","0","0","0"
"OO","12/07/2023","3670","N295SY","SLC","13:23","13:13","62","61","-10","13:26","13","0","0","0","0","0"
"OO","12/07/2023","4093","N286SY","SLC","06:10","06:07","59","46","-3","06:12","5","0","0","0","0","0"
"OO","12/08/2021","4333","N506CA","SLC","13:15","14:30","58","42","75","14:39","9","59","0","0","0","0"
"OO","12/08/2022","4248","N921EV","SLC","06:30","00:00","59","0","0","00:00","0","0","0","0","0","0"
"OO","12/08/2023","3670","N279SY","SLC","13:23","13:15","62","53","-8","13:25","10","0","0","0","0","0"
"OO","12/08/2023","4093","N292SY","SLC","06:10","06:00","59","102","-10","07:04","64","0","0","33","0","0"
"OO","12/09/2021","4333","N441SW","SLC","13:15","13:13","58","59","-2","13:24","11","0","0","0","0","0"
"OO","12/09/2022","4248","N917EV","SLC","06:30","06:19","59","67","-11","06:47","28","0","0","0","0","0"
"OO","12/09/2023","3670","N292SY","SLC","13:23","13:16","62","49","-7","13:28","12","0","0","0","0","0"
"OO","12/09/2023","4093","N273SY","SLC","06:10","05:59","59","60","-11","06:22","23","0","0","0","0","0"
"OO","12/10/2021","4333","N445SW","SLC","13:15","14:51","58","47","96","15:00","9","85","0","0","0","0"
"OO","12/10/2022","4248","N917EV","SLC","06:30","06:18","59","42","-12","06:27","9","0","0","0","0","0"
"OO","12/10/2023","3670","N273SY","SLC","13:23","13:21","62","48","-2","13:36","15","0","0","0","0","0"
"OO","12/10/2023","4093","N300SY","SLC","06:10","06:03","59","36","-7","06:07","4","0","0","0","0","0"
"OO","12/11/2021","4333","N446SW","SLC","13:15","13:07","58","48","-8","13:16","9","0","0","0","0","0"
"OO","12/11/2022","4248","N439SW","SLC","06:30","06:59","59","38","29","07:04","5","0","0","0","0","0"
"OO","12/11/2023","3670","N290SY","SLC","13:23","13:13","62","69","-10","13:45","32","0","0","0","0","0"
"OO","12/11/2023","4093","N300SY","SLC","06:10","06:00","59","58","-10","06:21","21","0","0","0","0","0"
"OO","12/12/2021","4333","N445SW","SLC","13:15","13:05","58","50","-10","13:15","10","0","0","0","0","0"
"OO","12/12/2022","4248","N919EV","SLC","06:30","06:29","59","74","-1","07:03","34","0","0","0","0","0"
"OO","12/12/2023","3670","N300SY","SLC","13:23","13:13","62","53","-10","13:23","10","0","0","0","0","0"
"OO","12/12/2023","4093","N283SY","SLC","06:10","11:06","59","56","296","11:19","13","293","0","0","0","0"
"OO","12/13/2021","4333","N496CA","SLC","13:15","13:05","58","46","-10","13:10","5","0","0","0","0","0"
"OO","12/13/2022","4248","N496CA","SLC","06:30","06:15","59","82","-15","06:53","38","0","0","0","0","0"
"OO","12/13/2023","3670","N268SY","SLC","13:23","13:22","62","62","-1","13:45","23","0","0","0","0","0"
"OO","12/13/2023","4093","N273SY","SLC","06:10","06:00","59","67","-10","06:21","21","0","0","0","0","0"
"OO","12/14/2021","4333","N442SW","SLC","13:15","13:05","58","68","-10","13:26","21","0","0","0","0","0"
"OO","12/14/2022","4248","N921EV","SLC","06:30","06:19","59","66","-11","06:44","25","0","0","0","0","0"
"OO","12/14/2023","3670","N286SY","SLC","13:23","13:10","62","55","-13","13:21","11","0","0","0","0","0"
"OO","12/14/2023","4093","N290SY","SLC","06:10","06:03","59","60","-7","06:23","20","0","0","0","0","0"
"OO","12/15/2021","4333","N445SW","SLC","13:15","17:00","58","50","225","17:08","8","217","0","0","0","0"
"OO","12/15/2022","4248","N931EV","SLC","06:30","06:59","59","61","29","07:23","24","31","0","0","0","0"
"OO","12/15/2023","3670","N301SY","SLC","13:23","13:30","62","47","7","13:40","10","0","0","0","0","0"
"OO","12/15/2023","4093","N285SY","SLC","06:10","15:47","59","48","577","15:55","8","0","566","0","0","0"
"OO","12/16/2021","4333","N441SW","SLC","13:15","00:00","58","0","0","00:00","0","0","0","0","0","0"
"OO","12/16/2022","4248","N926EV","SLC","06:30","06:26","59","57","-4","06:45","19","0","0","0","0","0"
"OO","12/16/2023","3708","N252SY","SLC","13:22","13:18","62","50","-4","13:22","4","0","0","0","0","0"
"OO","12/16/2023","4149","N285SY","SLC","06:10","06:00","59","62","-10","06:24","24","0","0","0","0","0"
