Detailed Statistics Departures  
Origin Airport: Ponce, PR: Mercedita (PSE)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2022","3027","N514NK","MCO","14:15","14:50","188","183","35","14:58","8","0","0","30","0","0"
"NK","12/01/2023","3027","N516NK","MCO","17:45","17:42","198","199","-3","17:53","11","0","0","0","0","0"
"NK","12/02/2022","3027","N509NK","MCO","14:15","14:06","188","186","-9","14:17","11","0","0","0","0","0"
"NK","12/02/2023","3027","N527NK","MCO","14:30","14:27","203","263","-3","15:38","71","0","0","57","0","0"
"NK","12/03/2022","3027","N523NK","MCO","14:15","14:08","188","205","-7","14:24","16","0","0","0","0","0"
"NK","12/03/2023","3027","N515NK","MCO","17:45","18:09","198","184","24","18:20","11","0","0","0","0","0"
"NK","12/04/2022","3027","N528NK","MCO","14:15","17:16","188","224","181","17:45","29","14","0","36","0","167"
"NK","12/05/2022","3027","N503NK","MCO","14:15","14:15","188","231","0","14:45","30","0","0","43","0","0"
"NK","12/06/2022","3027","N516NK","MCO","14:15","14:09","188","200","-6","14:31","22","0","0","0","0","0"
"NK","12/07/2022","3027","N504NK","MCO","14:20","14:18","188","197","-2","14:34","16","0","0","0","0","0"
"NK","12/08/2022","3027","N505NK","MCO","14:20","14:43","188","195","23","14:55","12","0","0","30","0","0"
"NK","12/09/2022","3027","N536NK","MCO","14:20","14:32","188","185","12","14:42","10","0","0","0","0","0"
"NK","12/10/2022","3027","N531NK","MCO","14:20","14:20","188","204","0","14:43","23","3","0","8","0","5"
"NK","12/11/2022","3027","N514NK","MCO","14:20","14:25","188","188","5","14:44","19","0","0","0","0","0"
"NK","12/12/2022","3027","N521NK","MCO","14:20","14:19","188","200","-1","14:40","21","0","0","0","0","0"
"NK","12/13/2022","3027","N510NK","MCO","14:20","14:13","188","211","-7","14:38","25","0","0","16","0","0"
"NK","12/14/2022","3027","N521NK","MCO","14:20","14:25","188","191","5","14:37","12","0","0","0","0","0"
"NK","12/15/2022","3027","N524NK","MCO","14:20","14:19","188","215","-1","14:45","26","0","0","26","0","0"
"NK","12/16/2022","3027","N507NK","MCO","14:20","14:20","188","195","0","14:30","10","0","0","0","0","0"
"NK","12/17/2022","3027","N524NK","MCO","14:20","15:54","188","203","94","16:07","13","19","0","90","0","0"
"NK","12/18/2022","3027","N512NK","MCO","14:20","14:25","188","200","5","14:45","20","0","0","17","0","0"
"NK","12/19/2022","3027","N531NK","MCO","14:20","14:23","188","190","3","14:38","15","0","0","0","0","0"
"NK","12/20/2022","3027","N507NK","MCO","14:20","14:17","188","185","-3","14:25","8","0","0","0","0","0"
"NK","12/21/2022","3027","N531NK","MCO","14:20","14:14","188","212","-6","14:51","37","0","0","18","0","0"
"NK","12/22/2022","3027","N526NK","MCO","14:20","14:38","188","217","18","14:55","17","0","0","29","0","18"
"NK","12/23/2022","3027","N514NK","MCO","14:20","00:00","188","0","0","00:00","0","0","0","0","0","0"
"NK","12/24/2022","3027","N526NK","MCO","14:20","14:34","188","199","14","14:46","12","6","0","19","0","0"
"NK","12/25/2022","3027","N512NK","MCO","14:20","17:32","188","189","192","17:55","23","0","0","193","0","0"
"NK","12/26/2022","3027","N505NK","MCO","14:20","00:00","188","0","0","00:00","0","0","0","0","0","0"
"NK","12/27/2022","3027","N524NK","MCO","14:20","14:41","188","180","21","14:55","14","0","0","0","0","0"
"NK","12/28/2022","3027","N528NK","MCO","14:20","14:51","188","191","31","15:02","11","15","0","19","0","0"
"NK","12/29/2022","3027","N519NK","MCO","14:20","14:21","188","195","1","14:36","15","0","0","0","0","0"
"NK","12/30/2022","3027","N535NK","MCO","14:20","14:13","188","199","-7","14:24","11","0","0","0","0","0"
"NK","12/31/2022","3027","N529NK","MCO","14:20","16:44","188","184","144","16:56","12","10","0","130","0","0"

 SOURCE: Bureau of Transportation Statistics
