Detailed Statistics Departures  
Origin Airport: Portland, ME: Portland International Jetport (PWM)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1693","N331NW","ATL","06:40","06:36","190","172","-4","06:57","21","0","0","0","0","0"
"DL","12/01/2022","1333","N361NB","DTW","05:15","05:14","153","117","-1","05:24","10","0","0","0","0","0"
"DL","12/01/2022","2788","N324DX","ATL","05:45","05:41","199","166","-4","05:51","10","0","0","0","0","0"
"DL","12/01/2023","2773","N355DN","ATL","06:00","06:27","185","177","27","06:37","10","19","0","0","0","0"
"DL","12/02/2021","1693","N345NW","ATL","06:40","06:41","190","188","1","07:19","38","0","0","0","0","0"
"DL","12/02/2022","1333","N302NB","DTW","05:15","05:10","153","132","-5","05:34","24","0","0","0","0","0"
"DL","12/02/2022","2788","N128DN","ATL","05:45","05:40","199","195","-5","06:16","36","0","0","0","0","0"
"DL","12/02/2023","2773","N342DN","ATL","06:00","05:59","185","203","-1","06:24","25","0","0","17","0","0"
"DL","12/03/2021","1693","N336NW","ATL","06:40","06:38","190","156","-2","06:45","7","0","0","0","0","0"
"DL","12/03/2022","1333","N353NB","DTW","05:15","05:11","153","128","-4","05:21","10","0","0","0","0","0"
"DL","12/03/2022","2788","N385DZ","ATL","06:00","06:31","199","163","31","06:40","9","0","0","0","0","0"
"DL","12/03/2023","2773","N367DN","ATL","06:00","06:06","185","188","6","06:20","14","0","0","0","0","0"
"DL","12/04/2021","1693","N317US","ATL","07:00","06:57","190","185","-3","07:21","24","0","0","0","0","0"
"DL","12/04/2022","1333","N320NB","DTW","05:15","05:11","153","127","-4","05:21","10","0","0","0","0","0"
"DL","12/04/2022","2788","N386DN","ATL","05:45","05:42","199","176","-3","05:56","14","0","0","0","0","0"
"DL","12/04/2023","2773","N122DN","ATL","06:00","06:14","185","241","14","07:13","59","14","0","56","0","0"
"DL","12/05/2021","1693","N377NW","ATL","07:00","06:58","200","191","-2","07:25","27","0","0","0","0","0"
"DL","12/05/2022","1333","N301NB","DTW","05:15","05:08","153","137","-7","05:29","21","0","0","0","0","0"
"DL","12/05/2022","2788","N348DN","ATL","05:36","05:39","203","183","3","06:02","23","0","0","0","0","0"
"DL","12/05/2023","2773","N356DN","ATL","06:00","05:59","185","201","-1","06:33","34","0","0","15","0","0"
"DL","12/06/2021","1693","N377NW","ATL","07:00","06:55","200","165","-5","07:06","11","0","0","0","0","0"
"DL","12/06/2022","1333","N358NB","DTW","05:15","05:09","153","130","-6","05:20","11","0","0","0","0","0"
"DL","12/06/2022","2788","N354DN","ATL","05:36","05:36","203","178","0","05:52","16","0","0","0","0","0"
"DL","12/06/2023","2773","N103DY","ATL","06:00","05:59","185","168","-1","06:20","21","0","0","0","0","0"
"DL","12/07/2021","1693","N374NW","ATL","07:00","06:55","200","175","-5","07:06","11","0","0","0","0","0"
"DL","12/07/2022","1333","N328NB","DTW","05:15","05:04","153","142","-11","05:21","17","0","0","0","0","0"
"DL","12/07/2022","2788","N308DN","ATL","05:36","06:05","203","177","29","06:16","11","0","0","0","0","0"
"DL","12/07/2023","2773","N383DZ","ATL","05:42","05:37","203","177","-5","06:08","31","0","0","0","0","0"
"DL","12/08/2021","1693","N329NB","ATL","07:00","17:09","200","191","609","17:29","20","600","0","0","0","0"
"DL","12/08/2022","1333","N359NB","DTW","05:15","05:09","153","134","-6","05:17","8","0","0","0","0","0"
"DL","12/08/2022","2788","N394DX","ATL","05:36","05:33","203","173","-3","05:43","10","0","0","0","0","0"
"DL","12/08/2023","2773","N360DN","ATL","05:42","05:39","203","184","-3","06:11","32","0","0","0","0","0"
"DL","12/09/2021","1693","N372NW","ATL","07:00","07:00","200","186","0","07:27","27","0","0","0","0","0"
"DL","12/09/2022","1333","N360NB","DTW","05:15","05:08","153","125","-7","05:21","13","0","0","0","0","0"
"DL","12/09/2022","2788","N363DN","ATL","05:36","05:31","203","175","-5","05:54","23","0","0","0","0","0"
"DL","12/09/2023","2773","N125DN","ATL","05:42","05:41","203","186","-1","06:00","19","0","0","0","0","0"
"DL","12/10/2021","1693","N371NW","ATL","07:00","07:01","200","190","1","07:33","32","0","0","0","0","0"
"DL","12/10/2022","1333","N335NB","DTW","05:15","05:12","153","129","-3","05:30","18","0","0","0","0","0"
"DL","12/10/2022","2788","N385DZ","ATL","06:00","06:06","199","178","6","06:21","15","0","0","0","0","0"
"DL","12/10/2023","2773","N395DZ","ATL","05:42","05:42","203","204","0","06:14","32","0","0","0","0","0"
"DL","12/11/2021","1693","N369NW","ATL","07:00","06:58","203","161","-2","07:09","11","0","0","0","0","0"
"DL","12/11/2022","1333","N353NB","DTW","05:15","05:09","153","148","-6","05:40","31","0","0","0","0","0"
"DL","12/11/2022","2788","N366DX","ATL","05:36","05:40","203","187","4","05:54","14","0","0","0","0","0"
"DL","12/11/2023","2773","N377DN","ATL","05:42","05:43","203","190","1","05:56","13","0","0","0","0","0"
"DL","12/12/2021","1693","N344NW","ATL","07:00","06:57","200","170","-3","07:07","10","0","0","0","0","0"
"DL","12/12/2022","1333","N327NB","DTW","05:15","05:09","153","131","-6","05:33","24","0","0","0","0","0"
"DL","12/12/2022","2788","N379DN","ATL","05:36","05:36","203","195","0","06:09","33","0","0","0","0","0"
"DL","12/12/2023","2773","N379DN","ATL","05:42","05:41","203","180","-1","06:08","27","0","0","0","0","0"
"DL","12/13/2021","1693","N370NW","ATL","07:00","06:52","200","155","-8","07:02","10","0","0","0","0","0"
"DL","12/13/2022","1333","N339NB","DTW","05:15","05:12","153","123","-3","05:26","14","0","0","0","0","0"
"DL","12/13/2022","2788","N362DN","ATL","05:36","06:55","203","174","79","07:20","25","50","0","0","0","0"
"DL","12/13/2023","2773","N310DN","ATL","05:42","05:41","203","181","-1","05:52","11","0","0","0","0","0"
"DL","12/14/2021","1693","N334NW","ATL","07:00","06:59","200","163","-1","07:09","10","0","0","0","0","0"
"DL","12/14/2022","1333","N365NB","DTW","05:15","05:09","153","121","-6","05:23","14","0","0","0","0","0"
"DL","12/14/2022","2788","N328DN","ATL","05:36","05:37","203","173","1","05:51","14","0","0","0","0","0"
"DL","12/14/2023","2773","N346DN","ATL","05:42","05:40","203","175","-2","05:55","15","0","0","0","0","0"
"DL","12/15/2021","1693","N369NW","ATL","07:00","06:55","200","166","-5","07:15","20","0","0","0","0","0"
"DL","12/15/2022","1333","N339NB","DTW","05:15","05:51","153","113","36","06:02","11","0","0","0","0","0"
"DL","12/15/2022","2788","N326DN","ATL","05:36","05:40","203","182","4","06:05","25","0","0","0","0","0"
"DL","12/15/2023","2773","N373DX","ATL","05:42","05:37","203","166","-5","05:51","14","0","0","0","0","0"
"DL","12/16/2021","1693","N378NW","ATL","07:00","06:52","200","171","-8","07:08","16","0","0","0","0","0"
"DL","12/16/2022","1333","N353NB","DTW","05:15","05:14","153","115","-1","05:23","9","0","0","0","0","0"
"DL","12/16/2022","2788","N114DN","ATL","05:36","06:06","203","172","30","06:14","8","0","0","0","0","0"
"DL","12/16/2023","2773","N114DN","ATL","05:40","05:35","203","178","-5","05:53","18","0","0","0","0","0"
"DL","12/17/2021","1693","N347NW","ATL","07:00","06:59","200","184","-1","07:09","10","0","0","0","0","0"
"DL","12/17/2022","0740","N350DN","ATL","05:30","07:28","203","209","118","08:10","42","118","0","6","0","0"
"DL","12/17/2022","1333","N370NB","DTW","05:15","06:09","153","142","54","06:45","36","43","0","0","0","0"
"DL","12/17/2023","2773","N362DN","ATL","05:40","06:08","203","182","28","06:16","8","0","0","0","0","0"
"DL","12/18/2021","1693","N347NW","ATL","06:26","06:26","209","177","0","06:38","12","0","0","0","0","0"
"DL","12/18/2022","0740","N394DX","ATL","05:30","05:44","203","236","14","07:01","77","14","0","33","0","0"
"DL","12/18/2022","1333","N353NB","DTW","05:15","06:02","153","124","47","06:26","24","18","0","0","0","0"
"DL","12/18/2023","2773","N372DN","ATL","05:40","05:50","203","168","10","06:02","12","0","0","0","0","0"
"DL","12/19/2021","1693","N331NW","ATL","06:26","07:30","209","221","64","08:22","52","64","0","12","0","0"
