Detailed Statistics Departures  
Origin Airport: Portland, OR: Portland International (PDX)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0790","N362FR","DEN","00:59","00:53","146","134","-6","01:03","10","0","0","0","0","0"
"F9","12/01/2021","2170","N384FR","LAS","20:12","20:05","133","130","-7","20:17","12","0","0","0","0","0"
"F9","12/01/2022","0790","N232FR","DEN","18:45","19:52","151","150","67","20:06","14","2","0","29","0","35"
"F9","12/01/2022","2170","N312FR","LAS","12:37","13:19","134","151","42","13:50","31","0","0","59","0","0"
"F9","12/01/2022","2978","N391FR","PHX","08:50","08:53","156","157","3","09:11","18","0","0","0","0","0"
"F9","12/01/2023","1106","N322FR","LAS","19:08","18:58","133","125","-10","19:15","17","0","0","0","0","0"
"F9","12/01/2023","1790","N338FR","DEN","05:45","05:50","144","151","5","06:05","15","0","0","0","0","0"
"F9","12/01/2023","3160","N389FR","PHX","08:15","08:11","154","158","-4","08:26","15","0","0","0","0","0"
"F9","12/02/2021","0790","N709FR","DEN","00:59","01:01","146","138","2","01:13","12","0","0","0","0","0"
"F9","12/02/2021","2160","N364FR","LAS","20:20","20:10","133","133","-10","20:23","13","0","0","0","0","0"
"F9","12/02/2021","2172","N381FR","LAS","09:21","09:16","131","138","-5","09:33","17","0","0","0","0","0"
"F9","12/02/2022","0790","N338FR","DEN","19:23","19:16","151","141","-7","19:28","12","0","0","0","0","0"
"F9","12/02/2022","2170","N318FR","LAS","12:37","13:43","134","148","66","14:03","20","0","0","80","0","0"
"F9","12/02/2023","1106","N373FR","LAS","21:16","21:09","143","110","-7","21:20","11","0","0","0","0","0"
"F9","12/02/2023","1790","N373FR","DEN","05:45","05:43","144","144","-2","05:56","13","0","0","0","0","0"
