Detailed Statistics Departures  
Origin Airport: Providence, RI: Rhode Island Tf Green International (PVD)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","1183","N374FR","MCO","20:36","20:37","200","185","1","20:50","13","0","0","0","0","0"
"F9","12/01/2021","2759","N379FR","MIA","19:11","19:07","220","209","-4","19:24","17","0","0","0","0","0"
"F9","12/01/2022","2647","N326FR","FLL","12:33","12:25","202","199","-8","12:52","27","0","0","0","0","0"
"F9","12/02/2021","2535","N380FR","TPA","10:57","11:01","204","175","4","11:13","12","0","0","0","0","0"
"F9","12/02/2022","1183","N723FR","MCO","19:16","19:17","199","165","1","19:30","13","0","0","0","0","0"
"F9","12/03/2021","1183","N716FR","MCO","17:51","17:49","197","180","-2","18:01","12","0","0","0","0","0"
"F9","12/03/2021","2759","N351FR","MIA","19:11","19:11","220","196","0","19:27","16","0","0","0","0","0"
"F9","12/04/2021","1185","N379FR","MCO","12:19","12:24","197","187","5","12:37","13","0","0","0","0","0"
"F9","12/04/2022","2647","N230FR","FLL","12:33","13:17","202","185","44","13:30","13","27","0","0","0","0"
"F9","12/05/2021","2535","N227FR","TPA","18:41","18:49","202","177","8","19:00","11","0","0","0","0","0"
"F9","12/05/2022","1183","N350FR","MCO","18:49","20:40","199","185","111","20:55","15","36","0","14","0","47"
"F9","12/06/2021","1183","N238FR","MCO","20:39","21:03","200","177","24","21:15","12","0","0","0","0","0"
