Detailed Statistics Departures  
Origin Airport: Bangor, ME: Bangor International (BGR)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5269","N511AE","DCA","17:25","17:15","123","118","-10","17:24","9","0","0","0","0","0"
"OH","12/01/2021","5654","N600NN","CLT","07:00","06:47","196","172","-13","07:14","27","0","0","0","0","0"
"OH","12/01/2022","5137","N555NN","PHL","05:24","05:17","130","100","-7","05:29","12","0","0","0","0","0"
"OH","12/01/2022","5269","N720PS","DCA","17:07","17:01","133","121","-6","17:17","16","0","0","0","0","0"
"OH","12/01/2022","5330","N534AE","DCA","05:40","05:38","133","167","-2","06:17","39","0","0","32","0","0"
"OH","12/01/2022","5654","N540EG","CLT","07:25","07:16","172","155","-9","07:29","13","0","0","0","0","0"
"OH","12/01/2023","5091","N529EA","DCA","17:06","18:14","129","130","68","18:26","12","2","0","1","0","66"
"OH","12/01/2023","5107","N531EG","DCA","12:17","12:13","129","137","-4","12:29","16","0","0","0","0","0"
"OH","12/01/2023","5330","N580NN","DCA","05:10","04:59","141","114","-11","05:11","12","0","0","0","0","0"
"OH","12/02/2021","5030","N587NN","PHL","16:42","16:33","117","119","-9","16:50","17","0","0","0","0","0"
"OH","12/02/2021","5269","N525AE","DCA","17:25","17:53","123","115","28","18:13","20","0","0","0","0","20"
"OH","12/02/2021","5330","N605NN","DCA","05:39","05:27","140","139","-12","05:51","24","0","0","0","0","0"
"OH","12/02/2021","5654","N552NN","CLT","07:00","06:47","196","161","-13","06:58","11","0","0","0","0","0"
