Detailed Statistics Departures  
Origin Airport: Raleigh/Durham, NC: Raleigh-Durham International (RDU)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4693","N927XJ","JFK","06:25","06:20","103","89","-5","06:34","14","0","0","0","0","0"
"9E","12/01/2021","4713","N931XJ","MIA","10:55","10:54","135","127","-1","11:08","14","0","0","0","0","0"
"9E","12/01/2021","4763","N931XJ","DCA","06:00","05:49","77","72","-11","06:13","24","0","0","0","0","0"
"9E","12/01/2021","4787","N166PQ","JFK","14:25","14:32","100","94","7","14:48","16","0","0","0","0","0"
"9E","12/01/2021","4882","N153PQ","JFK","19:15","19:13","104","95","-2","19:38","25","0","0","0","0","0"
"9E","12/01/2021","5028","N931XJ","EWR","17:00","16:56","105","134","-4","17:56","60","0","0","25","0","0"
"9E","12/01/2021","5049","N296PQ","JFK","16:05","16:05","113","99","0","16:26","21","0","0","0","0","0"
"9E","12/01/2021","5152","N182GJ","JFK","11:00","10:59","97","96","-1","11:15","16","0","0","0","0","0"
"9E","12/01/2021","5197","N928XJ","LGA","19:30","19:19","101","111","-11","19:56","37","0","0","0","0","0"
"9E","12/01/2021","5221","N606LR","LGA","08:00","07:59","102","94","-1","08:24","25","0","0","0","0","0"
"9E","12/01/2021","5275","N296PQ","LGA","10:00","09:56","96","91","-4","10:15","19","0","0","0","0","0"
"9E","12/01/2021","5414","N320PQ","LGA","15:00","14:57","102","84","-3","15:11","14","0","0","0","0","0"
"9E","12/01/2021","5453","N324PQ","DCA","17:40","17:35","83","80","-5","18:01","26","0","0","0","0","0"
"9E","12/01/2021","5463","N582CA","EWR","07:00","06:57","101","91","-3","07:15","18","0","0","0","0","0"
"9E","12/01/2022","4653","N935XJ","DCA","06:00","06:54","75","75","54","07:19","25","54","0","0","0","0"
"9E","12/01/2022","4672","N933XJ","AUS","10:51","10:46","210","218","-5","11:13","27","0","0","0","0","0"
"9E","12/01/2022","4689","N925XJ","LGA","14:10","14:11","107","95","1","14:31","20","0","0","0","0","0"
"9E","12/01/2022","4696","N925XJ","LGA","08:40","08:34","109","118","-6","09:02","28","0","0","0","0","0"
"9E","12/01/2022","4742","N181PQ","LGA","06:00","05:57","110","91","-3","06:14","17","0","0","0","0","0"
"9E","12/01/2022","4771","N316PQ","EWR","06:30","06:29","104","88","-1","06:45","16","0","0","0","0","0"
"9E","12/01/2022","4787","N184GJ","JFK","13:49","13:49","100","93","0","14:08","19","0","0","0","0","0"
"9E","12/01/2022","4882","N933XJ","JFK","18:35","18:31","113","151","-4","19:39","68","0","0","34","0","0"
"9E","12/01/2022","4901","N676CA","JFK","16:51","16:51","114","112","0","17:13","22","0","0","0","0","0"
"9E","12/01/2022","4982","N309PQ","EWR","12:22","12:43","102","105","21","13:11","28","0","0","24","0","0"
"9E","12/01/2022","5051","N307PQ","JFK","06:50","06:49","109","126","-1","07:08","19","0","0","16","0","0"
"9E","12/01/2022","5084","N606LR","DCA","14:00","13:55","75","66","-5","14:19","24","0","0","0","0","0"
"9E","12/01/2022","5144","N195PQ","LGA","07:05","07:19","114","90","14","07:37","18","0","0","0","0","0"
"9E","12/01/2022","5152","N935XJ","JFK","10:25","10:46","98","96","21","11:12","26","0","0","0","0","19"
"9E","12/01/2022","5277","N902XJ","LGA","11:20","11:15","98","112","-5","11:53","38","0","0","0","0","0"
