Detailed Statistics Departures  
Origin Airport: Raleigh/Durham, NC: Raleigh-Durham International (RDU)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0559","N307FR","DEN","08:31","08:30","252","246","-1","08:53","23","0","0","0","0","0"
"F9","12/01/2021","1591","N366FR","ATL","09:37","09:27","102","89","-10","09:46","19","0","0","0","0","0"
"F9","12/01/2021","2069","N381FR","LAS","21:32","21:24","337","294","-8","21:39","15","0","0","0","0","0"
"F9","12/01/2022","0102","N701FR","SJU","15:01","14:59","218","211","-2","15:20","21","0","0","0","0","0"
"F9","12/01/2022","0559","N342FR","DEN","08:29","08:22","255","238","-7","08:44","22","0","0","0","0","0"
"F9","12/01/2022","1191","N362FR","MCO","09:56","09:47","113","116","-9","10:08","21","0","0","0","0","0"
"F9","12/01/2022","1591","N304FR","ATL","16:38","16:55","93","96","17","17:16","21","17","0","3","0","0"
"F9","12/01/2022","2067","N304FR","LAS","21:15","21:35","335","346","20","21:51","16","17","0","11","0","3"
"F9","12/01/2023","1039","N616FR","MCO","05:45","05:45","125","139","0","06:27","42","0","0","0","0","0"
"F9","12/01/2023","1518","N386FR","PHL","08:58","08:48","91","79","-10","09:03","15","0","0","0","0","0"
"F9","12/01/2023","1553","N722FR","MCO","17:45","17:43","129","105","-2","17:58","15","0","0","0","0","0"
"F9","12/01/2023","1669","N714FR","ATL","15:05","14:59","96","94","-6","15:15","16","0","0","0","0","0"
"F9","12/01/2023","2060","N619FR","PHL","11:51","11:40","92","78","-11","11:56","16","0","0","0","0","0"
"F9","12/01/2023","4451","N714FR","DEN","20:45","20:53","256","257","8","21:04","11","0","0","0","0","0"
"F9","12/01/2023","4498","N317FR","SJU","20:54","20:49","218","203","-5","21:06","17","0","0","0","0","0"
"F9","12/02/2021","0102","N312FR","SJU","10:53","10:42","220","200","-11","11:04","22","0","0","0","0","0"
"F9","12/02/2021","0559","N308FR","DEN","08:26","08:15","252","229","-11","08:32","17","0","0","0","0","0"
"F9","12/02/2021","0894","N363FR","TTN","09:32","09:23","88","85","-9","09:38","15","0","0","0","0","0"
"F9","12/02/2021","1191","N713FR","MCO","12:29","12:21","118","115","-8","12:38","17","0","0","0","0","0"
"F9","12/02/2021","1595","N372FR","MIA","14:23","14:22","138","138","-1","14:55","33","0","0","0","0","0"
"F9","12/02/2021","1650","N312FR","PHL","20:09","19:59","87","84","-10","20:15","16","0","0","0","0","0"
"F9","12/02/2021","1695","N363FR","TPA","14:10","14:00","115","113","-10","14:17","17","0","0","0","0","0"
"F9","12/02/2021","2069","N387FR","LAS","21:35","21:26","337","285","-9","21:42","16","0","0","0","0","0"
"F9","12/02/2022","0102","N717FR","SJU","15:01","14:55","218","209","-6","15:09","14","0","0","0","0","0"
"F9","12/02/2022","0559","N367FR","DEN","08:31","08:21","255","260","-10","08:36","15","0","0","0","0","0"
"F9","12/02/2022","1191","N384FR","MCO","09:54","09:43","113","117","-11","10:03","20","0","0","0","0","0"
"F9","12/02/2022","1652","N303FR","PHL","17:07","16:57","87","90","-10","17:22","25","0","0","0","0","0"
"F9","12/02/2022","2067","N304FR","LAS","21:15","21:14","335","325","-1","21:28","14","0","0","0","0","0"
"F9","12/02/2023","1039","N622FR","MCO","05:35","05:40","125","105","5","05:54","14","0","0","0","0","0"
"F9","12/02/2023","1518","N317FR","PHL","08:57","09:00","91","74","3","09:13","13","0","0","0","0","0"
"F9","12/02/2023","1553","N718FR","MCO","21:57","21:47","122","121","-10","21:58","11","0","0","0","0","0"
"F9","12/02/2023","1669","N616FR","ATL","15:24","15:12","96","96","-12","15:28","16","0","0","0","0","0"
"F9","12/02/2023","2060","N705FR","PHL","11:51","12:57","92","74","66","13:09","12","0","0","0","0","48"
"F9","12/02/2023","4451","N616FR","DEN","20:35","20:27","256","243","-8","20:45","18","0","0","0","0","0"
"F9","12/02/2023","4498","N384FR","SJU","20:54","20:44","218","202","-10","21:00","16","0","0","0","0","0"
"F9","12/03/2021","0559","N370FR","DEN","08:31","08:17","252","233","-14","08:34","17","0","0","0","0","0"
"F9","12/03/2021","1591","N382FR","ATL","09:37","11:44","102","83","127","12:00","16","0","0","0","0","108"
"F9","12/03/2021","1650","N307FR","PHL","20:18","20:13","87","79","-5","20:28","15","0","0","0","0","0"
"F9","12/03/2021","1695","N380FR","TPA","15:39","15:30","115","115","-9","15:45","15","0","0","0","0","0"
"F9","12/03/2021","2069","N323FR","LAS","21:54","21:44","337","292","-10","21:59","15","0","0","0","0","0"
"F9","12/03/2022","0102","N709FR","SJU","15:01","15:42","218","197","41","15:58","16","0","0","0","0","20"
"F9","12/03/2022","0559","N334FR","DEN","08:31","08:24","255","270","-7","08:39","15","0","0","0","0","0"
"F9","12/03/2022","1191","N312FR","MCO","10:52","12:57","115","113","125","13:20","23","0","0","0","0","123"
"F9","12/03/2022","1652","N378FR","PHL","16:40","16:35","84","93","-5","16:52","17","0","0","0","0","0"
"F9","12/03/2022","2067","N378FR","LAS","21:15","21:04","335","330","-11","21:19","15","0","0","0","0","0"
"F9","12/03/2023","1039","N394FR","MCO","05:45","05:36","125","144","-9","06:00","24","0","0","0","0","0"
"F9","12/03/2023","1518","N366FR","PHL","08:58","08:52","91","85","-6","09:09","17","0","0","0","0","0"
"F9","12/03/2023","1648","N374FR","PHL","15:04","14:53","85","74","-11","15:04","11","0","0","0","0","0"
"F9","12/03/2023","1669","N717FR","ATL","15:29","15:25","96","120","-4","15:42","17","0","0","20","0","0"
"F9","12/03/2023","2060","N705FR","PHL","11:51","11:45","92","81","-6","11:57","12","0","0","0","0","0"
"F9","12/03/2023","3329","N228FR","DFW","10:13","10:03","202","233","-10","10:26","23","0","0","21","0","0"
"F9","12/03/2023","3927","N605FR","MCO","16:55","16:53","123","125","-2","17:14","21","0","0","0","0","0"
"F9","12/03/2023","4451","N717FR","DEN","21:05","21:02","256","257","-3","21:18","16","0","0","0","0","0"
"F9","12/03/2023","4498","N366FR","SJU","20:54","20:53","218","208","-1","21:11","18","0","0","0","0","0"
"F9","12/04/2021","0102","N387FR","SJU","10:26","10:28","220","203","2","10:42","14","0","0","0","0","0"
"F9","12/04/2021","0559","N309FR","DEN","08:31","08:19","252","224","-12","08:43","24","0","0","0","0","0"
"F9","12/04/2021","1591","N363FR","ATL","18:55","18:45","100","77","-10","18:58","13","0","0","0","0","0"
"F9","12/04/2021","1650","N387FR","PHL","19:40","19:40","87","89","0","19:57","17","0","0","0","0","0"
"F9","12/04/2021","2069","N211FR","LAS","21:35","21:31","337","285","-4","21:46","15","0","0","0","0","0"
"F9","12/04/2022","0102","N715FR","SJU","15:01","16:20","218","192","79","16:37","17","19","0","0","0","34"
"F9","12/04/2022","0559","N381FR","DEN","08:26","08:20","255","260","-6","08:34","14","0","0","0","0","0"
"F9","12/04/2022","1191","N341FR","MCO","09:56","10:06","113","111","10","10:24","18","0","0","0","0","0"
"F9","12/04/2022","1591","N364FR","ATL","16:38","16:38","93","94","0","16:54","16","0","0","0","0","0"
"F9","12/04/2022","2067","N364FR","LAS","21:15","21:15","335","338","0","21:31","16","0","0","0","0","0"
"F9","12/04/2023","1039","N605FR","MCO","05:45","05:38","125","113","-7","05:54","16","0","0","0","0","0"
"F9","12/04/2023","1518","N366FR","PHL","08:58","08:47","91","76","-11","09:05","18","0","0","0","0","0"
"F9","12/04/2023","1553","N711FR","MCO","10:31","10:26","127","120","-5","10:41","15","0","0","0","0","0"
