Detailed Statistics Departures  
Origin Airport: Raleigh/Durham, NC: Raleigh-Durham International (RDU)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0086","N346JB","JFK","11:05","11:06","91","91","1","11:18","12","0","0","0","0","0"
"B6","12/01/2021","0386","N266JB","JFK","16:30","16:22","92","108","-8","16:34","12","0","0","0","0","0"
"B6","12/01/2021","0686","N594JB","JFK","08:31","08:23","88","93","-8","08:37","14","0","0","0","0","0"
"B6","12/01/2021","1125","N337JB","FLL","06:15","06:25","131","139","10","07:02","37","10","0","8","0","0"
"B6","12/01/2021","1484","N373JB","BOS","17:45","17:48","115","115","3","18:07","19","0","0","0","0","0"
"B6","12/01/2021","2184","N198JB","BOS","12:45","12:56","114","103","11","13:09","13","0","0","0","0","0"
"B6","12/01/2021","2428","N197JB","EWR","13:25","13:13","92","131","-12","14:03","50","0","0","27","0","0"
"B6","12/01/2022","0086","N615JB","JFK","13:52","14:40","98","95","48","15:00","20","6","0","0","0","39"
"B6","12/01/2022","0386","N334JB","JFK","19:33","19:20","97","112","-13","19:40","20","0","0","0","0","0"
"B6","12/01/2022","0484","N3044J","BOS","09:40","09:35","117","111","-5","09:54","19","0","0","0","0","0"
"B6","12/01/2022","0984","N3065J","BOS","06:00","05:57","117","115","-3","06:16","19","0","0","0","0","0"
