Detailed Statistics Departures  
Origin Airport: Redding, CA: Redding Municipal (RDD)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5246","N440SW","SFO","19:59","19:49","70","48","-10","19:53","4","0","0","0","0","0"
"OO","12/01/2021","5452","N932EV","SFO","11:00","10:46","75","73","-14","10:56","10","0","0","0","0","0"
"OO","12/01/2021","5549","N932SW","SFO","06:30","06:23","70","54","-7","06:33","10","0","0","0","0","0"
"OO","12/01/2021","5725","N784SK","LAX","07:00","06:48","106","101","-12","07:02","14","0","0","0","0","0"
"OO","12/01/2022","5452","N986SW","SFO","14:23","14:19","69","64","-4","14:30","11","0","0","0","0","0"
"OO","12/01/2022","5549","N792SK","SFO","06:28","06:28","70","87","0","07:03","35","17","0","0","0","0"
"OO","12/01/2022","5725","N961SW","LAX","15:40","15:32","105","102","-8","15:44","12","0","0","0","0","0"
"OO","12/01/2023","3322","N406SY","SEA","17:05","17:39","108","109","34","17:53","14","34","0","1","0","0"
"OO","12/01/2023","5452","N926SW","SFO","14:00","13:47","70","55","-13","14:00","13","0","0","0","0","0"
"OO","12/01/2023","5549","N693BR","SFO","06:00","11:10","74","56","310","11:21","11","0","0","292","0","0"
"OO","12/01/2023","5579","N787SK","LAX","16:27","16:21","103","87","-6","16:29","8","0","0","0","0","0"
"OO","12/01/2023","5592","N625UX","SFO","20:33","20:54","72","71","21","21:13","19","0","0","20","0","0"
"OO","12/02/2021","5246","N452SW","SFO","19:59","19:49","70","47","-10","19:54","5","0","0","0","0","0"
"OO","12/02/2021","5452","N916EV","SFO","11:00","10:52","75","66","-8","11:09","17","0","0","0","0","0"
"OO","12/02/2021","5549","N889AS","SFO","06:30","06:31","70","53","1","06:37","6","0","0","0","0","0"
"OO","12/02/2021","5725","N791SK","LAX","07:00","06:47","106","112","-13","07:00","13","0","0","0","0","0"
"OO","12/02/2022","5452","N906EV","SFO","14:23","14:19","69","56","-4","14:25","6","0","0","0","0","0"
"OO","12/02/2022","5549","N780SK","SFO","06:28","06:29","70","72","1","06:57","28","0","0","0","0","0"
"OO","12/02/2022","5725","N466SW","LAX","15:40","15:33","105","98","-7","15:40","7","0","0","0","0","0"
"OO","12/02/2023","5452","N926SW","SFO","14:00","13:49","70","49","-11","13:54","5","0","0","0","0","0"
"OO","12/02/2023","5549","N900EV","SFO","06:00","10:45","74","93","285","11:09","24","0","0","304","0","0"
"OO","12/02/2023","5579","N788SK","LAX","16:07","16:03","103","93","-4","16:13","10","0","0","0","0","0"
"OO","12/02/2023","5592","N163SY","SFO","20:33","20:22","72","89","-11","21:01","39","0","0","0","0","0"
"OO","12/03/2021","5246","N906EV","SFO","19:59","19:49","70","54","-10","19:57","8","0","0","0","0","0"
"OO","12/03/2021","5452","N906EV","SFO","11:00","10:54","75","55","-6","11:04","10","0","0","0","0","0"
"OO","12/03/2021","5549","N975SW","SFO","06:30","11:46","70","60","316","11:58","12","306","0","0","0","0"
"OO","12/03/2021","5725","N779SK","LAX","07:00","06:59","106","111","-1","07:18","19","0","0","0","0","0"
"OO","12/03/2022","5452","N932EV","SFO","14:23","14:15","69","68","-8","14:25","10","0","0","0","0","0"
"OO","12/03/2022","5549","N793SK","SFO","06:28","06:31","70","52","3","06:35","4","0","0","0","0","0"
"OO","12/03/2022","5725","N904EV","LAX","15:40","15:38","105","109","-2","15:56","18","0","0","0","0","0"
"OO","12/03/2023","3322","N411SY","SEA","17:05","17:02","108","102","-3","17:17","15","0","0","0","0","0"
"OO","12/03/2023","5452","N962SW","SFO","14:00","13:48","70","61","-12","14:04","16","0","0","0","0","0"
"OO","12/03/2023","5549","N926SW","SFO","06:00","08:28","74","70","148","08:47","19","0","0","144","0","0"
"OO","12/03/2023","5579","N788SK","LAX","16:27","16:19","103","105","-8","16:32","13","0","0","0","0","0"
"OO","12/03/2023","5592","N622UX","SFO","20:33","20:28","72","62","-5","20:38","10","0","0","0","0","0"
"OO","12/04/2021","5246","N937EV","SFO","19:59","19:50","70","48","-9","19:54","4","0","0","0","0","0"
"OO","12/04/2021","5452","N909EV","SFO","11:00","10:45","75","60","-15","10:55","10","0","0","0","0","0"
"OO","12/04/2021","5549","N494CA","SFO","06:30","06:28","70","55","-2","06:37","9","0","0","0","0","0"
"OO","12/04/2021","5725","N783SK","LAX","07:00","06:52","106","116","-8","07:10","18","0","0","0","0","0"
"OO","12/04/2022","5452","N440SW","SFO","14:23","14:12","69","54","-11","14:20","8","0","0","0","0","0"
"OO","12/04/2022","5549","N791SK","SFO","06:28","06:22","70","70","-6","06:44","22","0","0","0","0","0"
"OO","12/04/2022","5725","N881AS","LAX","15:40","15:37","105","114","-3","15:56","19","0","0","0","0","0"
"OO","12/04/2023","3322","N412SY","SEA","17:05","17:07","108","104","2","17:17","10","0","0","0","0","0"
