Detailed Statistics Departures  
Origin Airport: Reno, NV: Reno/Tahoe International (RNO)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0481","N844VA","SEA","14:01","13:55","118","107","-6","14:10","15","0","0","0","0","0"
"AS","12/01/2022","0831","N408AS","SEA","20:15","20:07","123","113","-8","20:23","16","0","0","0","0","0"
"AS","12/01/2022","1177","N236AK","SEA","10:20","00:00","124","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0656","N317AS","SEA","16:45","16:35","127","131","-10","16:50","15","0","0","0","0","0"
"AS","12/02/2021","0474","N317AS","SEA","14:01","14:03","118","115","2","14:25","22","0","0","0","0","0"
"AS","12/02/2022","0831","N979AK","SEA","20:15","00:00","123","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2022","1177","N486AS","SEA","10:20","11:48","124","119","88","12:03","15","0","0","0","0","83"
"AS","12/02/2023","0656","N948AK","SEA","16:45","16:27","127","115","-18","16:38","11","0","0","0","0","0"
"AS","12/03/2021","0474","N461AS","SEA","14:01","14:04","118","111","3","14:20","16","0","0","0","0","0"
"AS","12/03/2022","1177","N979AK","SEA","10:20","10:14","124","130","-6","10:38","24","0","0","0","0","0"
"AS","12/03/2023","0656","N309AS","SEA","16:45","16:40","127","119","-5","16:56","16","0","0","0","0","0"
"AS","12/04/2021","0474","N319AS","SEA","14:01","14:01","118","114","0","14:19","18","0","0","0","0","0"
"AS","12/04/2022","0831","N920AK","SEA","20:15","20:26","123","136","11","20:43","17","0","0","13","0","11"
"AS","12/04/2022","1177","N323AS","SEA","10:20","13:10","124","124","170","13:28","18","0","0","0","0","170"
"AS","12/04/2023","0656","N247AK","SEA","16:45","16:59","127","123","14","17:12","13","0","0","0","0","0"
"AS","12/05/2022","0831","N464AS","SEA","20:15","20:37","123","111","22","20:54","17","0","0","0","0","0"
"AS","12/05/2022","1177","N973AK","SEA","10:20","00:00","124","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2023","0656","N297AK","SEA","16:45","16:33","127","112","-12","16:46","13","0","0","0","0","0"
"AS","12/06/2021","0474","N267AK","SEA","14:01","14:23","118","123","22","14:38","15","5","0","5","0","17"
"AS","12/06/2022","1177","N519AS","SEA","10:20","10:19","124","115","-1","10:36","17","0","0","0","0","0"
"AS","12/06/2023","0656","N946AK","SEA","16:45","17:36","127","104","51","17:48","12","0","28","0","0","0"
