Detailed Statistics Departures  
Origin Airport: Reno, NV: Reno/Tahoe International (RNO)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","2666","N393DA","SLC","13:30","13:22","82","87","-8","13:33","11","0","0","0","0","0"
"DL","12/01/2021","2762","N3759","SLC","06:00","05:56","95","108","-4","06:26","30","0","0","0","0","0"
"DL","12/01/2022","2666","N390DA","SLC","13:45","13:29","88","73","-16","13:41","12","0","0","0","0","0"
"DL","12/01/2023","1473","N397DA","SLC","06:00","05:59","96","82","-1","06:15","16","0","0","0","0","0"
"DL","12/02/2021","2666","N3751B","SLC","13:30","13:29","82","78","-1","13:38","9","0","0","0","0","0"
"DL","12/02/2021","2762","N396DA","SLC","06:00","06:11","95","95","11","06:34","23","0","0","0","0","0"
"DL","12/02/2022","2666","N3766","SLC","13:45","13:36","88","84","-9","13:49","13","0","0","0","0","0"
"DL","12/02/2023","1473","N3731T","SLC","06:00","05:59","96","102","-1","06:26","27","0","0","0","0","0"
"DL","12/03/2021","2666","N389DA","SLC","13:30","13:28","82","88","-2","13:44","16","0","0","0","0","0"
"DL","12/03/2021","2762","N376DA","SLC","06:00","05:56","95","93","-4","06:22","26","0","0","0","0","0"
"DL","12/03/2022","2666","N354NB","SLC","14:25","14:12","90","71","-13","14:21","9","0","0","0","0","0"
"DL","12/03/2023","1473","N3748Y","SLC","06:00","06:21","96","81","21","06:38","17","0","0","0","0","0"
"DL","12/04/2021","2666","N3734B","SLC","13:30","13:06","82","87","-24","13:28","22","0","0","0","0","0"
"DL","12/04/2021","2762","N3760C","SLC","06:00","06:00","95","93","0","06:25","25","0","0","0","0","0"
"DL","12/04/2022","2666","N380DA","SLC","13:45","13:38","88","71","-7","13:51","13","0","0","0","0","0"
"DL","12/04/2023","1473","N3757D","SLC","06:00","06:00","96","102","0","06:31","31","0","0","0","0","0"
"DL","12/05/2021","2666","N3750D","SLC","13:30","13:28","89","81","-2","13:40","12","0","0","0","0","0"
"DL","12/05/2021","2762","N3734B","SLC","06:00","06:00","104","124","0","06:24","24","0","0","20","0","0"
"DL","12/05/2022","2666","N3756","SLC","13:45","14:59","88","85","74","15:21","22","3","0","0","0","68"
"DL","12/05/2023","1473","N3758Y","SLC","06:00","05:57","96","104","-3","06:30","33","0","0","0","0","0"
"DL","12/06/2021","2666","N775DE","SLC","13:30","13:57","89","85","27","14:07","10","23","0","0","0","0"
"DL","12/06/2021","2762","N386DA","SLC","06:00","05:59","104","106","-1","06:27","28","0","0","0","0","0"
"DL","12/06/2022","2666","N3773D","SLC","13:45","13:36","88","89","-9","13:54","18","0","0","0","0","0"
"DL","12/06/2023","1473","N3764D","SLC","06:00","05:56","96","99","-4","06:25","29","0","0","0","0","0"
"DL","12/07/2021","2666","N3741S","SLC","13:30","13:24","89","84","-6","13:34","10","0","0","0","0","0"
"DL","12/07/2021","2762","N3748Y","SLC","06:00","05:57","104","76","-3","06:06","9","0","0","0","0","0"
"DL","12/07/2022","2666","N3752","SLC","13:45","13:40","88","82","-5","13:51","11","0","0","0","0","0"
"DL","12/07/2023","1473","N3760C","SLC","06:00","05:49","100","74","-11","05:58","9","0","0","0","0","0"
"DL","12/08/2021","2666","N775DE","SLC","13:30","13:21","89","81","-9","13:34","13","0","0","0","0","0"
"DL","12/08/2021","2762","N3755D","SLC","06:00","06:08","104","101","8","06:38","30","0","0","0","0","0"
"DL","12/08/2022","2666","N3746H","SLC","13:45","13:37","88","80","-8","13:49","12","0","0","0","0","0"
"DL","12/08/2023","1473","N3737C","SLC","06:00","06:01","100","97","1","06:29","28","0","0","0","0","0"
"DL","12/09/2021","2666","N3751B","SLC","13:30","13:26","89","86","-4","13:41","15","0","0","0","0","0"
"DL","12/09/2021","2762","N3739P","SLC","06:00","05:59","104","91","-1","06:15","16","0","0","0","0","0"
"DL","12/09/2022","2666","N3731T","SLC","13:45","13:36","88","83","-9","13:56","20","0","0","0","0","0"
"DL","12/09/2023","1473","N3754A","SLC","06:00","05:54","102","104","-6","06:22","28","0","0","0","0","0"
"DL","12/10/2021","2666","N372DA","SLC","13:30","13:28","89","83","-2","13:36","8","0","0","0","0","0"
"DL","12/10/2021","2762","N3751B","SLC","06:00","06:00","104","112","0","06:23","23","0","0","0","0","0"
"DL","12/10/2022","2666","N365NB","SLC","14:25","14:19","90","75","-6","14:31","12","0","0","0","0","0"
"DL","12/10/2023","1473","N3749D","SLC","06:00","05:56","100","105","-4","06:34","38","0","0","0","0","0"
"DL","12/11/2021","2666","N371DA","SLC","13:30","13:22","89","78","-8","13:33","11","0","0","0","0","0"
"DL","12/11/2021","2762","N3759","SLC","06:00","06:04","104","85","4","06:22","18","0","0","0","0","0"
"DL","12/11/2022","2666","N3750D","SLC","13:45","13:45","88","88","0","14:00","15","0","0","0","0","0"
"DL","12/11/2023","1473","N380DA","SLC","06:00","06:00","100","103","0","06:36","36","0","0","0","0","0"
"DL","12/12/2021","2666","N381DN","SLC","13:30","18:50","89","82","320","19:08","18","313","0","0","0","0"
"DL","12/12/2021","2762","N3757D","SLC","06:00","06:10","104","75","10","06:25","15","0","0","0","0","0"
"DL","12/12/2022","2666","N3752","SLC","13:45","13:43","88","81","-2","13:54","11","0","0","0","0","0"
"DL","12/12/2023","1473","N3749D","SLC","06:00","05:55","102","95","-5","06:21","26","0","0","0","0","0"
"DL","12/13/2021","2666","N376DA","SLC","13:30","13:36","89","80","6","13:52","16","0","0","0","0","0"
"DL","12/13/2021","2762","N393DA","SLC","06:00","06:08","104","86","8","06:17","9","0","0","0","0","0"
"DL","12/13/2022","2666","N372DA","SLC","13:45","13:45","88","89","0","14:01","16","0","0","0","0","0"
"DL","12/13/2023","1473","N37700","SLC","06:00","05:49","102","86","-11","06:00","11","0","0","0","0","0"
"DL","12/14/2021","2666","N393DA","SLC","13:30","13:30","89","100","0","14:08","38","0","0","0","0","0"
"DL","12/14/2021","2762","N371NB","SLC","06:00","11:40","104","71","340","11:48","8","307","0","0","0","0"
"DL","12/14/2022","2666","N398DA","SLC","13:45","15:08","88","76","83","15:20","12","0","0","0","0","71"
"DL","12/14/2023","1473","N3768","SLC","06:00","05:54","100","95","-6","06:24","30","0","0","0","0","0"
"DL","12/15/2021","2666","N776DE","SLC","13:30","14:07","89","78","37","14:20","13","26","0","0","0","0"
"DL","12/15/2021","2762","N388DA","SLC","06:00","00:00","104","0","0","00:00","0","0","0","0","0","0"
"DL","12/15/2022","2666","N3747D","SLC","13:45","14:06","88","83","21","14:15","9","16","0","0","0","0"
"DL","12/15/2023","1473","N3754A","SLC","06:00","05:51","100","108","-9","06:33","42","0","0","0","0","0"
"DL","12/16/2021","2666","N399DA","SLC","13:30","13:42","89","78","12","13:54","12","0","0","0","0","0"
"DL","12/16/2021","2762","N3757D","SLC","06:00","07:13","104","107","73","07:57","44","73","0","3","0","0"
"DL","12/16/2022","2666","N395DN","SLC","13:45","13:40","88","80","-5","13:50","10","0","0","0","0","0"
"DL","12/16/2023","1206","N37700","SLC","13:30","13:19","81","78","-11","13:36","17","0","0","0","0","0"
"DL","12/16/2023","1473","N3753","SLC","06:00","06:03","102","109","3","06:42","39","0","0","0","0","0"
"DL","12/17/2021","2666","N373DA","SLC","13:30","13:26","89","84","-4","13:38","12","0","0","0","0","0"
"DL","12/17/2021","2762","N3730B","SLC","06:00","06:19","104","93","19","06:38","19","0","0","0","0","0"
"DL","12/17/2022","1643","N924DZ","SLC","06:00","06:04","103","85","4","06:23","19","0","0","0","0","0"
"DL","12/17/2022","2666","N372DA","SLC","11:39","11:34","93","74","-5","11:45","11","0","0","0","0","0"
"DL","12/17/2023","1206","N3764D","SLC","13:30","13:31","81","87","1","13:47","16","0","0","0","0","0"
"DL","12/17/2023","1473","N383DN","SLC","06:00","05:55","102","116","-5","06:33","38","0","0","0","0","0"
"DL","12/18/2021","1106","N900PC","ATL","12:05","12:26","261","254","21","12:38","12","0","0","0","0","0"
"DL","12/18/2021","2666","N377DA","SLC","13:30","13:50","89","75","20","13:59","9","0","0","0","0","0"
"DL","12/18/2021","2762","N385DN","SLC","06:00","06:00","104","103","0","06:31","31","0","0","0","0","0"
"DL","12/18/2022","1643","N901DN","SLC","06:00","06:08","103","80","8","06:24","16","0","0","0","0","0"
"DL","12/18/2022","2666","N3756","SLC","11:39","11:50","93","78","11","12:02","12","0","0","0","0","0"
"DL","12/18/2023","1206","N398DA","SLC","13:30","15:24","81","80","114","15:37","13","0","0","0","0","113"
"DL","12/18/2023","1473","N377DE","SLC","06:00","05:59","102","80","-1","06:11","12","0","0","0","0","0"
"DL","12/19/2021","1106","N690DL","ATL","12:05","12:38","261","241","33","12:49","11","0","0","0","0","0"
"DL","12/19/2021","2666","N393DA","SLC","13:30","13:37","89","101","7","14:10","33","7","0","12","0","0"
"DL","12/19/2021","2762","N861DN","SLC","06:00","06:08","104","101","8","06:42","34","0","0","0","0","0"
"DL","12/19/2022","1643","N817DN","SLC","06:00","05:59","103","114","-1","06:43","44","0","0","0","0","0"
"DL","12/19/2022","2666","N372DA","SLC","11:39","11:34","93","79","-5","11:50","16","0","0","0","0","0"
"DL","12/19/2023","1206","N3753","SLC","13:30","13:28","81","77","-2","13:38","10","0","0","0","0","0"
"DL","12/19/2023","1473","N396DA","SLC","06:00","06:07","102","80","7","06:21","14","0","0","0","0","0"
"DL","12/20/2021","1106","N550NW","ATL","12:05","12:52","261","275","47","13:30","38","47","0","14","0","0"
"DL","12/20/2021","2666","N3748Y","SLC","13:30","14:24","89","77","54","14:37","13","42","0","0","0","0"
"DL","12/20/2021","2762","N373DA","SLC","06:00","06:35","104","94","35","07:12","37","25","0","0","0","0"
"DL","12/20/2022","1643","N875DN","SLC","06:00","05:58","103","87","-2","06:17","19","0","0","0","0","0"
"DL","12/20/2022","2666","N398DA","SLC","11:39","11:38","93","78","-1","11:53","15","0","0","0","0","0"
"DL","12/20/2023","1206","N397DA","SLC","13:30","14:31","81","74","61","14:40","9","54","0","0","0","0"
"DL","12/20/2023","1473","N3763D","SLC","06:00","05:55","102","116","-5","06:42","47","0","0","0","0","0"
"DL","12/21/2021","1106","N686DA","ATL","12:05","12:54","261","243","49","13:07","13","24","0","0","0","7"
"DL","12/21/2021","2666","N383DN","SLC","13:30","13:37","89","72","7","13:47","10","0","0","0","0","0"
"DL","12/21/2021","2762","N393DA","SLC","06:00","06:13","104","112","13","06:57","44","13","0","8","0","0"
"DL","12/21/2022","1643","N801DZ","SLC","06:00","06:00","103","91","0","06:28","28","0","0","0","0","0"
"DL","12/21/2022","2666","N398DA","SLC","11:39","11:38","93","72","-1","11:48","10","0","0","0","0","0"
"DL","12/21/2023","1206","N3763D","SLC","13:30","13:26","81","79","-4","13:36","10","0","0","0","0","0"
"DL","12/21/2023","1473","N394DA","SLC","06:00","05:56","102","82","-4","06:09","13","0","0","0","0","0"
"DL","12/22/2021","1106","N695DL","ATL","12:05","12:28","261","227","23","12:39","11","0","0","0","0","0"
"DL","12/22/2021","2666","N391DA","SLC","13:30","13:30","89","76","0","13:42","12","0","0","0","0","0"
"DL","12/22/2021","2762","N37700","SLC","06:00","05:59","104","102","-1","06:33","34","0","0","0","0","0"
"DL","12/22/2022","1643","N906DN","SLC","06:00","06:02","103","96","2","06:32","30","0","0","0","0","0"
"DL","12/22/2022","2666","N372DA","SLC","11:39","11:45","93","73","6","11:57","12","0","0","0","0","0"
"DL","12/22/2023","1206","N394DA","SLC","13:30","14:24","81","74","54","14:32","8","17","0","28","0","2"
"DL","12/22/2023","1473","N3749D","SLC","06:00","06:07","102","109","7","06:48","41","0","0","0","0","0"
"DL","12/23/2021","1106","N676DL","ATL","12:05","12:51","261","266","46","13:47","56","0","27","5","0","19"
"DL","12/23/2021","2666","N378DA","SLC","13:30","14:05","89","127","35","15:10","65","0","18","38","0","17"
"DL","12/23/2021","2762","N3772H","SLC","06:00","05:58","104","88","-2","06:12","14","0","0","0","0","0"
"DL","12/23/2022","1643","N839DN","SLC","06:00","06:30","103","103","30","07:07","37","30","0","0","0","0"
"DL","12/23/2022","2666","N3759","SLC","11:39","12:20","93","77","41","12:31","11","25","0","0","0","0"
"DL","12/23/2023","1206","N3749D","SLC","13:30","13:28","81","93","-2","13:51","23","0","0","0","0","0"
"DL","12/23/2023","1473","N3766","SLC","06:00","06:12","102","90","12","06:27","15","0","0","0","0","0"
"DL","12/24/2021","1106","N6707A","ATL","12:46","14:27","261","228","101","14:38","11","68","0","0","0","0"
"DL","12/24/2021","2666","N3749D","SLC","13:30","13:48","89","77","18","14:00","12","0","0","0","0","0"
"DL","12/24/2021","2762","N3737C","SLC","06:00","05:58","104","80","-2","06:17","19","0","0","0","0","0"
"DL","12/24/2022","1643","N859DN","SLC","06:00","06:05","103","146","5","07:26","81","0","0","48","0","0"
"DL","12/24/2023","1206","N3766","SLC","13:30","13:22","81","76","-8","13:33","11","0","0","0","0","0"
"DL","12/24/2023","1473","N380DA","SLC","06:00","06:07","102","100","7","06:38","31","0","0","0","0","0"
"DL","12/25/2021","1106","N6716C","ATL","12:46","14:35","261","273","109","15:38","63","109","0","12","0","0"
"DL","12/25/2021","2666","N395DN","SLC","13:30","15:18","89","126","108","16:22","64","108","0","37","0","0"
"DL","12/25/2021","2762","N3765","SLC","06:00","05:54","104","65","-6","06:02","8","0","0","0","0","0"
"DL","12/25/2022","1643","N894DN","SLC","06:00","06:00","103","102","0","06:33","33","0","0","0","0","0"
"DL","12/25/2023","1206","N3763D","SLC","13:30","13:22","81","78","-8","13:32","10","0","0","0","0","0"
"DL","12/25/2023","1473","N377DA","SLC","06:00","05:55","102","81","-5","06:08","13","0","0","0","0","0"
"DL","12/26/2021","1106","N679DA","ATL","12:05","13:10","261","222","65","13:20","10","12","0","0","0","14"
"DL","12/26/2021","2666","N378DA","SLC","13:30","15:20","89","91","110","15:36","16","17","0","2","0","93"
"DL","12/26/2021","2762","N3757D","SLC","06:00","09:20","104","103","200","09:53","33","20","0","179","0","0"
"DL","12/26/2022","1643","N869DN","SLC","06:00","06:25","103","80","25","06:42","17","0","0","0","0","0"
"DL","12/26/2022","2666","N3743H","SLC","11:39","11:53","93","74","14","12:03","10","0","0","0","0","0"
"DL","12/26/2023","1206","N3734B","SLC","13:30","13:33","81","87","3","13:46","13","0","0","0","0","0"
"DL","12/26/2023","1473","N774DE","SLC","06:00","05:57","102","85","-3","06:14","17","0","0","0","0","0"
"DL","12/27/2021","1106","N687DL","ATL","12:05","13:24","261","241","79","13:42","18","31","0","0","0","28"
"DL","12/27/2021","2666","N3772H","SLC","13:30","14:47","89","89","77","15:04","17","0","0","2","0","75"
"DL","12/27/2021","2762","N3757D","SLC","06:00","06:15","104","107","15","07:02","47","15","0","3","0","0"
"DL","12/27/2022","1643","N873DN","SLC","06:00","06:54","103","73","54","07:06","12","24","0","0","0","0"
"DL","12/27/2022","2666","N396DA","SLC","11:39","12:31","93","78","52","12:46","15","37","0","0","0","0"
"DL","12/27/2023","1206","N774DE","SLC","13:30","13:29","81","86","-1","13:45","16","0","0","0","0","0"
"DL","12/27/2023","1473","N380DA","SLC","06:00","05:53","102","77","-7","06:05","12","0","0","0","0","0"
"DL","12/28/2021","1106","N699DL","ATL","12:05","13:23","261","241","78","13:36","13","34","0","0","0","24"
"DL","12/28/2021","2666","N776DE","SLC","13:30","14:51","89","87","81","15:00","9","59","0","20","0","0"
"DL","12/28/2021","2762","N3735D","SLC","06:00","06:09","104","72","9","06:18","9","0","0","0","0","0"
"DL","12/28/2022","1643","N839DN","SLC","06:00","06:25","103","87","25","06:40","15","0","0","0","0","0"
"DL","12/28/2022","2666","N396DA","SLC","11:39","11:56","93","82","17","12:07","11","0","0","0","0","0"
"DL","12/28/2023","1206","N383DN","SLC","13:30","13:25","81","77","-5","13:36","11","0","0","0","0","0"
"DL","12/28/2023","1473","N3772H","SLC","06:00","05:56","102","77","-4","06:07","11","0","0","0","0","0"
"DL","12/29/2021","1106","N679DA","ATL","12:05","12:54","261","286","49","13:49","55","49","0","25","0","0"
"DL","12/29/2021","2666","N377DA","SLC","13:30","17:08","89","95","218","17:42","34","218","0","6","0","0"
"DL","12/29/2021","2762","N3745B","SLC","06:00","06:20","104","95","20","06:50","30","0","0","0","0","0"
"DL","12/29/2022","1643","N894DN","SLC","06:00","06:18","103","113","18","07:03","45","0","18","10","0","0"
"DL","12/29/2022","2666","N372DA","SLC","11:39","11:51","93","92","12","12:08","17","0","0","0","0","0"
"DL","12/29/2023","1206","N394DA","SLC","13:30","13:25","81","74","-5","13:36","11","0","0","0","0","0"
"DL","12/29/2023","1473","N3750D","SLC","06:00","06:01","102","104","1","06:28","27","0","0","0","0","0"
