Detailed Statistics Departures  
Origin Airport: Reno, NV: Reno/Tahoe International (RNO)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0547","N401UA","SFO","06:30","06:25","75","62","-5","06:43","18","0","0","0","0","0"
"UA","12/01/2021","2124","N836UA","DEN","09:00","09:00","132","122","0","09:11","11","0","0","0","0","0"
"UA","12/01/2021","2415","N14249","DEN","05:30","05:25","136","135","-5","05:50","25","0","0","0","0","0"
"UA","12/01/2021","2470","N874UA","DEN","13:25","13:18","132","132","-7","13:31","13","0","0","0","0","0"
"UA","12/01/2022","0539","N12216","SFO","06:16","06:06","71","69","-10","06:20","14","0","0","0","0","0"
"UA","12/01/2022","1787","N78524","DEN","16:05","16:05","134","137","0","16:29","24","0","0","0","0","0"
"UA","12/01/2022","2415","N76526","DEN","05:38","05:26","135","114","-12","05:36","10","0","0","0","0","0"
"UA","12/01/2022","2470","N475UA","DEN","13:33","13:31","133","116","-2","13:43","12","0","0","0","0","0"
"UA","12/01/2023","1296","N12225","DEN","09:00","08:51","138","124","-9","09:04","13","0","0","0","0","0"
"UA","12/01/2023","1417","N449UA","DEN","13:39","13:30","138","120","-9","13:40","10","0","0","0","0","0"
"UA","12/01/2023","2378","N435UA","SFO","08:00","07:54","77","61","-6","08:06","12","0","0","0","0","0"
"UA","12/01/2023","2617","N462UA","DEN","05:25","05:18","138","133","-7","05:32","14","0","0","0","0","0"
"UA","12/02/2021","0547","N817UA","SFO","06:30","06:29","75","77","-1","06:51","22","0","0","0","0","0"
"UA","12/02/2021","2124","N495UA","DEN","09:00","09:32","132","125","32","09:45","13","25","0","0","0","0"
"UA","12/02/2021","2415","N27239","DEN","05:30","05:27","136","134","-3","05:49","22","0","0","0","0","0"
"UA","12/02/2021","2470","N462UA","DEN","13:25","13:19","132","135","-6","13:34","15","0","0","0","0","0"
"UA","12/02/2022","0539","N27205","SFO","06:16","06:34","71","70","18","06:58","24","17","0","0","0","0"
"UA","12/02/2022","1787","N76529","DEN","16:05","16:07","134","108","2","16:16","9","0","0","0","0","0"
"UA","12/02/2022","2391","N468UA","SFO","20:30","22:02","71","66","92","22:12","10","0","0","0","0","87"
"UA","12/02/2022","2415","N77296","DEN","05:38","05:35","135","116","-3","05:48","13","0","0","0","0","0"
"UA","12/02/2022","2470","N475UA","DEN","13:33","13:43","133","111","10","13:56","13","0","0","0","0","0"
"UA","12/02/2023","1296","N812UA","DEN","09:00","08:48","138","130","-12","09:02","14","0","0","0","0","0"
"UA","12/02/2023","1417","N442UA","DEN","13:39","13:24","138","134","-15","13:43","19","0","0","0","0","0"
"UA","12/02/2023","2378","N423UA","SFO","08:00","15:03","77","62","423","15:19","16","408","0","0","0","0"
"UA","12/02/2023","2617","N460UA","DEN","05:25","05:13","138","129","-12","05:28","15","0","0","0","0","0"
"UA","12/03/2021","0547","N893UA","SFO","06:30","06:24","75","70","-6","06:43","19","0","0","0","0","0"
"UA","12/03/2021","2124","N839UA","DEN","09:00","08:55","132","152","-5","09:31","36","0","0","15","0","0"
"UA","12/03/2021","2415","N77261","DEN","05:30","05:31","136","134","1","05:43","12","0","0","0","0","0"
"UA","12/03/2021","2470","N897UA","DEN","13:25","13:29","132","125","4","13:39","10","0","0","0","0","0"
"UA","12/03/2022","0539","N34222","SFO","06:16","06:14","71","73","-2","06:38","24","0","0","0","0","0"
"UA","12/03/2022","1787","N24211","DEN","15:50","15:43","134","141","-7","16:18","35","0","0","0","0","0"
"UA","12/03/2022","2391","N28457","SFO","20:30","23:16","71","78","166","23:47","31","0","0","7","0","166"
"UA","12/03/2022","2415","N836UA","DEN","05:38","05:33","135","132","-5","06:04","31","0","0","0","0","0"
"UA","12/03/2022","2470","N484UA","DEN","13:33","13:30","133","115","-3","13:39","9","0","0","0","0","0"
"UA","12/03/2023","1296","N872UA","DEN","09:00","08:51","138","125","-9","09:04","13","0","0","0","0","0"
"UA","12/03/2023","1417","N461UA","DEN","13:39","13:37","138","127","-2","13:49","12","0","0","0","0","0"
"UA","12/03/2023","2378","N444UA","SFO","08:00","07:53","77","76","-7","08:08","15","0","0","0","0","0"
"UA","12/03/2023","2617","N77530","DEN","05:25","05:22","138","130","-3","05:34","12","0","0","0","0","0"
"UA","12/04/2021","0547","N78501","SFO","06:30","06:29","73","93","-1","07:15","46","0","0","19","0","0"
"UA","12/04/2021","1227","N809UA","DEN","09:00","09:03","132","137","3","09:25","22","0","0","0","0","0"
"UA","12/04/2021","2415","N78540","DEN","05:30","05:30","136","133","0","05:53","23","0","0","0","0","0"
"UA","12/04/2021","2470","N878UA","DEN","13:25","13:19","132","125","-6","13:34","15","0","0","0","0","0"
"UA","12/04/2022","0539","N14240","SFO","06:16","06:23","71","62","7","06:35","12","0","0","0","0","0"
"UA","12/04/2022","1787","N836UA","DEN","16:05","15:55","134","132","-10","16:10","15","0","0","0","0","0"
"UA","12/04/2022","2391","N37540","SFO","20:30","20:25","71","69","-5","20:39","14","0","0","0","0","0"
"UA","12/04/2022","2415","N802UA","DEN","05:38","05:39","135","129","1","06:05","26","0","0","0","0","0"
"UA","12/04/2022","2470","N494UA","DEN","13:33","13:40","133","114","7","13:54","14","0","0","0","0","0"
"UA","12/04/2023","1296","N77536","DEN","09:00","08:52","138","144","-8","09:16","24","0","0","0","0","0"
"UA","12/04/2023","1417","N416UA","DEN","13:39","13:32","138","126","-7","13:42","10","0","0","0","0","0"
"UA","12/04/2023","2378","N476UA","SFO","08:00","08:02","77","69","2","08:16","14","0","0","0","0","0"
"UA","12/04/2023","2617","N421UA","DEN","05:25","05:18","138","140","-7","05:45","27","0","0","0","0","0"
"UA","12/05/2021","0547","N894UA","SFO","06:30","06:30","75","68","0","06:49","19","0","0","0","0","0"
"UA","12/05/2021","1227","N891UA","DEN","09:00","08:50","132","129","-10","09:07","17","0","0","0","0","0"
"UA","12/05/2021","2470","N878UA","DEN","13:25","13:23","132","125","-2","13:36","13","0","0","0","0","0"
"UA","12/05/2022","0539","N73259","SFO","06:16","06:08","71","78","-8","06:27","19","0","0","0","0","0"
"UA","12/05/2022","1787","N87507","DEN","16:05","15:58","134","111","-7","16:10","12","0","0","0","0","0"
"UA","12/05/2022","2391","N39418","SFO","20:30","20:18","71","65","-12","20:29","11","0","0","0","0","0"
"UA","12/05/2022","2415","N38479","DEN","05:38","05:28","135","121","-10","05:53","25","0","0","0","0","0"
"UA","12/05/2022","2470","N436UA","DEN","13:33","13:30","133","111","-3","13:40","10","0","0","0","0","0"
"UA","12/05/2023","1296","N54241","DEN","09:00","08:50","138","124","-10","09:05","15","0","0","0","0","0"
"UA","12/05/2023","1417","N476UA","DEN","13:39","14:41","138","134","62","14:52","11","58","0","0","0","0"
"UA","12/05/2023","2378","N446UA","SFO","08:00","08:20","77","100","20","09:09","49","0","0","43","0","0"
"UA","12/05/2023","2617","N414UA","DEN","05:25","05:21","138","147","-4","05:54","33","0","0","0","0","0"
"UA","12/06/2021","0547","N808UA","SFO","06:30","06:32","75","70","2","06:47","15","0","0","0","0","0"
"UA","12/06/2021","1227","N844UA","DEN","09:00","09:33","132","114","33","09:47","14","15","0","0","0","0"
"UA","12/06/2021","2415","N27421","DEN","05:20","05:19","136","114","-1","05:32","13","0","0","0","0","0"
"UA","12/06/2021","2470","N836UA","DEN","13:25","13:33","132","148","8","13:45","12","6","0","16","0","2"
"UA","12/06/2022","0539","N87527","SFO","06:16","06:01","71","62","-15","06:14","13","0","0","0","0","0"
"UA","12/06/2022","1787","N77520","DEN","16:05","15:54","134","123","-11","16:09","15","0","0","0","0","0"
"UA","12/06/2022","2391","N45440","SFO","20:30","20:21","71","58","-9","20:31","10","0","0","0","0","0"
"UA","12/06/2022","2415","N25201","DEN","05:38","05:36","135","122","-2","05:51","15","0","0","0","0","0"
"UA","12/06/2022","2470","N436UA","DEN","13:33","14:13","133","112","40","14:23","10","0","0","0","0","19"
"UA","12/06/2023","1296","N76269","DEN","09:00","09:00","138","135","0","09:28","28","0","0","0","0","0"
"UA","12/06/2023","1417","N421UA","DEN","13:39","14:51","138","127","72","15:10","19","0","0","0","0","61"
"UA","12/06/2023","2378","N419UA","SFO","08:00","08:57","77","76","57","09:17","20","0","0","56","0","0"
"UA","12/06/2023","2617","N455UA","DEN","05:25","09:21","138","124","236","09:32","11","222","0","0","0","0"
"UA","12/07/2021","0547","N874UA","SFO","06:30","06:28","75","55","-2","06:39","11","0","0","0","0","0"
